Date,Open,High,Low,Close,Volume
31-Dec-13,17.96,18.50,17.65,17.96,80491
30-Dec-13,17.40,18.31,17.40,17.89,86422
27-Dec-13,17.00,17.55,17.00,17.38,63856
26-Dec-13,17.26,17.78,16.79,16.96,32197
24-Dec-13,17.00,17.78,16.84,16.98,27309
23-Dec-13,16.69,17.64,16.69,17.08,76510
20-Dec-13,15.98,16.39,15.10,16.39,1195561
19-Dec-13,16.11,16.88,15.60,15.92,102362
18-Dec-13,15.83,16.34,15.83,16.08,131638
17-Dec-13,15.06,16.00,14.68,15.73,120734
16-Dec-13,14.41,14.97,13.56,14.80,118591
13-Dec-13,15.03,15.20,13.79,14.26,118974
12-Dec-13,14.93,15.16,14.52,14.95,68387
11-Dec-13,16.00,16.20,14.62,14.93,97490
10-Dec-13,16.02,16.73,15.03,15.99,177637
9-Dec-13,15.51,16.75,14.91,16.00,273962
6-Dec-13,14.48,16.00,14.48,15.35,348153
5-Dec-13,13.50,15.66,12.50,14.35,248748
4-Dec-13,11.70,14.21,11.70,13.60,141854
3-Dec-13,12.00,12.01,11.57,12.01,92360
2-Dec-13,11.15,11.68,10.98,11.49,31154
29-Nov-13,11.26,11.77,11.00,11.25,35509
27-Nov-13,10.84,11.76,10.60,11.67,23819
26-Nov-13,11.77,11.77,10.65,10.79,45977
25-Nov-13,11.64,11.75,11.25,11.25,38523
22-Nov-13,12.18,12.30,11.62,11.64,34552
21-Nov-13,12.00,12.43,11.60,11.60,57890
20-Nov-13,12.04,12.50,11.38,11.84,103531
19-Nov-13,11.00,11.88,10.80,11.45,168536
18-Nov-13,10.76,10.76,10.50,10.61,13544
15-Nov-13,10.61,10.72,10.61,10.70,2535
14-Nov-13,10.51,10.63,10.45,10.58,212178
13-Nov-13,10.75,10.99,10.50,10.51,37910
12-Nov-13,10.63,11.04,10.63,10.67,39295
11-Nov-13,11.30,11.30,10.88,10.88,19868
8-Nov-13,10.68,11.00,10.38,10.89,60381
7-Nov-13,10.76,11.28,10.40,10.42,120795
6-Nov-13,11.57,12.03,10.84,10.93,63837
5-Nov-13,11.00,12.08,10.85,11.51,123457
4-Nov-13,10.49,10.84,10.49,10.82,36786
1-Nov-13,10.50,10.52,10.46,10.50,35669
31-Oct-13,10.45,10.54,10.38,10.50,61199
30-Oct-13,10.53,10.53,10.32,10.40,78166
29-Oct-13,10.41,10.55,10.31,10.53,94351
28-Oct-13,10.50,10.70,10.32,10.55,157634
25-Oct-13,10.55,10.86,10.25,10.61,2678805
