Date,Open,High,Low,Close,Volume
31-Dec-13,2.78,2.87,2.75,2.87,29588
30-Dec-13,2.87,2.92,2.71,2.80,41140
27-Dec-13,2.86,2.98,2.84,2.90,12504
26-Dec-13,2.88,2.90,2.80,2.88,22894
24-Dec-13,2.90,2.90,2.89,2.89,8735
23-Dec-13,2.99,2.99,2.80,2.86,26520
20-Dec-13,2.91,3.04,2.85,2.99,19677
19-Dec-13,2.99,3.02,2.90,2.92,15875
18-Dec-13,3.11,3.15,2.90,3.04,75624
17-Dec-13,3.09,3.17,3.05,3.07,16989
16-Dec-13,3.16,3.19,3.05,3.13,26291
13-Dec-13,3.21,3.21,3.12,3.19,8360
12-Dec-13,3.22,3.25,3.14,3.24,4200
11-Dec-13,3.27,3.28,3.15,3.21,22330
10-Dec-13,3.25,3.33,3.20,3.23,13965
9-Dec-13,3.37,3.37,3.25,3.28,12027
6-Dec-13,3.40,3.40,3.27,3.37,4138
5-Dec-13,3.29,3.38,3.26,3.34,13532
4-Dec-13,3.35,3.35,3.26,3.30,7090
3-Dec-13,3.34,3.49,3.30,3.39,17164
2-Dec-13,3.34,3.43,3.34,3.40,14007
29-Nov-13,3.30,3.34,3.30,3.34,3549
27-Nov-13,3.30,3.35,3.25,3.30,13281
26-Nov-13,3.40,3.53,3.25,3.35,57905
25-Nov-13,3.42,3.65,3.35,3.40,102912
22-Nov-13,3.36,3.39,3.30,3.38,7800
21-Nov-13,3.30,3.40,3.25,3.36,6810
20-Nov-13,3.28,3.31,3.25,3.29,49694
19-Nov-13,3.38,3.44,3.26,3.27,32259
18-Nov-13,3.42,3.49,3.34,3.42,34137
15-Nov-13,3.40,3.49,3.34,3.42,43367
14-Nov-13,3.49,3.50,3.44,3.47,28676
13-Nov-13,3.32,3.54,3.24,3.51,79421
12-Nov-13,3.34,3.35,3.26,3.35,4077
11-Nov-13,3.39,3.39,3.30,3.35,49118
8-Nov-13,3.35,3.39,3.33,3.36,23810
7-Nov-13,3.35,3.46,3.15,3.34,65090
6-Nov-13,3.61,3.61,3.33,3.35,135568
5-Nov-13,3.33,3.67,3.05,3.63,418174
4-Nov-13,2.96,2.99,2.94,2.95,61522
1-Nov-13,2.89,2.95,2.87,2.94,10893
31-Oct-13,2.95,2.97,2.86,2.91,8892
30-Oct-13,2.90,2.95,2.87,2.95,22634
29-Oct-13,2.91,2.95,2.87,2.92,12800
28-Oct-13,2.97,2.97,2.86,2.90,5943
25-Oct-13,2.93,2.97,2.90,2.95,13450
24-Oct-13,2.80,2.92,2.80,2.89,9000
23-Oct-13,2.95,2.95,2.85,2.87,14138
22-Oct-13,2.97,2.97,2.85,2.94,29838
21-Oct-13,2.97,3.16,2.90,2.93,5994
18-Oct-13,3.07,3.07,2.85,2.92,36886
17-Oct-13,3.16,3.16,3.03,3.09,16166
16-Oct-13,3.12,3.15,3.09,3.14,5125
15-Oct-13,3.10,3.13,3.08,3.12,2100
14-Oct-13,3.01,3.12,2.99,3.12,9858
11-Oct-13,3.05,3.05,3.00,3.05,18155
10-Oct-13,3.00,3.07,2.95,3.06,39550
9-Oct-13,2.88,2.95,2.88,2.95,600
8-Oct-13,2.90,2.95,2.89,2.93,3300
7-Oct-13,2.94,2.96,2.88,2.93,6400
4-Oct-13,2.97,2.98,2.92,2.97,7554
3-Oct-13,2.98,2.99,2.85,2.95,37383
2-Oct-13,2.99,2.99,2.90,2.98,3968
1-Oct-13,2.90,3.00,2.85,2.98,15650
30-Sep-13,2.85,2.95,2.85,2.95,27380
27-Sep-13,2.85,2.93,2.74,2.89,11052
26-Sep-13,2.79,2.94,2.79,2.90,2401
25-Sep-13,2.87,2.95,2.87,2.95,24880
24-Sep-13,2.85,2.95,2.85,2.87,28926
20-Sep-13,2.85,2.86,2.84,2.86,3640
19-Sep-13,2.75,2.90,2.75,2.87,24514
18-Sep-13,2.76,2.84,2.70,2.72,26185
17-Sep-13,2.83,2.88,2.82,2.82,12662
16-Sep-13,2.85,2.90,2.80,2.85,7756
13-Sep-13,2.84,2.87,2.81,2.86,4260
12-Sep-13,2.89,2.90,2.84,2.90,30143
11-Sep-13,2.82,2.98,2.82,2.89,12287
10-Sep-13,2.74,2.86,2.74,2.83,36931
9-Sep-13,2.71,2.82,2.71,2.73,54907
6-Sep-13,2.83,2.83,2.68,2.68,5163
5-Sep-13,2.72,2.79,2.72,2.78,18571
4-Sep-13,2.62,2.73,2.60,2.70,18715
3-Sep-13,2.63,2.66,2.62,2.65,28647
30-Aug-13,2.73,2.75,2.63,2.66,1600
29-Aug-13,2.73,2.74,2.62,2.70,7350
28-Aug-13,2.68,2.72,2.55,2.71,13373
27-Aug-13,2.80,2.89,2.64,2.66,92901
26-Aug-13,2.97,2.97,2.88,2.90,14028
23-Aug-13,2.98,2.99,2.82,2.98,7770
22-Aug-13,3.01,3.01,2.87,2.99,8892
21-Aug-13,2.98,2.99,2.82,2.94,21162
20-Aug-13,3.00,3.01,2.91,2.98,11552
19-Aug-13,3.10,3.20,2.91,3.03,122796
16-Aug-13,2.93,3.04,2.92,3.04,113239
15-Aug-13,2.94,2.94,2.77,2.88,10194
14-Aug-13,2.94,2.96,2.80,2.92,59720
13-Aug-13,2.94,2.95,2.76,2.88,50202
12-Aug-13,2.84,2.98,2.84,2.92,56937
9-Aug-13,2.86,2.90,2.74,2.89,22884
8-Aug-13,2.72,2.93,2.69,2.90,29489
7-Aug-13,2.69,2.80,2.68,2.70,32105
6-Aug-13,3.10,3.11,2.68,2.68,129935
5-Aug-13,2.60,2.70,2.58,2.67,149495
2-Aug-13,2.65,2.71,2.55,2.59,41457
1-Aug-13,2.73,2.78,2.59,2.60,40350
31-Jul-13,2.64,2.75,2.64,2.70,15587
30-Jul-13,2.68,2.78,2.65,2.66,9574
29-Jul-13,2.65,2.75,2.64,2.71,22318
26-Jul-13,2.80,2.80,2.67,2.68,11061
25-Jul-13,2.79,2.83,2.72,2.80,25706
24-Jul-13,2.60,2.77,2.60,2.73,152782
23-Jul-13,2.64,2.66,2.59,2.62,5745
22-Jul-13,2.48,2.68,2.48,2.65,50096
19-Jul-13,2.50,2.52,2.44,2.48,11468
18-Jul-13,2.50,2.58,2.45,2.53,3500
17-Jul-13,2.63,2.63,2.50,2.57,16827
16-Jul-13,2.60,2.63,2.52,2.61,2900
15-Jul-13,2.60,2.63,2.51,2.61,14366
12-Jul-13,2.55,2.64,2.54,2.63,6178
11-Jul-13,2.53,2.64,2.53,2.57,77123
10-Jul-13,2.37,2.54,2.37,2.53,24175
9-Jul-13,2.36,2.49,2.36,2.48,30036
8-Jul-13,2.33,2.38,2.33,2.38,5300
5-Jul-13,2.29,2.36,2.25,2.30,10144
3-Jul-13,2.26,2.33,2.26,2.31,16548
2-Jul-13,2.40,2.40,2.21,2.30,57923
1-Jul-13,2.55,2.59,2.36,2.41,38623
28-Jun-13,2.68,2.68,2.42,2.58,59423
27-Jun-13,2.66,2.66,2.47,2.63,35342
26-Jun-13,2.47,2.77,2.40,2.60,247088
25-Jun-13,2.45,2.45,2.35,2.42,15907
24-Jun-13,2.25,2.44,2.18,2.36,162957
21-Jun-13,2.16,2.29,2.16,2.23,81901
20-Jun-13,2.15,2.17,2.15,2.16,26780
19-Jun-13,2.16,2.17,2.15,2.17,21700
18-Jun-13,2.17,2.17,2.12,2.15,19442
17-Jun-13,2.18,2.20,2.12,2.17,61966
14-Jun-13,2.20,2.28,2.11,2.15,59586
13-Jun-13,2.17,2.23,2.15,2.22,10890
12-Jun-13,2.26,2.28,2.13,2.16,22318
11-Jun-13,2.42,2.45,2.18,2.26,96837
10-Jun-13,2.18,2.44,2.18,2.39,147674
7-Jun-13,2.01,2.22,1.98,2.19,132626
6-Jun-13,2.02,2.10,2.00,2.04,9800
5-Jun-13,2.02,2.06,1.98,2.05,6443
4-Jun-13,2.02,2.11,1.99,2.06,27680
3-Jun-13,2.00,2.11,1.99,2.05,20005
31-May-13,1.99,2.02,1.99,2.02,3200
30-May-13,1.95,2.03,1.95,2.00,28657
29-May-13,2.07,2.08,1.95,2.03,5511
28-May-13,2.05,2.09,1.98,2.02,22564
24-May-13,1.95,2.05,1.95,2.04,16356
23-May-13,2.02,2.10,2.02,2.05,3050
22-May-13,2.05,2.09,1.98,2.03,37653
21-May-13,2.19,2.25,2.05,2.11,34330
20-May-13,2.04,2.30,2.04,2.17,205055
17-May-13,1.95,2.05,1.89,2.00,52579
16-May-13,1.90,1.92,1.86,1.91,60372
15-May-13,1.97,1.97,1.86,1.92,39642
14-May-13,2.03,2.09,1.86,1.94,88466
13-May-13,1.91,2.09,1.82,1.99,145425
10-May-13,1.90,2.15,1.80,1.92,157210
9-May-13,1.83,2.00,1.72,1.89,151385
8-May-13,1.91,1.99,1.71,1.71,164736
7-May-13,1.65,2.00,1.62,1.90,644699
6-May-13,1.44,1.48,1.41,1.48,7764
3-May-13,1.51,1.51,1.39,1.40,20770
2-May-13,1.45,1.53,1.45,1.51,12844
1-May-13,1.46,1.46,1.46,1.46,500
30-Apr-13,1.47,1.48,1.47,1.48,400
29-Apr-13,1.47,1.48,1.37,1.46,9213
26-Apr-13,1.37,1.47,1.37,1.47,1720
25-Apr-13,1.40,1.47,1.31,1.46,15722
23-Apr-13,1.47,1.47,1.44,1.46,1900
22-Apr-13,1.48,1.48,1.41,1.46,4440
19-Apr-13,1.47,1.48,1.37,1.48,3673
17-Apr-13,1.44,1.44,1.44,1.44,1000
16-Apr-13,1.47,1.47,1.41,1.45,2282
15-Apr-13,1.40,1.45,1.40,1.44,1900
12-Apr-13,1.39,1.45,1.36,1.44,11917
11-Apr-13,1.40,1.48,1.38,1.42,27630
10-Apr-13,1.35,1.40,1.35,1.39,27450
9-Apr-13,1.36,1.40,1.31,1.39,3230
8-Apr-13,1.38,1.40,1.35,1.35,3103
5-Apr-13,1.36,1.42,1.35,1.42,2795
4-Apr-13,1.40,1.44,1.36,1.40,26534
3-Apr-13,1.40,1.42,1.36,1.40,21160
2-Apr-13,1.39,1.46,1.30,1.38,63901
1-Apr-13,1.37,1.39,1.32,1.37,9150
28-Mar-13,1.36,1.37,1.36,1.37,6700
27-Mar-13,1.31,1.39,1.30,1.37,41800
26-Mar-13,1.28,1.30,1.25,1.30,8000
25-Mar-13,1.22,1.28,1.22,1.28,20484
22-Mar-13,1.25,1.25,1.20,1.22,10976
21-Mar-13,1.26,1.30,1.21,1.21,40594
20-Mar-13,1.25,1.25,1.21,1.25,1386
19-Mar-13,1.31,1.31,1.23,1.27,16050
18-Mar-13,1.26,1.29,1.24,1.28,16817
15-Mar-13,1.21,1.29,1.21,1.26,10761
14-Mar-13,1.20,1.31,1.20,1.28,23560
13-Mar-13,1.26,1.27,1.21,1.26,2700
12-Mar-13,1.20,1.30,1.18,1.27,10894
11-Mar-13,1.23,1.34,1.16,1.22,64417
8-Mar-13,1.27,1.27,1.16,1.20,185905
7-Mar-13,1.24,1.35,1.24,1.30,76433
6-Mar-13,1.38,1.40,1.23,1.23,99939
5-Mar-13,1.35,1.44,1.35,1.38,31555
4-Mar-13,1.40,1.45,1.37,1.40,32845
1-Mar-13,1.31,1.44,1.31,1.40,96645
28-Feb-13,1.29,1.42,1.25,1.42,151655
27-Feb-13,1.33,1.36,1.26,1.28,34453
26-Feb-13,1.29,1.32,1.25,1.29,40050
25-Feb-13,1.33,1.37,1.29,1.30,15810
22-Feb-13,1.34,1.37,1.32,1.35,24715
21-Feb-13,1.35,1.38,1.31,1.35,38600
20-Feb-13,1.39,1.40,1.33,1.37,14373
19-Feb-13,1.38,1.38,1.37,1.37,1900
15-Feb-13,1.32,1.37,1.28,1.35,19249
14-Feb-13,1.44,1.44,1.35,1.35,10200
13-Feb-13,1.41,1.48,1.38,1.40,9180
12-Feb-13,1.47,1.49,1.45,1.47,7500
11-Feb-13,1.45,1.50,1.40,1.44,17576
8-Feb-13,1.45,1.51,1.45,1.45,2871
7-Feb-13,1.45,1.48,1.40,1.44,7192
6-Feb-13,1.45,1.50,1.40,1.49,13432
5-Feb-13,1.47,1.48,1.45,1.48,6340
4-Feb-13,1.54,1.55,1.48,1.48,9650
1-Feb-13,1.50,1.55,1.45,1.54,15644
31-Jan-13,1.46,1.53,1.46,1.52,5900
30-Jan-13,1.47,1.55,1.46,1.50,16345
29-Jan-13,1.48,1.53,1.41,1.49,38500
28-Jan-13,1.39,1.48,1.35,1.48,17716
25-Jan-13,1.40,1.40,1.36,1.36,3929
24-Jan-13,1.51,1.51,1.37,1.44,27865
23-Jan-13,1.52,1.54,1.52,1.53,350
22-Jan-13,1.60,1.60,1.47,1.53,7481
18-Jan-13,1.59,1.60,1.53,1.57,10340
17-Jan-13,1.48,1.56,1.48,1.56,22274
16-Jan-13,1.54,1.58,1.48,1.56,13556
15-Jan-13,1.57,1.57,1.48,1.54,13236
14-Jan-13,1.57,1.60,1.55,1.60,8535
11-Jan-13,1.58,1.58,1.52,1.54,4907
10-Jan-13,1.50,1.58,1.50,1.53,1830
9-Jan-13,1.55,1.57,1.45,1.53,11270
8-Jan-13,1.42,1.55,1.42,1.54,19147
7-Jan-13,1.45,1.52,1.37,1.45,20227
4-Jan-13,1.47,1.47,1.36,1.46,6840
3-Jan-13,1.49,1.50,1.45,1.45,15949
2-Jan-13,1.40,1.49,1.40,1.46,24575
31-Dec-12,1.29,1.35,1.27,1.34,32068
28-Dec-12,1.30,1.39,1.29,1.29,17146
27-Dec-12,1.44,1.44,1.29,1.29,38966
26-Dec-12,1.47,1.50,1.35,1.42,29915
24-Dec-12,1.31,1.42,1.28,1.42,24617
21-Dec-12,1.30,1.40,1.25,1.38,51259
20-Dec-12,1.34,1.34,1.28,1.31,9880
19-Dec-12,1.21,1.35,1.21,1.30,18574
18-Dec-12,1.15,1.25,1.14,1.20,21040
17-Dec-12,1.12,1.16,1.10,1.15,47437
14-Dec-12,1.20,1.20,1.12,1.16,24548
13-Dec-12,1.28,1.28,1.12,1.22,85862
12-Dec-12,1.30,1.39,1.22,1.22,37073
11-Dec-12,1.30,1.41,1.26,1.28,37796
10-Dec-12,1.27,1.40,1.27,1.39,1570
7-Dec-12,1.35,1.50,1.25,1.40,21547
6-Dec-12,1.25,1.52,1.22,1.35,43201
5-Dec-12,1.38,1.39,1.21,1.30,61654
4-Dec-12,1.34,1.41,1.34,1.39,760
3-Dec-12,1.41,1.41,1.33,1.33,42145
30-Nov-12,1.47,1.49,1.32,1.40,70317
29-Nov-12,1.55,1.64,1.45,1.50,55547
28-Nov-12,1.38,1.56,1.38,1.45,26687
27-Nov-12,1.48,1.70,1.30,1.38,22144
26-Nov-12,1.50,1.61,1.41,1.47,9423
23-Nov-12,1.41,1.77,1.41,1.50,13572
21-Nov-12,1.36,1.75,1.36,1.49,39845
20-Nov-12,1.38,1.39,1.28,1.38,6992
19-Nov-12,1.41,1.41,1.29,1.38,161659
16-Nov-12,1.84,1.86,1.41,1.41,13813
15-Nov-12,1.75,1.89,1.65,1.88,7900
14-Nov-12,1.89,1.90,1.75,1.85,2450
13-Nov-12,1.75,1.93,1.75,1.89,1021
12-Nov-12,1.80,1.82,1.75,1.76,3157
9-Nov-12,1.89,1.92,1.89,1.92,1700
8-Nov-12,1.93,1.96,1.80,1.91,2873
7-Nov-12,1.99,2.00,1.80,1.97,8760
6-Nov-12,2.01,2.10,1.50,2.00,184098
5-Nov-12,2.52,2.70,2.30,2.30,13897
2-Nov-12,2.50,2.71,2.50,2.50,7800
1-Nov-12,2.44,2.61,2.35,2.50,10387
31-Oct-12,2.31,2.40,2.31,2.40,12963
26-Oct-12,2.26,2.38,2.15,2.28,9737
25-Oct-12,2.47,2.47,2.16,2.31,14371
24-Oct-12,2.48,2.49,2.48,2.48,5980
23-Oct-12,2.52,2.52,2.42,2.42,10853
22-Oct-12,2.52,2.54,2.52,2.54,3233
19-Oct-12,2.57,2.59,2.53,2.53,2298
18-Oct-12,2.62,2.64,2.53,2.62,8070
17-Oct-12,2.54,2.85,2.53,2.55,12320
16-Oct-12,2.55,2.57,2.52,2.52,1866
15-Oct-12,2.50,2.59,2.50,2.59,5200
12-Oct-12,2.62,2.62,2.42,2.50,5205
11-Oct-12,2.47,2.65,2.47,2.62,21378
10-Oct-12,2.74,2.74,2.26,2.51,18029
9-Oct-12,2.75,2.75,2.64,2.70,1966
8-Oct-12,2.93,2.95,2.56,2.80,6997
5-Oct-12,3.18,3.18,2.78,3.00,8650
4-Oct-12,-,-,-,3.22,0
3-Oct-12,3.38,3.60,3.10,3.22,8019
2-Oct-12,3.33,3.33,3.20,3.20,5400
1-Oct-12,3.20,3.34,3.20,3.34,1200
28-Sep-12,3.43,3.43,3.20,3.31,8669
27-Sep-12,3.30,3.30,3.26,3.30,3364
26-Sep-12,3.28,3.28,3.28,3.28,533
25-Sep-12,3.40,3.40,3.28,3.28,1200
24-Sep-12,3.32,3.32,3.29,3.29,1100
21-Sep-12,3.58,3.58,3.28,3.34,6224
20-Sep-12,3.43,3.50,3.39,3.40,2878
19-Sep-12,3.65,3.76,3.40,3.56,7682
18-Sep-12,3.63,3.90,3.50,3.75,12158
17-Sep-12,3.65,3.65,3.51,3.65,4100
14-Sep-12,3.60,3.65,3.52,3.65,2200
13-Sep-12,3.64,3.64,3.51,3.60,800
12-Sep-12,3.65,3.65,3.65,3.65,420
11-Sep-12,3.56,3.73,3.50,3.73,3600
10-Sep-12,3.53,3.61,3.53,3.61,5000
7-Sep-12,3.55,3.55,3.50,3.55,5450
6-Sep-12,3.40,3.60,3.40,3.55,11841
