Date,Open,High,Low,Close,Volume
31-Dec-13,33.18,33.18,32.90,33.00,2753
30-Dec-13,32.95,33.07,32.90,32.90,2893
27-Dec-13,32.52,32.76,32.52,32.76,893
26-Dec-13,32.29,32.38,32.29,32.38,785
24-Dec-13,32.05,32.43,32.05,32.12,1358
23-Dec-13,32.02,32.16,32.00,32.05,1640
20-Dec-13,31.72,31.72,31.00,31.00,1286
19-Dec-13,31.50,31.50,31.50,31.50,751
18-Dec-13,31.36,31.71,31.36,31.65,3047
17-Dec-13,31.29,31.29,31.04,31.14,2226
16-Dec-13,31.53,31.75,31.41,31.41,3494
13-Dec-13,31.53,31.53,31.21,31.31,2147
12-Dec-13,31.69,32.31,31.46,31.58,7287
11-Dec-13,32.84,32.95,32.50,32.56,3636
10-Dec-13,32.81,33.02,32.81,32.97,7468
9-Dec-13,32.84,32.89,32.69,32.78,1430
6-Dec-13,32.86,32.86,32.86,32.86,406
5-Dec-13,33.18,33.18,32.56,32.65,11573
4-Dec-13,33.07,33.23,32.94,33.20,32959
3-Dec-13,32.89,33.14,32.89,33.09,2164
2-Dec-13,33.63,33.63,33.31,33.34,2100
29-Nov-13,33.75,34.00,33.75,33.91,7850
27-Nov-13,33.42,33.42,33.35,33.38,2351
26-Nov-13,33.44,33.60,33.39,33.60,9125
25-Nov-13,33.18,33.41,33.18,33.25,8295
22-Nov-13,32.87,32.87,32.66,32.73,4249
21-Nov-13,32.69,32.69,32.34,32.46,5350
20-Nov-13,33.16,33.25,32.75,32.75,4812
19-Nov-13,32.80,32.91,32.80,32.89,3128
18-Nov-13,33.00,33.65,32.92,32.92,29214
15-Nov-13,32.59,32.81,32.54,32.81,3743
14-Nov-13,32.28,32.49,32.28,32.48,18036
13-Nov-13,32.19,32.60,32.19,32.56,2544
12-Nov-13,32.94,33.09,32.81,33.00,4600
11-Nov-13,32.41,32.47,32.31,32.40,2978
8-Nov-13,31.97,32.09,31.71,32.09,3519
7-Nov-13,32.61,32.64,32.22,32.24,7052
6-Nov-13,32.92,32.96,32.79,32.96,2807
5-Nov-13,33.06,33.12,33.00,33.12,7988
4-Nov-13,33.43,33.43,33.32,33.32,2672
1-Nov-13,33.90,34.09,33.82,34.02,21240
31-Oct-13,32.99,33.05,32.78,33.02,4985
30-Oct-13,33.91,34.17,33.75,33.75,4835
29-Oct-13,34.47,34.52,34.11,34.11,2961
28-Oct-13,34.07,34.27,34.03,34.06,6757
25-Oct-13,34.73,34.73,34.35,34.41,42837
24-Oct-13,34.68,34.76,34.59,34.71,6725
23-Oct-13,34.88,34.93,34.88,34.93,940
22-Oct-13,35.12,35.30,35.07,35.13,4294
21-Oct-13,34.63,35.04,34.63,34.88,4133
18-Oct-13,34.31,34.49,34.31,34.36,9239
17-Oct-13,34.04,34.18,33.99,34.15,5877
16-Oct-13,34.02,34.09,33.94,33.94,10861
15-Oct-13,34.32,34.36,34.09,34.09,4209
14-Oct-13,34.43,34.43,34.36,34.41,587
11-Oct-13,34.41,34.53,34.40,34.53,2000
10-Oct-13,34.45,34.54,34.30,34.54,2371
9-Oct-13,33.94,34.00,33.71,33.91,6865
8-Oct-13,34.69,34.69,34.27,34.27,3075
7-Oct-13,34.74,34.77,34.57,34.60,2954
4-Oct-13,35.31,35.40,35.18,35.32,2824
3-Oct-13,35.19,35.19,35.02,35.02,1082
2-Oct-13,35.29,35.31,35.06,35.16,2100
1-Oct-13,35.10,35.35,34.88,35.32,13384
30-Sep-13,34.47,34.74,34.45,34.70,9418
27-Sep-13,34.47,34.67,34.40,34.61,2700
26-Sep-13,34.14,34.35,34.11,34.20,8983
25-Sep-13,34.03,34.27,34.03,34.16,22700
24-Sep-13,34.08,34.20,33.39,33.42,16650
23-Sep-13,33.84,33.86,33.68,33.78,11956
20-Sep-13,33.86,33.92,33.80,33.86,2800
19-Sep-13,33.99,34.03,33.81,33.92,8367
18-Sep-13,33.49,34.18,33.35,34.17,10194
17-Sep-13,33.47,33.60,33.41,33.60,2082
16-Sep-13,33.81,33.81,33.55,33.55,2400
13-Sep-13,33.59,33.59,33.44,33.55,4192
12-Sep-13,33.08,33.41,33.03,33.23,9713
11-Sep-13,32.39,32.42,32.28,32.35,1681
10-Sep-13,32.25,32.39,32.24,32.24,10764
9-Sep-13,31.91,32.27,31.89,32.27,1125
6-Sep-13,31.87,31.98,31.83,31.98,3229
5-Sep-13,31.45,31.54,31.43,31.43,300
4-Sep-13,30.63,31.25,30.63,31.13,6113
3-Sep-13,31.14,31.22,31.00,31.22,15193
30-Aug-13,31.33,31.33,31.07,31.27,1495
29-Aug-13,31.42,31.52,31.24,31.37,10740
28-Aug-13,31.34,31.64,31.33,31.58,1850
27-Aug-13,31.88,32.00,31.87,31.89,1835
26-Aug-13,32.90,32.90,32.55,32.56,2928
23-Aug-13,33.00,33.05,32.81,33.01,3700
22-Aug-13,32.65,33.09,32.65,32.84,4961
21-Aug-13,32.71,32.71,32.26,32.31,12329
20-Aug-13,32.73,32.98,32.64,32.80,4039
19-Aug-13,33.06,33.06,32.82,32.91,4004
16-Aug-13,33.04,33.20,33.01,33.03,5379
15-Aug-13,32.68,33.01,32.58,32.89,12389
14-Aug-13,33.37,33.67,33.36,33.39,7365
13-Aug-13,32.92,33.04,32.83,33.02,21801
12-Aug-13,32.30,32.30,32.03,32.20,3129
9-Aug-13,31.93,32.13,31.44,31.96,3300
8-Aug-13,31.66,31.70,31.54,31.54,2450
7-Aug-13,31.35,31.53,31.30,31.51,3800
6-Aug-13,31.58,31.68,31.41,31.46,6809
5-Aug-13,31.51,31.64,31.51,31.55,6000
