Date,Open,High,Low,Close,Volume
31-Dec-13,1.05,1.05,1.01,1.01,333757
30-Dec-13,1.05,1.06,1.01,1.05,333775
27-Dec-13,0.99,1.09,0.99,1.06,803176
26-Dec-13,0.99,1.00,0.98,0.99,236923
24-Dec-13,0.98,1.00,0.98,1.00,72353
23-Dec-13,1.00,1.00,0.98,0.98,141283
20-Dec-13,1.02,1.02,0.98,0.99,168311
19-Dec-13,0.97,1.00,0.97,1.00,146710
18-Dec-13,0.96,1.00,0.96,0.97,209885
17-Dec-13,1.00,1.02,0.96,0.97,319554
16-Dec-13,1.02,1.04,0.99,0.99,295043
13-Dec-13,1.06,1.06,0.96,1.01,544248
12-Dec-13,1.14,1.43,1.05,1.09,2918522
11-Dec-13,1.02,1.05,0.92,0.96,323109
10-Dec-13,1.03,1.09,1.01,1.02,195329
9-Dec-13,1.05,1.10,1.01,1.05,296829
6-Dec-13,1.14,1.20,1.00,1.01,567557
5-Dec-13,1.06,1.12,1.03,1.03,229034
4-Dec-13,1.20,1.24,1.06,1.09,403598
3-Dec-13,1.10,1.30,1.04,1.18,1094937
2-Dec-13,1.05,1.10,1.00,1.04,33558
29-Nov-13,1.04,1.05,1.00,1.02,48057
27-Nov-13,1.03,1.05,1.01,1.02,32870
26-Nov-13,1.12,1.12,1.05,1.05,66810
25-Nov-13,1.15,1.15,1.08,1.08,94307
22-Nov-13,1.09,1.09,1.02,1.03,132832
21-Nov-13,1.12,1.12,1.06,1.07,46955
20-Nov-13,1.12,1.12,1.08,1.08,66166
19-Nov-13,1.12,1.13,1.08,1.08,59200
18-Nov-13,1.15,1.15,1.10,1.13,40346
15-Nov-13,1.11,1.14,1.10,1.10,80222
14-Nov-13,1.12,1.17,1.10,1.13,61648
13-Nov-13,1.11,1.16,1.07,1.16,63883
12-Nov-13,1.14,1.17,1.06,1.09,82595
11-Nov-13,1.17,1.21,1.06,1.19,85990
8-Nov-13,1.17,1.17,1.09,1.16,105144
7-Nov-13,1.21,1.21,1.07,1.07,177154
6-Nov-13,1.22,1.22,1.18,1.20,33333
5-Nov-13,1.20,1.21,1.18,1.18,20912
4-Nov-13,1.22,1.22,1.18,1.22,73118
1-Nov-13,1.18,1.22,1.18,1.18,99269
31-Oct-13,1.25,1.25,1.18,1.21,70762
30-Oct-13,1.25,1.25,1.19,1.22,97082
29-Oct-13,1.25,1.25,1.20,1.24,60489
28-Oct-13,1.24,1.27,1.21,1.23,153594
25-Oct-13,1.26,1.27,1.24,1.25,58151
24-Oct-13,1.29,1.33,1.27,1.28,49991
23-Oct-13,1.26,1.39,1.26,1.31,46344
22-Oct-13,1.32,1.32,1.27,1.27,99652
21-Oct-13,1.34,1.39,1.30,1.31,52517
18-Oct-13,1.36,1.38,1.31,1.36,58597
17-Oct-13,1.39,1.39,1.28,1.34,115142
16-Oct-13,1.29,1.36,1.26,1.36,48022
15-Oct-13,1.36,1.37,1.31,1.34,117215
14-Oct-13,1.37,1.40,1.34,1.37,72990
11-Oct-13,1.43,1.43,1.35,1.37,24908
10-Oct-13,1.41,1.42,1.36,1.41,60933
9-Oct-13,1.36,1.43,1.30,1.39,201803
8-Oct-13,1.31,1.32,1.29,1.30,102972
7-Oct-13,1.37,1.38,1.30,1.35,164945
4-Oct-13,1.34,1.36,1.32,1.35,43740
3-Oct-13,1.36,1.36,1.30,1.35,112867
2-Oct-13,1.39,1.42,1.35,1.38,37765
1-Oct-13,1.36,1.45,1.35,1.41,38216
30-Sep-13,1.44,1.44,1.32,1.39,46236
27-Sep-13,1.38,1.44,1.35,1.42,95785
26-Sep-13,1.29,1.39,1.29,1.34,97885
25-Sep-13,1.35,1.37,1.23,1.30,119035
24-Sep-13,1.45,1.45,1.27,1.35,233821
23-Sep-13,1.55,1.60,1.27,1.43,200327
20-Sep-13,1.65,1.65,1.60,1.60,32823
19-Sep-13,1.55,1.65,1.55,1.63,25672
18-Sep-13,1.61,1.65,1.55,1.55,25555
17-Sep-13,1.67,1.68,1.55,1.64,38696
16-Sep-13,1.69,1.69,1.67,1.68,30068
13-Sep-13,1.70,1.70,1.68,1.70,19095
12-Sep-13,1.68,1.70,1.68,1.70,4575
11-Sep-13,1.70,1.70,1.68,1.70,54562
10-Sep-13,1.76,1.78,1.67,1.70,21887
9-Sep-13,1.74,1.80,1.67,1.79,22866
6-Sep-13,1.75,1.80,1.68,1.74,4304
5-Sep-13,1.80,1.83,1.65,1.77,22479
4-Sep-13,1.75,1.84,1.73,1.84,11066
3-Sep-13,1.74,1.75,1.44,1.74,83672
30-Aug-13,1.78,1.88,1.73,1.74,61425
29-Aug-13,1.79,1.85,1.79,1.80,45185
28-Aug-13,1.85,1.85,1.76,1.77,11402
27-Aug-13,1.95,1.95,1.85,1.85,11947
26-Aug-13,1.91,1.99,1.86,1.86,52480
23-Aug-13,1.95,1.99,1.76,1.86,48554
22-Aug-13,1.86,1.94,1.80,1.91,17434
