Date,Open,High,Low,Close,Volume
31-Dec-13,53.70,53.90,52.91,53.20,19698
30-Dec-13,52.60,54.20,51.00,53.80,27256
27-Dec-13,53.80,53.80,52.60,52.80,22111
26-Dec-13,53.90,54.40,53.25,53.40,18954
24-Dec-13,53.20,54.30,52.70,53.70,16755
23-Dec-13,52.60,54.20,52.30,53.00,29701
20-Dec-13,51.80,53.10,50.50,52.50,71644
19-Dec-13,50.80,52.20,50.40,51.50,15771
18-Dec-13,52.50,52.50,50.90,51.20,27202
17-Dec-13,52.10,52.40,49.90,52.30,32153
16-Dec-13,50.20,52.20,49.95,52.00,29938
13-Dec-13,50.40,52.00,50.10,50.10,15467
12-Dec-13,51.30,52.40,50.10,50.20,26716
11-Dec-13,51.80,52.50,50.90,51.30,29699
10-Dec-13,51.20,52.40,51.20,51.40,28951
9-Dec-13,53.40,53.80,50.80,51.50,40416
6-Dec-13,53.90,54.60,52.90,53.10,29513
5-Dec-13,54.20,55.10,52.90,53.60,17563
4-Dec-13,57.60,57.70,54.10,54.40,29684
3-Dec-13,56.50,57.80,56.50,57.60,22603
2-Dec-13,58.50,58.90,55.85,56.40,25183
29-Nov-13,59.20,59.40,58.40,58.90,12138
27-Nov-13,59.10,59.20,58.40,58.80,16072
26-Nov-13,57.30,59.00,57.30,59.00,24223
25-Nov-13,57.50,58.70,57.05,57.20,16372
22-Nov-13,56.80,57.90,56.40,57.40,17190
21-Nov-13,56.60,58.15,56.35,57.40,25098
20-Nov-13,55.80,59.40,55.70,56.40,39909
19-Nov-13,55.70,56.30,55.20,55.70,19678
18-Nov-13,56.50,56.70,55.00,55.40,23080
15-Nov-13,56.30,56.65,55.00,56.10,32588
14-Nov-13,56.00,57.00,54.95,56.50,31543
13-Nov-13,57.40,58.10,55.70,55.70,29165
12-Nov-13,59.90,59.90,57.50,57.50,38245
11-Nov-13,57.50,61.60,57.20,60.10,57720
8-Nov-13,51.50,58.80,47.20,57.60,187781
7-Nov-13,51.30,52.10,50.40,50.90,100692
6-Nov-13,55.60,55.60,50.10,51.40,95710
5-Nov-13,56.00,57.10,55.50,55.50,31780
4-Nov-13,56.10,56.50,55.10,56.20,49578
1-Nov-13,56.50,57.40,55.10,56.50,85372
31-Oct-13,60.10,60.75,59.30,60.45,23584
30-Oct-13,60.70,60.90,59.90,60.30,34531
29-Oct-13,60.40,60.70,59.40,60.60,47733
28-Oct-13,59.60,61.40,59.60,60.40,33732
25-Oct-13,59.10,59.70,58.40,59.70,24602
24-Oct-13,56.80,59.05,56.80,58.90,31493
23-Oct-13,58.10,58.10,55.70,56.50,55592
22-Oct-13,57.80,59.60,57.80,58.80,25336
21-Oct-13,57.80,58.00,56.60,57.40,19558
18-Oct-13,57.50,58.00,56.50,57.70,25390
17-Oct-13,57.80,58.05,56.50,57.00,39652
16-Oct-13,58.80,59.20,58.00,58.10,26121
15-Oct-13,59.00,59.20,58.00,58.60,20689
14-Oct-13,58.20,59.20,58.20,58.80,14860
11-Oct-13,58.30,59.00,57.50,58.60,16188
10-Oct-13,59.40,59.80,58.20,58.70,15671
9-Oct-13,58.50,59.20,57.60,58.90,19132
8-Oct-13,59.60,59.60,58.20,58.30,22341
7-Oct-13,60.50,60.50,59.10,59.80,28097
4-Oct-13,61.10,62.05,60.90,61.00,15756
3-Oct-13,60.60,61.30,59.65,61.20,16732
2-Oct-13,61.10,62.10,60.00,61.20,39559
1-Oct-13,60.70,61.90,60.10,61.60,27018
30-Sep-13,59.50,61.00,59.50,60.90,29866
