Date,Open,High,Low,Close,Volume
31-Dec-13,28.74,28.75,28.44,28.73,520930
30-Dec-13,28.68,28.80,28.44,28.74,428269
27-Dec-13,28.89,29.02,28.65,28.79,365410
26-Dec-13,28.88,29.04,28.75,28.77,338643
24-Dec-13,29.25,29.26,28.78,28.79,207144
23-Dec-13,28.32,29.18,28.14,29.17,705617
20-Dec-13,28.03,28.28,28.03,28.21,1234055
19-Dec-13,28.00,28.32,27.95,27.99,469820
18-Dec-13,28.06,28.30,27.68,28.09,654518
17-Dec-13,28.07,28.34,27.73,28.06,460014
16-Dec-13,27.19,28.14,27.08,28.00,660634
13-Dec-13,27.18,27.70,26.93,27.09,1142263
12-Dec-13,27.96,28.00,27.39,27.39,1073459
11-Dec-13,28.83,28.92,27.94,28.00,1063665
10-Dec-13,28.71,29.29,28.63,28.83,889703
9-Dec-13,28.61,29.34,28.55,28.87,1098277
6-Dec-13,28.28,28.73,28.26,28.47,558919
5-Dec-13,28.10,28.46,28.00,28.05,815950
4-Dec-13,27.36,28.33,27.30,28.03,1071098
3-Dec-13,27.67,27.86,27.00,27.30,645705
2-Dec-13,28.56,28.64,27.77,27.83,706709
29-Nov-13,28.43,29.05,28.25,28.58,534167
27-Nov-13,28.16,28.63,28.14,28.24,508964
26-Nov-13,28.08,28.12,27.75,28.11,402888
25-Nov-13,28.00,28.29,27.94,27.99,570978
22-Nov-13,28.00,28.01,27.74,27.91,486451
21-Nov-13,27.70,28.16,27.67,27.92,620734
20-Nov-13,27.87,28.20,27.53,27.64,670632
19-Nov-13,28.14,28.35,27.77,27.82,727192
18-Nov-13,28.51,28.68,28.07,28.14,661267
15-Nov-13,27.53,28.56,27.53,28.42,1725304
14-Nov-13,27.18,27.45,26.94,27.35,1023474
13-Nov-13,27.30,27.31,26.95,27.20,886911
12-Nov-13,27.59,27.66,27.14,27.36,785153
11-Nov-13,27.65,27.89,27.42,27.67,633190
8-Nov-13,27.06,27.95,27.05,27.78,1528316
7-Nov-13,26.92,27.18,26.90,27.08,1759110
6-Nov-13,26.45,26.95,26.43,26.87,1127605
5-Nov-13,26.31,26.46,26.19,26.42,1003922
4-Nov-13,26.19,26.40,25.90,26.35,748088
1-Nov-13,25.27,26.17,25.15,26.16,1436611
31-Oct-13,25.15,25.30,24.95,25.26,790292
30-Oct-13,25.70,25.78,25.16,25.18,1030724
29-Oct-13,26.05,26.05,25.53,25.65,541760
28-Oct-13,25.42,26.00,25.27,25.98,868238
25-Oct-13,25.50,25.74,25.36,25.56,803712
24-Oct-13,26.21,26.24,25.52,25.58,1564362
23-Oct-13,26.78,26.94,26.02,26.04,2224465
22-Oct-13,26.19,26.45,25.97,26.29,1854206
21-Oct-13,25.36,26.32,25.29,26.18,1625853
18-Oct-13,25.59,25.59,25.06,25.27,1214489
17-Oct-13,25.18,25.46,24.92,25.41,945200
16-Oct-13,25.04,25.36,24.91,25.33,821227
15-Oct-13,25.12,25.44,24.90,24.90,1187374
14-Oct-13,24.56,25.33,24.50,25.12,1240701
11-Oct-13,24.17,24.93,24.03,24.88,1279130
10-Oct-13,24.29,24.71,23.99,24.27,2564244
9-Oct-13,24.74,24.96,23.97,24.07,2399161
8-Oct-13,25.20,25.34,24.68,24.76,1361145
7-Oct-13,25.72,25.85,25.22,25.24,1270770
4-Oct-13,25.83,26.18,25.75,26.13,920230
3-Oct-13,26.13,26.27,25.63,25.73,2047634
2-Oct-13,26.40,26.45,26.04,26.28,745575
1-Oct-13,26.25,26.57,25.96,26.48,1246294
30-Sep-13,26.10,26.56,26.01,26.25,1419665
27-Sep-13,26.49,26.80,26.40,26.43,857940
26-Sep-13,26.94,27.04,26.39,26.69,925542
25-Sep-13,26.58,27.22,26.45,26.84,1655233
24-Sep-13,26.55,26.92,26.42,26.68,1617082
23-Sep-13,26.58,26.85,25.80,26.54,2238335
20-Sep-13,27.02,27.34,26.40,26.60,3851594
19-Sep-13,28.25,28.42,26.78,27.04,4014663
18-Sep-13,29.42,29.62,29.07,29.09,1441650
17-Sep-13,29.15,29.58,29.11,29.45,663679
16-Sep-13,29.90,29.90,29.20,29.20,875096
13-Sep-13,29.25,29.61,29.13,29.48,1499951
12-Sep-13,31.02,31.10,29.21,29.44,3350753
11-Sep-13,30.89,31.38,30.89,31.05,1582966
10-Sep-13,31.02,31.28,30.88,31.07,1358998
9-Sep-13,30.76,30.91,30.48,30.86,938681
6-Sep-13,31.30,31.50,30.06,30.76,1958299
5-Sep-13,30.80,31.36,30.73,31.01,804932
4-Sep-13,30.91,30.99,30.65,30.72,875633
3-Sep-13,31.26,32.01,30.83,30.98,446832
30-Aug-13,31.43,31.43,30.80,31.06,310956
29-Aug-13,30.99,31.77,30.87,31.42,367718
28-Aug-13,31.31,31.56,31.04,31.13,418212
27-Aug-13,32.58,32.59,31.20,31.31,1439203
26-Aug-13,33.31,33.31,32.73,32.89,653460
23-Aug-13,34.19,34.19,33.21,33.35,569051
22-Aug-13,33.79,34.28,33.70,34.06,323947
21-Aug-13,34.20,34.27,33.57,33.70,685203
20-Aug-13,33.39,34.34,33.26,34.20,828737
19-Aug-13,33.55,33.60,33.32,33.43,478541
16-Aug-13,33.40,33.76,33.40,33.54,358932
15-Aug-13,33.39,33.90,33.29,33.44,653738
14-Aug-13,33.53,33.60,33.39,33.54,308646
13-Aug-13,33.54,33.58,33.36,33.46,609974
12-Aug-13,33.39,33.61,33.32,33.51,343292
9-Aug-13,33.40,33.59,33.34,33.41,439933
8-Aug-13,33.41,33.64,33.16,33.40,356392
7-Aug-13,33.15,33.32,32.99,33.24,457809
6-Aug-13,33.44,33.44,33.09,33.20,425352
5-Aug-13,33.39,33.57,33.18,33.50,334936
2-Aug-13,33.22,33.31,32.78,33.31,375944
1-Aug-13,33.11,33.56,33.11,33.20,547265
31-Jul-13,32.61,33.48,32.58,32.90,704963
30-Jul-13,32.66,32.95,32.50,32.56,366900
29-Jul-13,32.75,32.93,32.35,32.62,479618
26-Jul-13,32.80,33.09,32.65,32.88,486589
25-Jul-13,33.24,33.68,32.82,32.96,594964
24-Jul-13,33.56,33.62,33.22,33.29,544091
23-Jul-13,33.26,33.57,33.01,33.34,718693
22-Jul-13,32.76,33.58,32.76,33.29,674766
19-Jul-13,32.83,33.19,32.37,33.01,1290117
18-Jul-13,32.25,34.10,32.25,33.24,1158415
17-Jul-13,32.09,32.49,31.79,32.06,718981
16-Jul-13,32.26,32.34,31.34,32.05,581112
15-Jul-13,32.06,32.44,31.95,32.19,413568
12-Jul-13,31.69,32.16,31.51,32.02,803758
11-Jul-13,32.55,32.60,31.61,31.72,573800
10-Jul-13,32.67,32.92,32.10,32.28,782419
9-Jul-13,32.37,32.65,31.77,32.63,747886
8-Jul-13,32.00,32.44,31.90,32.26,1060700
5-Jul-13,31.24,31.80,30.90,31.80,842805
3-Jul-13,30.44,31.20,30.44,31.00,449517
2-Jul-13,30.74,31.34,30.66,31.02,843577
1-Jul-13,30.45,31.50,30.37,30.98,497470
28-Jun-13,30.18,30.58,29.83,30.37,978784
27-Jun-13,29.74,30.38,29.53,30.29,484834
26-Jun-13,29.70,30.11,29.60,29.64,873962
25-Jun-13,29.30,29.72,29.06,29.56,790808
24-Jun-13,28.78,29.11,28.49,28.97,705138
21-Jun-13,28.97,29.19,28.72,29.06,1230003
20-Jun-13,28.77,28.94,28.40,28.75,760528
19-Jun-13,28.62,29.25,28.40,28.81,516037
18-Jun-13,28.82,29.04,28.52,28.69,499075
17-Jun-13,28.89,29.12,28.47,28.80,514483
14-Jun-13,29.10,29.20,28.50,28.75,314261
13-Jun-13,28.46,29.17,28.34,29.12,376553
12-Jun-13,28.90,29.00,28.35,28.53,485286
11-Jun-13,29.20,29.32,28.64,28.68,486781
10-Jun-13,29.19,29.50,28.96,29.40,460655
7-Jun-13,29.10,29.39,28.76,29.05,370871
6-Jun-13,28.76,28.92,28.25,28.91,612474
5-Jun-13,29.09,29.09,28.44,28.71,764972
4-Jun-13,29.44,29.79,28.94,29.10,375110
3-Jun-13,29.91,30.15,28.82,29.53,742864
31-May-13,30.19,30.60,29.77,30.00,558380
30-May-13,29.50,30.33,29.44,30.31,440781
29-May-13,29.54,29.78,29.30,29.30,340441
28-May-13,29.50,30.06,29.47,29.76,458651
24-May-13,29.27,29.49,29.04,29.17,453746
23-May-13,29.41,29.67,28.80,29.36,1115414
22-May-13,30.78,30.92,29.53,29.67,1054970
21-May-13,30.51,30.66,30.31,30.59,580869
20-May-13,30.60,30.64,30.26,30.56,421408
17-May-13,30.48,31.00,30.35,30.60,530054
16-May-13,30.21,30.76,30.21,30.33,580323
15-May-13,30.30,30.42,29.94,30.09,698293
14-May-13,29.50,30.50,29.45,30.44,830817
13-May-13,29.67,29.73,29.32,29.44,503684
10-May-13,29.28,29.70,28.97,29.64,586446
9-May-13,29.54,29.59,29.13,29.25,599210
8-May-13,29.45,29.51,29.15,29.46,504727
7-May-13,29.22,29.57,29.07,29.48,623071
6-May-13,28.72,29.21,28.51,29.21,838336
3-May-13,28.88,29.31,28.64,28.74,525139
2-May-13,27.93,28.78,27.89,28.75,800792
1-May-13,28.49,28.53,27.87,27.94,555450
30-Apr-13,28.31,28.56,28.22,28.49,442743
29-Apr-13,28.73,29.01,28.41,28.56,529229
26-Apr-13,29.04,29.17,28.57,28.69,684832
25-Apr-13,28.95,29.62,28.92,29.08,1548920
24-Apr-13,28.18,28.90,28.02,28.90,944271
23-Apr-13,27.56,28.23,27.56,28.18,1000492
22-Apr-13,27.50,27.60,27.05,27.48,1326303
19-Apr-13,26.73,27.53,26.67,27.27,1289085
18-Apr-13,27.05,27.60,26.61,26.88,1554089
17-Apr-13,27.50,27.60,26.95,27.37,1319059
16-Apr-13,27.94,27.98,27.44,27.69,1056541
15-Apr-13,28.66,28.66,27.46,27.53,1401462
12-Apr-13,29.25,29.35,28.38,28.78,980919
11-Apr-13,29.14,29.42,28.81,29.39,943683
10-Apr-13,28.71,29.28,28.71,29.20,1226126
9-Apr-13,28.43,29.01,28.29,28.66,974431
8-Apr-13,28.18,28.55,27.87,28.27,824888
5-Apr-13,27.09,28.33,26.95,28.18,1772399
4-Apr-13,27.15,27.40,26.87,27.36,1322869
3-Apr-13,27.35,27.94,26.60,27.01,1544665
2-Apr-13,27.75,27.99,27.31,27.34,733896
1-Apr-13,27.69,27.96,27.29,27.46,1135193
28-Mar-13,28.04,28.11,27.55,27.60,592114
27-Mar-13,28.24,28.43,27.64,28.00,566697
26-Mar-13,28.53,28.65,28.26,28.45,497519
25-Mar-13,28.81,28.85,28.20,28.46,560551
22-Mar-13,28.95,29.05,28.61,28.68,614136
21-Mar-13,28.75,29.78,28.65,28.85,1176208
20-Mar-13,28.36,28.70,28.14,28.56,807218
19-Mar-13,28.13,28.48,28.08,28.34,793880
18-Mar-13,27.74,28.16,27.61,28.11,736653
15-Mar-13,28.16,28.34,27.88,28.03,1365041
14-Mar-13,27.95,28.15,27.80,28.15,462740
13-Mar-13,27.82,27.96,27.64,27.89,730027
12-Mar-13,27.42,27.97,27.42,27.82,881415
11-Mar-13,27.74,27.99,27.32,27.39,970038
8-Mar-13,28.13,28.37,27.44,27.76,834036
7-Mar-13,27.81,28.16,27.76,27.98,529507
6-Mar-13,27.90,28.02,27.58,27.75,576870
5-Mar-13,27.79,28.00,27.54,27.78,674239
4-Mar-13,27.50,27.74,27.06,27.54,1018382
1-Mar-13,27.66,27.78,26.97,27.54,1234233
28-Feb-13,27.66,28.14,27.53,27.92,636292
27-Feb-13,27.44,27.95,27.37,27.75,524970
26-Feb-13,27.50,27.58,26.80,27.47,1073125
25-Feb-13,28.00,28.12,27.28,27.30,1038837
22-Feb-13,27.49,27.99,27.33,27.86,717638
21-Feb-13,28.44,28.44,27.02,27.29,1434996
20-Feb-13,29.02,29.02,28.16,28.38,861400
19-Feb-13,28.89,29.05,28.85,28.92,480248
15-Feb-13,28.54,28.82,28.40,28.82,626944
14-Feb-13,28.58,28.70,28.22,28.56,990622
13-Feb-13,28.50,28.83,28.50,28.76,743717
12-Feb-13,28.50,28.90,28.44,28.66,779265
11-Feb-13,28.59,28.73,28.12,28.50,993469
8-Feb-13,28.38,28.52,28.10,28.51,827608
7-Feb-13,27.25,28.48,27.25,28.38,2104225
6-Feb-13,26.88,27.14,26.81,27.12,999789
5-Feb-13,26.75,27.24,26.61,26.99,980750
4-Feb-13,26.87,27.21,26.86,27.03,1286266
1-Feb-13,26.99,27.67,26.92,27.20,1260116
31-Jan-13,26.51,26.88,26.33,26.84,1280533
30-Jan-13,26.51,26.61,26.30,26.59,873366
29-Jan-13,26.38,26.67,26.31,26.54,775573
28-Jan-13,26.12,26.90,26.10,26.49,1484155
25-Jan-13,26.06,26.32,25.61,26.18,2231880
24-Jan-13,23.82,26.44,23.66,25.81,3855070
23-Jan-13,22.70,22.73,22.45,22.71,562050
22-Jan-13,22.45,22.76,22.45,22.69,605207
18-Jan-13,22.43,22.57,22.20,22.49,703575
17-Jan-13,22.23,22.38,22.09,22.34,710964
16-Jan-13,22.12,22.20,22.00,22.07,541666
15-Jan-13,22.04,22.15,21.94,22.10,770767
14-Jan-13,21.79,22.01,21.64,21.99,785094
11-Jan-13,21.83,21.83,21.40,21.77,668897
10-Jan-13,21.80,21.96,21.72,21.84,781644
9-Jan-13,21.94,22.04,21.66,21.70,1002777
8-Jan-13,21.90,22.00,21.69,21.90,628696
7-Jan-13,22.05,22.05,21.90,21.99,1071628
4-Jan-13,22.04,22.04,21.85,21.96,1374315
3-Jan-13,22.10,22.25,21.94,21.98,1429115
2-Jan-13,21.24,21.73,21.01,21.73,1299473
31-Dec-12,20.43,20.85,20.39,20.79,499283
28-Dec-12,20.50,20.60,20.35,20.45,304340
27-Dec-12,20.70,20.79,20.31,20.64,795393
26-Dec-12,20.62,20.77,20.52,20.70,276633
24-Dec-12,20.66,20.80,20.50,20.51,275268
21-Dec-12,20.48,20.75,20.40,20.63,1727449
20-Dec-12,20.88,20.91,20.72,20.90,898734
19-Dec-12,20.74,20.89,20.66,20.75,729064
18-Dec-12,20.70,20.85,20.65,20.81,595737
17-Dec-12,20.45,20.74,20.33,20.68,605530
14-Dec-12,20.23,20.35,20.20,20.34,430362
13-Dec-12,20.29,20.40,20.17,20.28,718219
12-Dec-12,20.24,20.41,20.10,20.33,1073405
11-Dec-12,20.14,20.40,20.05,20.20,555566
10-Dec-12,19.88,20.15,19.82,20.09,493479
7-Dec-12,19.80,19.97,19.69,19.86,990273
6-Dec-12,19.68,19.78,19.50,19.73,448672
5-Dec-12,19.71,19.83,19.62,19.80,527480
4-Dec-12,19.79,19.86,19.32,19.59,372652
3-Dec-12,19.84,19.99,19.64,19.78,323807
30-Nov-12,19.80,19.88,19.60,19.77,551077
29-Nov-12,19.59,19.94,19.49,19.81,554463
28-Nov-12,19.08,19.50,18.85,19.44,595660
