Date,Open,High,Low,Close,Volume
31-Dec-13,28.51,28.51,27.89,27.89,13851
30-Dec-13,28.20,28.51,28.14,28.24,27633
27-Dec-13,28.40,28.51,28.17,28.37,34608
26-Dec-13,28.16,28.36,28.01,28.29,16772
24-Dec-13,28.35,28.51,28.29,28.41,9094
23-Dec-13,27.96,28.33,27.95,28.20,28124
20-Dec-13,27.78,28.32,27.65,28.07,82620
19-Dec-13,27.65,27.87,27.54,27.64,28514
18-Dec-13,27.51,27.82,27.42,27.80,26760
17-Dec-13,27.40,27.47,27.37,27.40,19870
16-Dec-13,27.38,27.48,27.26,27.39,61356
13-Dec-13,27.48,27.48,27.25,27.39,31890
12-Dec-13,26.89,27.61,26.89,27.40,29650
11-Dec-13,26.93,26.99,26.76,26.94,31764
10-Dec-13,27.17,27.28,27.08,27.17,25046
9-Dec-13,27.35,27.54,27.07,27.13,22080
6-Dec-13,27.49,27.66,26.55,27.45,27956
5-Dec-13,27.25,27.33,26.73,27.33,13188
4-Dec-13,27.67,27.67,27.03,27.33,20748
3-Dec-13,28.30,28.55,27.78,27.85,11954
2-Dec-13,28.89,29.02,28.30,28.43,24226
29-Nov-13,28.85,29.16,28.83,29.03,9848
27-Nov-13,28.41,29.26,28.16,28.99,26210
26-Nov-13,28.27,28.53,27.37,28.48,37884
25-Nov-13,27.53,28.50,27.53,28.33,8936
22-Nov-13,27.80,28.23,27.69,27.81,16623
21-Nov-13,27.17,27.99,27.17,27.87,23178
20-Nov-13,26.86,27.26,26.81,26.97,12105
19-Nov-13,27.05,27.09,26.55,26.89,36771
18-Nov-13,26.93,27.57,26.68,27.00,39219
15-Nov-13,26.59,26.76,26.44,26.67,39518
14-Nov-13,26.47,26.70,26.37,26.63,28952
13-Nov-13,26.17,26.67,26.11,26.65,34536
12-Nov-13,26.35,26.40,26.23,26.26,10000
11-Nov-13,26.47,26.61,26.07,26.27,32517
8-Nov-13,25.83,26.63,25.83,26.52,49016
7-Nov-13,26.15,26.15,25.62,25.86,28260
6-Nov-13,26.34,26.34,26.11,26.15,11602
5-Nov-13,26.56,26.56,26.07,26.16,44482
4-Nov-13,26.59,26.69,26.39,26.61,15876
1-Nov-13,26.93,28.36,26.17,26.51,48904
31-Oct-13,27.29,27.47,26.90,26.90,50439
30-Oct-13,27.42,27.49,26.97,27.27,23073
29-Oct-13,27.43,27.60,26.37,27.41,31174
28-Oct-13,27.33,27.67,27.11,27.43,43162
25-Oct-13,27.62,27.62,27.24,27.36,23094
24-Oct-13,27.39,27.62,27.23,27.55,15364
23-Oct-13,27.40,27.71,27.28,27.47,44908
22-Oct-13,27.93,27.93,27.14,27.39,42648
21-Oct-13,28.09,28.21,27.63,27.84,27303
18-Oct-13,27.83,28.33,27.67,28.08,60939
17-Oct-13,27.27,27.72,26.94,27.67,15914
16-Oct-13,27.35,27.83,27.30,27.32,18441
15-Oct-13,27.38,27.65,27.13,27.27,17030
14-Oct-13,27.59,27.73,27.48,27.60,24825
11-Oct-13,27.49,27.75,26.87,27.71,33663
10-Oct-13,27.39,27.61,27.07,27.50,40782
9-Oct-13,27.17,27.40,26.82,27.13,54546
8-Oct-13,27.31,27.56,27.13,27.19,18406
7-Oct-13,27.19,27.66,26.89,27.16,17478
4-Oct-13,27.10,27.66,27.07,27.33,39978
3-Oct-13,27.21,27.24,27.00,27.07,20646
2-Oct-13,27.17,27.67,26.85,27.16,24129
1-Oct-13,27.31,27.50,27.07,27.16,32238
30-Sep-13,26.36,27.56,26.36,27.17,39056
27-Sep-13,26.93,27.45,26.60,27.29,38739
26-Sep-13,27.17,27.41,26.91,26.99,28450
25-Sep-13,27.53,27.63,27.01,27.09,20486
24-Sep-13,26.75,27.83,26.67,27.42,27520
23-Sep-13,26.21,26.98,25.97,26.87,41366
20-Sep-13,26.28,26.49,26.02,26.19,43068
19-Sep-13,26.27,26.44,26.07,26.23,39855
18-Sep-13,26.25,26.49,26.15,26.23,20361
17-Sep-13,25.99,26.42,25.87,26.36,23242
16-Sep-13,26.00,26.11,25.73,25.93,28143
13-Sep-13,25.73,25.94,25.39,25.90,25992
12-Sep-13,25.85,25.87,25.56,25.63,17488
11-Sep-13,25.07,25.91,24.93,25.72,39060
10-Sep-13,24.95,25.20,24.87,25.20,43526
9-Sep-13,24.97,25.07,24.71,24.93,39740
6-Sep-13,25.19,25.19,24.73,24.96,29670
5-Sep-13,25.26,25.38,24.71,25.13,42740
4-Sep-13,25.63,25.63,25.12,25.16,20262
3-Sep-13,25.73,25.80,25.23,25.69,21333
30-Aug-13,25.66,25.88,25.21,25.44,32300
29-Aug-13,25.57,25.79,25.33,25.64,15130
28-Aug-13,25.54,26.31,25.49,25.70,19750
27-Aug-13,25.53,26.35,25.33,25.46,40662
26-Aug-13,25.81,26.31,25.45,25.78,49350
23-Aug-13,25.61,26.10,25.61,25.67,27246
22-Aug-13,25.87,25.99,25.27,25.73,10440
21-Aug-13,25.43,25.81,25.23,25.33,27252
20-Aug-13,24.95,25.88,24.67,25.53,34370
19-Aug-13,25.23,25.25,24.67,24.90,40872
16-Aug-13,24.41,25.56,24.41,24.67,15906
15-Aug-13,25.29,25.29,24.37,24.57,10740
14-Aug-13,26.01,26.12,25.37,25.51,58179
13-Aug-13,25.91,26.25,25.82,26.25,15180
12-Aug-13,25.57,26.05,25.54,25.85,33744
9-Aug-13,26.07,26.43,25.80,25.85,45122
8-Aug-13,25.66,26.20,25.66,26.19,45789
7-Aug-13,25.53,25.95,25.49,25.60,39752
6-Aug-13,25.77,25.87,25.33,25.65,47188
5-Aug-13,25.99,26.50,25.58,25.91,95786
2-Aug-13,26.29,26.29,25.59,26.09,17046
1-Aug-13,26.31,26.45,26.13,26.29,9806
31-Jul-13,26.45,26.50,25.91,25.94,35498
30-Jul-13,26.78,26.81,26.09,26.29,7578
29-Jul-13,26.99,27.26,26.62,26.62,9444
26-Jul-13,27.32,27.41,26.54,27.11,54022
25-Jul-13,26.51,27.39,26.47,27.32,74004
24-Jul-13,26.33,26.59,26.11,26.35,54033
23-Jul-13,26.02,26.33,26.00,26.32,15704
22-Jul-13,26.11,26.33,25.85,26.30,21604
19-Jul-13,26.22,26.33,26.18,26.32,26792
18-Jul-13,25.90,26.43,25.59,26.40,23070
17-Jul-13,25.77,26.00,25.25,25.88,26648
16-Jul-13,25.38,25.80,24.90,25.66,57492
15-Jul-13,24.67,25.34,24.64,25.25,32960
12-Jul-13,24.35,24.93,24.31,24.65,68808
11-Jul-13,24.07,24.47,23.87,24.47,26748
10-Jul-13,24.40,24.40,23.70,23.95,35768
9-Jul-13,24.47,24.47,23.93,24.39,28064
8-Jul-13,24.63,24.65,24.18,24.33,30003
5-Jul-13,23.95,24.68,23.19,24.66,12530
3-Jul-13,23.70,23.70,23.50,23.70,11820
2-Jul-13,23.67,23.93,23.55,23.73,51156
1-Jul-13,23.70,24.43,23.61,23.89,38478
28-Jun-13,23.46,23.67,23.24,23.65,80414
27-Jun-13,23.71,23.73,23.36,23.61,15860
26-Jun-13,24.12,24.12,23.35,23.47,12692
25-Jun-13,23.38,24.07,23.15,23.84,37618
24-Jun-13,23.07,23.33,23.00,23.15,18376
21-Jun-13,23.33,23.33,23.06,23.22,63674
20-Jun-13,23.35,23.43,23.13,23.19,28300
19-Jun-13,23.93,23.98,23.49,23.59,23547
18-Jun-13,23.93,23.97,23.42,23.89,55822
17-Jun-13,24.15,24.24,23.71,23.80,21920
14-Jun-13,24.67,24.67,23.81,23.91,27663
13-Jun-13,24.23,24.67,24.23,24.67,50938
12-Jun-13,25.07,25.07,24.35,24.52,28982
11-Jun-13,24.82,25.00,24.69,24.97,32532
10-Jun-13,24.93,25.27,24.87,25.10,15939
7-Jun-13,25.33,25.33,24.69,25.21,44824
6-Jun-13,24.91,25.19,24.31,25.15,31508
5-Jun-13,24.92,25.27,24.81,24.91,32715
4-Jun-13,25.34,25.34,24.86,24.89,17007
3-Jun-13,25.05,25.43,24.83,25.33,73132
31-May-13,25.01,25.16,24.11,25.07,35217
30-May-13,24.79,25.53,24.79,25.15,47337
29-May-13,25.17,25.17,24.87,24.95,19209
28-May-13,25.22,25.64,25.00,25.19,19479
24-May-13,24.19,25.35,24.19,24.85,38524
23-May-13,24.15,24.33,24.15,24.32,12672
22-May-13,24.39,24.62,24.16,24.21,16230
21-May-13,24.37,24.74,24.37,24.40,13498
20-May-13,24.06,24.30,24.06,24.30,11115
17-May-13,24.23,24.30,24.11,24.23,24088
16-May-13,24.20,24.23,24.03,24.14,12678
15-May-13,24.16,24.30,24.03,24.20,22478
14-May-13,24.12,24.30,23.85,24.15,23768
13-May-13,23.63,23.99,23.63,23.87,20322
10-May-13,23.25,23.60,23.25,23.59,13064
9-May-13,23.09,23.33,23.01,23.25,7362
8-May-13,23.23,23.23,22.92,23.02,11928
7-May-13,22.93,23.30,22.93,23.20,11998
6-May-13,22.50,22.93,22.43,22.93,11988
3-May-13,22.32,22.47,22.29,22.42,8601
2-May-13,21.88,22.17,21.88,22.02,6728
1-May-13,22.41,22.41,21.60,21.64,44342
30-Apr-13,21.91,22.35,21.89,22.26,10371
29-Apr-13,21.90,21.97,21.80,21.83,10562
26-Apr-13,21.90,21.95,21.80,21.82,17806
25-Apr-13,21.77,21.90,21.74,21.89,7605
24-Apr-13,21.66,21.73,21.40,21.63,8100
23-Apr-13,21.67,21.73,21.48,21.73,6735
22-Apr-13,21.53,21.65,21.27,21.49,17122
19-Apr-13,21.25,21.43,21.24,21.43,13696
18-Apr-13,21.39,21.49,21.15,21.29,28300
17-Apr-13,21.24,21.88,21.17,21.27,23522
16-Apr-13,21.49,21.98,21.25,21.39,41456
15-Apr-13,21.35,21.43,21.24,21.33,42244
12-Apr-13,21.40,21.49,21.37,21.38,12142
11-Apr-13,21.53,21.64,21.45,21.56,11188
10-Apr-13,21.57,21.80,21.43,21.57,21825
9-Apr-13,21.65,21.65,21.35,21.41,10878
8-Apr-13,21.52,21.58,21.35,21.55,19940
5-Apr-13,21.45,21.62,21.41,21.41,12861
4-Apr-13,21.68,21.69,21.59,21.69,7380
3-Apr-13,21.77,21.87,21.53,21.53,21681
2-Apr-13,21.71,21.99,21.67,21.67,15098
1-Apr-13,22.13,22.44,21.49,21.66,21562
28-Mar-13,22.42,22.42,22.05,22.05,22023
27-Mar-13,22.41,22.59,22.30,22.34,11774
26-Mar-13,22.52,22.59,22.22,22.51,19186
25-Mar-13,22.67,22.67,22.22,22.29,13041
22-Mar-13,22.63,22.63,22.42,22.49,11169
21-Mar-13,23.09,23.09,22.42,22.48,12308
20-Mar-13,22.87,23.21,22.87,23.21,6068
19-Mar-13,22.82,22.93,22.81,22.83,4569
18-Mar-13,22.78,22.78,22.40,22.67,3786
15-Mar-13,22.91,23.05,22.90,23.02,56320
14-Mar-13,23.02,23.02,22.67,22.87,14912
13-Mar-13,22.93,23.06,22.75,22.89,6772
12-Mar-13,23.03,23.05,22.81,22.84,7878
11-Mar-13,23.08,23.29,22.98,23.12,6482
8-Mar-13,23.13,23.19,22.77,23.07,15852
7-Mar-13,22.86,23.00,22.78,22.99,9870
6-Mar-13,22.73,22.93,22.73,22.91,3956
5-Mar-13,22.33,22.95,22.33,22.91,10910
4-Mar-13,22.28,22.33,22.16,22.27,7474
1-Mar-13,22.46,22.65,22.22,22.29,5854
28-Feb-13,22.98,22.98,22.52,22.59,12456
27-Feb-13,22.48,23.11,22.48,22.99,8270
26-Feb-13,22.31,22.58,22.23,22.48,23970
25-Feb-13,22.45,22.53,22.16,22.23,71799
22-Feb-13,22.75,22.77,22.12,22.31,23544
21-Feb-13,22.57,22.77,22.50,22.63,19706
20-Feb-13,23.12,23.29,22.54,22.54,23152
19-Feb-13,23.05,23.24,22.79,23.21,20610
15-Feb-13,22.86,22.91,22.72,22.81,15098
14-Feb-13,22.65,23.02,22.57,22.63,7728
13-Feb-13,22.93,23.06,22.61,22.67,5942
12-Feb-13,22.85,23.05,22.84,22.94,5181
11-Feb-13,22.63,22.86,22.63,22.86,1822
8-Feb-13,22.54,22.94,22.53,22.66,19935
7-Feb-13,22.73,22.73,22.30,22.47,12606
6-Feb-13,22.59,22.75,22.27,22.32,23230
5-Feb-13,22.63,23.03,22.43,22.79,23796
4-Feb-13,23.20,23.53,22.13,22.25,35037
1-Feb-13,22.67,23.94,22.67,23.40,15676
31-Jan-13,22.33,22.73,22.17,22.50,20214
30-Jan-13,22.73,22.77,22.04,22.26,24993
29-Jan-13,22.85,23.00,22.83,22.87,19113
28-Jan-13,22.61,23.03,22.47,23.03,13302
25-Jan-13,22.84,22.95,22.32,22.53,21201
24-Jan-13,22.32,22.94,22.32,22.67,54357
23-Jan-13,22.82,22.89,22.54,22.68,9975
22-Jan-13,22.85,22.89,22.44,22.79,14296
18-Jan-13,22.67,22.86,22.46,22.55,12114
17-Jan-13,22.60,23.09,22.58,22.75,9298
16-Jan-13,22.58,22.67,22.47,22.47,8997
15-Jan-13,22.33,22.88,22.33,22.57,27309
14-Jan-13,22.67,22.75,22.63,22.64,2620
11-Jan-13,22.93,22.93,22.70,22.80,10670
10-Jan-13,23.10,23.41,22.91,23.06,53559
9-Jan-13,22.96,23.48,22.68,23.10,16371
8-Jan-13,23.17,23.17,22.47,22.83,38204
7-Jan-13,23.48,23.48,23.16,23.19,9774
4-Jan-13,24.31,24.45,23.44,23.57,45729
3-Jan-13,24.51,24.58,23.39,24.23,26594
2-Jan-13,23.29,24.67,22.83,24.54,64898
31-Dec-12,22.33,22.65,21.69,22.65,22452
