Date,Open,High,Low,Close,Volume
31-Dec-13,19.42,19.42,19.42,19.42,366
30-Dec-13,19.40,19.40,19.40,19.40,207
27-Dec-13,19.45,19.74,19.45,19.74,732
26-Dec-13,19.74,19.74,19.40,19.40,1345
23-Dec-13,19.50,19.50,19.50,19.50,4955
20-Dec-13,19.55,19.55,19.38,19.40,2603
19-Dec-13,19.50,19.52,19.49,19.50,8838
18-Dec-13,19.50,19.52,19.40,19.40,491
17-Dec-13,19.71,19.73,19.71,19.73,453
16-Dec-13,19.46,19.68,19.46,19.68,284
13-Dec-13,19.40,19.40,19.40,19.40,150
12-Dec-13,19.50,19.76,19.49,19.76,2228
11-Dec-13,19.50,19.70,19.35,19.70,2534
10-Dec-13,19.54,19.56,19.48,19.56,1116
9-Dec-13,19.50,19.80,19.38,19.70,3583
6-Dec-13,19.57,19.65,19.25,19.59,4100
5-Dec-13,19.70,19.70,19.40,19.57,3715
4-Dec-13,19.80,19.80,19.55,19.70,1266
3-Dec-13,19.89,19.89,19.89,19.89,300
2-Dec-13,19.99,19.99,19.99,19.99,148
27-Nov-13,19.90,20.15,19.90,20.07,1112
26-Nov-13,19.75,19.85,19.60,19.85,2000
25-Nov-13,19.70,19.70,19.56,19.58,696
22-Nov-13,19.70,19.70,19.50,19.50,1055
21-Nov-13,19.52,19.65,19.52,19.65,930
20-Nov-13,19.50,19.50,19.20,19.50,3100
19-Nov-13,19.62,19.70,19.14,19.65,6870
18-Nov-13,19.20,19.65,19.20,19.65,4474
13-Nov-13,19.75,19.75,19.75,19.75,100
12-Nov-13,19.30,19.50,19.25,19.45,3249
5-Nov-13,19.30,19.30,19.30,19.30,200
1-Nov-13,19.31,19.31,19.31,19.31,100
31-Oct-13,19.20,19.20,19.20,19.20,100
30-Oct-13,19.45,19.50,19.40,19.50,1600
29-Oct-13,19.50,19.50,19.50,19.50,260
25-Oct-13,19.80,19.80,19.80,19.80,300
24-Oct-13,19.70,19.80,19.68,19.80,1200
23-Oct-13,19.50,19.50,19.50,19.50,5000
22-Oct-13,19.47,19.60,19.47,19.49,1001
21-Oct-13,19.29,19.49,19.26,19.49,800
17-Oct-13,19.23,19.35,19.23,19.35,360
16-Oct-13,19.18,19.49,18.80,19.14,2100
15-Oct-13,18.89,19.15,18.79,18.79,700
14-Oct-13,19.18,19.18,18.42,19.00,400
10-Oct-13,18.10,19.29,18.04,19.29,14489
9-Oct-13,18.05,18.25,18.00,18.05,3699
8-Oct-13,18.50,18.50,18.05,18.05,225
7-Oct-13,18.12,18.12,18.12,18.12,100
4-Oct-13,19.00,19.15,18.56,19.15,6371
3-Oct-13,18.10,19.00,17.94,18.95,18350
2-Oct-13,17.91,18.24,17.82,17.98,3475
1-Oct-13,17.76,17.76,17.76,17.76,3000
27-Sep-13,18.47,18.50,18.32,18.45,800
26-Sep-13,18.97,18.99,18.50,18.68,1600
25-Sep-13,18.28,19.25,18.22,19.00,16064
24-Sep-13,18.97,18.97,18.30,18.33,1082
23-Sep-13,18.87,18.87,18.27,18.45,1200
20-Sep-13,18.49,19.04,18.49,19.04,16558
19-Sep-13,18.25,18.49,18.22,18.30,2500
18-Sep-13,18.43,18.45,18.21,18.24,1102
17-Sep-13,18.22,18.45,18.21,18.30,6700
16-Sep-13,18.40,18.42,18.21,18.26,2580
13-Sep-13,18.40,18.42,18.21,18.28,2800
12-Sep-13,18.28,18.28,18.22,18.25,600
11-Sep-13,18.30,18.30,18.22,18.30,1500
10-Sep-13,18.37,18.40,18.01,18.18,3607
9-Sep-13,18.09,18.20,18.05,18.08,800
6-Sep-13,18.32,18.32,18.05,18.09,447
5-Sep-13,18.37,18.40,18.37,18.40,486
4-Sep-13,18.36,18.40,18.15,18.17,2414
3-Sep-13,18.10,18.13,18.10,18.10,1256
30-Aug-13,18.05,18.05,18.05,18.05,100
29-Aug-13,18.08,18.10,18.08,18.10,650
28-Aug-13,18.09,18.09,18.08,18.09,300
27-Aug-13,18.50,18.50,17.85,18.08,6832
26-Aug-13,18.17,18.17,18.04,18.13,380
23-Aug-13,18.03,18.03,18.02,18.02,200
22-Aug-13,18.34,18.34,18.34,18.34,426
21-Aug-13,17.95,17.98,17.95,17.95,1239
16-Aug-13,17.91,18.24,17.91,18.02,2200
15-Aug-13,18.17,18.39,18.17,18.39,9529
12-Aug-13,18.00,18.25,18.00,18.25,5069
9-Aug-13,18.01,18.22,18.00,18.22,5000
7-Aug-13,18.07,18.10,18.02,18.10,1450
6-Aug-13,17.86,18.24,17.86,18.05,1155
5-Aug-13,17.92,18.25,17.92,18.25,1570
