Date,Open,High,Low,Close,Volume
31-Dec-13,533.25,535.50,508.54,517.50,2104
30-Dec-13,506.25,533.25,495.00,526.50,4388
27-Dec-13,510.75,519.75,495.00,499.50,2195
26-Dec-13,517.50,528.75,508.50,508.50,1575
24-Dec-13,517.50,522.00,508.50,508.50,747
23-Dec-13,571.50,573.75,508.50,513.00,5992
20-Dec-13,515.25,515.25,495.00,506.25,2027
19-Dec-13,497.25,510.75,495.00,504.00,2154
18-Dec-13,515.25,524.25,483.75,501.75,3166
17-Dec-13,540.00,562.50,481.50,517.50,12107
16-Dec-13,625.50,657.00,598.50,641.25,1353
13-Dec-13,614.25,641.25,591.75,627.75,1349
12-Dec-13,612.00,648.00,596.27,600.75,968
11-Dec-13,652.50,657.00,607.50,612.00,1584
10-Dec-13,684.00,684.00,643.50,648.00,1793
9-Dec-13,677.25,715.50,652.50,677.25,2472
6-Dec-13,684.00,794.25,663.75,675.00,11309
5-Dec-13,785.25,832.50,652.52,663.75,26092
4-Dec-13,573.75,598.50,553.52,562.50,1259
3-Dec-13,573.75,580.50,544.52,580.50,1578
2-Dec-13,589.50,596.25,564.75,569.25,1357
29-Nov-13,594.00,605.25,585.00,589.28,584
27-Nov-13,605.25,616.48,585.02,594.00,937
26-Nov-13,603.00,625.28,580.52,607.50,1421
25-Nov-13,598.50,636.75,596.25,607.52,1862
22-Nov-13,711.00,762.75,582.77,616.50,16017
21-Nov-13,558.00,999.00,558.00,717.75,76633
20-Nov-13,528.75,548.78,526.50,526.50,237
19-Nov-13,546.75,547.70,522.00,533.25,376
18-Nov-13,549.00,569.23,546.75,546.75,105
15-Nov-13,549.00,564.75,546.75,551.25,197
14-Nov-13,553.50,560.48,546.75,553.50,165
13-Nov-13,551.25,571.50,546.75,549.00,489
12-Nov-13,585.00,663.75,517.50,558.00,3575
11-Nov-13,540.00,558.00,540.00,551.25,148
8-Nov-13,533.25,551.25,522.00,540.00,195
7-Nov-13,513.00,542.25,504.00,540.00,153
6-Nov-13,567.00,567.00,506.27,515.25,659
5-Nov-13,576.00,580.14,562.50,564.75,414
4-Nov-13,612.00,612.00,573.75,580.50,518
1-Nov-13,623.25,659.25,609.75,616.28,198
31-Oct-13,630.00,639.00,614.25,630.00,204
30-Oct-13,630.00,643.50,630.00,632.25,177
29-Oct-13,634.50,641.25,630.00,632.25,125
28-Oct-13,630.00,648.00,630.00,634.50,150
25-Oct-13,641.25,641.25,630.00,632.25,129
24-Oct-13,641.25,645.52,630.00,641.25,87
23-Oct-13,632.25,652.50,630.02,641.25,286
22-Oct-13,634.50,643.30,632.25,639.00,70
21-Oct-13,641.25,652.50,632.25,634.50,222
18-Oct-13,663.75,688.50,634.50,643.50,529
17-Oct-13,636.75,659.25,634.50,659.25,324
16-Oct-13,636.75,645.75,630.02,641.25,292
15-Oct-13,621.00,634.52,618.75,627.75,157
14-Oct-13,618.75,627.73,612.00,623.25,290
11-Oct-13,614.25,623.25,612.00,623.25,155
10-Oct-13,618.75,623.12,603.00,618.75,300
9-Oct-13,625.50,632.25,614.25,614.25,541
8-Oct-13,742.50,742.50,623.25,636.75,2931
7-Oct-13,625.50,661.50,623.72,647.78,618
4-Oct-13,618.91,630.00,618.75,627.75,208
3-Oct-13,623.25,632.09,618.75,630.00,140
2-Oct-13,630.00,639.00,618.75,623.25,141
1-Oct-13,639.00,645.64,630.00,632.25,169
30-Sep-13,630.00,643.50,625.72,643.50,151
27-Sep-13,634.50,648.00,632.27,634.50,139
26-Sep-13,652.50,652.50,630.00,639.00,141
25-Sep-13,630.00,650.25,630.00,641.25,144
24-Sep-13,630.02,636.75,621.00,627.75,238
23-Sep-13,632.25,639.00,621.00,636.75,664
20-Sep-13,652.50,652.50,630.00,632.25,335
19-Sep-13,636.75,668.25,632.27,654.75,258
18-Sep-13,641.25,648.00,609.75,639.00,1122
17-Sep-13,661.50,675.00,648.02,668.25,245
16-Sep-13,672.75,672.75,661.50,663.75,161
13-Sep-13,670.50,681.73,663.75,670.50,82
12-Sep-13,663.75,684.00,654.75,675.00,341
11-Sep-13,675.00,677.27,650.25,668.25,355
10-Sep-13,688.50,692.98,675.00,675.00,443
9-Sep-13,688.50,697.50,674.78,686.25,293
6-Sep-13,688.50,692.62,661.50,688.50,494
5-Sep-13,654.75,690.73,654.75,688.50,1179
4-Sep-13,672.75,672.75,652.50,654.75,199
3-Sep-13,650.25,686.25,623.27,672.75,1045
30-Aug-13,657.00,661.50,634.50,648.00,227
29-Aug-13,630.00,670.50,630.00,654.75,301
28-Aug-13,607.50,645.52,601.20,632.25,534
27-Aug-13,632.25,632.25,607.50,609.75,697
26-Aug-13,648.00,648.00,630.00,639.00,1089
23-Aug-13,639.00,648.00,634.50,641.25,345
22-Aug-13,639.00,645.73,629.98,630.00,450
21-Aug-13,659.25,681.75,623.25,632.25,1217
20-Aug-13,659.25,670.50,652.50,652.50,846
19-Aug-13,670.50,684.00,654.75,657.00,556
16-Aug-13,679.95,679.95,657.00,663.75,611
15-Aug-13,693.00,693.00,670.50,681.75,863
