Date,Open,High,Low,Close,Volume
31-Dec-13,7.77,7.92,7.38,7.45,30406
30-Dec-13,8.21,8.28,7.70,7.80,29691
27-Dec-13,8.15,8.20,8.15,8.16,3953
26-Dec-13,8.45,8.47,8.18,8.20,4761
24-Dec-13,8.49,8.50,8.21,8.48,2716
23-Dec-13,8.30,8.40,8.14,8.40,5920
20-Dec-13,8.21,8.22,8.10,8.15,16272
19-Dec-13,8.28,8.40,8.08,8.09,23844
18-Dec-13,8.35,8.38,8.32,8.33,7416
17-Dec-13,8.27,8.45,8.20,8.20,5708
16-Dec-13,8.53,8.57,8.20,8.20,10110
13-Dec-13,8.58,8.80,8.21,8.48,32206
12-Dec-13,8.60,8.78,8.53,8.53,6529
11-Dec-13,8.68,8.80,8.52,8.67,3544
10-Dec-13,8.61,8.83,8.52,8.68,17412
9-Dec-13,8.33,8.82,8.26,8.69,18802
6-Dec-13,8.16,8.40,8.06,8.33,29180
5-Dec-13,8.09,8.11,8.00,8.06,10489
4-Dec-13,8.20,8.20,8.05,8.15,20113
3-Dec-13,8.69,8.70,8.30,8.31,28842
2-Dec-13,8.72,8.93,8.72,8.72,6900
29-Nov-13,8.75,8.83,8.72,8.80,11662
27-Nov-13,8.76,9.04,8.70,8.82,6748
26-Nov-13,9.00,9.00,8.69,8.83,19411
25-Nov-13,8.88,8.88,8.67,8.80,18526
22-Nov-13,8.90,9.16,8.90,8.91,23629
21-Nov-13,9.25,9.40,8.65,8.97,107950
20-Nov-13,9.45,9.54,9.22,9.26,39640
19-Nov-13,9.74,9.75,9.35,9.42,34401
18-Nov-13,10.18,10.40,9.60,9.60,51046
15-Nov-13,9.86,10.64,9.80,9.95,156566
14-Nov-13,9.70,9.78,9.55,9.58,21017
13-Nov-13,9.63,9.67,9.54,9.67,10627
12-Nov-13,9.80,9.83,9.51,9.78,13755
11-Nov-13,9.70,9.77,9.59,9.77,20853
8-Nov-13,9.75,9.76,9.56,9.56,9373
7-Nov-13,9.83,10.09,9.63,9.76,57544
6-Nov-13,10.14,10.14,9.70,9.70,14304
5-Nov-13,9.72,10.56,9.72,10.11,80957
4-Nov-13,9.54,9.90,9.51,9.66,24189
1-Nov-13,9.57,9.76,9.50,9.53,35138
31-Oct-13,9.80,9.95,9.51,9.75,49800
30-Oct-13,9.56,9.80,9.50,9.52,21959
29-Oct-13,9.71,9.74,9.50,9.56,30963
28-Oct-13,10.03,10.03,9.50,9.56,58958
25-Oct-13,10.05,10.18,9.98,10.01,53003
24-Oct-13,10.36,10.38,10.00,10.01,53875
23-Oct-13,10.00,10.68,9.80,10.44,91674
22-Oct-13,10.09,10.52,9.68,9.76,72604
21-Oct-13,10.86,10.86,10.00,10.09,180005
18-Oct-13,11.04,11.32,10.25,10.80,136154
17-Oct-13,12.33,13.24,10.81,10.92,567599
16-Oct-13,10.19,12.60,10.05,12.18,751868
15-Oct-13,9.31,10.30,9.22,9.95,151864
14-Oct-13,9.40,9.45,9.20,9.32,11934
11-Oct-13,9.35,9.49,9.30,9.34,18890
10-Oct-13,9.40,9.69,9.33,9.48,13403
9-Oct-13,9.41,9.53,9.10,9.33,55290
8-Oct-13,9.90,10.20,9.25,9.37,76471
7-Oct-13,9.45,10.33,9.40,9.88,111084
4-Oct-13,9.49,9.51,9.38,9.42,19404
3-Oct-13,9.72,9.72,9.38,9.47,13156
2-Oct-13,9.49,9.82,9.43,9.67,32648
1-Oct-13,9.35,9.54,9.33,9.50,6429
30-Sep-13,9.32,9.78,9.32,9.39,38906
27-Sep-13,9.59,9.74,9.45,9.46,31744
26-Sep-13,10.13,10.28,9.50,9.55,63245
25-Sep-13,10.18,10.50,9.77,10.00,41168
24-Sep-13,9.60,10.25,9.48,9.70,55763
23-Sep-13,10.30,10.30,9.45,9.97,43624
20-Sep-13,10.77,10.89,10.06,10.29,112286
19-Sep-13,9.20,10.88,9.20,10.78,273894
18-Sep-13,9.53,9.62,9.23,9.25,22678
17-Sep-13,9.20,9.70,9.11,9.51,31796
16-Sep-13,9.58,9.59,9.20,9.20,16750
13-Sep-13,9.49,9.49,9.20,9.44,24894
12-Sep-13,9.52,9.60,9.14,9.27,39794
11-Sep-13,9.67,9.70,9.54,9.58,32295
10-Sep-13,9.70,9.87,9.43,9.73,66242
9-Sep-13,9.80,9.80,9.25,9.50,95654
6-Sep-13,9.95,9.95,9.71,9.82,82848
5-Sep-13,10.14,10.14,9.80,9.81,88832
4-Sep-13,10.19,10.28,10.00,10.03,57892
3-Sep-13,10.01,10.42,9.98,10.12,59558
30-Aug-13,10.37,10.70,9.85,10.09,150736
29-Aug-13,10.90,10.99,10.21,10.29,111767
28-Aug-13,10.97,11.22,10.19,10.88,205799
27-Aug-13,11.85,12.76,10.70,11.05,860728
26-Aug-13,10.90,10.90,9.70,9.80,157461
23-Aug-13,10.81,11.08,9.80,10.35,324235
22-Aug-13,10.25,11.37,10.10,10.65,553040
21-Aug-13,8.75,10.20,8.52,9.80,508671
20-Aug-13,9.10,9.50,8.68,8.75,306510
19-Aug-13,10.22,10.65,9.00,9.00,540046
16-Aug-13,16.20,16.20,9.75,10.27,1496247
15-Aug-13,12.88,19.39,11.40,14.24,1024012
14-Aug-13,6.50,13.48,6.49,12.45,1286364
13-Aug-13,6.00,7.40,5.99,6.39,326409
