Date,Open,High,Low,Close,Volume
31-Dec-13,5.52,5.81,5.45,5.79,1131307
30-Dec-13,5.40,5.53,5.38,5.48,272210
27-Dec-13,5.48,5.48,5.35,5.43,342287
26-Dec-13,5.44,5.47,5.38,5.44,400947
24-Dec-13,5.36,5.44,5.36,5.43,130921
23-Dec-13,5.41,5.45,5.34,5.39,403256
20-Dec-13,5.42,5.45,5.35,5.41,1305427
19-Dec-13,5.36,5.49,5.34,5.39,397184
18-Dec-13,5.53,5.53,5.30,5.40,417551
17-Dec-13,5.55,5.63,5.36,5.53,431205
16-Dec-13,5.26,5.57,5.24,5.52,942588
13-Dec-13,5.36,5.38,5.24,5.26,481488
12-Dec-13,5.19,5.37,5.10,5.31,888089
11-Dec-13,5.08,5.20,5.05,5.19,327941
10-Dec-13,5.15,5.20,5.05,5.08,415115
9-Dec-13,5.14,5.17,5.02,5.12,702973
6-Dec-13,5.13,5.17,5.00,5.15,358998
5-Dec-13,5.12,5.16,4.91,5.04,512632
4-Dec-13,5.22,5.38,5.11,5.16,1843995
3-Dec-13,5.00,5.03,4.90,5.02,571589
2-Dec-13,5.19,5.24,5.02,5.02,236383
29-Nov-13,5.19,5.28,5.16,5.17,235219
27-Nov-13,4.99,5.19,4.99,5.15,352979
26-Nov-13,5.00,5.05,4.96,4.99,553494
25-Nov-13,5.01,5.07,4.97,4.98,399261
22-Nov-13,5.06,5.09,4.91,5.01,478833
21-Nov-13,4.82,5.09,4.80,5.01,646775
20-Nov-13,4.76,4.86,4.76,4.80,182325
19-Nov-13,4.88,4.88,4.76,4.76,217773
18-Nov-13,4.76,4.95,4.75,4.86,394678
15-Nov-13,4.97,5.00,4.77,4.79,383484
14-Nov-13,4.66,4.98,4.66,4.95,278025
13-Nov-13,4.66,4.75,4.62,4.68,298803
12-Nov-13,4.70,4.79,4.61,4.70,348328
11-Nov-13,4.84,4.84,4.69,4.71,286001
8-Nov-13,4.68,4.99,4.68,4.85,471455
7-Nov-13,4.84,4.85,4.57,4.67,441155
6-Nov-13,5.00,5.08,4.61,4.71,590519
5-Nov-13,4.99,5.01,4.87,4.99,395933
4-Nov-13,5.12,5.18,4.87,4.99,565175
1-Nov-13,4.95,4.99,4.81,4.96,460741
31-Oct-13,5.00,5.04,4.88,4.98,519777
30-Oct-13,5.11,5.19,5.00,5.03,622453
29-Oct-13,5.10,5.19,5.08,5.11,355686
28-Oct-13,5.10,5.15,5.04,5.10,247228
25-Oct-13,5.20,5.20,5.02,5.05,303267
24-Oct-13,5.20,5.23,5.04,5.15,288519
