Date,Open,High,Low,Close,Volume
31-Dec-13,12.69,12.73,12.30,12.39,103323
30-Dec-13,12.77,13.06,12.58,12.69,94251
27-Dec-13,13.10,13.15,12.56,12.73,112591
26-Dec-13,13.50,13.58,13.00,13.06,48846
24-Dec-13,13.17,13.45,12.65,13.42,69225
23-Dec-13,12.47,13.15,12.34,13.10,150180
20-Dec-13,12.36,12.62,11.51,12.43,1117213
19-Dec-13,12.40,12.75,12.21,12.34,100223
18-Dec-13,12.51,12.80,12.00,12.39,189093
17-Dec-13,13.67,13.78,11.87,12.54,438205
16-Dec-13,13.13,13.63,12.93,13.50,387907
13-Dec-13,12.93,13.29,12.58,13.02,344356
12-Dec-13,12.78,13.12,12.70,12.85,220903
11-Dec-13,12.91,12.97,12.45,12.51,135680
10-Dec-13,12.67,13.01,12.54,12.93,84083
9-Dec-13,12.99,13.00,12.54,12.66,77805
6-Dec-13,12.98,13.00,12.66,12.93,43324
5-Dec-13,12.94,13.00,12.63,12.82,58594
4-Dec-13,12.41,13.09,12.40,12.90,124055
3-Dec-13,12.72,12.88,12.42,12.48,74162
2-Dec-13,12.94,13.00,12.38,12.71,108412
29-Nov-13,13.11,13.11,12.73,12.93,53738
27-Nov-13,12.37,13.40,12.10,13.00,286974
26-Nov-13,12.53,12.64,12.26,12.38,161041
25-Nov-13,12.63,12.75,12.24,12.48,125577
22-Nov-13,12.56,12.62,12.35,12.50,118687
21-Nov-13,11.89,12.51,11.89,12.45,117082
20-Nov-13,11.79,12.13,11.74,11.81,38407
19-Nov-13,11.65,12.09,11.59,11.75,122257
18-Nov-13,12.50,13.16,11.58,11.59,339142
15-Nov-13,11.27,12.00,11.06,11.70,225257
14-Nov-13,11.14,11.36,10.95,11.24,53903
13-Nov-13,11.06,11.22,10.73,11.19,63912
12-Nov-13,11.11,11.17,10.80,11.13,96117
11-Nov-13,10.66,11.22,10.66,11.11,81794
8-Nov-13,10.13,10.80,10.13,10.72,65490
7-Nov-13,10.46,10.70,10.08,10.10,135220
6-Nov-13,10.69,10.69,10.13,10.44,137100
5-Nov-13,10.40,10.74,10.35,10.61,86221
4-Nov-13,10.79,10.86,10.31,10.48,221635
1-Nov-13,11.50,11.50,10.53,10.79,301262
31-Oct-13,12.14,12.20,11.27,11.36,307983
30-Oct-13,11.97,12.85,11.77,12.11,317890
29-Oct-13,11.70,11.93,11.54,11.85,131027
28-Oct-13,11.87,11.88,11.23,11.69,94944
25-Oct-13,12.06,12.19,11.84,11.87,62536
24-Oct-13,12.10,12.14,11.95,12.01,69387
23-Oct-13,11.83,12.19,11.80,12.10,97670
22-Oct-13,12.00,12.02,11.67,11.91,110126
21-Oct-13,12.05,12.19,11.83,11.96,96432
18-Oct-13,12.09,12.31,11.89,12.00,142285
17-Oct-13,11.96,12.08,11.83,12.01,115280
16-Oct-13,11.73,12.09,11.52,12.05,72839
15-Oct-13,12.08,12.08,11.40,11.64,175613
14-Oct-13,12.33,12.68,11.85,12.08,118345
11-Oct-13,12.62,12.75,12.07,12.37,98158
10-Oct-13,11.51,12.50,11.50,12.46,192088
9-Oct-13,11.73,11.79,10.78,11.38,248089
8-Oct-13,11.92,12.02,11.39,11.75,200937
7-Oct-13,12.21,12.21,11.80,11.88,145284
4-Oct-13,12.25,12.41,12.16,12.30,99288
3-Oct-13,12.70,12.85,11.60,12.14,323849
2-Oct-13,11.92,12.85,11.90,12.66,465731
1-Oct-13,11.50,12.00,11.45,11.93,393107
30-Sep-13,10.77,11.84,10.70,11.50,557617
27-Sep-13,10.55,11.44,10.55,10.84,304610
26-Sep-13,9.85,10.59,9.70,10.49,273743
25-Sep-13,9.80,9.98,9.75,9.80,81783
24-Sep-13,9.88,10.02,9.55,9.73,277319
23-Sep-13,9.19,10.12,9.15,9.87,247420
20-Sep-13,8.76,9.14,8.73,9.13,181900
19-Sep-13,8.71,8.81,8.53,8.75,44647
18-Sep-13,8.56,8.78,8.41,8.71,70270
17-Sep-13,8.56,8.62,8.43,8.57,81108
16-Sep-13,8.95,8.98,8.47,8.52,125974
13-Sep-13,8.88,9.01,8.78,8.92,27651
12-Sep-13,8.99,9.24,8.80,8.89,47375
11-Sep-13,9.15,9.15,8.96,8.99,53559
10-Sep-13,9.06,9.37,8.98,9.18,111710
9-Sep-13,9.10,9.38,8.95,9.03,97074
6-Sep-13,9.27,9.43,9.03,9.12,88310
5-Sep-13,9.15,9.33,9.10,9.20,112437
4-Sep-13,9.08,9.15,9.01,9.11,121627
3-Sep-13,8.99,9.29,8.80,9.12,82459
30-Aug-13,8.99,9.29,8.81,9.00,500127
29-Aug-13,8.58,9.10,8.58,8.99,161187
28-Aug-13,8.09,8.72,8.06,8.59,136176
27-Aug-13,8.40,8.40,8.02,8.06,83803
26-Aug-13,8.37,8.71,8.30,8.44,81988
23-Aug-13,8.41,8.45,8.21,8.39,35845
22-Aug-13,8.14,8.47,7.98,8.41,39080
21-Aug-13,8.07,8.18,7.80,8.09,104632
20-Aug-13,7.93,8.20,7.93,8.12,37729
19-Aug-13,7.80,8.15,7.80,7.91,70826
16-Aug-13,8.14,8.23,7.67,7.82,171755
15-Aug-13,8.24,8.32,8.10,8.18,79449
14-Aug-13,8.51,8.53,8.23,8.32,89070
13-Aug-13,8.62,8.71,8.46,8.49,34624
12-Aug-13,8.62,8.74,8.47,8.56,62648
9-Aug-13,8.78,9.00,8.61,8.69,80312
8-Aug-13,9.20,9.22,8.21,8.77,288717
7-Aug-13,9.25,9.33,9.11,9.17,51778
6-Aug-13,9.28,9.32,9.05,9.23,64198
5-Aug-13,9.16,9.54,9.04,9.25,209320
2-Aug-13,9.29,9.30,9.12,9.20,134915
1-Aug-13,8.84,9.25,8.84,9.25,271329
31-Jul-13,9.15,9.15,8.70,8.76,434461
30-Jul-13,8.21,8.67,8.16,8.47,151772
29-Jul-13,8.80,8.80,8.07,8.21,186303
26-Jul-13,8.55,8.80,8.45,8.78,89674
25-Jul-13,8.86,8.92,8.55,8.60,145898
24-Jul-13,8.97,8.97,8.84,8.90,89045
23-Jul-13,8.90,9.01,8.85,8.94,126249
22-Jul-13,8.90,8.94,8.78,8.90,142738
19-Jul-13,8.79,9.12,8.72,8.85,181254
18-Jul-13,8.92,9.06,8.75,8.87,132487
17-Jul-13,8.92,8.98,8.77,8.90,123306
16-Jul-13,8.62,9.15,8.55,8.84,218864
15-Jul-13,8.65,8.72,8.35,8.60,162029
12-Jul-13,8.71,8.90,8.54,8.59,230484
11-Jul-13,7.88,8.76,7.82,8.65,523844
10-Jul-13,7.76,7.95,7.55,7.82,299501
9-Jul-13,7.75,7.75,7.50,7.59,152388
8-Jul-13,7.75,7.79,7.59,7.68,144762
5-Jul-13,7.70,7.94,7.37,7.80,183038
3-Jul-13,7.72,7.79,7.49,7.60,198541
2-Jul-13,7.86,7.88,7.60,7.78,270435
1-Jul-13,7.88,7.99,7.70,7.80,327658
28-Jun-13,7.82,7.95,7.64,7.77,1493242
27-Jun-13,7.82,7.93,7.57,7.81,299128
26-Jun-13,7.41,7.75,7.30,7.73,210726
25-Jun-13,7.60,7.61,7.20,7.31,469864
24-Jun-13,7.15,7.65,6.95,7.47,379176
21-Jun-13,7.14,7.30,7.05,7.25,150777
20-Jun-13,7.18,7.45,7.06,7.10,208495
19-Jun-13,7.15,7.48,7.07,7.32,221298
18-Jun-13,7.22,7.22,7.10,7.13,95899
17-Jun-13,7.10,7.17,7.04,7.12,193284
14-Jun-13,7.28,7.35,6.99,7.00,1436489
13-Jun-13,7.93,8.17,7.66,8.13,17785
12-Jun-13,7.97,8.13,7.65,7.95,28386
11-Jun-13,7.85,8.36,7.85,7.97,28675
10-Jun-13,8.00,8.01,7.78,7.98,152972
7-Jun-13,7.64,8.34,7.53,8.01,88950
6-Jun-13,7.57,7.76,7.50,7.60,53022
5-Jun-13,7.53,7.90,7.40,7.54,62640
4-Jun-13,8.00,8.06,7.23,7.56,231608
3-Jun-13,8.28,8.58,7.77,7.86,167625
31-May-13,7.62,8.16,7.62,8.04,68061
30-May-13,7.59,7.93,7.59,7.70,25598
29-May-13,7.55,7.80,7.49,7.54,38091
28-May-13,7.50,8.74,7.50,7.70,221117
24-May-13,6.86,7.25,6.61,7.13,28853
23-May-13,6.80,6.90,6.67,6.88,39950
22-May-13,6.80,6.98,6.74,6.85,158875
21-May-13,6.61,6.99,6.60,6.74,32330
20-May-13,6.70,6.75,6.60,6.68,11785
17-May-13,6.79,6.99,6.57,6.70,45434
16-May-13,6.73,6.79,6.66,6.71,24825
15-May-13,6.75,6.85,6.65,6.71,19684
14-May-13,7.00,7.14,6.63,6.73,38971
13-May-13,6.76,6.80,6.69,6.70,14889
10-May-13,6.70,6.84,6.70,6.74,1570
9-May-13,6.71,6.86,6.64,6.85,19360
8-May-13,6.81,6.82,6.58,6.67,35797
7-May-13,6.62,6.81,6.57,6.81,18314
6-May-13,6.66,6.66,6.50,6.61,10170
3-May-13,6.68,6.68,6.50,6.61,17183
2-May-13,6.72,6.72,6.55,6.59,16206
1-May-13,6.82,6.90,6.66,6.70,52439
30-Apr-13,6.07,6.94,6.01,6.89,151867
29-Apr-13,6.28,6.35,6.03,6.07,14491
26-Apr-13,6.29,6.29,6.13,6.25,3809
25-Apr-13,6.20,6.36,6.20,6.30,5256
24-Apr-13,6.30,6.36,6.07,6.19,7637
23-Apr-13,6.50,6.50,6.20,6.31,17325
22-Apr-13,6.31,6.46,6.09,6.40,14975
19-Apr-13,6.12,6.37,6.00,6.26,8791
18-Apr-13,6.10,6.25,5.97,6.13,17583
17-Apr-13,6.11,6.11,6.03,6.03,3723
16-Apr-13,6.20,6.20,6.01,6.16,5153
15-Apr-13,6.01,6.49,6.01,6.15,14269
12-Apr-13,6.16,6.24,5.99,6.06,7651
11-Apr-13,6.32,6.40,6.13,6.18,11710
10-Apr-13,6.06,6.38,6.04,6.31,25033
9-Apr-13,6.24,6.44,5.99,6.06,40973
8-Apr-13,6.43,6.43,6.15,6.23,27082
5-Apr-13,6.45,6.60,6.21,6.39,34803
4-Apr-13,6.29,6.55,6.20,6.55,9817
3-Apr-13,6.44,6.46,6.25,6.29,26351
2-Apr-13,6.68,6.69,6.41,6.44,10170
1-Apr-13,6.76,6.80,6.49,6.52,24799
28-Mar-13,6.88,6.88,6.73,6.75,7664
27-Mar-13,6.71,6.90,6.70,6.85,12829
26-Mar-13,6.71,6.85,6.71,6.79,5490
25-Mar-13,6.67,6.85,6.63,6.74,40451
22-Mar-13,6.64,6.69,6.58,6.66,3297
21-Mar-13,6.79,6.85,6.49,6.65,27918
20-Mar-13,6.64,6.78,6.55,6.70,10904
19-Mar-13,6.44,6.66,6.42,6.56,15983
18-Mar-13,6.42,6.55,6.42,6.46,13060
15-Mar-13,6.57,6.57,6.36,6.48,16090
14-Mar-13,6.60,6.60,6.55,6.59,4292
13-Mar-13,6.79,6.96,6.59,6.60,13701
12-Mar-13,6.73,6.77,6.58,6.65,6548
11-Mar-13,6.77,6.87,6.54,6.73,10837
8-Mar-13,6.83,6.83,6.65,6.78,14361
7-Mar-13,6.59,6.64,6.55,6.64,5248
6-Mar-13,6.60,6.68,6.55,6.59,25736
5-Mar-13,6.74,6.74,6.56,6.64,11368
4-Mar-13,6.69,6.69,6.58,6.64,7531
1-Mar-13,6.52,6.81,6.52,6.66,72846
28-Feb-13,6.48,6.52,6.46,6.52,2612
27-Feb-13,6.51,6.61,6.51,6.56,41550
26-Feb-13,6.51,6.54,6.39,6.54,2832
25-Feb-13,6.65,6.71,6.51,6.51,11313
22-Feb-13,6.39,6.64,6.39,6.61,11936
21-Feb-13,6.51,6.65,6.14,6.37,21521
20-Feb-13,6.64,6.79,6.51,6.53,26661
19-Feb-13,6.61,6.65,6.56,6.61,22108
15-Feb-13,6.62,6.62,6.52,6.58,22629
14-Feb-13,6.66,6.66,6.52,6.58,46085
13-Feb-13,6.57,6.66,6.57,6.63,53721
12-Feb-13,6.54,6.60,6.54,6.60,2892
11-Feb-13,6.65,6.75,6.51,6.53,10293
8-Feb-13,6.70,6.70,6.60,6.60,16157
7-Feb-13,6.75,6.75,6.60,6.62,8037
6-Feb-13,6.71,6.77,6.58,6.70,20468
5-Feb-13,6.85,6.98,6.70,6.78,41179
4-Feb-13,6.60,6.85,6.55,6.79,23320
1-Feb-13,6.63,6.66,6.54,6.64,6968
31-Jan-13,6.50,6.75,6.50,6.57,45263
30-Jan-13,6.67,6.80,6.46,6.49,21162
29-Jan-13,6.75,6.93,6.75,6.81,17071
28-Jan-13,6.73,6.85,6.59,6.81,27397
25-Jan-13,6.55,6.79,6.52,6.67,15477
24-Jan-13,6.59,6.72,6.47,6.50,16660
23-Jan-13,6.69,6.74,6.67,6.74,3139
22-Jan-13,6.58,6.79,6.57,6.68,24455
18-Jan-13,6.54,6.80,6.30,6.63,19318
17-Jan-13,6.49,6.60,6.31,6.58,15652
16-Jan-13,6.29,6.58,6.23,6.40,11862
15-Jan-13,6.25,6.60,6.25,6.36,16658
14-Jan-13,6.50,6.50,6.30,6.36,8390
11-Jan-13,6.48,6.64,6.40,6.50,7498
10-Jan-13,6.65,6.67,6.34,6.45,11072
9-Jan-13,6.46,6.66,6.28,6.56,20820
8-Jan-13,6.12,6.50,6.12,6.45,15353
7-Jan-13,6.46,6.46,6.16,6.29,5890
4-Jan-13,6.45,6.50,6.25,6.46,10329
3-Jan-13,6.36,6.50,6.30,6.45,15920
2-Jan-13,6.50,6.86,6.30,6.32,105014
