Date,Open,High,Low,Close,Volume
31-Dec-13,575000.00,590000.00,570000.00,580000.00,0
30-Dec-13,567500.00,590000.00,565000.00,577500.00,0
27-Dec-13,567500.00,580000.00,560000.00,575000.00,0
26-Dec-13,587500.00,593750.00,559975.00,560000.00,0
24-Dec-13,582500.00,596250.00,570225.00,587500.00,0
23-Dec-13,577500.00,612500.00,575000.00,575000.00,1
20-Dec-13,625000.00,650000.00,607500.00,614400.00,0
19-Dec-13,602500.00,647525.00,586250.00,625000.00,0
18-Dec-13,605000.00,625000.00,587500.00,605000.00,0
17-Dec-13,605000.00,607500.00,590000.00,600000.00,0
16-Dec-13,607500.00,607500.00,592525.00,597500.00,0
13-Dec-13,622500.00,627300.00,598475.00,612500.00,0
12-Dec-13,605000.00,635000.00,575000.00,630000.00,0
11-Dec-13,645000.00,645000.00,612500.00,617500.00,1
10-Dec-13,650000.00,665000.00,612475.00,632500.00,1
9-Dec-13,610000.00,675000.00,610000.00,642500.00,1
6-Dec-13,595000.00,625000.00,595000.00,610000.00,0
5-Dec-13,565000.00,600000.00,562500.00,592500.00,0
4-Dec-13,575000.00,575000.00,562500.00,572500.00,0
3-Dec-13,600000.00,600000.00,562500.00,572500.00,1
2-Dec-13,597500.00,607500.00,562500.00,600000.00,0
29-Nov-13,575000.00,620000.00,572500.00,605000.00,1
27-Nov-13,507500.00,595000.00,500450.00,575000.00,2
26-Nov-13,510000.00,535000.00,500000.00,530000.00,1
25-Nov-13,500000.00,522500.00,475000.00,500000.00,2
22-Nov-13,455000.00,497500.00,445725.00,492500.00,1
21-Nov-13,492500.00,502500.00,442500.00,460000.00,2
20-Nov-13,515000.00,560000.00,430000.00,500000.00,6
19-Nov-13,752500.00,752500.00,665000.00,742500.00,1
18-Nov-13,762500.00,762500.00,740000.00,752500.00,1
15-Nov-13,740000.00,762500.00,727500.00,757500.00,1
14-Nov-13,737500.00,757475.00,725000.00,740000.00,1
13-Nov-13,730000.00,769750.00,700000.00,732500.00,1
12-Nov-13,745000.00,762500.00,720000.00,730000.00,0
11-Nov-13,705000.00,745000.00,705000.00,745000.00,0
8-Nov-13,732250.00,735000.00,687500.00,717500.00,0
7-Nov-13,732500.00,740000.00,705000.00,727500.00,0
6-Nov-13,725000.00,750000.00,707500.00,730000.00,0
5-Nov-13,700000.00,724750.00,687500.00,720000.00,0
4-Nov-13,672500.00,690000.00,640000.00,690000.00,0
1-Nov-13,667500.00,667500.00,637500.00,667500.00,0
31-Oct-13,662500.00,680000.00,655000.00,672500.00,0
30-Oct-13,692500.00,692500.00,645000.00,675000.00,0
29-Oct-13,690000.00,690000.00,652500.00,682500.00,0
28-Oct-13,692500.00,692525.00,647500.00,677500.00,0
25-Oct-13,672500.00,700000.00,645050.00,692500.00,1
24-Oct-13,737500.00,754750.00,640000.00,690000.00,1
23-Oct-13,780000.00,780625.00,730025.00,745000.00,1
22-Oct-13,725000.00,795000.00,702500.00,767500.00,2
21-Oct-13,735000.00,742500.00,702500.00,712500.00,1
18-Oct-13,730000.00,735000.00,679500.00,727500.00,0
17-Oct-13,730000.00,785000.00,707500.00,712500.00,2
16-Oct-13,660000.00,795000.00,650000.00,725000.00,4
15-Oct-13,635000.00,660000.00,635000.00,647500.00,0
14-Oct-13,635000.00,660000.00,622500.00,635000.00,0
11-Oct-13,647500.00,655000.00,630000.00,645000.00,0
10-Oct-13,662500.00,662500.00,637500.00,640000.00,0
9-Oct-13,625000.00,657500.00,625000.00,657500.00,0
8-Oct-13,649750.00,657500.00,625000.00,632500.00,0
7-Oct-13,607500.00,655000.00,595500.00,650000.00,0
4-Oct-13,607500.00,615000.00,587500.00,612500.00,0
3-Oct-13,607500.00,615000.00,607500.00,612500.00,0
2-Oct-13,600000.00,612500.00,595000.00,612500.00,0
1-Oct-13,552500.00,607500.00,542500.00,597500.00,0
30-Sep-13,560000.00,566250.00,540000.00,557500.00,1
27-Sep-13,600000.00,600000.00,557500.00,577500.00,1
26-Sep-13,615000.00,644975.00,597500.00,605000.00,1
25-Sep-13,615000.00,640000.00,607500.00,622500.00,0
24-Sep-13,637500.00,655000.00,597500.00,625000.00,1
23-Sep-13,665000.00,720000.00,600000.00,647500.00,1
20-Sep-13,682500.00,697475.00,650000.00,660000.00,1
19-Sep-13,687500.00,704750.00,655000.00,682500.00,1
18-Sep-13,660000.00,722500.00,642500.00,695000.00,2
17-Sep-13,665000.00,675000.00,630000.00,655000.00,1
16-Sep-13,625000.00,697500.00,607500.00,677500.00,3
13-Sep-13,612500.00,617350.00,587500.00,615000.00,0
12-Sep-13,625000.00,625000.00,581250.00,612500.00,1
11-Sep-13,625000.00,625000.00,577500.00,600000.00,0
10-Sep-13,625000.00,625000.00,597500.00,620000.00,1
9-Sep-13,610000.00,645000.00,582500.00,612500.00,1
6-Sep-13,562500.00,625000.00,537500.00,607500.00,1
5-Sep-13,590000.00,590000.00,550000.00,552500.00,0
4-Sep-13,542500.00,602250.00,530000.00,585000.00,1
3-Sep-13,540000.00,562500.00,530000.00,547500.00,0
30-Aug-13,557500.00,557500.00,525000.00,540000.00,0
29-Aug-13,560000.00,562500.00,520000.00,560000.00,0
28-Aug-13,567500.00,569975.00,530025.00,567500.00,0
27-Aug-13,587500.00,587500.00,535000.00,570000.00,1
26-Aug-13,560000.00,637500.00,560000.00,585000.00,2
23-Aug-13,570000.00,585000.00,552500.00,560000.00,0
22-Aug-13,565000.00,587500.00,537500.00,562500.00,0
21-Aug-13,572500.00,587500.00,527500.00,557500.00,0
20-Aug-13,587500.00,587525.00,557500.00,565000.00,0
19-Aug-13,605000.00,605000.00,575000.00,582500.00,1
16-Aug-13,577500.00,590000.00,527500.00,577500.00,0
15-Aug-13,595000.00,610000.00,562500.00,587500.00,0
14-Aug-13,625000.00,665000.00,580250.00,622500.00,2
13-Aug-13,587500.00,592500.00,480025.00,585000.00,1
12-Aug-13,592500.00,612500.00,577500.00,587500.00,1
9-Aug-13,575000.00,625000.00,562500.00,582500.00,1
8-Aug-13,520000.00,574750.00,510000.00,560000.00,1
7-Aug-13,525000.00,534750.00,502500.00,510000.00,0
6-Aug-13,537500.00,542475.00,515250.00,540000.00,0
5-Aug-13,507500.00,570000.00,502500.00,542475.00,1
2-Aug-13,507500.00,511250.00,493200.00,500000.00,0
1-Aug-13,512500.00,517500.00,500000.00,515000.00,0
31-Jul-13,520000.00,520000.00,495000.00,510000.00,0
30-Jul-13,520000.00,520000.00,500000.00,512500.00,0
29-Jul-13,470025.00,530000.00,470000.00,520000.00,0
26-Jul-13,495000.00,513000.00,489750.00,510000.00,0
25-Jul-13,515000.00,517500.00,487600.00,507500.00,0
24-Jul-13,502500.00,525000.00,502500.00,505000.00,0
23-Jul-13,530000.00,537500.00,487500.00,530000.00,0
22-Jul-13,460000.00,515000.00,455000.00,515000.00,1
19-Jul-13,442500.00,460000.00,427525.00,452500.00,0
18-Jul-13,412525.00,442500.00,412500.00,442500.00,0
17-Jul-13,412500.00,420000.00,410000.00,412500.00,0
16-Jul-13,418500.00,420000.00,400000.00,407500.00,0
