Date,Open,High,Low,Close,Volume
31-Dec-13,33.38,34.25,33.36,34.17,32231
30-Dec-13,33.50,34.10,32.51,33.37,8423
27-Dec-13,34.44,35.03,33.05,33.66,3231
26-Dec-13,33.97,35.50,33.26,34.25,3712
24-Dec-13,33.82,34.10,33.07,34.10,2147
23-Dec-13,33.10,34.05,33.00,34.05,2098
20-Dec-13,32.65,35.22,32.57,33.16,28080
19-Dec-13,32.82,32.86,32.26,32.71,2238
18-Dec-13,32.65,32.95,32.57,32.95,4173
17-Dec-13,32.44,32.86,31.85,32.13,1133
16-Dec-13,32.89,32.89,32.52,32.52,3294
13-Dec-13,32.89,32.94,32.75,32.77,6522
12-Dec-13,32.40,33.14,32.40,32.81,2447
11-Dec-13,32.40,32.75,32.25,32.26,2608
10-Dec-13,32.99,32.99,32.02,32.84,2737
9-Dec-13,32.45,33.85,32.45,32.93,2570
6-Dec-13,32.17,34.00,32.17,33.60,2312
5-Dec-13,31.30,32.00,31.30,32.00,1116
4-Dec-13,32.70,32.70,32.35,32.35,1453
3-Dec-13,33.08,33.83,32.12,32.64,9750
2-Dec-13,32.91,33.03,32.10,33.03,3015
29-Nov-13,32.35,33.14,32.35,33.14,1299
27-Nov-13,31.69,32.97,31.40,32.03,2101
26-Nov-13,31.35,33.22,30.88,31.47,1620
25-Nov-13,30.84,31.29,30.84,31.08,2609
22-Nov-13,31.26,31.26,30.63,30.97,2082
21-Nov-13,31.04,31.38,31.04,31.35,3510
20-Nov-13,30.81,31.45,30.46,31.00,909
19-Nov-13,31.02,31.02,30.57,30.57,822
18-Nov-13,31.65,31.96,30.95,31.01,1290
15-Nov-13,32.21,32.21,30.23,31.63,5735
14-Nov-13,32.03,32.98,31.93,32.31,3896
13-Nov-13,31.40,32.19,31.30,32.19,1674
12-Nov-13,31.22,31.59,30.86,31.59,3911
11-Nov-13,32.92,32.92,30.75,31.19,9205
8-Nov-13,32.34,33.12,31.94,33.09,4133
7-Nov-13,33.47,33.90,32.20,32.21,8916
6-Nov-13,33.83,33.83,32.30,33.30,4575
5-Nov-13,33.48,33.90,32.91,33.52,1474
4-Nov-13,34.30,34.30,32.54,33.50,4801
1-Nov-13,35.09,35.22,32.19,34.43,13002
31-Oct-13,35.25,35.25,34.50,35.23,6480
30-Oct-13,35.09,35.39,35.09,35.12,2875
29-Oct-13,35.49,35.49,34.86,35.00,1471
28-Oct-13,34.69,35.50,33.08,35.13,4574
