Date,Open,High,Low,Close,Volume
31-Dec-13,28.88,28.88,28.37,28.47,9105
30-Dec-13,28.25,28.89,28.23,28.89,16346
27-Dec-13,28.25,28.45,28.25,28.25,11984
26-Dec-13,28.36,28.54,28.35,28.35,14352
24-Dec-13,28.50,29.00,28.35,28.35,13368
23-Dec-13,28.50,28.60,28.36,28.45,10296
20-Dec-13,28.80,28.80,28.45,28.45,27898
19-Dec-13,28.50,28.62,28.50,28.60,17893
18-Dec-13,28.55,28.55,28.45,28.45,9552
17-Dec-13,28.66,28.66,28.43,28.48,17372
16-Dec-13,28.58,28.67,28.20,28.64,27499
13-Dec-13,28.70,28.70,28.10,28.58,32144
12-Dec-13,28.36,28.36,28.15,28.20,64424
11-Dec-13,28.66,28.84,28.50,28.72,40912
10-Dec-13,28.66,28.78,28.66,28.75,11134
9-Dec-13,28.65,28.80,28.55,28.57,29810
6-Dec-13,28.65,28.65,28.44,28.60,12224
5-Dec-13,28.68,28.68,28.46,28.49,25021
4-Dec-13,28.50,28.64,28.39,28.52,35233
3-Dec-13,28.66,28.66,28.50,28.50,24022
2-Dec-13,28.74,28.74,28.60,28.60,22072
29-Nov-13,28.65,28.65,28.65,28.65,400
27-Nov-13,28.70,28.83,28.60,28.69,15774
26-Nov-13,28.75,28.87,28.70,28.75,10926
25-Nov-13,28.98,28.98,28.34,28.50,74681
22-Nov-13,28.57,28.83,28.30,28.83,74575
21-Nov-13,28.43,28.50,28.40,28.50,10166
20-Nov-13,28.55,28.55,28.40,28.45,30469
19-Nov-13,28.32,28.50,28.32,28.49,18265
18-Nov-13,28.64,28.64,28.31,28.40,108172
15-Nov-13,28.31,28.45,28.30,28.38,30014
14-Nov-13,28.50,28.50,28.35,28.48,11810
13-Nov-13,28.25,28.40,28.20,28.38,27540
12-Nov-13,28.22,28.33,28.10,28.33,20640
11-Nov-13,28.35,28.45,28.16,28.25,21192
8-Nov-13,28.30,28.30,28.12,28.21,26712
7-Nov-13,28.25,28.39,28.25,28.32,22776
6-Nov-13,28.49,28.49,28.25,28.30,33797
5-Nov-13,28.56,28.56,28.25,28.29,15945
4-Nov-13,28.36,28.40,28.25,28.25,54826
1-Nov-13,28.94,28.94,28.35,28.38,77333
31-Oct-13,28.20,28.85,28.20,28.61,88788
30-Oct-13,28.40,28.40,28.20,28.29,24873
29-Oct-13,28.30,28.30,28.22,28.28,49720
28-Oct-13,28.45,28.45,28.11,28.30,18291
25-Oct-13,28.03,28.25,27.85,28.20,50273
24-Oct-13,28.25,28.35,28.02,28.10,43024
23-Oct-13,28.10,28.26,28.05,28.25,50774
22-Oct-13,28.24,28.24,27.60,28.01,140978
21-Oct-13,28.14,28.15,27.84,27.96,216507
18-Oct-13,28.21,28.33,28.06,28.14,905335
17-Oct-13,28.35,28.35,28.18,28.21,142271
16-Oct-13,28.40,28.55,28.09,28.28,555521
15-Oct-13,28.40,28.49,28.30,28.49,333856
14-Oct-13,28.21,28.43,28.21,28.40,66623
11-Oct-13,28.15,28.40,28.13,28.40,117246
10-Oct-13,28.08,28.15,28.00,28.15,107382
9-Oct-13,28.00,28.15,27.90,27.96,190980
8-Oct-13,28.44,28.44,27.98,28.05,180501
7-Oct-13,27.55,28.39,27.55,28.10,336620
4-Oct-13,27.50,27.57,27.50,27.54,148742
3-Oct-13,27.50,27.50,27.41,27.48,192096
2-Oct-13,27.50,27.51,27.40,27.49,242823
1-Oct-13,27.50,27.50,27.31,27.46,194232
30-Sep-13,27.50,27.60,27.10,27.44,227472
27-Sep-13,27.00,28.48,27.00,27.59,440588
