Date,Open,High,Low,Close,Volume
31-Dec-13,1884.00,1900.00,1880.00,1900.00,546
30-Dec-13,1889.00,1900.00,1880.00,1900.00,1656
27-Dec-13,1880.00,1909.00,1880.00,1891.12,1939
24-Dec-13,1875.00,1885.00,1875.00,1884.00,2351
23-Dec-13,1875.00,1875.00,1865.00,1875.00,2819
20-Dec-13,1870.00,1875.00,1868.00,1875.00,19713
19-Dec-13,1870.00,1884.00,1870.00,1875.00,8648
18-Dec-13,1870.00,1881.00,1870.00,1875.00,5837
17-Dec-13,1877.00,1893.00,1870.00,1878.00,8354
16-Dec-13,1895.00,1895.00,1871.00,1877.00,9001
13-Dec-13,1882.00,1890.00,1870.00,1871.00,3344
12-Dec-13,1876.00,1884.00,1874.00,1874.00,6469
11-Dec-13,1891.00,1895.00,1880.00,1880.00,12344
10-Dec-13,1885.00,1923.00,1885.00,1900.00,12004
9-Dec-13,1885.00,1906.00,1882.00,1882.00,4934
6-Dec-13,1910.00,1910.00,1876.00,1888.00,7332
5-Dec-13,1915.00,1915.00,1880.00,1885.00,9428
4-Dec-13,1891.00,1902.00,1879.00,1902.00,3218
3-Dec-13,1898.00,1898.00,1873.00,1898.48,16759
2-Dec-13,1897.00,1919.00,1897.00,1905.00,8988
29-Nov-13,1915.00,1920.00,1908.00,1915.00,5217
28-Nov-13,1915.00,1920.00,1903.00,1920.00,1958
27-Nov-13,1882.00,1922.00,1882.00,1913.00,5509
26-Nov-13,1919.00,1919.00,1889.00,1893.00,3854
25-Nov-13,1908.00,1908.00,1884.00,1909.91,732
22-Nov-13,1887.00,1888.00,1885.00,1888.00,8306
21-Nov-13,1893.00,1893.00,1880.00,1888.00,11897
20-Nov-13,1895.00,1911.00,1878.00,1886.00,6470
19-Nov-13,1901.00,1911.00,1893.00,1917.75,741
18-Nov-13,1908.00,1918.00,1899.00,1899.00,6407
15-Nov-13,1917.00,1924.00,1893.00,1898.50,7317
14-Nov-13,1901.00,1917.00,1890.00,1894.00,1993
13-Nov-13,1910.00,1914.00,1878.00,1878.00,14229
12-Nov-13,1913.00,1934.00,1900.00,1928.56,7323
11-Nov-13,1924.00,1941.00,1921.00,1921.00,705
8-Nov-13,1925.00,1939.00,1925.00,1931.00,1802
7-Nov-13,1947.00,1953.00,1943.00,1936.00,3685
6-Nov-13,1930.00,1965.00,1930.00,1945.00,4793
5-Nov-13,1963.00,1963.00,1931.00,1957.00,3332
4-Nov-13,1922.00,1960.00,1922.00,1945.00,3878
1-Nov-13,1928.00,1954.00,1928.00,1948.00,4012
31-Oct-13,1952.00,1952.00,1927.00,1933.00,7274
30-Oct-13,1955.00,1970.00,1952.00,1965.00,4459
29-Oct-13,1951.00,1970.00,1951.00,1966.00,4935
28-Oct-13,1950.00,1967.00,1950.00,1955.80,5416
25-Oct-13,1935.00,1943.00,1922.00,1949.73,3361
24-Oct-13,1921.00,1935.00,1906.00,1906.00,4544
23-Oct-13,1932.70,1935.00,1919.00,1923.30,6523
22-Oct-13,1906.00,1933.00,1906.00,1933.00,4701
21-Oct-13,1885.00,1906.00,1885.00,1903.00,12972
18-Oct-13,1878.00,1894.00,1873.00,1894.00,5750
17-Oct-13,1860.00,1880.00,1845.00,1880.00,9173
16-Oct-13,1845.00,1865.00,1828.00,1852.00,7085
15-Oct-13,1845.00,1854.00,1833.00,1842.00,6282
14-Oct-13,1840.00,1845.00,1821.00,1844.00,3495
11-Oct-13,1829.00,1838.00,1820.00,1825.48,5624
10-Oct-13,1810.00,1845.00,1810.00,1820.00,17688
9-Oct-13,1787.00,1820.00,1777.00,1818.00,16462
8-Oct-13,1787.00,1787.00,1777.00,1786.00,5368
7-Oct-13,1780.00,1791.00,1775.00,1779.00,7519
4-Oct-13,1780.00,1794.00,1777.00,1784.00,4595
3-Oct-13,1774.00,1792.00,1767.00,1774.00,7044
2-Oct-13,1765.00,1787.00,1765.00,1767.00,2969
1-Oct-13,1785.00,1785.00,1765.00,1765.00,2810
30-Sep-13,1789.00,1789.00,1765.00,1789.00,3789
27-Sep-13,1789.00,1798.00,1780.00,1780.00,5624
26-Sep-13,1806.00,1806.00,1792.00,1802.00,3145
25-Sep-13,1795.00,1802.00,1789.00,1796.00,7646
24-Sep-13,1792.00,1793.00,1780.00,1800.00,7755
20-Sep-13,1813.00,1813.00,1791.00,1795.00,24479
19-Sep-13,1815.00,1832.00,1806.00,1826.00,11188
18-Sep-13,1796.00,1807.00,1790.00,1796.50,3023
17-Sep-13,1790.00,1797.00,1790.00,1795.00,13086
16-Sep-13,1809.00,1815.00,1800.00,1815.00,2356
13-Sep-13,1799.00,1799.00,1780.00,1793.00,4710
12-Sep-13,1790.00,1803.00,1780.00,1785.00,3352
11-Sep-13,1802.00,1805.00,1790.00,1799.28,1257
10-Sep-13,1786.00,1805.00,1786.00,1805.00,2504
9-Sep-13,1780.00,1801.00,1780.00,1780.00,1952
6-Sep-13,1791.00,1793.00,1777.00,1779.00,13121
5-Sep-13,1793.00,1799.00,1781.00,1796.00,10729
4-Sep-13,1799.00,1806.00,1784.00,1794.00,7677
3-Sep-13,1805.00,1805.00,1770.00,1771.00,12093
2-Sep-13,1801.00,1801.00,1770.00,1773.00,3020
30-Aug-13,1794.00,1794.00,1770.00,1773.75,913
29-Aug-13,1782.00,1797.00,1771.00,1773.00,6287
28-Aug-13,1789.00,1798.00,1769.00,1779.50,8084
27-Aug-13,1811.00,1811.00,1790.00,1799.00,6356
23-Aug-13,1805.00,1810.00,1800.00,1801.50,7992
22-Aug-13,1782.00,1809.00,1782.00,1800.00,5908
21-Aug-13,1787.00,1795.00,1785.00,1785.00,8435
20-Aug-13,1790.00,1807.00,1778.00,1778.00,6140
19-Aug-13,1822.00,1822.00,1780.00,1810.00,5103
16-Aug-13,1805.00,1811.00,1800.00,1808.25,3312
