Date,Open,High,Low,Close,Volume
31-Dec-13,70.00,74.00,68.00,74.00,914
30-Dec-13,72.00,72.00,70.00,70.00,21
27-Dec-13,72.00,72.00,70.00,70.00,198
26-Dec-13,72.00,72.00,72.00,72.00,10
24-Dec-13,70.00,72.00,70.00,72.00,104
23-Dec-13,72.00,76.00,72.00,74.00,153
20-Dec-13,72.00,78.00,72.00,78.00,39
19-Dec-13,78.00,78.00,78.00,78.00,13
18-Dec-13,80.00,80.00,80.00,80.00,31
17-Dec-13,72.00,78.00,72.00,78.00,44
16-Dec-13,74.30,74.30,74.30,74.30,14
13-Dec-13,74.30,74.30,74.30,74.30,1
12-Dec-13,72.00,80.00,72.00,74.00,46
11-Dec-13,72.00,72.00,72.00,72.00,6
10-Dec-13,76.00,78.00,68.00,72.00,83
9-Dec-13,80.00,80.00,78.00,78.00,486
6-Dec-13,80.00,80.00,79.50,80.00,120
5-Dec-13,78.00,80.00,78.00,80.00,99
4-Dec-13,80.00,82.00,75.00,75.00,444
3-Dec-13,78.00,80.00,76.20,80.00,191
2-Dec-13,76.00,78.00,72.20,78.00,313
29-Nov-13,72.00,78.00,72.00,78.00,423
27-Nov-13,68.00,78.00,68.00,78.00,883
26-Nov-13,66.00,68.00,66.00,68.00,105
25-Nov-13,68.00,68.00,66.00,66.00,61
22-Nov-13,66.00,66.00,66.00,66.00,1
21-Nov-13,68.00,68.00,64.00,64.00,170
20-Nov-13,68.00,68.00,68.00,68.00,110
19-Nov-13,70.00,70.00,68.00,68.00,262
18-Nov-13,70.00,72.00,64.20,64.40,295
15-Nov-13,70.00,72.00,68.00,70.00,1213
14-Nov-13,62.80,67.00,62.80,63.00,187
13-Nov-13,77.00,77.00,50.00,62.40,188
12-Nov-13,69.40,70.00,60.00,60.00,344
11-Nov-13,60.02,72.00,60.02,71.00,242
8-Nov-13,76.00,78.00,68.00,72.00,950
7-Nov-13,78.20,78.20,78.00,78.00,4
6-Nov-13,78.00,78.04,78.00,78.00,273
5-Nov-13,78.10,80.00,78.00,78.00,273
4-Nov-13,80.00,80.00,80.00,80.00,7
1-Nov-13,81.00,81.00,80.00,80.00,78
31-Oct-13,82.00,82.00,80.00,81.00,29
30-Oct-13,80.00,80.00,78.00,80.00,40
28-Oct-13,76.10,80.00,76.10,80.00,64
25-Oct-13,81.80,82.00,76.00,76.10,59
24-Oct-13,80.00,82.00,80.00,80.00,254
23-Oct-13,80.00,80.00,77.20,79.72,68
22-Oct-13,76.00,76.00,76.00,76.00,3
21-Oct-13,80.00,82.00,77.00,80.00,225
18-Oct-13,78.00,80.20,78.00,80.00,572
17-Oct-13,76.00,76.20,75.20,76.20,127
16-Oct-13,76.00,76.00,76.00,76.00,20
15-Oct-13,72.00,76.00,72.00,76.00,12
14-Oct-13,72.00,76.00,72.00,76.00,84
11-Oct-13,74.00,76.00,72.00,76.00,523
10-Oct-13,72.00,74.00,72.00,74.00,8
9-Oct-13,64.00,76.00,64.00,72.20,481
8-Oct-13,60.00,64.00,59.00,64.00,128
7-Oct-13,66.40,66.40,60.00,64.00,793
4-Oct-13,72.00,72.00,64.00,66.00,42
2-Oct-13,72.00,72.00,72.00,72.00,82
30-Sep-13,64.00,74.00,64.00,72.00,340
27-Sep-13,64.00,72.00,64.00,64.00,58
26-Sep-13,64.00,72.00,64.00,64.00,99
25-Sep-13,75.00,75.00,75.00,75.00,4
24-Sep-13,75.00,75.00,75.00,75.00,26
23-Sep-13,80.00,80.00,74.72,75.00,38
20-Sep-13,71.20,80.00,71.20,80.00,172
9-Sep-13,80.00,80.00,80.00,80.00,5
6-Sep-13,80.00,80.00,80.00,80.00,23
5-Sep-13,82.00,84.00,82.00,84.00,60
3-Sep-13,80.00,82.00,80.00,82.00,2
30-Aug-13,80.00,82.00,80.00,82.00,105
29-Aug-13,84.00,84.00,84.00,84.00,12
28-Aug-13,80.00,80.00,80.00,80.00,7
27-Aug-13,80.00,80.00,80.00,80.00,6
26-Aug-13,88.00,88.00,80.00,84.00,90
23-Aug-13,88.00,88.00,88.00,88.00,10
22-Aug-13,84.00,84.00,84.00,84.00,10
21-Aug-13,86.00,89.60,76.00,80.00,372
16-Aug-13,90.00,90.00,90.00,90.00,74
15-Aug-13,86.00,88.00,86.00,88.00,128
13-Aug-13,86.00,86.00,86.00,86.00,1
12-Aug-13,78.00,78.00,78.00,78.00,2
9-Aug-13,86.00,86.00,86.00,86.00,10
8-Aug-13,80.00,82.00,80.00,82.00,72
7-Aug-13,86.00,86.00,86.00,86.00,3
5-Aug-13,86.00,86.00,86.00,86.00,82
2-Aug-13,86.00,86.00,86.00,86.00,45
1-Aug-13,84.00,86.00,84.00,86.00,46
31-Jul-13,84.00,84.00,84.00,84.00,122
30-Jul-13,82.00,84.00,80.00,80.00,77
29-Jul-13,88.00,88.00,80.00,82.00,220
26-Jul-13,84.00,84.00,84.00,84.00,86
25-Jul-13,90.00,90.00,84.00,84.00,24
24-Jul-13,81.00,89.00,81.00,89.00,194
23-Jul-13,78.00,88.00,78.00,81.00,207
22-Jul-13,84.00,86.00,84.00,86.00,10
19-Jul-13,88.00,90.00,88.00,88.00,137
18-Jul-13,84.00,88.00,84.00,88.00,12
16-Jul-13,88.00,92.00,88.00,88.00,256
15-Jul-13,92.00,92.00,80.00,80.00,85
12-Jul-13,88.20,90.00,88.00,90.00,63
11-Jul-13,88.20,88.20,88.20,88.20,4
10-Jul-13,89.00,89.00,89.00,89.00,2
9-Jul-13,91.00,91.00,90.00,90.00,26
8-Jul-13,90.00,92.00,90.00,92.00,285
5-Jul-13,91.80,91.80,91.80,91.80,10
