Date,Open,High,Low,Close,Volume
31-Dec-13,25.94,26.04,25.86,25.98,18645660
30-Dec-13,25.78,26.01,25.78,25.94,11175472
27-Dec-13,25.87,25.90,25.66,25.90,11208462
26-Dec-13,25.59,25.77,25.59,25.76,8146570
24-Dec-13,25.46,25.64,25.36,25.64,6370838
23-Dec-13,25.50,25.72,25.44,25.50,15737490
20-Dec-13,25.46,25.65,25.31,25.47,33617420
19-Dec-13,25.02,25.40,24.99,25.39,21741486
18-Dec-13,24.63,25.15,24.35,25.14,24603176
17-Dec-13,24.78,24.80,24.37,24.52,14590222
16-Dec-13,24.56,24.81,24.48,24.62,19437752
13-Dec-13,24.40,24.74,24.34,24.50,22730662
12-Dec-13,24.32,24.58,24.25,24.34,15404324
11-Dec-13,24.68,24.70,24.32,24.33,19972040
10-Dec-13,24.70,24.78,24.56,24.70,19057324
9-Dec-13,24.73,24.76,24.46,24.57,14867104
6-Dec-13,24.74,24.80,24.44,24.64,21829080
5-Dec-13,24.34,24.54,24.10,24.54,21093794
4-Dec-13,24.36,24.62,24.12,24.44,19394708
3-Dec-13,24.64,24.68,24.12,24.38,22124530
2-Dec-13,24.91,24.95,24.54,24.56,22818628
29-Nov-13,24.86,25.08,24.83,24.94,11199172
27-Nov-13,24.82,25.01,24.67,24.89,16559830
26-Nov-13,25.02,25.14,24.78,24.89,25052424
25-Nov-13,24.74,25.38,24.67,24.96,35670510
22-Nov-13,23.74,24.98,23.74,24.76,54354216
21-Nov-13,23.57,23.86,23.46,23.72,14157104
20-Nov-13,23.85,23.92,23.38,23.42,16696190
19-Nov-13,23.67,23.78,23.55,23.73,12540612
18-Nov-13,23.82,23.96,23.67,23.69,16772924
15-Nov-13,23.87,24.00,23.70,23.86,20028100
14-Nov-13,23.76,23.89,23.62,23.84,12836778
13-Nov-13,23.42,23.70,23.31,23.70,14796556
12-Nov-13,23.66,23.67,23.29,23.49,16745670
11-Nov-13,23.98,24.09,23.52,23.68,17896496
8-Nov-13,23.67,24.12,23.46,24.09,20020138
7-Nov-13,24.06,24.12,23.56,23.62,19181474
6-Nov-13,23.94,24.10,23.83,23.90,14914750
5-Nov-13,24.16,24.18,23.68,23.92,15553436
4-Nov-13,24.34,24.45,24.00,24.09,14786700
1-Nov-13,23.92,24.38,23.86,24.32,24865924
31-Oct-13,23.29,24.10,23.29,23.80,31185012
30-Oct-13,23.93,23.93,23.44,23.54,26896942
29-Oct-13,24.10,24.12,23.77,23.86,26940180
28-Oct-13,24.18,24.18,23.98,24.12,18805028
25-Oct-13,23.98,24.10,23.82,24.09,18384780
24-Oct-13,23.63,24.00,23.50,23.88,17553284
23-Oct-13,23.56,23.82,23.40,23.48,17411534
22-Oct-13,23.70,23.82,23.60,23.68,19499498
21-Oct-13,23.46,23.55,23.42,23.54,14038334
18-Oct-13,23.64,23.74,23.48,23.52,19960226
17-Oct-13,23.44,23.75,23.39,23.74,19338702
16-Oct-13,23.36,23.56,23.23,23.49,30415602
15-Oct-13,23.22,23.43,23.02,23.20,19912242
14-Oct-13,22.98,23.27,22.91,23.23,16153474
11-Oct-13,22.58,23.12,22.56,23.03,19087950
10-Oct-13,22.39,22.71,22.31,22.68,17470332
9-Oct-13,22.42,22.58,22.04,22.16,19890058
8-Oct-13,22.52,22.56,22.28,22.31,20546154
7-Oct-13,22.56,22.94,22.52,22.55,16003994
4-Oct-13,22.46,22.92,22.38,22.82,23118494
3-Oct-13,22.58,22.65,22.31,22.50,19189476
2-Oct-13,22.65,22.72,22.55,22.72,18979064
1-Oct-13,22.58,22.88,22.52,22.80,25490276
30-Sep-13,22.12,22.66,22.12,22.56,36462766
27-Sep-13,22.01,22.44,21.97,22.37,21498298
26-Sep-13,21.72,22.06,21.68,22.05,18696348
25-Sep-13,21.90,21.92,21.60,21.62,19228792
24-Sep-13,22.06,22.18,21.80,21.84,21769362
23-Sep-13,22.04,22.17,21.85,21.97,15529686
20-Sep-13,22.24,22.41,22.16,22.20,26830732
19-Sep-13,22.26,22.39,22.12,22.20,15730576
18-Sep-13,22.25,22.27,21.92,22.14,25128488
17-Sep-13,22.28,22.38,22.20,22.22,14557338
16-Sep-13,22.30,22.34,22.12,22.21,17107564
13-Sep-13,21.82,22.06,21.77,21.98,14228214
12-Sep-13,21.92,21.96,21.70,21.74,14165210
11-Sep-13,21.36,21.94,21.36,21.90,21001150
10-Sep-13,21.22,21.42,21.20,21.42,21793732
9-Sep-13,21.28,21.35,21.04,21.15,22565870
6-Sep-13,21.40,21.44,21.06,21.24,21006404
5-Sep-13,21.49,21.60,21.16,21.27,20725672
4-Sep-13,21.44,21.62,21.30,21.53,19790028
3-Sep-13,21.30,21.58,21.22,21.37,18807442
30-Aug-13,21.28,21.28,20.98,21.04,19867944
29-Aug-13,20.91,21.36,20.86,21.22,19557584
28-Aug-13,20.88,21.10,20.72,20.96,25493046
27-Aug-13,20.58,21.10,20.53,20.90,23323956
26-Aug-13,20.98,21.04,20.64,20.72,20618490
23-Aug-13,21.00,21.08,20.76,20.93,15776316
22-Aug-13,20.98,21.08,20.94,21.01,11381362
21-Aug-13,21.23,21.24,20.66,20.92,28185614
20-Aug-13,21.20,21.42,21.08,21.34,14121222
19-Aug-13,21.29,21.38,21.06,21.10,13052732
16-Aug-13,21.44,21.46,21.16,21.27,20840670
15-Aug-13,21.84,21.85,21.31,21.50,24206576
14-Aug-13,22.40,22.40,21.90,21.93,23287944
13-Aug-13,22.33,22.50,22.16,22.42,13833646
12-Aug-13,22.19,22.44,22.14,22.39,10171340
9-Aug-13,22.39,22.55,22.27,22.31,12401408
8-Aug-13,22.77,22.86,22.44,22.47,14754812
7-Aug-13,22.38,22.66,22.32,22.59,19001676
6-Aug-13,22.72,22.82,22.36,22.50,22526102
5-Aug-13,22.77,22.98,22.77,22.82,15492514
2-Aug-13,22.94,22.94,22.70,22.86,23239666
1-Aug-13,22.88,23.16,22.84,22.92,28002302
31-Jul-13,22.12,22.70,21.96,22.54,54098148
30-Jul-13,21.64,21.75,21.33,21.36,26904098
29-Jul-13,21.74,21.83,21.66,21.70,15992542
26-Jul-13,21.90,21.95,21.70,21.86,27925566
25-Jul-13,22.34,22.40,21.98,22.08,20786810
24-Jul-13,22.57,22.81,22.32,22.48,19651984
