Date,Open,High,Low,Close,Volume
31-Dec-13,31.80,31.94,31.43,31.51,146087
30-Dec-13,32.00,32.11,31.64,31.84,85962
27-Dec-13,32.06,32.20,31.66,31.95,92755
26-Dec-13,32.23,32.23,31.74,31.93,107539
24-Dec-13,32.14,32.31,32.00,32.12,55155
23-Dec-13,31.95,32.17,31.88,32.01,73339
20-Dec-13,31.54,31.97,31.25,31.74,388968
19-Dec-13,31.67,31.67,31.32,31.42,124241
18-Dec-13,31.84,31.97,31.27,31.62,146989
17-Dec-13,32.14,32.18,31.64,31.75,123683
16-Dec-13,32.17,32.25,31.66,32.06,196677
13-Dec-13,32.04,32.14,31.51,32.00,332484
12-Dec-13,31.84,32.37,31.76,32.01,290159
11-Dec-13,32.08,32.08,31.65,31.74,324787
10-Dec-13,32.76,33.65,31.25,31.92,496066
9-Dec-13,31.27,31.47,30.96,31.29,179740
6-Dec-13,31.51,31.60,31.07,31.33,57112
5-Dec-13,30.98,31.43,30.84,31.24,40984
4-Dec-13,31.28,31.48,30.78,31.04,65298
3-Dec-13,31.39,31.72,31.09,31.45,64902
2-Dec-13,32.18,32.30,31.32,31.54,112321
29-Nov-13,32.27,32.41,31.89,32.14,30922
27-Nov-13,31.56,32.20,31.56,32.17,78775
26-Nov-13,31.51,31.69,31.31,31.51,54013
25-Nov-13,31.11,31.67,30.75,31.44,72423
22-Nov-13,30.87,31.12,30.68,31.00,85288
21-Nov-13,30.70,30.95,30.44,30.80,77820
20-Nov-13,30.87,31.08,30.56,30.66,53899
19-Nov-13,30.63,31.00,30.38,30.74,104979
18-Nov-13,30.94,31.09,30.44,30.62,87244
15-Nov-13,30.52,31.00,30.01,30.81,116833
14-Nov-13,30.50,30.57,30.20,30.54,87751
13-Nov-13,30.42,30.93,30.36,30.59,70266
12-Nov-13,30.36,30.67,30.24,30.51,78517
11-Nov-13,30.45,30.57,30.23,30.37,78781
8-Nov-13,30.49,30.90,30.24,30.53,147626
7-Nov-13,30.80,30.96,30.40,30.50,107321
6-Nov-13,30.56,30.94,30.44,30.87,78629
5-Nov-13,30.23,30.80,30.23,30.39,76278
4-Nov-13,30.26,30.48,29.88,30.29,148351
1-Nov-13,29.97,30.51,29.80,30.16,173924
31-Oct-13,30.02,30.34,29.87,30.02,131746
30-Oct-13,29.99,30.14,29.65,29.97,64893
29-Oct-13,29.95,30.03,29.60,29.91,67514
28-Oct-13,28.97,29.91,28.95,29.82,130330
25-Oct-13,29.17,29.31,28.84,28.92,107667
24-Oct-13,29.20,29.21,28.90,29.05,78807
23-Oct-13,28.64,29.22,28.64,29.11,76448
22-Oct-13,28.74,29.23,28.44,28.73,72188
21-Oct-13,28.95,29.22,28.21,28.53,118138
18-Oct-13,28.07,29.26,27.50,28.95,195807
17-Oct-13,27.37,27.96,27.37,27.84,150292
16-Oct-13,27.35,27.50,27.35,27.40,104042
15-Oct-13,27.17,27.50,27.10,27.36,91496
14-Oct-13,27.43,27.62,27.32,27.42,84419
11-Oct-13,27.34,27.67,27.31,27.45,131867
10-Oct-13,27.25,27.43,27.23,27.37,167117
9-Oct-13,26.79,27.35,26.66,26.83,98477
8-Oct-13,26.94,27.00,26.54,26.63,102303
7-Oct-13,26.12,27.00,25.79,26.86,273557
4-Oct-13,26.50,26.74,25.41,25.77,504509
3-Oct-13,24.42,24.59,23.87,24.09,175049
2-Oct-13,24.32,24.49,24.14,24.35,41311
1-Oct-13,24.28,24.57,24.28,24.43,63140
30-Sep-13,24.55,24.70,24.08,24.32,120904
27-Sep-13,24.62,24.78,24.56,24.69,20068
26-Sep-13,25.00,25.05,24.40,24.83,106670
25-Sep-13,24.44,25.16,24.37,24.99,53531
24-Sep-13,24.46,24.57,24.21,24.41,87061
23-Sep-13,24.56,24.99,24.39,24.49,94499
20-Sep-13,24.72,24.73,24.43,24.57,92668
19-Sep-13,24.80,24.98,24.49,24.71,29539
18-Sep-13,24.74,24.79,24.25,24.78,33395
17-Sep-13,24.42,24.73,24.33,24.67,31389
16-Sep-13,24.79,24.79,24.27,24.37,26110
13-Sep-13,24.76,24.76,24.31,24.44,16031
12-Sep-13,24.57,24.83,24.54,24.67,22797
11-Sep-13,24.64,24.80,24.51,24.64,36819
10-Sep-13,24.90,24.98,24.64,24.72,34629
9-Sep-13,24.38,24.93,24.21,24.70,31679
6-Sep-13,24.79,24.79,24.20,24.36,35902
5-Sep-13,24.72,24.91,24.57,24.62,48208
4-Sep-13,23.98,24.99,23.98,24.70,53252
3-Sep-13,24.23,24.69,23.86,24.01,53415
30-Aug-13,24.45,24.53,23.84,23.97,67988
29-Aug-13,24.64,24.84,24.46,24.57,26546
28-Aug-13,24.49,24.69,24.38,24.63,18343
27-Aug-13,24.90,25.28,24.45,24.50,39211
26-Aug-13,25.53,25.69,25.15,25.21,31306
23-Aug-13,25.68,25.98,25.31,25.54,37640
22-Aug-13,25.30,25.74,24.85,25.67,40829
21-Aug-13,25.65,25.86,25.21,25.25,18429
20-Aug-13,25.60,25.85,25.51,25.71,14749
19-Aug-13,25.93,25.95,25.51,25.54,35718
16-Aug-13,25.89,26.18,25.60,25.97,85174
15-Aug-13,25.93,26.15,25.76,25.99,31609
14-Aug-13,26.26,26.48,26.14,26.24,37343
13-Aug-13,26.55,26.55,26.21,26.34,28539
12-Aug-13,26.44,26.88,26.16,26.50,38271
9-Aug-13,26.84,26.97,26.60,26.61,47150
8-Aug-13,27.11,27.11,26.87,26.89,38948
7-Aug-13,27.02,27.06,26.66,26.97,42145
6-Aug-13,27.25,27.30,27.11,27.12,28553
5-Aug-13,27.24,27.37,27.11,27.30,57355
2-Aug-13,27.10,27.35,26.91,27.30,47578
1-Aug-13,27.24,27.67,27.11,27.25,75609
31-Jul-13,27.16,27.23,27.01,27.08,65719
30-Jul-13,26.90,27.24,26.74,27.14,50092
29-Jul-13,26.73,26.94,26.36,26.71,42715
26-Jul-13,26.97,27.41,26.72,26.79,61642
25-Jul-13,27.00,27.35,26.79,27.17,80155
24-Jul-13,27.49,27.58,27.07,27.14,33153
23-Jul-13,27.71,27.71,27.18,27.30,39955
22-Jul-13,27.49,27.63,27.25,27.57,49154
19-Jul-13,27.62,27.62,27.15,27.54,67756
18-Jul-13,27.73,27.75,27.48,27.63,45907
17-Jul-13,27.50,27.70,27.40,27.60,58163
16-Jul-13,27.76,27.76,27.54,27.57,74258
15-Jul-13,27.58,27.80,27.56,27.75,119173
