Date,Open,High,Low,Close,Volume
31-Dec-13,6.61,6.67,6.44,6.45,23083
30-Dec-13,6.75,6.75,6.47,6.62,21536
27-Dec-13,6.75,6.85,6.42,6.72,57914
26-Dec-13,7.01,7.06,6.54,6.73,98108
24-Dec-13,6.96,7.21,6.89,7.01,46260
23-Dec-13,7.15,7.15,6.71,6.98,32967
20-Dec-13,6.37,7.20,6.32,7.20,242831
19-Dec-13,6.12,6.60,6.02,6.33,29702
18-Dec-13,6.22,6.65,6.22,6.27,43312
17-Dec-13,6.11,6.56,5.83,6.26,43121
16-Dec-13,6.06,6.13,5.94,6.00,20008
13-Dec-13,6.16,6.25,5.95,6.00,65155
12-Dec-13,6.06,6.21,5.92,6.03,28352
11-Dec-13,5.99,6.21,5.76,6.06,79601
10-Dec-13,6.15,6.15,5.90,5.96,47679
9-Dec-13,6.67,6.79,5.92,6.16,95847
6-Dec-13,6.97,6.97,6.51,6.68,82486
5-Dec-13,6.93,6.98,6.35,6.87,49514
4-Dec-13,7.20,7.20,6.56,6.75,157707
3-Dec-13,7.55,8.20,7.11,7.25,1242382
2-Dec-13,6.38,6.53,5.92,6.14,104787
29-Nov-13,6.19,6.93,6.03,6.38,44032
27-Nov-13,6.06,6.52,5.91,6.19,54123
26-Nov-13,6.01,6.20,5.83,6.07,46071
25-Nov-13,6.07,6.52,5.88,6.02,92081
22-Nov-13,6.98,6.98,6.03,6.07,89560
21-Nov-13,7.00,7.04,6.70,6.89,47507
20-Nov-13,6.76,7.15,6.61,6.96,35632
19-Nov-13,6.97,7.15,6.26,7.04,10486
18-Nov-13,7.67,7.70,6.85,6.95,11584
15-Nov-13,8.25,8.25,7.50,7.67,26882
14-Nov-13,8.52,8.52,8.25,8.25,3907
13-Nov-13,8.51,8.52,8.30,8.39,3654
12-Nov-13,8.57,8.85,8.50,8.52,6287
11-Nov-13,8.63,8.87,8.45,8.58,3784
8-Nov-13,8.50,8.74,8.45,8.68,3653
7-Nov-13,8.90,9.00,8.45,8.51,14826
6-Nov-13,8.35,9.35,8.35,8.95,3745
5-Nov-13,9.13,9.13,9.01,9.03,2965
4-Nov-13,8.71,9.35,8.71,9.20,19677
1-Nov-13,8.87,8.91,8.56,8.71,21440
31-Oct-13,8.84,9.19,8.77,8.90,73453
30-Oct-13,9.01,9.30,8.92,8.95,21157
29-Oct-13,9.00,9.17,8.96,9.03,5122
28-Oct-13,9.20,9.20,8.87,9.00,15678
25-Oct-13,9.29,9.29,9.01,9.16,8510
24-Oct-13,9.61,9.65,8.96,9.23,20869
23-Oct-13,9.95,9.95,9.20,9.73,35631
22-Oct-13,9.72,9.94,9.64,9.91,7202
21-Oct-13,10.02,10.02,9.71,9.86,16168
