Date,Open,High,Low,Close,Volume
31-Dec-13,38.62,38.90,38.15,38.80,125106
30-Dec-13,38.70,38.90,38.14,38.47,58823
27-Dec-13,38.60,39.00,38.05,38.87,66186
26-Dec-13,38.58,38.71,38.26,38.52,42594
24-Dec-13,38.86,38.86,38.46,38.51,38174
23-Dec-13,38.96,39.38,38.16,38.71,112107
20-Dec-13,37.88,39.00,37.58,38.84,215924
19-Dec-13,37.79,38.39,37.51,37.73,131544
18-Dec-13,37.56,38.19,37.24,37.87,190416
17-Dec-13,38.39,38.78,37.07,37.60,152114
16-Dec-13,36.85,38.80,36.80,38.35,486344
13-Dec-13,36.35,37.07,35.16,36.84,336184
12-Dec-13,36.57,37.31,35.40,37.03,264280
11-Dec-13,36.28,36.80,36.04,36.41,195443
10-Dec-13,36.75,36.88,35.94,36.35,127764
9-Dec-13,36.08,36.77,35.80,36.71,81075
6-Dec-13,36.71,37.31,36.57,36.91,210163
5-Dec-13,36.47,36.51,36.11,36.39,101972
4-Dec-13,35.60,36.44,35.55,36.25,289337
3-Dec-13,34.19,35.83,34.00,35.75,324139
2-Dec-13,33.39,34.09,32.91,34.06,135911
29-Nov-13,33.44,33.59,32.91,33.50,35836
27-Nov-13,32.94,33.31,32.74,33.30,42534
26-Nov-13,32.61,33.29,31.62,33.02,90474
25-Nov-13,32.78,33.12,32.47,32.66,73065
22-Nov-13,32.85,33.36,32.52,32.78,58704
21-Nov-13,31.99,32.91,31.32,32.78,320547
20-Nov-13,31.90,32.00,31.61,31.98,58528
19-Nov-13,31.84,32.05,31.52,31.89,101139
18-Nov-13,31.96,32.05,31.46,31.92,97884
15-Nov-13,31.56,32.23,31.56,31.85,128478
14-Nov-13,31.72,31.92,31.45,31.61,384264
13-Nov-13,31.60,32.10,31.50,31.81,59041
12-Nov-13,31.49,31.91,31.49,31.79,54156
11-Nov-13,31.59,31.91,31.25,31.58,43305
8-Nov-13,31.14,31.99,31.14,31.72,74611
7-Nov-13,31.31,31.96,31.06,31.19,58693
6-Nov-13,31.70,31.82,30.86,31.18,142096
5-Nov-13,31.49,31.57,30.58,31.51,128851
4-Nov-13,31.78,31.80,31.40,31.58,129283
1-Nov-13,31.59,31.92,31.50,31.63,102491
31-Oct-13,31.66,31.99,31.51,31.58,70214
30-Oct-13,32.00,32.00,31.52,31.72,79156
29-Oct-13,32.10,32.14,31.85,32.00,130752
28-Oct-13,31.75,32.34,31.60,32.10,347487
25-Oct-13,31.86,31.90,31.64,31.83,167548
24-Oct-13,31.81,31.94,31.61,31.69,120651
23-Oct-13,31.58,31.89,31.52,31.75,90615
22-Oct-13,31.59,31.94,31.59,31.69,164700
21-Oct-13,31.83,32.00,31.47,31.79,244391
18-Oct-13,32.15,32.15,31.65,31.85,197664
17-Oct-13,31.88,32.00,31.46,32.00,1070781
16-Oct-13,31.90,32.13,31.85,32.01,30418
15-Oct-13,31.98,32.00,31.71,31.93,32444
14-Oct-13,32.03,32.11,31.77,32.00,57904
11-Oct-13,31.85,32.07,31.77,32.00,85973
10-Oct-13,31.96,32.00,31.67,32.00,67424
9-Oct-13,31.90,32.00,31.65,31.82,63870
8-Oct-13,31.72,32.00,31.50,31.91,78179
