Date,Open,High,Low,Close,Volume
31-Dec-13,-,-,-,3.22,0
30-Dec-13,3.22,3.22,3.22,3.22,7300
27-Dec-13,-,-,-,3.35,0
24-Dec-13,3.30,3.30,3.30,3.35,3500
23-Dec-13,3.33,3.35,3.30,3.35,15075
20-Dec-13,3.32,3.32,3.31,3.34,14750
19-Dec-13,3.32,3.32,3.32,3.32,1600
18-Dec-13,3.30,3.30,3.30,3.30,8800
17-Dec-13,-,-,-,3.31,0
16-Dec-13,3.31,-,-,3.31,0
13-Dec-13,-,-,-,3.36,0
12-Dec-13,-,-,-,3.36,0
11-Dec-13,-,-,-,3.36,0
10-Dec-13,-,-,-,3.36,0
9-Dec-13,-,-,-,3.36,0
6-Dec-13,-,-,-,3.36,0
5-Dec-13,-,-,-,3.36,0
4-Dec-13,3.31,3.36,3.31,3.36,2435
3-Dec-13,3.33,-,-,3.33,0
2-Dec-13,3.36,3.36,3.34,3.34,5650
29-Nov-13,-,-,-,3.32,0
28-Nov-13,3.32,-,-,3.32,0
27-Nov-13,3.27,3.27,3.27,3.28,1500
26-Nov-13,3.31,-,-,3.30,0
25-Nov-13,3.31,3.31,3.30,3.30,45000
22-Nov-13,3.33,-,-,3.33,0
21-Nov-13,3.32,-,-,3.32,0
20-Nov-13,3.31,3.31,3.31,3.36,140000
19-Nov-13,3.31,3.31,3.31,3.31,750
18-Nov-13,3.22,-,-,3.22,0
15-Nov-13,3.17,3.22,3.17,3.22,50000
14-Nov-13,-,-,-,3.10,0
13-Nov-13,-,-,-,3.10,0
12-Nov-13,3.10,3.10,3.10,3.10,500
11-Nov-13,3.08,3.09,3.08,3.09,13000
8-Nov-13,-,-,-,3.18,0
7-Nov-13,3.26,3.26,3.18,3.18,30500
6-Nov-13,-,-,-,3.26,0
5-Nov-13,3.17,-,-,3.26,0
4-Nov-13,-,-,-,3.15,0
1-Nov-13,3.17,-,-,3.15,0
31-Oct-13,3.19,3.19,3.19,3.19,3000
30-Oct-13,3.17,-,-,3.17,0
29-Oct-13,3.22,3.22,3.18,3.18,84983
28-Oct-13,3.22,-,-,3.22,0
25-Oct-13,3.24,-,-,3.21,0
24-Oct-13,3.27,3.27,3.27,3.24,3050
23-Oct-13,3.28,3.28,3.28,3.28,3490
22-Oct-13,-,-,-,3.25,0
21-Oct-13,3.22,-,-,3.25,0
18-Oct-13,3.30,-,-,3.28,0
17-Oct-13,-,-,-,3.27,0
16-Oct-13,3.28,3.28,3.28,3.27,250
15-Oct-13,3.30,-,-,3.30,0
14-Oct-13,3.29,-,-,3.25,0
11-Oct-13,3.30,3.30,3.30,3.30,3100
10-Oct-13,3.27,3.27,3.27,3.27,6750
9-Oct-13,3.24,3.24,3.24,3.26,3000
8-Oct-13,3.22,3.25,3.22,3.27,65700
7-Oct-13,3.21,3.22,3.21,3.22,8650
4-Oct-13,-,-,-,3.11,0
3-Oct-13,3.12,3.12,3.11,3.11,45000
2-Oct-13,-,-,-,3.15,0
1-Oct-13,3.14,-,-,3.15,0
30-Sep-13,-,-,-,3.12,0
27-Sep-13,-,-,-,3.12,0
26-Sep-13,3.10,3.12,3.10,3.12,3799
25-Sep-13,-,-,-,3.13,0
24-Sep-13,-,-,-,3.13,0
20-Sep-13,3.12,3.12,3.12,3.13,32250
19-Sep-13,3.13,-,-,3.13,0
18-Sep-13,3.16,-,-,3.16,0
17-Sep-13,3.15,3.15,3.14,3.14,28053
16-Sep-13,3.10,-,-,3.10,0
13-Sep-13,3.11,-,-,3.09,0
12-Sep-13,-,-,-,3.11,0
11-Sep-13,3.11,-,-,3.11,0
10-Sep-13,3.07,3.07,3.07,3.06,4000
9-Sep-13,3.09,3.09,3.05,3.07,11750
6-Sep-13,3.08,3.08,3.08,3.08,20000
5-Sep-13,3.07,3.07,3.06,3.06,53000
4-Sep-13,2.91,-,-,2.91,0
3-Sep-13,-,-,-,2.94,0
2-Sep-13,-,-,-,2.94,0
30-Aug-13,-,-,-,2.94,0
29-Aug-13,2.94,2.94,2.94,2.94,5000
28-Aug-13,-,-,-,2.93,0
27-Aug-13,2.96,2.96,2.93,2.93,1436
23-Aug-13,2.95,2.97,2.95,2.97,6889
22-Aug-13,-,-,-,3.00,0
21-Aug-13,3.00,-,-,3.00,0
20-Aug-13,3.00,3.00,3.00,3.00,1980
19-Aug-13,3.00,-,-,3.00,0
16-Aug-13,2.99,2.99,2.99,2.99,4161
15-Aug-13,2.99,-,-,2.99,0
14-Aug-13,2.92,2.92,2.92,2.99,4300
13-Aug-13,-,-,-,2.98,0
12-Aug-13,2.98,2.98,2.98,2.98,1560
9-Aug-13,2.95,2.95,2.95,2.95,100
8-Aug-13,3.00,3.00,3.00,3.02,34450
7-Aug-13,2.96,-,-,2.96,0
6-Aug-13,-,-,-,2.83,0
5-Aug-13,2.83,-,-,2.83,0
2-Aug-13,-,-,-,2.76,0
1-Aug-13,-,-,-,2.76,0
31-Jul-13,2.76,2.76,2.76,2.76,1400
30-Jul-13,-,-,-,2.81,0
29-Jul-13,2.81,-,-,2.81,0
26-Jul-13,2.86,2.86,2.86,2.86,650
25-Jul-13,2.86,2.86,2.86,2.86,4300
24-Jul-13,-,-,-,2.83,0
23-Jul-13,-,-,-,2.83,0
22-Jul-13,2.83,2.83,2.83,2.83,60000
19-Jul-13,2.84,2.89,2.84,2.86,72700
18-Jul-13,2.81,2.81,-,2.81,0
17-Jul-13,2.79,2.79,2.79,2.79,3625
16-Jul-13,2.72,2.78,2.72,2.78,17500
15-Jul-13,2.69,2.69,2.68,2.68,8500
12-Jul-13,2.73,2.73,-,2.73,0
11-Jul-13,-,-,-,2.65,0
10-Jul-13,-,-,-,2.65,0
9-Jul-13,2.61,-,2.61,2.65,0
8-Jul-13,2.64,2.64,2.64,2.64,671
5-Jul-13,2.72,2.74,2.70,2.70,9750
4-Jul-13,-,-,-,2.59,0
3-Jul-13,-,-,-,2.59,0
2-Jul-13,-,-,-,2.59,0
1-Jul-13,2.61,-,2.59,2.59,0
28-Jun-13,2.60,2.60,2.60,2.60,700
27-Jun-13,-,-,-,2.59,0
26-Jun-13,-,-,-,2.59,0
25-Jun-13,-,-,-,2.59,0
24-Jun-13,2.60,2.62,2.58,2.59,28000
21-Jun-13,2.61,2.61,2.61,2.61,15200
20-Jun-13,2.60,2.60,2.60,2.60,25000
19-Jun-13,-,-,-,2.68,0
18-Jun-13,2.70,2.70,2.67,2.68,105150
17-Jun-13,-,-,-,2.80,0
14-Jun-13,2.80,2.80,2.80,2.80,700
13-Jun-13,2.80,-,2.80,2.80,0
12-Jun-13,-,-,-,2.85,0
11-Jun-13,2.85,2.87,2.84,2.85,11400
10-Jun-13,2.86,2.86,2.84,2.86,33000
7-Jun-13,2.83,2.86,2.83,2.84,43850
6-Jun-13,-,-,-,2.80,0
5-Jun-13,2.80,2.80,2.80,2.80,5469
4-Jun-13,2.73,2.74,2.71,2.74,300
3-Jun-13,2.71,2.71,-,2.71,0
31-May-13,-,-,-,2.68,0
30-May-13,2.70,2.70,2.67,2.68,24795
29-May-13,2.68,2.68,2.68,2.68,100
28-May-13,2.73,2.75,2.70,2.70,200
24-May-13,2.74,2.74,2.74,2.74,126850
23-May-13,2.81,2.81,2.81,2.81,27540
22-May-13,2.85,2.85,2.80,2.80,27690
21-May-13,2.80,-,2.80,2.80,0
20-May-13,2.78,2.81,2.78,2.81,23100
17-May-13,2.80,2.80,2.76,2.80,22890
16-May-13,2.80,2.82,2.80,2.82,22995
15-May-13,2.84,2.88,2.84,2.88,26600
14-May-13,2.82,2.85,2.82,2.84,14000
13-May-13,2.75,2.81,2.75,2.81,45850
10-May-13,2.83,2.83,2.83,2.83,2000
9-May-13,-,-,-,2.92,0
8-May-13,2.92,-,2.92,2.92,0
7-May-13,-,-,-,2.93,0
3-May-13,2.93,2.93,2.93,2.93,10365
2-May-13,2.92,2.92,2.92,2.92,13000
1-May-13,2.87,2.87,-,2.87,0
30-Apr-13,2.82,2.84,2.82,2.84,19970
29-Apr-13,2.86,-,2.84,2.84,0
26-Apr-13,2.88,2.88,2.85,2.86,150000
25-Apr-13,2.86,2.87,2.84,2.84,58500
24-Apr-13,2.82,2.83,2.82,2.83,7500
23-Apr-13,2.83,2.86,2.83,2.84,38360
22-Apr-13,2.84,2.86,2.80,2.80,96200
19-Apr-13,2.86,2.86,2.83,2.84,30000
18-Apr-13,2.82,2.82,2.81,2.82,40000
17-Apr-13,2.81,2.84,2.81,2.84,13000
16-Apr-13,2.73,2.81,2.73,2.80,13000
15-Apr-13,2.76,2.77,2.74,2.76,77885
12-Apr-13,2.72,2.75,2.72,2.75,20000
11-Apr-13,2.72,2.74,2.72,2.74,4543
10-Apr-13,2.72,2.72,-,2.72,0
9-Apr-13,2.68,2.69,2.68,2.68,90578
8-Apr-13,2.62,2.62,-,2.62,0
5-Apr-13,-,-,-,2.60,0
4-Apr-13,2.60,2.60,2.60,2.60,1100
3-Apr-13,2.66,2.66,2.62,2.62,260
2-Apr-13,2.69,2.77,2.67,2.68,51588
28-Mar-13,2.68,2.68,2.68,2.68,15000
27-Mar-13,2.63,2.63,2.62,2.63,1000
26-Mar-13,2.66,2.66,2.66,2.66,955
25-Mar-13,-,-,-,2.66,0
22-Mar-13,-,-,-,2.66,0
21-Mar-13,2.64,2.66,2.64,2.66,3970
20-Mar-13,2.64,2.65,2.64,2.65,13000
19-Mar-13,2.59,2.59,2.58,2.58,13000
18-Mar-13,2.60,2.60,2.56,2.56,0
15-Mar-13,2.62,2.64,2.60,2.60,77500
14-Mar-13,2.61,-,2.61,2.61,0
13-Mar-13,2.65,2.65,2.65,2.65,750
12-Mar-13,2.63,2.65,2.63,2.65,22500
11-Mar-13,2.62,2.62,2.61,2.61,8552
8-Mar-13,2.58,2.58,2.58,2.58,25000
7-Mar-13,2.52,2.52,2.52,2.52,50002
6-Mar-13,2.52,2.56,2.51,2.52,15053
5-Mar-13,2.54,2.56,2.54,2.56,10365
4-Mar-13,2.54,2.54,2.52,2.52,11000
1-Mar-13,2.61,2.61,2.61,2.61,15350
28-Feb-13,-,-,-,2.60,0
27-Feb-13,2.60,2.60,2.60,2.60,4000
26-Feb-13,2.67,2.67,2.67,2.67,10000
25-Feb-13,2.62,-,2.62,2.62,-
22-Feb-13,2.64,2.64,2.61,2.64,7500
21-Feb-13,2.60,2.60,2.57,2.60,2000
20-Feb-13,2.62,2.62,2.58,2.58,43950
19-Feb-13,2.62,2.63,2.62,2.62,10000
18-Feb-13,2.65,2.65,-,2.65,-
15-Feb-13,2.64,-,2.64,2.64,-
14-Feb-13,2.66,2.66,2.66,2.66,30000
13-Feb-13,2.68,2.68,2.67,2.67,31800
12-Feb-13,2.67,2.69,2.66,2.66,18000
11-Feb-13,2.68,2.68,2.68,2.68,8500
8-Feb-13,-,-,-,2.77,0
7-Feb-13,2.77,2.77,-,2.77,-
6-Feb-13,2.75,-,2.76,2.75,-
5-Feb-13,2.74,2.76,2.74,2.76,34000
4-Feb-13,2.71,2.72,2.70,2.69,-
1-Feb-13,2.71,2.72,-,2.72,-
31-Jan-13,2.71,2.71,2.71,2.71,400
30-Jan-13,-,-,-,2.70,0
29-Jan-13,2.67,2.70,2.67,2.70,12500
28-Jan-13,2.68,2.70,2.66,2.67,20000
25-Jan-13,2.70,2.70,2.67,2.67,-
24-Jan-13,-,-,-,2.73,0
23-Jan-13,2.74,2.74,-,2.73,-
22-Jan-13,2.79,2.79,2.74,2.75,24392
21-Jan-13,-,-,-,2.81,0
18-Jan-13,2.81,2.81,2.81,2.81,40000
17-Jan-13,2.80,2.80,-,2.80,-
16-Jan-13,2.80,2.80,2.78,2.78,50702
15-Jan-13,2.76,2.77,2.76,2.77,1000
14-Jan-13,2.79,2.79,2.77,2.77,3383
11-Jan-13,2.77,2.79,2.77,2.79,4000
10-Jan-13,-,-,-,2.72,0
9-Jan-13,2.75,2.75,2.72,2.72,2400
8-Jan-13,2.78,-,2.78,2.78,-
7-Jan-13,2.74,2.74,2.73,2.73,58300
4-Jan-13,2.74,2.76,2.73,2.74,7400
3-Jan-13,2.78,2.78,2.77,2.78,37950
2-Jan-13,2.78,2.78,2.72,2.78,3877
31-Dec-12,-,-,-,2.78,0
28-Dec-12,2.78,2.79,2.77,2.78,4023
27-Dec-12,2.80,2.80,2.78,2.78,11610
24-Dec-12,2.50,2.50,2.50,2.50,1367
21-Dec-12,2.86,2.86,2.84,2.85,7520
20-Dec-12,2.88,2.90,2.88,2.88,4800
19-Dec-12,-,-,-,3.00,0
18-Dec-12,-,-,-,3.00,0
17-Dec-12,3.00,3.00,3.00,3.00,3333
14-Dec-12,2.98,2.98,2.98,2.98,2000
13-Dec-12,-,-,-,2.97,0
12-Dec-12,2.97,2.97,-,2.97,-
11-Dec-12,-,-,-,2.94,0
10-Dec-12,2.96,2.96,2.94,2.94,3500
7-Dec-12,2.96,2.98,2.96,2.96,5000
6-Dec-12,-,-,-,2.99,0
5-Dec-12,2.99,2.99,2.99,2.99,2600
4-Dec-12,3.04,3.04,3.04,3.04,1916
3-Dec-12,3.07,3.07,3.06,3.07,14000
30-Nov-12,-,-,-,3.06,0
29-Nov-12,3.06,3.06,3.06,3.06,21500
28-Nov-12,3.00,3.00,3.00,3.00,1000
27-Nov-12,-,-,-,3.00,0
26-Nov-12,3.08,3.10,3.00,3.00,16450
23-Nov-12,-,-,-,3.05,0
22-Nov-12,-,-,-,3.05,0
21-Nov-12,3.05,3.05,3.05,3.05,4764
20-Nov-12,3.01,3.01,3.01,3.01,16500
19-Nov-12,2.98,2.98,2.95,2.96,11097
16-Nov-12,-,-,-,3.06,0
15-Nov-12,3.02,3.05,3.02,3.05,22677
14-Nov-12,2.93,3.02,2.93,3.02,25987
13-Nov-12,-,-,-,2.94,0
12-Nov-12,2.95,2.95,2.95,2.95,5430
9-Nov-12,2.85,2.93,2.85,2.86,5300
8-Nov-12,2.89,2.90,2.89,2.89,5346
7-Nov-12,3.02,3.04,2.95,2.95,15052
6-Nov-12,-,-,-,2.98,0
5-Nov-12,-,-,-,2.98,0
2-Nov-12,2.98,2.98,2.98,2.98,10000
1-Nov-12,-,-,-,2.96,0
31-Oct-12,2.96,2.97,2.94,2.97,26450
30-Oct-12,2.97,2.97,2.97,2.97,7000
29-Oct-12,2.98,2.98,2.98,2.98,10000
26-Oct-12,-,-,-,2.98,0
25-Oct-12,2.98,2.98,2.98,2.98,23615
24-Oct-12,3.04,3.04,3.03,3.04,7790
23-Oct-12,3.12,3.12,3.12,3.12,3400
22-Oct-12,3.07,3.10,3.04,3.10,6056
19-Oct-12,3.00,3.04,3.00,3.00,850
18-Oct-12,3.00,3.00,3.00,3.00,4601
17-Oct-12,-,-,-,2.98,0
16-Oct-12,-,-,-,2.90,0
15-Oct-12,2.90,2.90,2.89,2.90,1362
12-Oct-12,-,-,-,2.90,0
11-Oct-12,2.89,2.89,2.89,2.89,4396
10-Oct-12,2.94,2.94,2.94,2.94,4000
9-Oct-12,2.96,2.99,2.96,2.97,49187
8-Oct-12,2.92,2.93,2.91,2.91,1300
5-Oct-12,-,-,-,3.00,0
4-Oct-12,3.00,3.00,2.97,3.00,2027
3-Oct-12,3.06,3.06,3.00,3.01,33500
2-Oct-12,3.00,3.04,2.97,3.04,24609
1-Oct-12,3.09,3.09,3.02,3.02,8234
28-Sep-12,-,-,-,3.05,0
27-Sep-12,3.04,3.05,3.03,3.05,6000
26-Sep-12,3.03,3.08,3.03,3.04,19066
25-Sep-12,3.04,3.04,3.02,3.02,8200
24-Sep-12,-,-,-,3.13,0
21-Sep-12,3.14,3.14,3.13,3.13,1000
20-Sep-12,3.08,3.08,3.08,3.08,16383
19-Sep-12,3.15,3.15,3.10,3.14,24510
18-Sep-12,3.15,3.15,3.12,3.12,41187
17-Sep-12,3.29,3.29,3.19,3.19,51855
14-Sep-12,3.27,3.29,3.24,3.29,35000
13-Sep-12,3.28,3.28,3.22,3.23,37494
12-Sep-12,3.20,3.27,3.20,3.24,56432
11-Sep-12,3.31,3.31,3.20,3.20,44400
10-Sep-12,3.30,3.30,3.22,3.22,8938
7-Sep-12,3.31,3.34,3.30,3.31,22155
6-Sep-12,3.30,3.33,3.28,3.33,23136
5-Sep-12,3.16,3.22,3.15,3.22,21051
4-Sep-12,3.16,3.18,3.15,3.15,36300
3-Sep-12,3.24,3.26,3.15,3.15,6674
31-Aug-12,3.18,3.25,3.18,3.23,52594
30-Aug-12,3.22,3.23,3.16,3.17,24380
29-Aug-12,3.19,3.21,3.17,3.17,7244
28-Aug-12,-,-,-,2.93,0
24-Aug-12,-,-,-,2.93,0
23-Aug-12,2.96,2.96,2.91,2.95,61927
22-Aug-12,2.91,2.91,2.91,2.91,3000
21-Aug-12,2.96,2.97,2.96,2.97,7188
20-Aug-12,3.01,3.02,2.95,2.95,7300
17-Aug-12,2.98,2.98,2.98,2.98,2000
16-Aug-12,2.98,2.98,2.98,2.98,2377
15-Aug-12,3.03,3.04,3.00,3.00,2390
14-Aug-12,-,-,-,3.01,0
13-Aug-12,3.06,3.06,3.00,3.01,4752
10-Aug-12,3.03,3.06,3.03,3.06,7100
9-Aug-12,-,-,-,3.07,0
8-Aug-12,3.05,3.07,3.03,3.07,108128
7-Aug-12,2.98,2.98,2.98,2.98,9999
6-Aug-12,2.95,2.97,2.95,2.97,24770
3-Aug-12,2.98,2.98,2.98,2.98,38000
2-Aug-12,-,-,-,2.94,0
1-Aug-12,2.94,2.98,2.94,2.98,3801
31-Jul-12,2.87,2.87,2.87,2.87,133
