Date,Open,High,Low,Close,Volume
31-Dec-13,18.76,19.15,18.76,18.98,236676
30-Dec-13,18.75,18.87,18.64,18.81,132892
27-Dec-13,18.80,19.03,18.68,18.81,267052
26-Dec-13,18.76,18.95,18.64,18.82,203640
24-Dec-13,18.46,18.80,18.46,18.70,85004
23-Dec-13,18.46,18.50,18.40,18.50,131396
20-Dec-13,18.35,18.50,18.18,18.40,328012
19-Dec-13,18.47,18.47,18.26,18.26,218388
18-Dec-13,18.06,18.50,18.06,18.50,282248
17-Dec-13,18.39,18.50,18.08,18.09,288884
16-Dec-13,18.50,18.56,18.35,18.40,444280
13-Dec-13,18.20,18.50,18.11,18.48,378532
12-Dec-13,18.15,18.20,18.03,18.12,300540
11-Dec-13,18.17,18.23,18.02,18.10,327268
10-Dec-13,18.38,18.49,18.02,18.14,366868
9-Dec-13,18.08,18.58,18.00,18.45,477636
6-Dec-13,18.12,18.20,18.04,18.08,189312
5-Dec-13,18.13,18.20,17.80,17.93,375640
4-Dec-13,18.21,18.34,17.89,18.12,220116
3-Dec-13,18.24,18.48,18.10,18.22,367336
2-Dec-13,18.50,18.50,18.14,18.21,349520
29-Nov-13,18.50,18.53,18.31,18.46,121032
27-Nov-13,18.24,18.45,18.01,18.44,202172
26-Nov-13,18.25,18.34,17.67,18.18,494904
25-Nov-13,18.42,18.51,18.21,18.26,285916
22-Nov-13,18.34,18.48,18.26,18.39,128240
21-Nov-13,18.38,18.51,18.26,18.38,282168
20-Nov-13,18.42,18.52,17.51,18.38,173208
19-Nov-13,18.58,18.84,18.25,18.30,245860
18-Nov-13,18.82,18.90,18.60,18.62,170696
15-Nov-13,18.95,18.96,18.71,18.88,302428
14-Nov-13,18.88,19.05,18.74,18.98,146824
13-Nov-13,18.38,19.04,18.18,18.97,1486084
12-Nov-13,18.25,18.58,17.37,18.43,1015176
11-Nov-13,18.39,18.54,18.25,18.37,654912
8-Nov-13,18.14,18.55,18.08,18.48,331028
7-Nov-13,17.95,18.25,17.90,18.20,192280
6-Nov-13,17.62,18.00,17.52,17.92,156208
5-Nov-13,17.41,17.70,17.40,17.54,340416
4-Nov-13,17.58,17.72,17.30,17.44,226276
1-Nov-13,17.65,17.74,17.28,17.58,151808
31-Oct-13,17.50,17.88,17.32,17.68,111184
30-Oct-13,17.98,18.17,17.58,17.67,46292
29-Oct-13,18.18,18.24,17.75,17.94,84472
28-Oct-13,18.10,18.28,17.85,18.07,70652
25-Oct-13,18.12,18.12,17.91,17.97,44320
24-Oct-13,17.91,18.21,17.91,18.07,81084
23-Oct-13,17.50,17.94,17.50,17.90,117324
22-Oct-13,17.50,17.68,17.38,17.65,119144
21-Oct-13,17.36,17.55,17.32,17.52,90736
18-Oct-13,17.23,17.37,17.00,17.36,176552
17-Oct-13,16.99,17.16,16.85,17.05,66464
16-Oct-13,16.93,17.13,16.88,17.02,72476
15-Oct-13,16.92,17.02,16.84,16.87,95128
14-Oct-13,16.66,16.96,16.66,16.92,86660
11-Oct-13,16.54,16.91,16.54,16.70,215504
10-Oct-13,16.45,16.75,16.45,16.65,138076
9-Oct-13,16.04,16.28,15.88,16.20,120320
8-Oct-13,16.07,16.18,15.86,15.96,157924
7-Oct-13,16.36,16.43,16.09,16.09,53608
4-Oct-13,16.42,16.63,16.42,16.46,29464
3-Oct-13,16.94,16.98,16.34,16.45,126084
2-Oct-13,16.96,17.07,16.76,16.93,125840
1-Oct-13,16.52,17.05,16.46,16.92,134584
30-Sep-13,16.43,16.78,16.43,16.61,259920
27-Sep-13,16.50,16.72,16.46,16.67,99476
26-Sep-13,16.63,16.73,16.36,16.68,62632
25-Sep-13,16.69,16.82,16.48,16.63,45400
24-Sep-13,16.38,16.72,16.36,16.42,109176
23-Sep-13,16.25,16.42,16.23,16.32,123456
