Date,Open,High,Low,Close,Volume
31-Dec-13,11.30,11.40,10.70,10.70,5166
30-Dec-13,11.60,11.90,11.40,11.40,1138
27-Dec-13,12.60,12.60,11.00,11.40,5132
26-Dec-13,11.80,13.90,11.60,11.90,2950
24-Dec-13,11.80,12.00,11.50,12.00,275
23-Dec-13,12.40,12.40,11.50,11.60,1263
20-Dec-13,11.70,12.40,11.70,12.40,310
19-Dec-13,11.80,12.50,11.50,12.50,1417
18-Dec-13,12.00,12.10,11.20,11.20,2346
17-Dec-13,13.00,13.40,11.70,12.10,2284
16-Dec-13,13.90,13.90,13.10,13.40,2848
13-Dec-13,12.90,14.00,12.90,13.90,338
12-Dec-13,13.40,13.54,11.60,13.10,6500
11-Dec-13,14.50,15.00,14.40,14.40,550
10-Dec-13,15.30,15.50,14.40,14.50,1356
9-Dec-13,15.30,15.80,14.90,15.50,887
6-Dec-13,15.00,15.20,14.90,15.20,913
5-Dec-13,14.40,15.60,14.40,14.90,1774
4-Dec-13,14.41,15.00,14.41,14.90,206
2-Dec-13,14.20,15.60,14.20,15.20,1483
29-Nov-13,14.10,15.20,14.01,14.90,2308
27-Nov-13,15.20,15.20,14.41,15.10,160
26-Nov-13,15.20,15.20,14.10,14.10,100
25-Nov-13,15.60,15.60,14.10,14.50,2517
22-Nov-13,15.60,16.50,14.90,15.50,5773
21-Nov-13,13.50,16.50,13.30,15.40,14067
20-Nov-13,12.50,13.30,12.50,13.30,1668
19-Nov-13,12.70,12.70,12.70,12.70,200
18-Nov-13,12.10,12.90,12.10,12.90,268
15-Nov-13,12.50,13.10,12.40,12.51,2900
14-Nov-13,12.98,13.10,12.40,13.10,1548
13-Nov-13,12.30,13.00,12.20,12.99,720
12-Nov-13,12.30,13.00,12.30,13.00,110
11-Nov-13,12.90,12.90,12.60,12.60,235
8-Nov-13,12.40,12.80,12.40,12.50,1838
7-Nov-13,11.80,12.40,11.80,12.40,155
6-Nov-13,12.30,12.30,11.90,12.30,1064
5-Nov-13,12.20,12.30,12.14,12.30,548
4-Nov-13,11.90,12.20,11.60,12.20,310
1-Nov-13,11.60,11.90,11.60,11.90,70
31-Oct-13,11.90,12.00,11.60,12.00,1200
30-Oct-13,11.99,12.10,11.91,12.10,400
29-Oct-13,12.40,12.50,12.40,12.40,168
28-Oct-13,12.20,12.40,12.20,12.40,457
25-Oct-13,10.50,12.20,10.50,12.10,2301
24-Oct-13,11.70,12.10,11.30,11.90,1100
23-Oct-13,12.00,12.00,11.60,12.00,150
22-Oct-13,12.60,12.60,11.50,12.20,1585
21-Oct-13,10.60,12.90,10.60,12.09,5067
18-Oct-13,13.00,13.00,9.65,10.40,15109
17-Oct-13,12.80,13.20,12.80,13.00,1117
16-Oct-13,13.10,13.20,12.90,13.00,1663
15-Oct-13,13.50,13.60,13.20,13.20,450
14-Oct-13,13.20,13.80,13.20,13.80,80
11-Oct-13,13.20,13.20,13.00,13.10,560
10-Oct-13,13.20,13.40,13.10,13.40,1060
9-Oct-13,13.70,14.00,13.31,13.80,1746
8-Oct-13,14.10,14.10,13.80,14.10,80
7-Oct-13,14.10,16.00,13.80,14.30,967
4-Oct-13,14.00,14.00,13.73,13.90,30
3-Oct-13,14.10,14.10,13.80,13.90,1078
2-Oct-13,13.80,14.09,13.51,13.60,1322
1-Oct-13,13.60,14.40,13.60,14.10,440
30-Sep-13,14.02,14.10,13.92,13.92,66
27-Sep-13,14.30,16.00,14.30,14.60,332
26-Sep-13,14.00,14.00,13.99,14.00,794
25-Sep-13,14.00,14.30,13.70,14.30,2982
24-Sep-13,13.90,14.20,13.60,14.20,1335
23-Sep-13,14.50,14.50,13.80,14.10,1509
20-Sep-13,14.20,14.50,14.00,14.40,889
19-Sep-13,14.50,14.70,14.30,14.30,1480
18-Sep-13,14.80,14.80,14.10,14.30,175
17-Sep-13,14.90,15.00,14.49,14.50,640
16-Sep-13,15.20,15.40,14.10,14.40,3127
13-Sep-13,14.70,15.00,14.70,14.90,872
12-Sep-13,15.10,15.10,14.30,14.44,770
11-Sep-13,14.30,14.50,14.20,14.30,1210
10-Sep-13,14.50,15.70,14.20,14.50,2755
9-Sep-13,16.10,16.10,14.90,14.90,2108
6-Sep-13,15.60,16.50,15.60,16.00,1312
5-Sep-13,15.30,16.00,15.30,15.60,1364
4-Sep-13,14.70,15.80,14.70,15.50,940
3-Sep-13,15.30,15.60,15.30,15.60,110
30-Aug-13,15.20,16.00,14.70,15.50,136
29-Aug-13,15.60,15.60,14.88,15.30,266
28-Aug-13,14.80,15.60,14.50,15.60,2648
27-Aug-13,14.70,15.00,14.50,14.60,1135
26-Aug-13,14.60,14.90,14.50,14.70,255
23-Aug-13,14.60,15.50,14.60,14.70,446
22-Aug-13,14.30,15.30,14.10,14.80,815
21-Aug-13,14.00,15.80,14.00,14.50,2104
20-Aug-13,14.30,15.10,8.70,14.00,5338
19-Aug-13,16.10,17.20,15.60,16.20,142
16-Aug-13,15.60,16.20,15.60,15.90,5986
15-Aug-13,16.80,16.80,15.00,15.90,3735
14-Aug-13,17.50,17.50,16.60,17.00,1297
13-Aug-13,17.80,17.80,17.70,17.80,345
12-Aug-13,17.80,18.00,17.00,17.50,4994
9-Aug-13,18.10,18.10,17.60,17.90,2616
8-Aug-13,18.10,18.40,18.00,18.14,4689
7-Aug-13,18.70,19.00,18.11,18.41,1100
6-Aug-13,18.70,19.00,18.50,18.70,1587
5-Aug-13,19.10,19.30,18.60,19.00,1235
2-Aug-13,19.50,19.50,18.70,18.90,1775
1-Aug-13,19.00,19.50,19.00,19.20,2155
31-Jul-13,18.78,19.40,18.70,19.00,2232
30-Jul-13,19.50,19.50,18.70,19.20,4306
29-Jul-13,19.50,19.50,19.30,19.30,2280
26-Jul-13,19.70,19.70,19.00,19.00,3873
25-Jul-13,21.00,21.00,18.00,19.00,14221
24-Jul-13,21.00,21.00,19.50,21.00,12459
23-Jul-13,18.30,22.00,17.44,20.90,31057
22-Jul-13,16.60,17.70,16.60,17.30,6285
19-Jul-13,16.70,17.00,16.70,16.80,180
18-Jul-13,17.00,17.00,16.20,16.90,468
17-Jul-13,16.70,16.70,16.70,16.70,20
16-Jul-13,16.90,17.00,16.10,16.98,50
12-Jul-13,17.00,17.00,17.00,17.00,10
11-Jul-13,16.80,16.80,16.80,16.80,100
10-Jul-13,16.90,16.90,16.20,16.90,198
9-Jul-13,17.20,17.30,16.10,16.10,1140
8-Jul-13,16.90,17.50,16.90,17.50,550
5-Jul-13,16.58,17.40,16.50,17.40,1056
3-Jul-13,17.00,17.30,16.60,17.00,1185
2-Jul-13,17.00,17.40,17.00,17.00,2260
1-Jul-13,17.50,17.50,17.50,17.50,37
28-Jun-13,16.02,16.90,15.50,15.50,80
27-Jun-13,16.21,17.00,16.10,17.00,552
26-Jun-13,16.20,16.90,16.20,16.90,50
25-Jun-13,16.90,16.90,16.88,16.90,110
24-Jun-13,14.10,16.80,14.10,16.50,450
21-Jun-13,16.90,17.00,16.70,17.00,180
20-Jun-13,15.80,17.00,15.80,17.00,137
19-Jun-13,16.80,17.00,16.80,16.90,62
18-Jun-13,16.70,17.40,16.70,17.40,30
14-Jun-13,15.90,17.50,15.90,17.40,215
13-Jun-13,17.50,17.50,16.10,17.50,770
11-Jun-13,16.70,17.50,16.70,17.30,120
10-Jun-13,16.63,17.50,16.63,17.50,140
7-Jun-13,17.50,17.50,17.40,17.40,60
6-Jun-13,17.49,17.50,17.40,17.40,1123
5-Jun-13,17.50,17.50,17.50,17.50,58
3-Jun-13,17.50,17.50,17.50,17.50,10
30-May-13,17.50,17.50,17.40,17.40,30
29-May-13,17.60,17.70,17.20,17.20,130
28-May-13,16.80,18.20,16.80,16.90,100
24-May-13,17.90,18.00,17.90,18.00,200
23-May-13,17.90,18.80,17.90,18.80,80
22-May-13,17.30,18.39,17.30,18.10,187
21-May-13,18.10,18.10,17.00,18.00,135
20-May-13,16.60,18.40,16.60,17.10,1146
17-May-13,17.30,18.29,16.80,18.29,94
16-May-13,18.30,18.40,18.30,18.40,20
15-May-13,17.30,18.29,17.30,18.29,20
14-May-13,17.10,18.30,17.10,18.30,85
13-May-13,18.20,18.30,17.00,18.30,42
10-May-13,18.30,18.40,17.89,18.40,89
9-May-13,18.70,18.80,17.99,18.80,182
8-May-13,18.50,18.50,18.50,18.50,100
7-May-13,17.40,18.50,17.00,18.50,700
6-May-13,18.50,18.50,17.90,17.99,150
3-May-13,18.70,18.70,17.72,17.72,338
2-May-13,18.20,18.70,18.10,18.40,235
1-May-13,18.70,18.80,18.20,18.80,90
30-Apr-13,18.00,18.70,18.00,18.70,60
29-Apr-13,18.80,18.80,18.80,18.80,50
26-Apr-13,17.50,18.80,17.50,18.80,555
25-Apr-13,18.80,18.80,18.40,18.40,320
24-Apr-13,18.60,18.60,18.50,18.50,70
23-Apr-13,18.60,18.60,18.50,18.50,110
22-Apr-13,18.50,18.50,18.50,18.50,100
19-Apr-13,18.50,18.50,17.60,18.20,1110
18-Apr-13,18.60,18.60,18.50,18.50,240
17-Apr-13,18.50,18.70,18.30,18.30,550
16-Apr-13,18.80,18.80,18.80,18.80,90
15-Apr-13,19.60,19.60,18.50,18.80,823
