Date,Open,High,Low,Close,Volume
31-Dec-13,19.67,20.10,19.63,19.90,42495
30-Dec-13,19.80,19.80,19.41,19.61,35435
27-Dec-13,19.94,19.94,19.55,19.76,17005
26-Dec-13,19.75,19.99,19.75,19.94,29251
24-Dec-13,20.09,20.09,19.75,19.80,16550
23-Dec-13,20.10,20.10,19.58,20.00,43665
20-Dec-13,19.00,20.20,19.00,20.20,593052
19-Dec-13,19.72,19.79,19.25,19.55,35435
18-Dec-13,19.75,19.80,19.70,19.79,63271
17-Dec-13,19.80,19.82,19.73,19.75,77362
16-Dec-13,19.79,19.84,19.43,19.79,25640
13-Dec-13,19.79,19.82,19.58,19.76,25107
12-Dec-13,19.80,19.84,19.62,19.79,30807
11-Dec-13,19.50,19.85,19.50,19.58,41117
10-Dec-13,19.71,19.71,19.40,19.48,27992
9-Dec-13,19.87,19.90,19.50,19.67,27488
6-Dec-13,19.54,19.90,19.31,19.80,41690
5-Dec-13,19.79,19.89,19.65,19.85,71134
4-Dec-13,19.85,19.90,19.75,19.79,57012
3-Dec-13,19.89,19.90,19.66,19.90,42658
2-Dec-13,19.82,19.90,19.64,19.90,24068
29-Nov-13,19.86,19.95,19.70,19.89,13777
27-Nov-13,19.57,19.80,19.55,19.79,16404
26-Nov-13,19.54,19.86,19.50,19.53,34382
25-Nov-13,19.30,19.52,19.10,19.50,41856
22-Nov-13,19.20,19.40,19.20,19.40,21844
21-Nov-13,19.15,19.40,18.93,19.40,24610
20-Nov-13,19.15,19.20,18.77,19.15,74925
19-Nov-13,19.08,19.30,19.01,19.19,34200
18-Nov-13,19.10,19.18,19.00,19.00,38060
15-Nov-13,19.22,19.30,18.99,19.05,44405
14-Nov-13,19.25,19.40,19.00,19.20,52842
13-Nov-13,19.08,19.40,18.80,19.15,64019
12-Nov-13,19.40,19.41,18.81,19.00,31192
11-Nov-13,19.30,19.51,19.05,19.40,14656
8-Nov-13,18.65,19.50,18.65,19.49,13344
7-Nov-13,19.26,19.35,18.49,18.69,52603
6-Nov-13,19.10,19.34,18.78,19.21,25885
5-Nov-13,19.35,19.35,18.95,19.01,56979
4-Nov-13,19.93,19.93,18.95,19.01,34420
1-Nov-13,18.87,19.41,18.86,19.00,9179
31-Oct-13,19.13,19.17,18.85,18.85,30307
30-Oct-13,19.39,19.71,18.90,19.15,39637
29-Oct-13,19.48,19.70,19.42,19.60,40759
28-Oct-13,19.44,20.00,19.30,19.36,40635
25-Oct-13,19.14,19.40,19.14,19.24,27029
24-Oct-13,19.01,19.49,19.01,19.11,46244
23-Oct-13,19.27,19.40,18.93,19.25,39538
22-Oct-13,19.00,19.18,18.75,19.11,45522
21-Oct-13,18.70,19.39,18.70,19.21,101594
18-Oct-13,18.50,19.25,18.49,18.63,114667
17-Oct-13,18.50,18.90,18.50,18.78,52640
16-Oct-13,18.25,18.90,18.05,18.06,46995
15-Oct-13,18.49,18.65,18.05,18.21,43521
14-Oct-13,18.30,18.53,18.08,18.52,26560
11-Oct-13,18.30,18.70,18.29,18.40,39972
10-Oct-13,18.60,18.84,18.45,18.50,27117
9-Oct-13,18.60,18.70,18.35,18.55,26470
8-Oct-13,18.75,18.75,18.28,18.28,18199
7-Oct-13,18.06,18.54,18.01,18.31,30328
4-Oct-13,18.75,18.75,17.95,17.95,49944
3-Oct-13,18.81,18.88,17.91,18.25,153292
2-Oct-13,18.85,18.95,18.54,18.72,67368
1-Oct-13,18.85,19.19,18.75,18.95,36790
30-Sep-13,19.32,19.32,18.75,19.20,68390
27-Sep-13,19.00,19.20,18.80,19.05,163757
26-Sep-13,19.00,19.20,18.86,19.15,146339
25-Sep-13,19.15,19.31,18.41,18.80,2729459
