Date,Open,High,Low,Close,Volume
30-Dec-13,74.12,74.12,74.12,74.12,273
27-Dec-13,73.57,73.57,73.57,73.57,247
20-Dec-13,74.62,74.62,74.36,74.58,786
19-Dec-13,74.68,74.68,74.68,74.68,268
17-Dec-13,73.99,73.99,73.99,73.99,100
13-Dec-13,74.68,74.68,74.33,74.33,1005
12-Dec-13,73.80,74.00,73.80,73.91,1711
9-Dec-13,73.85,73.85,73.85,73.85,250
6-Dec-13,74.29,74.29,74.29,74.29,159
3-Dec-13,74.06,74.06,74.06,74.06,351
2-Dec-13,74.05,74.05,74.05,74.05,120
29-Nov-13,74.52,74.52,74.52,74.52,290
26-Nov-13,74.70,74.70,74.70,74.70,1300
22-Nov-13,74.41,74.41,74.41,74.41,520
20-Nov-13,74.48,74.48,74.44,74.45,1230
19-Nov-13,74.88,74.88,74.88,74.88,269
15-Nov-13,74.02,74.08,74.02,74.08,257
14-Nov-13,74.47,74.47,73.86,73.86,1308
6-Nov-13,74.50,74.50,74.50,74.50,680
4-Nov-13,74.77,74.77,74.75,74.75,300
29-Oct-13,74.48,74.60,74.35,74.60,520
28-Oct-13,74.50,74.60,74.36,74.40,11800
24-Oct-13,74.27,74.27,74.27,74.27,159
21-Oct-13,74.55,74.55,74.55,74.55,100
17-Oct-13,73.68,73.72,73.66,73.66,2100
9-Oct-13,73.61,73.70,73.61,73.67,965
8-Oct-13,73.59,73.63,73.59,73.63,300
7-Oct-13,73.69,73.72,73.60,73.60,800
4-Oct-13,73.79,73.79,73.58,73.67,21100
2-Oct-13,73.69,73.69,73.69,73.69,270
1-Oct-13,73.53,73.53,73.50,73.50,220
27-Sep-13,73.55,73.70,73.54,73.57,11500
23-Sep-13,73.45,73.45,73.45,73.45,420
20-Sep-13,74.01,74.01,74.01,74.01,241
19-Sep-13,73.59,73.67,73.59,73.62,2720
18-Sep-13,72.28,72.28,72.28,72.28,100
17-Sep-13,73.25,73.25,73.08,73.08,250
16-Sep-13,72.99,72.99,72.99,72.99,800
13-Sep-13,72.76,72.76,72.70,72.70,2915
9-Sep-13,71.93,71.93,71.93,71.93,200
6-Sep-13,71.93,71.93,71.93,71.93,190
5-Sep-13,72.37,72.37,72.37,72.37,100
30-Aug-13,72.71,72.71,72.71,72.71,700
29-Aug-13,72.78,72.78,72.78,72.78,135
28-Aug-13,72.78,72.78,72.78,72.78,200
23-Aug-13,72.52,72.52,72.52,72.52,200
19-Aug-13,72.15,72.15,72.15,72.15,100
15-Aug-13,72.80,72.80,72.80,72.80,130
6-Aug-13,73.57,73.57,73.57,73.57,200
30-Jul-13,73.60,73.60,73.60,73.60,134
26-Jul-13,73.23,73.23,73.23,73.23,140
25-Jul-13,73.72,73.72,73.30,73.30,600
24-Jul-13,73.88,73.93,73.83,73.93,1400
18-Jul-13,73.54,73.54,73.53,73.53,300
17-Jul-13,74.08,74.08,74.03,74.03,422
16-Jul-13,73.69,73.69,73.69,73.69,300
9-Jul-13,72.58,72.58,72.58,72.58,950
8-Jul-13,72.25,72.25,72.25,72.25,200
5-Jul-13,71.62,71.62,71.51,71.56,3900
27-Jun-13,72.44,72.44,72.44,72.44,100
21-Jun-13,71.61,71.61,71.61,71.61,100
20-Jun-13,73.60,73.60,72.53,72.53,527
19-Jun-13,74.26,74.26,73.00,73.94,1166
18-Jun-13,74.00,74.00,73.86,73.86,500
14-Jun-13,74.17,74.18,73.91,73.91,2000
13-Jun-13,73.95,73.95,73.95,73.95,100
7-Jun-13,74.64,74.69,74.64,74.69,200
30-May-13,74.90,75.46,74.89,74.98,532
29-May-13,74.95,74.95,74.95,74.95,100
24-May-13,76.00,76.00,75.53,75.53,980
23-May-13,76.26,76.26,76.20,76.20,774
22-May-13,76.44,76.44,76.44,76.44,200
21-May-13,75.59,76.01,75.59,76.01,520
20-May-13,76.21,76.23,76.15,76.23,400
17-May-13,76.32,76.32,76.31,76.31,460
16-May-13,76.38,76.52,76.24,76.52,702
15-May-13,76.01,76.10,75.87,75.95,1500
14-May-13,76.21,76.23,76.15,76.23,400
10-May-13,76.42,76.50,76.35,76.41,832
9-May-13,76.70,76.73,76.70,76.73,500
8-May-13,76.76,76.76,76.76,76.76,130
7-May-13,76.59,76.59,76.59,76.59,100
6-May-13,76.70,76.70,76.53,76.53,360
3-May-13,76.84,76.84,76.70,76.70,200
2-May-13,76.78,76.78,76.78,76.78,200
