Date,Open,High,Low,Close,Volume
31-Dec-13,34.11,34.32,33.36,34.20,101863
30-Dec-13,34.00,34.54,33.50,33.94,71184
27-Dec-13,34.26,34.74,33.62,34.00,33845
26-Dec-13,34.00,34.84,34.00,34.07,51600
24-Dec-13,34.26,34.89,33.70,33.84,53935
23-Dec-13,34.55,34.75,33.48,33.59,59930
20-Dec-13,34.50,34.67,33.27,34.35,181740
19-Dec-13,32.15,33.58,32.04,33.16,87953
18-Dec-13,33.40,33.92,32.25,32.26,81345
17-Dec-13,32.70,33.40,31.80,33.14,66617
16-Dec-13,32.88,33.74,32.26,33.02,165494
13-Dec-13,32.01,33.49,31.70,32.64,92036
12-Dec-13,33.29,34.00,31.50,31.98,191586
11-Dec-13,33.38,34.40,32.52,32.97,119106
10-Dec-13,34.26,34.50,33.50,33.76,214314
9-Dec-13,34.18,34.60,33.43,33.84,71323
6-Dec-13,34.57,35.00,33.12,33.86,88982
5-Dec-13,35.00,35.90,33.51,33.95,160583
4-Dec-13,34.42,35.57,33.50,35.22,116576
3-Dec-13,35.95,35.95,34.00,34.59,126743
2-Dec-13,36.10,36.10,35.04,35.54,66486
29-Nov-13,36.00,36.20,34.52,36.10,97281
27-Nov-13,36.30,36.38,35.88,35.96,68164
26-Nov-13,36.00,36.23,35.42,35.78,137132
25-Nov-13,35.56,35.88,34.62,35.41,310954
22-Nov-13,33.62,34.22,33.27,34.20,331127
21-Nov-13,34.30,34.50,32.94,33.31,391130
20-Nov-13,35.24,35.58,33.80,34.29,94312
19-Nov-13,36.48,36.69,34.01,35.40,223246
18-Nov-13,37.40,37.40,34.82,36.08,159878
15-Nov-13,36.20,37.17,34.20,36.58,534779
14-Nov-13,33.89,35.99,32.52,34.29,1005195
13-Nov-13,31.18,32.57,29.90,31.92,652364
12-Nov-13,30.35,31.38,29.49,30.69,824259
11-Nov-13,30.65,30.72,29.16,29.16,495612
8-Nov-13,35.39,35.39,28.27,29.75,1097783
7-Nov-13,33.92,35.34,33.75,34.38,457639
6-Nov-13,34.25,34.73,33.58,33.62,497126
5-Nov-13,34.76,34.84,33.49,33.98,509804
4-Nov-13,37.61,37.61,33.80,34.46,294829
1-Nov-13,36.15,36.15,33.80,34.10,380554
31-Oct-13,37.75,37.98,33.33,35.31,1823312
30-Oct-13,42.00,45.00,35.25,35.39,9252635
