Date,Open,High,Low,Close,Volume
31-Dec-13,30.54,30.64,29.45,29.82,1796280
30-Dec-13,29.30,30.70,29.29,30.32,2775822
27-Dec-13,29.56,29.94,29.00,29.19,1572728
26-Dec-13,29.71,30.15,29.27,29.59,1861597
24-Dec-13,30.01,30.50,29.10,29.65,1712705
23-Dec-13,29.85,30.68,29.67,30.22,2501947
20-Dec-13,31.30,31.82,29.31,29.48,5749568
19-Dec-13,29.15,31.32,29.15,31.12,3724405
18-Dec-13,29.90,30.17,28.35,29.69,3009186
17-Dec-13,29.00,30.19,28.59,29.75,4332603
16-Dec-13,27.85,29.26,27.57,29.13,3131556
13-Dec-13,28.04,28.49,27.21,27.69,2685426
12-Dec-13,27.01,28.57,26.80,28.03,3335915
11-Dec-13,28.80,28.88,26.63,26.77,2477756
10-Dec-13,26.45,28.67,26.10,28.40,3688460
9-Dec-13,27.69,28.60,26.92,26.94,3260199
6-Dec-13,29.28,29.55,27.20,27.57,4785193
5-Dec-13,30.30,30.89,29.00,29.07,3127362
4-Dec-13,28.85,31.04,28.83,30.28,3293933
3-Dec-13,28.51,29.57,28.06,29.46,2196649
2-Dec-13,28.93,30.00,28.57,29.02,2356563
29-Nov-13,29.45,29.96,28.58,29.14,1652521
27-Nov-13,29.47,30.29,28.84,29.71,2379540
26-Nov-13,27.78,30.14,26.66,29.74,7369771
25-Nov-13,31.20,31.25,28.43,28.85,4543582
22-Nov-13,31.00,31.50,30.30,30.88,2178907
21-Nov-13,30.71,31.44,30.08,31.28,3067159
20-Nov-13,30.00,31.23,29.08,30.75,3572075
19-Nov-13,30.84,31.65,29.08,29.62,4902173
18-Nov-13,32.26,33.17,30.84,31.00,5123589
15-Nov-13,31.78,32.08,30.83,31.91,4007636
14-Nov-13,32.70,33.25,31.12,31.88,6567683
13-Nov-13,29.40,32.24,29.00,32.00,10539841
12-Nov-13,29.11,29.78,27.83,28.23,4665825
11-Nov-13,28.93,29.90,28.25,29.56,4346750
8-Nov-13,27.21,28.65,26.56,28.65,4180694
7-Nov-13,26.90,27.06,25.54,26.25,3907527
6-Nov-13,28.45,28.50,26.13,27.28,4824538
5-Nov-13,28.66,29.20,27.30,28.19,4455707
4-Nov-13,27.07,29.00,26.75,28.65,7309811
1-Nov-13,23.95,25.56,23.92,25.56,5676783
31-Oct-13,22.50,23.68,22.02,23.00,3157697
30-Oct-13,24.28,24.79,23.10,23.31,3450744
29-Oct-13,22.78,23.95,22.65,23.95,2769569
28-Oct-13,23.84,24.50,21.80,22.84,6986711
25-Oct-13,24.89,24.98,22.62,23.55,5902231
24-Oct-13,25.00,25.56,24.55,24.73,3901929
23-Oct-13,24.50,24.87,23.91,24.65,5319098
22-Oct-13,23.57,24.35,22.16,24.34,5522213
21-Oct-13,23.85,24.25,22.64,23.12,5445703
18-Oct-13,22.69,23.48,22.32,23.13,4030845
17-Oct-13,22.30,22.94,21.68,22.29,3940727
16-Oct-13,21.09,22.10,21.09,22.02,3585197
15-Oct-13,21.20,21.85,20.47,20.79,4555861
14-Oct-13,19.48,20.65,19.33,20.57,3319783
11-Oct-13,19.70,20.12,19.12,19.85,3884978
10-Oct-13,18.12,19.20,18.11,19.18,3997134
9-Oct-13,18.45,18.55,16.76,17.58,4194906
8-Oct-13,19.65,20.17,17.87,18.24,5229967
7-Oct-13,19.16,19.90,19.00,19.13,2595731
4-Oct-13,19.65,19.70,18.75,19.59,3602575
3-Oct-13,19.11,19.77,18.66,19.37,5147845
2-Oct-13,18.02,18.69,17.88,18.56,3401397
1-Oct-13,17.24,18.19,17.22,18.18,3654319
30-Sep-13,16.24,17.71,15.94,16.99,4838245
27-Sep-13,15.43,16.80,15.21,16.72,4356114
26-Sep-13,15.36,15.77,15.05,15.27,2380038
25-Sep-13,14.86,15.46,14.56,15.20,3096544
24-Sep-13,14.30,15.00,14.07,14.56,1867683
23-Sep-13,14.82,15.10,14.11,14.36,1947542
20-Sep-13,14.96,15.36,14.80,14.85,2157248
19-Sep-13,14.79,14.95,14.50,14.86,1650313
18-Sep-13,14.35,14.88,14.12,14.61,2213104
17-Sep-13,14.20,14.33,13.93,14.31,1171386
16-Sep-13,14.24,14.57,14.00,14.18,1925496
13-Sep-13,13.65,14.08,13.40,13.98,1684631
12-Sep-13,14.05,14.19,13.65,13.68,1469169
11-Sep-13,13.89,14.30,13.75,13.97,1507918
10-Sep-13,14.42,14.60,13.89,14.09,2506800
9-Sep-13,13.76,14.48,13.72,14.14,2629832
6-Sep-13,14.38,14.38,13.60,13.77,2307293
5-Sep-13,13.59,14.41,13.57,14.06,3318922
4-Sep-13,13.12,13.85,12.96,13.47,2867064
3-Sep-13,12.75,13.25,12.70,13.22,2759714
30-Aug-13,12.35,12.78,12.17,12.51,2852070
29-Aug-13,12.20,12.80,12.04,12.09,2752379
28-Aug-13,11.97,12.50,11.88,12.32,1432016
27-Aug-13,12.59,12.78,12.01,12.09,2658039
26-Aug-13,13.29,13.57,12.95,13.03,2586293
23-Aug-13,13.00,13.19,12.72,13.16,2756614
22-Aug-13,12.76,12.97,12.28,12.66,2912514
21-Aug-13,11.50,12.87,11.32,12.51,4814719
20-Aug-13,11.01,11.55,11.01,11.46,2010456
19-Aug-13,11.81,11.86,10.87,10.95,2654278
16-Aug-13,10.78,11.65,10.66,11.47,2643871
