Date,Open,High,Low,Close,Volume
31-Dec-13,47.86,48.04,47.35,47.46,1284065
30-Dec-13,48.03,48.05,47.09,47.70,1104838
27-Dec-13,48.39,48.39,47.71,47.99,1284131
26-Dec-13,48.05,48.38,47.56,47.97,441819
24-Dec-13,48.12,48.38,47.76,48.23,322194
23-Dec-13,48.25,48.32,47.76,48.22,1091614
20-Dec-13,46.65,48.15,46.63,48.01,2720765
19-Dec-13,46.48,46.79,46.22,46.63,1005117
18-Dec-13,45.76,46.60,45.52,46.52,1628491
17-Dec-13,45.07,46.59,44.88,45.74,2642455
16-Dec-13,45.53,46.47,45.24,46.14,1626705
13-Dec-13,45.35,46.04,45.00,45.48,2739718
12-Dec-13,44.22,44.26,43.49,44.00,2142078
11-Dec-13,44.33,44.58,44.11,44.33,1304926
10-Dec-13,44.47,44.84,44.31,44.44,1098202
9-Dec-13,45.03,45.16,44.35,44.51,1299126
6-Dec-13,44.80,45.26,44.62,44.99,1501740
5-Dec-13,44.49,44.84,44.21,44.54,1095712
4-Dec-13,44.56,44.67,44.00,44.48,1536787
3-Dec-13,44.92,45.41,44.52,44.77,1027740
2-Dec-13,45.65,45.65,44.94,44.99,1136908
29-Nov-13,45.67,46.03,45.43,45.63,364907
27-Nov-13,45.69,45.76,45.16,45.66,847622
26-Nov-13,45.21,45.94,44.63,45.55,2114913
25-Nov-13,45.30,45.63,44.86,45.11,2354531
22-Nov-13,46.25,46.43,45.04,45.31,2785908
21-Nov-13,46.46,46.55,45.20,45.89,3020890
20-Nov-13,46.19,46.52,45.88,46.40,2951593
19-Nov-13,47.21,47.30,46.20,46.30,1559282
18-Nov-13,47.80,48.24,47.11,47.18,1466059
15-Nov-13,47.89,48.27,47.58,47.84,1161276
14-Nov-13,48.57,48.57,47.90,47.95,2006772
13-Nov-13,47.70,48.54,47.45,48.20,1419727
12-Nov-13,47.41,48.08,47.20,48.00,1443165
11-Nov-13,47.85,47.97,47.29,47.58,1059782
8-Nov-13,47.65,48.39,47.46,47.80,1489450
7-Nov-13,48.84,48.98,47.52,47.94,1586789
6-Nov-13,49.50,49.89,48.47,48.72,2169545
5-Nov-13,47.89,49.63,47.78,49.51,3573360
4-Nov-13,46.74,48.12,46.64,48.00,3033412
1-Nov-13,48.09,48.09,45.66,46.66,3891098
31-Oct-13,51.70,52.75,46.88,46.97,8912799
30-Oct-13,50.07,50.58,49.46,49.73,1885448
29-Oct-13,50.22,50.51,49.50,49.85,1490332
28-Oct-13,49.06,50.02,49.06,49.65,3841453
25-Oct-13,49.99,49.99,48.77,49.10,2023600
24-Oct-13,49.46,49.87,49.35,49.75,647530
23-Oct-13,49.41,49.71,48.89,49.46,2618300
22-Oct-13,50.40,50.58,49.58,49.75,840892
21-Oct-13,50.17,50.82,49.80,50.14,1560022
18-Oct-13,49.23,50.32,48.90,50.06,2056623
17-Oct-13,48.88,49.21,48.54,49.19,1029857
16-Oct-13,48.75,49.75,48.32,49.03,2113559
15-Oct-13,47.99,48.42,47.41,48.29,1446003
14-Oct-13,47.83,48.14,47.29,48.13,1101213
11-Oct-13,48.13,48.49,47.75,47.97,1260589
10-Oct-13,47.11,49.08,46.87,48.39,3306716
9-Oct-13,47.18,47.25,45.83,46.12,1967679
8-Oct-13,46.85,47.54,46.66,46.96,2080394
7-Oct-13,46.28,47.16,46.28,46.74,2134395
4-Oct-13,44.90,46.99,44.85,46.85,2868663
3-Oct-13,45.92,46.28,44.44,44.85,4933348
2-Oct-13,46.67,46.73,45.83,45.84,1724662
1-Oct-13,45.71,46.98,45.71,46.85,2188001
30-Sep-13,47.20,47.20,45.76,45.95,3235550
27-Sep-13,48.00,48.00,47.22,47.51,985335
26-Sep-13,48.08,48.69,47.92,48.09,1669227
25-Sep-13,47.86,48.61,47.67,48.21,2315889
24-Sep-13,47.82,48.23,47.27,47.68,2381302
23-Sep-13,48.71,49.36,47.23,47.91,4228054
20-Sep-13,52.28,52.35,48.88,49.52,3187108
19-Sep-13,51.41,52.78,51.39,52.04,3647949
18-Sep-13,55.07,55.19,49.54,50.82,5199622
17-Sep-13,55.46,55.72,55.26,55.36,909001
16-Sep-13,54.93,55.75,54.51,55.47,858363
13-Sep-13,55.23,55.37,54.40,54.50,718733
12-Sep-13,55.07,55.41,54.66,54.92,452662
11-Sep-13,55.66,55.66,54.95,55.26,620317
10-Sep-13,55.56,55.75,55.30,55.46,569483
9-Sep-13,52.86,55.84,52.86,55.35,471372
6-Sep-13,56.65,56.79,55.15,55.65,547961
5-Sep-13,55.29,56.14,55.29,56.09,591781
4-Sep-13,54.73,55.61,54.58,55.31,496895
3-Sep-13,55.57,56.00,54.29,54.70,697033
30-Aug-13,55.20,55.53,54.78,54.91,631463
29-Aug-13,54.28,55.71,54.22,55.24,737367
28-Aug-13,54.22,54.70,53.78,54.53,513976
27-Aug-13,55.05,55.22,54.17,54.40,838331
26-Aug-13,56.12,56.19,55.22,55.33,816668
23-Aug-13,55.65,56.39,55.46,56.18,760399
22-Aug-13,55.23,56.06,55.12,55.64,483107
21-Aug-13,54.56,55.78,54.49,55.12,565389
20-Aug-13,54.70,55.73,54.70,55.23,830958
19-Aug-13,55.16,55.54,54.72,55.00,637765
16-Aug-13,55.09,55.49,54.89,55.10,954028
15-Aug-13,56.70,56.70,54.63,55.67,1121965
14-Aug-13,57.39,57.53,56.84,56.93,527151
13-Aug-13,57.26,57.54,56.34,57.54,662441
12-Aug-13,57.55,57.90,57.13,57.22,809743
9-Aug-13,57.89,58.12,57.43,57.66,855035
8-Aug-13,57.98,58.33,57.74,58.24,807856
7-Aug-13,58.02,58.30,57.40,57.87,1297690
6-Aug-13,57.79,58.73,57.32,58.32,1403855
5-Aug-13,57.80,58.21,57.07,58.06,1144781
2-Aug-13,57.00,58.56,56.90,58.23,2175212
1-Aug-13,55.81,57.47,55.77,57.03,4171103
31-Jul-13,52.25,52.94,52.03,52.80,2274629
30-Jul-13,51.66,52.36,51.57,51.60,1065225
