Date,Open,High,Low,Close,Volume
31-Dec-13,46.80,48.96,46.33,48.24,18836
30-Dec-13,48.60,48.61,45.24,46.44,36498
27-Dec-13,49.56,50.88,47.76,48.48,13091
26-Dec-13,48.12,51.00,48.12,49.08,16467
24-Dec-13,47.04,49.20,47.04,48.36,7612
23-Dec-13,46.20,48.29,45.96,47.40,12220
20-Dec-13,47.52,48.71,45.84,46.08,21396
19-Dec-13,45.60,48.48,45.24,47.76,17735
18-Dec-13,45.00,46.44,43.80,45.72,14450
17-Dec-13,47.04,47.88,45.00,45.24,29590
16-Dec-13,47.76,49.08,47.04,47.40,17415
13-Dec-13,46.44,48.00,45.84,47.28,15901
12-Dec-13,47.16,48.48,45.60,46.32,32958
11-Dec-13,49.32,50.40,46.56,47.16,55756
10-Dec-13,54.36,54.48,49.32,49.56,54710
9-Dec-13,59.88,59.88,51.24,55.32,70236
6-Dec-13,57.84,57.96,56.04,57.72,24465
5-Dec-13,58.32,59.28,57.12,57.60,25745
4-Dec-13,59.04,59.40,56.88,57.48,30553
3-Dec-13,60.96,63.00,58.20,59.28,37304
2-Dec-13,59.28,62.40,58.92,60.84,41274
29-Nov-13,57.00,59.76,56.40,57.96,20204
27-Nov-13,56.04,57.48,55.20,56.76,17805
26-Nov-13,55.92,57.00,54.12,55.80,13210
25-Nov-13,53.40,57.84,53.16,55.20,60224
22-Nov-13,51.60,54.24,51.28,52.08,22185
21-Nov-13,50.52,51.00,49.92,51.00,13085
20-Nov-13,51.00,52.80,49.80,50.34,16613
19-Nov-13,52.32,53.04,49.20,51.48,30854
18-Nov-13,55.56,57.00,51.72,52.44,46384
15-Nov-13,50.64,54.84,50.04,53.28,52102
14-Nov-13,47.04,51.36,46.56,50.88,74622
13-Nov-13,47.16,48.00,44.64,46.92,42116
12-Nov-13,46.44,48.60,44.52,48.00,58804
11-Nov-13,44.04,47.52,43.92,46.44,32506
8-Nov-13,42.72,45.00,42.12,43.92,21879
7-Nov-13,45.96,45.96,41.28,42.48,21117
6-Nov-13,46.80,47.76,43.32,43.92,23156
5-Nov-13,43.44,45.72,42.12,45.00,33687
4-Nov-13,42.60,42.60,40.80,41.28,20393
1-Nov-13,41.88,42.96,41.88,42.12,9593
31-Oct-13,41.88,42.96,41.52,42.12,14404
30-Oct-13,43.80,43.80,40.80,42.00,22648
29-Oct-13,42.48,43.80,42.48,43.44,6646
28-Oct-13,43.56,43.56,41.40,42.12,13492
25-Oct-13,44.88,45.48,42.72,43.32,12015
24-Oct-13,41.76,45.00,41.29,44.52,23088
23-Oct-13,42.48,42.48,40.20,41.52,25931
22-Oct-13,43.68,44.16,41.88,42.60,16927
21-Oct-13,44.52,44.52,43.32,43.56,11386
18-Oct-13,46.68,47.40,43.80,44.04,33338
17-Oct-13,42.24,46.80,41.88,46.32,38926
16-Oct-13,42.72,42.72,41.52,42.48,20418
15-Oct-13,43.20,43.80,42.48,42.60,12154
14-Oct-13,42.48,44.40,41.16,43.44,18096
11-Oct-13,43.92,45.12,42.24,42.72,16582
10-Oct-13,42.36,45.24,42.27,44.40,35031
9-Oct-13,42.72,43.22,39.12,42.12,39372
8-Oct-13,46.68,46.68,41.28,42.72,81888
7-Oct-13,47.64,47.88,46.20,46.20,29251
4-Oct-13,47.52,48.60,47.22,48.00,18360
3-Oct-13,50.04,50.16,46.56,47.64,51528
2-Oct-13,49.44,51.48,48.84,49.80,45730
1-Oct-13,51.72,52.01,49.20,49.68,45155
30-Sep-13,48.00,54.72,46.20,51.12,128194
27-Sep-13,48.48,49.80,47.52,48.12,40156
26-Sep-13,50.88,51.36,47.76,48.36,47881
25-Sep-13,48.48,50.76,47.05,49.20,100251
24-Sep-13,51.36,52.20,46.68,47.88,135218
23-Sep-13,57.96,58.92,49.56,50.70,225867
20-Sep-13,60.36,66.00,56.04,56.88,668748
19-Sep-13,40.68,46.56,40.48,45.60,79863
18-Sep-13,40.32,41.04,39.36,40.32,17799
17-Sep-13,40.44,41.52,40.20,40.32,14041
16-Sep-13,42.24,43.80,40.20,40.56,15415
13-Sep-13,42.96,43.56,41.64,41.76,14112
12-Sep-13,43.92,44.51,43.08,43.08,18547
11-Sep-13,43.80,45.36,42.48,43.68,35674
10-Sep-13,42.48,46.80,42.48,44.04,92757
9-Sep-13,37.32,41.64,37.20,40.68,61730
6-Sep-13,37.20,37.56,36.36,36.96,11584
5-Sep-13,36.48,37.56,36.36,37.08,4379
4-Sep-13,36.96,37.80,36.00,36.48,34618
3-Sep-13,35.76,37.56,35.76,36.84,27410
30-Aug-13,35.76,36.24,34.92,35.40,11958
29-Aug-13,34.08,36.60,33.72,35.76,43542
28-Aug-13,33.60,34.32,33.36,33.96,9728
27-Aug-13,34.44,34.68,33.60,33.60,7221
26-Aug-13,34.32,35.52,34.20,34.44,15921
23-Aug-13,35.04,35.04,33.96,34.32,9515
22-Aug-13,34.32,35.04,34.32,34.80,3868
21-Aug-13,35.04,35.04,34.20,34.32,6627
20-Aug-13,34.32,35.04,33.96,34.44,11474
19-Aug-13,35.52,35.52,33.96,34.20,9702
16-Aug-13,33.84,35.64,33.84,35.28,13304
15-Aug-13,33.96,35.16,33.00,33.84,25644
