Date,Open,High,Low,Close,Volume
31-Dec-13,27.81,27.87,27.75,27.86,32905
30-Dec-13,27.75,27.81,27.68,27.76,55812
27-Dec-13,27.90,27.90,27.66,27.72,15966
26-Dec-13,27.56,27.73,27.56,27.72,17600
24-Dec-13,27.38,27.56,27.38,27.55,38134
23-Dec-13,27.62,27.62,27.42,27.53,81751
20-Dec-13,27.26,27.47,27.26,27.39,102619
19-Dec-13,27.21,27.23,27.10,27.20,40740
18-Dec-13,26.92,27.28,26.45,27.28,43553
17-Dec-13,27.03,27.03,26.84,26.85,41651
16-Dec-13,26.93,27.02,26.92,26.98,56285
13-Dec-13,26.92,26.92,26.76,26.84,35971
12-Dec-13,26.98,26.98,26.81,26.83,67611
11-Dec-13,27.26,27.26,26.94,26.98,17776
10-Dec-13,27.32,27.32,27.18,27.21,17036
9-Dec-13,27.37,27.42,27.30,27.36,26190
6-Dec-13,27.25,27.32,27.19,27.30,143495
5-Dec-13,27.00,27.08,26.96,27.02,15438
4-Dec-13,27.06,27.20,26.85,27.10,58723
3-Dec-13,27.16,27.20,27.04,27.16,35375
2-Dec-13,27.35,27.36,27.16,27.17,41812
29-Nov-13,27.38,27.43,27.35,27.35,16674
27-Nov-13,27.27,27.32,27.23,27.32,15075
26-Nov-13,27.19,27.29,27.15,27.23,33890
25-Nov-13,27.24,27.30,27.12,27.16,40693
22-Nov-13,27.04,27.16,26.99,27.13,20426
21-Nov-13,26.90,27.10,26.90,27.10,23534
20-Nov-13,27.04,27.08,26.81,26.82,48015
19-Nov-13,26.96,27.08,26.92,26.99,60004
18-Nov-13,27.24,27.24,27.00,27.07,41771
15-Nov-13,27.17,27.17,27.04,27.14,36285
14-Nov-13,27.02,27.11,26.94,27.09,42382
13-Nov-13,26.57,26.99,26.57,26.98,17381
12-Nov-13,26.77,26.77,26.68,26.75,32296
11-Nov-13,26.77,26.77,26.64,26.76,44100
8-Nov-13,26.52,26.74,26.42,26.74,18136
7-Nov-13,26.89,26.89,26.46,26.47,16476
6-Nov-13,26.83,26.83,26.65,26.75,31782
5-Nov-13,26.57,26.68,26.48,26.65,11298
4-Nov-13,26.67,26.67,26.56,26.64,93299
1-Nov-13,26.57,26.70,26.41,26.52,25864
31-Oct-13,26.50,26.59,26.43,26.47,7529
30-Oct-13,26.70,26.70,26.44,26.50,35514
29-Oct-13,26.58,26.67,26.51,26.62,124280
28-Oct-13,26.45,26.54,26.40,26.46,30578
25-Oct-13,26.29,26.43,26.29,26.42,29649
24-Oct-13,26.26,26.32,26.16,26.28,41988
23-Oct-13,26.19,26.21,26.02,26.18,38393
22-Oct-13,26.23,26.30,26.13,26.22,174313
21-Oct-13,26.17,26.17,26.01,26.08,23127
18-Oct-13,26.09,26.10,25.99,26.10,30930
17-Oct-13,25.68,26.04,25.68,26.04,47964
16-Oct-13,25.75,25.88,25.73,25.85,37390
15-Oct-13,25.74,25.77,25.56,25.59,29295
14-Oct-13,25.54,25.75,25.50,25.75,17610
11-Oct-13,25.44,25.63,25.40,25.60,19610
10-Oct-13,24.97,25.49,24.97,25.49,21323
9-Oct-13,24.95,25.04,24.88,24.99,15629
8-Oct-13,25.09,25.16,24.92,24.92,33747
7-Oct-13,25.15,25.28,25.15,25.16,9319
4-Oct-13,25.18,25.39,25.18,25.38,12682
3-Oct-13,25.49,25.49,25.11,25.21,21530
2-Oct-13,25.26,25.40,25.22,25.33,65074
1-Oct-13,25.48,25.54,25.36,25.49,46163
30-Sep-13,25.21,25.37,25.21,25.29,25161
27-Sep-13,25.40,25.46,25.38,25.41,11430
26-Sep-13,25.56,25.64,25.47,25.54,32859
25-Sep-13,25.73,25.73,25.44,25.46,18272
24-Sep-13,25.60,25.73,25.53,25.56,14480
23-Sep-13,25.77,25.77,25.55,25.67,27564
20-Sep-13,26.03,26.03,25.72,25.74,16323
19-Sep-13,26.02,26.03,25.91,25.95,46380
18-Sep-13,25.67,25.98,25.57,25.96,32231
17-Sep-13,25.62,25.70,25.60,25.68,26458
16-Sep-13,25.74,25.74,25.54,25.57,32325
13-Sep-13,25.41,25.45,25.32,25.45,15443
12-Sep-13,25.33,25.44,25.31,25.34,10548
11-Sep-13,25.22,25.36,25.20,25.33,29138
10-Sep-13,25.56,25.56,25.16,25.33,31208
9-Sep-13,24.97,25.18,24.97,25.15,74322
6-Sep-13,24.97,25.00,24.62,24.83,26356
5-Sep-13,24.88,24.94,24.84,24.84,56387
4-Sep-13,24.52,24.90,24.52,24.85,14684
3-Sep-13,24.63,24.83,24.58,24.65,21274
30-Aug-13,24.73,24.73,24.53,24.58,14402
29-Aug-13,24.59,24.79,24.59,24.69,28069
28-Aug-13,24.58,24.71,24.58,24.63,71163
27-Aug-13,24.79,24.79,24.57,24.60,47455
26-Aug-13,25.12,25.18,24.99,25.00,37309
23-Aug-13,25.09,25.12,25.00,25.12,17485
22-Aug-13,24.90,25.20,24.89,25.00,22938
21-Aug-13,24.91,24.98,24.75,24.80,23387
20-Aug-13,24.90,25.04,24.82,24.95,40272
19-Aug-13,24.98,25.05,24.88,24.88,38167
16-Aug-13,25.03,25.06,24.90,24.96,47204
15-Aug-13,25.21,25.22,24.97,25.03,88270
14-Aug-13,25.48,25.51,25.38,25.40,57422
13-Aug-13,25.49,25.55,25.30,25.51,46790
12-Aug-13,25.41,25.48,25.34,25.45,52543
9-Aug-13,25.52,25.54,25.34,25.41,25282
8-Aug-13,25.53,25.59,25.38,25.51,21060
7-Aug-13,25.40,25.43,25.26,25.40,38246
6-Aug-13,28.67,28.66,25.38,25.44,44560
5-Aug-13,25.58,25.64,25.55,25.60,88404
2-Aug-13,25.51,25.61,25.45,25.59,38207
1-Aug-13,25.50,25.59,25.44,25.56,140802
31-Jul-13,25.30,25.41,25.22,25.22,68547
30-Jul-13,25.27,25.38,25.19,25.26,66006
29-Jul-13,25.19,25.23,25.07,25.16,27825
26-Jul-13,25.16,25.22,24.98,25.21,30672
25-Jul-13,25.13,25.22,25.05,25.21,46185
24-Jul-13,25.35,25.37,25.11,25.16,42552
23-Jul-13,25.30,25.39,25.17,25.24,42713
22-Jul-13,25.27,25.32,25.19,25.20,48920
19-Jul-13,25.47,25.47,25.16,25.27,10892
18-Jul-13,25.31,25.39,25.25,25.33,32955
17-Jul-13,25.31,25.32,25.16,25.21,123234
16-Jul-13,25.22,25.26,25.16,25.21,52775
15-Jul-13,25.31,25.36,25.24,25.32,42000
12-Jul-13,25.25,25.42,25.18,25.25,29663
11-Jul-13,25.22,25.29,25.15,25.27,31961
10-Jul-13,24.89,24.96,24.83,24.85,94982
9-Jul-13,24.90,24.95,24.82,24.89,41102
8-Jul-13,24.70,24.76,24.64,24.69,72139
5-Jul-13,24.52,24.60,24.33,24.60,32888
3-Jul-13,24.14,24.43,24.14,24.34,18896
2-Jul-13,24.35,24.55,24.19,24.32,34433
1-Jul-13,24.49,24.55,24.37,24.39,47495
28-Jun-13,24.21,24.38,24.15,24.17,41845
27-Jun-13,24.31,24.38,24.24,24.31,24656
26-Jun-13,23.85,24.22,23.85,24.18,80174
25-Jun-13,23.99,24.00,23.79,23.95,51324
24-Jun-13,23.80,23.95,23.60,23.80,45259
21-Jun-13,24.12,24.30,23.81,24.08,66613
20-Jun-13,24.34,24.41,23.94,24.00,81870
19-Jun-13,24.91,24.98,24.57,24.57,76447
18-Jun-13,24.73,24.94,24.73,24.88,66114
17-Jun-13,24.73,24.82,24.55,24.71,37686
14-Jun-13,24.62,24.72,24.48,24.54,21835
13-Jun-13,24.35,24.67,24.32,24.67,34862
12-Jun-13,24.72,24.72,24.35,24.38,25186
11-Jun-13,24.55,24.71,24.51,24.54,34779
10-Jun-13,24.84,24.84,24.72,24.74,37658
7-Jun-13,24.63,24.79,24.49,24.79,39425
6-Jun-13,24.28,24.42,24.15,24.42,68261
5-Jun-13,24.56,24.56,24.29,24.29,17814
4-Jun-13,24.76,24.84,24.51,24.64,31830
3-Jun-13,24.59,24.76,24.44,24.67,18051
31-May-13,24.96,24.96,24.60,24.60,29671
30-May-13,24.87,24.97,24.87,24.90,50299
29-May-13,24.87,24.91,24.74,24.84,59309
28-May-13,25.11,25.21,24.97,25.03,36222
24-May-13,24.68,24.87,24.68,24.82,63050
23-May-13,24.88,24.88,24.65,24.82,151749
22-May-13,25.11,25.28,24.87,24.90,90184
