Date,Open,High,Low,Close,Volume
31-Dec-13,0.91,0.93,0.80,0.88,1443864
30-Dec-13,0.96,0.96,0.91,0.91,400644
27-Dec-13,0.95,0.96,0.92,0.92,256925
26-Dec-13,0.94,0.96,0.93,0.95,275417
24-Dec-13,0.95,0.95,0.92,0.92,174018
23-Dec-13,0.91,0.95,0.90,0.95,711097
20-Dec-13,0.98,0.98,0.92,0.94,893730
19-Dec-13,0.97,1.01,0.96,0.98,431534
18-Dec-13,0.98,1.00,0.97,0.98,140247
17-Dec-13,0.99,1.03,0.96,0.96,326940
16-Dec-13,0.97,1.04,0.95,1.00,533465
13-Dec-13,0.92,1.00,0.90,0.95,400050
12-Dec-13,0.95,0.96,0.90,0.93,663730
11-Dec-13,1.00,1.01,0.95,0.96,616200
10-Dec-13,0.98,1.02,0.94,0.97,988856
9-Dec-13,1.03,1.03,0.96,1.03,1018766
6-Dec-13,1.02,1.05,0.96,1.04,932550
5-Dec-13,1.06,1.08,1.00,1.02,1375142
4-Dec-13,1.11,1.13,1.05,1.06,788932
3-Dec-13,1.15,1.15,1.09,1.12,1076264
2-Dec-13,1.20,1.23,1.12,1.15,2806903
29-Nov-13,1.25,1.27,1.19,1.20,999002
27-Nov-13,1.30,1.30,1.17,1.24,2552774
26-Nov-13,1.24,1.45,1.19,1.30,2689968
25-Nov-13,1.20,1.35,1.04,1.26,2776160
22-Nov-13,1.00,1.26,0.88,1.20,10000139
21-Nov-13,1.40,1.47,1.36,1.41,688435
20-Nov-13,1.47,1.52,1.37,1.40,415814
19-Nov-13,1.59,1.59,1.43,1.45,750336
18-Nov-13,1.59,1.68,1.57,1.59,842697
15-Nov-13,1.58,1.60,1.52,1.58,676840
14-Nov-13,1.45,1.62,1.43,1.55,2247395
13-Nov-13,1.47,1.51,1.41,1.45,432051
12-Nov-13,1.49,1.51,1.43,1.45,313385
11-Nov-13,1.48,1.52,1.43,1.47,298665
8-Nov-13,1.50,1.52,1.43,1.47,1316553
7-Nov-13,1.60,1.62,1.43,1.45,729085
6-Nov-13,1.54,1.63,1.40,1.58,2771420
5-Nov-13,1.36,1.68,1.34,1.50,4792987
4-Nov-13,1.31,1.37,1.27,1.33,183710
1-Nov-13,1.36,1.43,1.30,1.31,215106
31-Oct-13,1.30,1.40,1.29,1.38,872005
30-Oct-13,1.22,1.31,1.21,1.30,371650
29-Oct-13,1.17,1.21,1.09,1.21,396781
28-Oct-13,1.19,1.19,1.17,1.19,51783
25-Oct-13,1.15,1.20,1.12,1.18,69988
24-Oct-13,1.16,1.19,1.15,1.19,78317
23-Oct-13,1.19,1.21,1.16,1.17,143409
22-Oct-13,1.19,1.20,1.16,1.18,103225
21-Oct-13,1.15,1.20,1.14,1.20,472715
18-Oct-13,1.17,1.19,1.14,1.14,53233
17-Oct-13,1.18,1.18,1.14,1.18,185195
16-Oct-13,1.17,1.18,1.15,1.18,62932
15-Oct-13,1.16,1.20,1.15,1.15,170106
14-Oct-13,1.18,1.22,1.15,1.15,86960
11-Oct-13,1.22,1.22,1.18,1.18,94051
10-Oct-13,1.20,1.24,1.20,1.20,139338
9-Oct-13,1.22,1.22,1.20,1.20,93828
8-Oct-13,1.21,1.26,1.20,1.20,193906
7-Oct-13,1.21,1.23,1.18,1.21,63130
4-Oct-13,1.23,1.24,1.15,1.21,119910
3-Oct-13,1.22,1.27,1.21,1.23,170805
2-Oct-13,1.21,1.24,1.18,1.24,692263
1-Oct-13,1.20,1.24,1.15,1.20,1134656
30-Sep-13,1.24,1.25,1.19,1.21,247714
27-Sep-13,1.24,1.32,1.18,1.26,384482
26-Sep-13,1.25,1.29,1.24,1.24,287572
25-Sep-13,1.20,1.25,1.17,1.25,707590
24-Sep-13,1.14,1.24,1.14,1.21,427467
23-Sep-13,1.12,1.18,1.12,1.14,432266
20-Sep-13,1.14,1.17,1.08,1.15,329646
19-Sep-13,1.11,1.13,1.09,1.12,156023
18-Sep-13,1.10,1.12,1.10,1.11,37393
17-Sep-13,1.08,1.11,1.07,1.11,83883
16-Sep-13,1.12,1.19,1.04,1.10,224663
13-Sep-13,1.17,1.17,1.05,1.08,555759
12-Sep-13,1.14,1.17,1.10,1.14,356059
11-Sep-13,1.15,1.25,1.13,1.14,398111
10-Sep-13,1.17,1.18,1.14,1.14,64323
9-Sep-13,1.13,1.17,1.12,1.17,77155
6-Sep-13,1.15,1.18,1.15,1.15,209754
5-Sep-13,1.12,1.18,1.11,1.16,121347
4-Sep-13,1.17,1.17,1.11,1.15,215154
3-Sep-13,1.08,1.22,1.08,1.18,373073
30-Aug-13,1.18,1.18,1.06,1.10,343477
29-Aug-13,1.15,1.18,1.10,1.16,299318
28-Aug-13,1.06,1.15,1.05,1.12,566617
27-Aug-13,1.15,1.20,1.03,1.14,1853903
26-Aug-13,1.29,1.35,1.18,1.25,494083
23-Aug-13,1.37,1.37,1.26,1.29,253214
22-Aug-13,1.40,1.40,1.34,1.39,109668
21-Aug-13,1.34,1.42,1.33,1.42,80093
20-Aug-13,1.35,1.37,1.32,1.36,128965
19-Aug-13,1.35,1.39,1.35,1.36,97728
16-Aug-13,1.38,1.39,1.36,1.36,115357
15-Aug-13,1.36,1.39,1.35,1.36,183721
14-Aug-13,1.39,1.39,1.35,1.39,122544
13-Aug-13,1.44,1.48,1.35,1.39,207353
12-Aug-13,1.43,1.44,1.35,1.41,181754
9-Aug-13,1.35,1.41,1.31,1.41,509673
8-Aug-13,1.36,1.43,1.33,1.33,309052
7-Aug-13,1.40,1.42,1.37,1.38,141034
6-Aug-13,1.40,1.48,1.37,1.39,421154
5-Aug-13,1.40,1.44,1.35,1.38,453392
2-Aug-13,1.47,1.54,1.34,1.40,511825
1-Aug-13,1.54,1.63,1.49,1.50,843645
31-Jul-13,1.41,1.55,1.41,1.50,375071
30-Jul-13,1.41,1.44,1.35,1.43,585085
29-Jul-13,1.44,1.46,1.34,1.40,2301411
26-Jul-13,1.35,1.43,1.20,1.40,2318578
25-Jul-13,1.70,1.71,1.46,1.55,712297
24-Jul-13,1.64,1.70,1.60,1.69,401352
23-Jul-13,1.50,1.83,1.50,1.69,2983319
22-Jul-13,1.43,1.46,1.38,1.46,297899
19-Jul-13,1.38,1.39,1.32,1.35,123658
18-Jul-13,1.32,1.36,1.31,1.35,82736
17-Jul-13,1.37,1.37,1.32,1.32,48662
16-Jul-13,1.30,1.36,1.29,1.36,233618
15-Jul-13,1.21,1.34,1.20,1.30,377365
12-Jul-13,1.30,1.31,1.25,1.26,57240
11-Jul-13,1.25,1.32,1.25,1.30,234946
10-Jul-13,1.25,1.33,1.22,1.25,274973
9-Jul-13,1.24,1.27,1.17,1.22,293026
8-Jul-13,1.15,1.37,1.10,1.25,772994
5-Jul-13,1.09,1.18,1.06,1.15,454425
3-Jul-13,1.03,1.07,1.01,1.06,142700
2-Jul-13,1.03,1.05,0.98,1.00,182817
1-Jul-13,1.02,1.03,1.00,1.01,73222
28-Jun-13,1.00,1.03,0.96,0.99,225737
27-Jun-13,1.01,1.02,0.97,1.00,440789
26-Jun-13,0.99,1.00,0.94,0.94,162131
25-Jun-13,0.98,1.02,0.98,0.99,287694
24-Jun-13,1.00,1.00,0.95,0.99,145778
21-Jun-13,0.94,0.99,0.94,0.99,223773
20-Jun-13,0.93,0.94,0.92,0.94,219134
19-Jun-13,0.94,0.94,0.92,0.94,22683
18-Jun-13,0.94,0.94,0.92,0.93,112682
17-Jun-13,0.91,0.94,0.91,0.94,64646
14-Jun-13,0.89,0.93,0.89,0.91,33939
13-Jun-13,0.86,0.92,0.86,0.92,80449
12-Jun-13,0.95,0.95,0.86,0.87,213163
11-Jun-13,0.93,0.93,0.91,0.92,30476
10-Jun-13,0.89,0.93,0.89,0.93,164233
7-Jun-13,0.92,0.93,0.86,0.86,334890
6-Jun-13,0.88,0.92,0.84,0.89,459907
5-Jun-13,0.92,0.97,0.89,0.90,1159526
4-Jun-13,0.94,0.94,0.90,0.90,97481
3-Jun-13,0.94,0.94,0.90,0.93,216697
31-May-13,0.95,0.97,0.90,0.90,500214
30-May-13,1.00,1.00,0.86,0.92,1984776
29-May-13,1.03,1.05,0.96,1.00,1161276
28-May-13,0.93,1.00,0.91,0.94,244038
24-May-13,0.92,0.97,0.88,0.88,148433
