Date,Open,High,Low,Close,Volume
31-Dec-13,5.35,5.35,5.35,5.35,555
30-Dec-13,5.36,5.36,5.35,5.35,620
26-Dec-13,5.35,5.35,5.35,5.35,2476
24-Dec-13,5.31,5.32,5.26,5.30,5633
20-Dec-13,5.31,5.31,5.31,5.31,275
19-Dec-13,5.30,5.45,5.30,5.44,2169
18-Dec-13,5.28,5.30,5.20,5.20,1237
17-Dec-13,5.30,5.30,5.20,5.20,231
16-Dec-13,5.35,5.45,5.27,5.28,2375
13-Dec-13,5.28,5.28,5.20,5.20,3794
12-Dec-13,5.20,5.20,5.20,5.20,500
10-Dec-13,5.40,5.40,5.40,5.40,165
9-Dec-13,5.20,5.49,5.19,5.40,55756
6-Dec-13,5.09,5.14,5.01,5.03,3900
5-Dec-13,5.20,5.20,5.05,5.09,6726
4-Dec-13,5.20,5.20,5.10,5.10,1511
3-Dec-13,5.10,5.18,5.10,5.10,5534
2-Dec-13,5.23,5.23,5.10,5.22,2300
29-Nov-13,5.21,5.21,5.20,5.21,10015
27-Nov-13,5.17,5.21,5.10,5.21,4867
26-Nov-13,5.17,5.17,5.17,5.17,700
25-Nov-13,5.18,5.25,5.06,5.06,11535
22-Nov-13,5.14,5.16,5.05,5.05,425
21-Nov-13,5.00,5.18,5.00,5.18,11454
20-Nov-13,4.99,4.99,4.90,4.90,2005
19-Nov-13,5.10,5.10,5.00,5.00,1105
15-Nov-13,5.00,5.00,4.99,5.00,2400
14-Nov-13,4.90,5.00,4.87,5.00,7297
13-Nov-13,4.89,4.89,4.75,4.75,3300
12-Nov-13,4.70,4.89,4.65,4.70,1288
8-Nov-13,4.85,4.85,4.70,4.70,605
7-Nov-13,4.65,4.89,4.63,4.67,800
6-Nov-13,4.63,4.63,4.63,4.63,100
5-Nov-13,4.65,4.65,4.65,4.65,500
4-Nov-13,4.73,4.80,4.68,4.68,300
1-Nov-13,4.63,4.71,4.63,4.70,1000
31-Oct-13,4.93,4.93,4.93,4.93,135
30-Oct-13,4.77,4.89,4.66,4.88,2332
29-Oct-13,4.87,4.89,4.75,4.77,1260
28-Oct-13,4.66,5.09,4.66,4.75,1400
25-Oct-13,4.61,4.62,4.61,4.62,2633
23-Oct-13,4.55,5.04,4.55,4.63,7289
22-Oct-13,4.56,4.60,4.55,4.60,2209
21-Oct-13,4.52,4.52,4.52,4.52,100
17-Oct-13,4.57,4.57,4.53,4.53,2300
16-Oct-13,5.15,5.15,4.83,4.90,1550
15-Oct-13,4.86,5.18,4.80,5.18,2260
