Date,Open,High,Low,Close,Volume
31-Dec-13,24.30,24.30,24.30,24.30,277
30-Dec-13,24.07,24.07,24.07,24.07,659
26-Dec-13,23.98,23.98,23.98,23.98,2395
24-Dec-13,23.95,23.95,23.90,23.92,1015
23-Dec-13,24.06,24.06,24.03,24.03,1600
20-Dec-13,23.89,24.00,23.89,23.98,4100
19-Dec-13,23.75,23.91,23.75,23.80,1842
18-Dec-13,24.38,24.38,24.38,24.38,500
17-Dec-13,23.95,23.95,23.95,23.95,121
16-Dec-13,23.94,24.12,23.94,24.12,200
13-Dec-13,23.87,23.91,23.87,23.88,1200
12-Dec-13,23.89,24.00,23.89,23.92,2010
11-Dec-13,24.02,24.02,24.02,24.02,301
10-Dec-13,24.36,24.36,24.20,24.22,5800
9-Dec-13,24.61,24.65,24.42,24.51,4728
6-Dec-13,24.57,24.57,24.57,24.57,100
5-Dec-13,24.45,24.48,24.37,24.39,2300
4-Dec-13,24.49,24.49,24.40,24.40,1430
3-Dec-13,24.64,24.65,24.52,24.57,2900
2-Dec-13,25.07,25.07,24.90,24.90,8200
29-Nov-13,25.34,25.44,25.34,25.41,5056
27-Nov-13,25.11,25.11,25.11,25.11,121
26-Nov-13,24.88,25.05,24.88,25.05,1400
25-Nov-13,25.00,25.00,24.92,24.92,8733
22-Nov-13,24.86,24.93,24.86,24.93,1275
21-Nov-13,24.81,24.84,24.71,24.79,7658
20-Nov-13,25.12,25.15,25.12,25.15,800
19-Nov-13,25.27,25.28,25.21,25.25,1370
18-Nov-13,25.15,25.20,25.08,25.08,21158
15-Nov-13,24.87,25.14,24.87,25.13,3900
14-Nov-13,24.54,24.54,24.43,24.51,19300
13-Nov-13,24.42,24.52,24.42,24.52,3165
12-Nov-13,24.99,24.99,24.90,24.90,3030
11-Nov-13,24.89,24.89,24.85,24.85,2000
8-Nov-13,24.90,24.94,24.77,24.92,6125
7-Nov-13,25.18,25.18,25.01,25.02,3700
