Date,Open,High,Low,Close,Volume
31-Dec-13,37.13,37.46,36.81,37.10,151210
30-Dec-13,36.83,37.00,36.38,36.94,118555
27-Dec-13,37.19,37.33,36.81,36.90,84189
26-Dec-13,37.41,37.83,36.84,37.03,110647
24-Dec-13,37.07,37.76,36.86,37.07,61411
23-Dec-13,37.82,38.05,37.01,37.09,184017
20-Dec-13,36.36,37.05,36.31,36.90,651185
19-Dec-13,36.71,37.25,36.37,36.56,188568
18-Dec-13,36.73,37.02,36.29,36.84,169460
17-Dec-13,37.15,37.44,36.36,36.56,163314
16-Dec-13,36.56,37.83,36.56,37.07,287789
13-Dec-13,36.55,37.00,36.17,36.52,325655
12-Dec-13,35.97,36.70,35.87,36.49,249212
11-Dec-13,35.86,36.15,35.62,36.00,376109
10-Dec-13,35.45,35.96,35.24,35.69,278370
9-Dec-13,35.14,35.65,34.85,35.41,216930
6-Dec-13,34.49,35.08,34.12,34.99,305284
5-Dec-13,34.00,34.49,33.60,34.27,1330739
4-Dec-13,35.99,36.25,34.65,34.67,234230
3-Dec-13,36.42,37.44,35.71,36.14,88054
2-Dec-13,35.00,37.17,34.51,36.42,234316
29-Nov-13,38.74,38.74,38.33,38.48,26259
27-Nov-13,37.96,38.52,37.76,38.47,72797
26-Nov-13,37.20,37.92,37.14,37.67,56445
25-Nov-13,37.68,37.99,36.99,37.18,71145
22-Nov-13,36.92,37.99,36.92,37.63,63959
21-Nov-13,35.97,37.12,35.93,37.03,67120
20-Nov-13,36.02,36.20,35.72,35.92,64290
19-Nov-13,36.00,36.33,35.54,35.98,66090
18-Nov-13,35.91,36.28,35.68,36.03,81256
15-Nov-13,35.67,35.93,35.40,35.89,34995
14-Nov-13,35.85,35.99,35.40,35.60,34808
13-Nov-13,35.25,35.79,35.02,35.78,38371
12-Nov-13,34.75,35.50,34.50,35.37,65729
11-Nov-13,34.97,34.97,34.41,34.68,150127
8-Nov-13,33.73,35.15,33.50,34.82,63446
7-Nov-13,34.50,34.50,33.56,33.74,131342
6-Nov-13,34.81,34.81,33.86,34.44,96514
5-Nov-13,34.57,34.84,34.14,34.47,58696
4-Nov-13,35.63,35.63,34.20,34.69,132458
1-Nov-13,35.59,36.14,35.17,35.61,91061
31-Oct-13,35.80,36.02,35.01,35.55,136874
30-Oct-13,37.08,37.73,35.85,36.00,121681
29-Oct-13,36.00,39.77,35.00,37.12,224997
28-Oct-13,33.43,33.43,32.49,32.79,66947
25-Oct-13,33.22,33.37,32.73,33.31,45115
24-Oct-13,32.73,33.20,32.45,33.05,44687
23-Oct-13,32.57,32.90,32.22,32.69,39057
22-Oct-13,32.25,32.82,32.24,32.65,45761
21-Oct-13,32.15,32.46,32.15,32.25,79438
18-Oct-13,31.58,32.03,31.29,31.96,88299
17-Oct-13,30.91,31.43,30.72,31.27,44480
16-Oct-13,30.74,31.00,30.50,30.88,38342
15-Oct-13,30.80,30.97,30.46,30.72,49852
14-Oct-13,30.84,31.00,30.62,30.83,51802
11-Oct-13,29.01,30.98,29.01,30.90,68915
10-Oct-13,29.16,29.32,28.98,29.17,65037
9-Oct-13,29.50,29.70,28.78,28.88,108698
8-Oct-13,30.06,30.25,29.50,29.53,50092
7-Oct-13,30.29,30.70,29.95,29.97,63957
4-Oct-13,30.43,30.90,30.33,30.46,31182
3-Oct-13,30.76,30.90,30.25,30.48,56986
2-Oct-13,30.00,30.96,29.90,30.76,87561
1-Oct-13,30.05,30.44,29.99,30.12,64514
30-Sep-13,29.99,30.44,29.93,30.13,70964
27-Sep-13,30.21,30.47,29.95,30.09,38802
26-Sep-13,30.19,30.48,29.90,30.25,130969
25-Sep-13,30.25,30.59,30.03,30.03,35933
24-Sep-13,30.39,30.76,30.18,30.19,53771
23-Sep-13,30.09,30.52,29.99,30.25,91842
20-Sep-13,29.29,30.14,29.29,29.95,98476
19-Sep-13,30.03,30.19,29.09,29.27,46820
18-Sep-13,29.56,30.21,29.23,30.09,55621
17-Sep-13,29.40,29.60,29.19,29.56,43907
