Date,Open,High,Low,Close,Volume
31-Dec-13,3.16,3.19,3.05,3.14,194369
30-Dec-13,3.08,3.25,3.01,3.18,339435
27-Dec-13,3.09,3.09,2.98,3.07,175015
26-Dec-13,3.15,3.18,3.00,3.08,197306
24-Dec-13,3.10,3.15,3.00,3.15,90084
23-Dec-13,3.01,3.11,2.94,3.06,254250
20-Dec-13,2.92,3.00,2.92,2.95,194582
19-Dec-13,3.01,3.09,2.94,2.95,211442
18-Dec-13,2.97,3.07,2.92,2.99,184962
17-Dec-13,3.20,3.20,2.93,2.99,318473
16-Dec-13,3.42,3.48,3.11,3.13,322196
13-Dec-13,3.49,3.52,3.32,3.42,269892
12-Dec-13,3.27,3.60,3.11,3.58,706809
11-Dec-13,3.42,3.65,3.27,3.36,3178992
10-Dec-13,2.75,3.00,2.71,2.93,949592
9-Dec-13,2.70,2.77,2.63,2.71,227957
6-Dec-13,2.78,2.86,2.61,2.68,444216
5-Dec-13,2.95,2.96,2.66,2.70,882288
4-Dec-13,2.92,3.10,2.90,2.95,642978
3-Dec-13,3.15,3.19,2.81,2.93,1744039
2-Dec-13,3.80,3.80,3.42,3.54,1236574
29-Nov-13,3.97,3.98,3.63,3.83,616255
27-Nov-13,4.32,4.40,3.80,3.93,4059672
26-Nov-13,4.50,4.91,3.63,4.65,11144922
25-Nov-13,2.62,2.74,2.48,2.69,233365
22-Nov-13,2.33,2.40,2.26,2.38,34601
21-Nov-13,2.32,2.42,2.26,2.36,64510
20-Nov-13,2.25,2.38,2.25,2.28,37133
19-Nov-13,2.40,2.40,2.26,2.26,42285
18-Nov-13,2.33,2.44,2.30,2.37,128207
15-Nov-13,2.19,2.33,2.19,2.30,75053
14-Nov-13,2.11,2.19,2.10,2.18,105918
13-Nov-13,2.15,2.21,2.09,2.11,119881
12-Nov-13,2.20,2.24,2.16,2.19,59233
11-Nov-13,2.49,2.49,2.05,2.20,277789
8-Nov-13,2.41,2.53,2.40,2.46,121808
7-Nov-13,2.62,2.67,2.40,2.42,148670
6-Nov-13,2.52,2.60,2.52,2.58,57489
5-Nov-13,2.62,2.62,2.48,2.50,41325
4-Nov-13,2.58,2.63,2.51,2.54,36308
1-Nov-13,2.58,2.58,2.50,2.54,26042
31-Oct-13,2.60,2.61,2.53,2.54,26993
30-Oct-13,2.71,2.71,2.60,2.61,34148
29-Oct-13,2.73,2.77,2.65,2.66,48276
28-Oct-13,2.66,2.77,2.63,2.75,79121
25-Oct-13,2.60,2.68,2.60,2.62,55008
24-Oct-13,2.54,2.60,2.50,2.58,42576
23-Oct-13,2.52,2.85,2.47,2.53,194218
22-Oct-13,2.65,2.68,2.56,2.59,52100
21-Oct-13,2.63,2.65,2.52,2.56,102350
18-Oct-13,2.69,2.78,2.64,2.68,84039
17-Oct-13,2.74,2.79,2.65,2.67,48641
16-Oct-13,2.76,2.79,2.60,2.71,97789
15-Oct-13,2.79,2.84,2.68,2.74,112944
14-Oct-13,2.95,3.00,2.75,2.79,139632
11-Oct-13,3.04,3.17,2.84,2.87,253180
10-Oct-13,2.73,3.60,2.71,3.06,959700
9-Oct-13,2.63,2.73,2.56,2.67,164666
8-Oct-13,2.62,2.62,2.45,2.48,71198
7-Oct-13,2.55,2.67,2.53,2.55,88639
4-Oct-13,2.70,2.70,2.54,2.55,121955
3-Oct-13,2.86,2.86,2.60,2.67,136913
2-Oct-13,2.64,2.94,2.63,2.75,83507
