Date,Open,High,Low,Close,Volume
31-Dec-13,29.00,29.00,26.70,27.01,145339
30-Dec-13,30.28,30.31,28.90,28.90,21833
27-Dec-13,30.22,30.42,29.85,30.28,29897
26-Dec-13,29.83,30.78,29.51,30.15,35351
24-Dec-13,29.74,30.35,29.41,29.87,20616
23-Dec-13,30.00,30.50,29.22,29.74,50593
20-Dec-13,30.36,30.48,29.10,29.60,53289
19-Dec-13,29.33,31.10,29.07,30.86,67828
18-Dec-13,28.49,29.50,27.00,29.21,161702
17-Dec-13,32.38,32.38,27.19,28.59,265742
16-Dec-13,34.00,35.12,32.25,32.95,117327
13-Dec-13,32.58,34.66,32.58,33.44,107714
12-Dec-13,29.57,33.00,29.10,32.35,142245
11-Dec-13,29.64,29.96,27.00,29.42,217581
10-Dec-13,30.10,30.50,29.45,30.20,82943
9-Dec-13,28.10,31.06,28.05,29.91,150350
6-Dec-13,27.14,28.44,26.77,28.00,46012
5-Dec-13,27.90,28.44,27.00,27.10,54040
4-Dec-13,27.70,27.99,26.18,27.89,24368
3-Dec-13,28.35,28.35,27.00,27.68,19042
2-Dec-13,26.12,28.32,26.11,27.23,82268
29-Nov-13,26.98,26.98,26.10,26.36,19614
27-Nov-13,26.51,26.97,26.51,26.75,10184
26-Nov-13,26.57,26.98,26.05,26.49,20528
25-Nov-13,26.70,26.85,26.00,26.84,25746
22-Nov-13,26.83,27.00,25.60,26.72,51998
21-Nov-13,27.64,27.64,26.00,27.02,53533
20-Nov-13,27.15,27.84,26.50,27.47,58829
19-Nov-13,28.11,28.13,25.00,27.38,101881
18-Nov-13,27.85,28.94,27.01,27.30,294798
15-Nov-13,25.75,27.66,25.75,26.71,137181
14-Nov-13,24.85,26.42,24.25,25.78,235322
13-Nov-13,23.50,25.21,23.50,23.97,163545
12-Nov-13,24.50,25.50,22.79,23.41,373401
11-Nov-13,22.50,23.41,21.66,23.29,135391
8-Nov-13,21.05,21.93,20.58,21.93,42160
7-Nov-13,22.19,22.63,20.25,21.20,96775
6-Nov-13,23.18,23.18,21.35,22.17,55319
5-Nov-13,23.60,23.60,22.27,22.40,70585
4-Nov-13,21.89,22.77,21.50,22.34,111956
1-Nov-13,21.50,21.50,20.80,21.25,79863
31-Oct-13,20.19,21.74,19.78,20.78,196704
30-Oct-13,19.70,20.55,19.02,20.00,223904
29-Oct-13,19.50,19.70,18.78,19.00,55320
28-Oct-13,18.90,19.02,18.56,19.02,76572
25-Oct-13,18.75,18.81,18.28,18.72,33881
24-Oct-13,18.27,18.74,18.02,18.55,98723
23-Oct-13,18.05,18.51,17.55,18.12,41725
22-Oct-13,18.20,18.44,17.90,17.96,162207
21-Oct-13,18.00,18.19,17.21,17.81,113094
18-Oct-13,17.00,17.39,16.71,16.94,163636
17-Oct-13,16.53,16.90,16.50,16.68,24191
16-Oct-13,16.65,16.93,16.55,16.67,12146
15-Oct-13,16.92,17.00,16.50,16.56,95840
14-Oct-13,17.00,17.00,16.59,16.87,41475
11-Oct-13,17.44,17.44,16.61,16.79,41276
10-Oct-13,16.95,17.00,16.55,16.71,36443
9-Oct-13,16.82,17.14,16.31,16.78,73003
8-Oct-13,17.05,17.48,16.33,16.86,375445
7-Oct-13,17.24,17.45,16.80,16.94,53575
4-Oct-13,17.10,17.10,16.72,17.07,89064
3-Oct-13,17.33,17.33,16.34,16.94,146952
2-Oct-13,16.96,16.96,16.50,16.60,122530
1-Oct-13,16.65,16.77,16.31,16.63,112947
30-Sep-13,19.38,19.38,16.21,16.55,479466
27-Sep-13,14.25,18.25,14.25,18.16,2129608
