Date,Open,High,Low,Close,Volume
31-Dec-13,23.45,23.50,23.11,23.11,5457
30-Dec-13,23.22,23.45,23.11,23.45,6080
27-Dec-13,23.15,23.44,23.15,23.28,6590
26-Dec-13,23.26,23.30,23.15,23.15,4282
24-Dec-13,23.25,23.31,23.01,23.25,4151
23-Dec-13,23.00,23.20,23.00,23.02,6631
20-Dec-13,22.90,23.19,22.90,23.18,6504
19-Dec-13,22.82,23.39,22.82,22.90,3263
18-Dec-13,22.83,23.44,22.50,23.24,9727
17-Dec-13,23.50,23.50,22.66,22.76,3941
16-Dec-13,23.18,23.54,23.02,23.54,6643
13-Dec-13,23.50,23.50,23.30,23.36,3310
12-Dec-13,23.20,23.35,23.20,23.25,1532
11-Dec-13,23.26,23.49,23.20,23.31,5978
10-Dec-13,23.00,23.35,22.99,23.20,8052
9-Dec-13,23.00,23.30,22.90,22.95,11670
6-Dec-13,22.79,23.25,22.60,23.24,3274
5-Dec-13,23.30,23.30,22.69,22.69,12156
4-Dec-13,22.90,23.30,22.75,22.76,3546
3-Dec-13,22.54,23.35,22.25,23.35,13120
2-Dec-13,22.56,22.80,22.50,22.77,6335
29-Nov-13,22.30,22.60,22.17,22.54,4625
27-Nov-13,21.09,21.88,21.09,21.88,23592
26-Nov-13,20.15,20.71,20.15,20.71,5058
25-Nov-13,20.50,20.50,19.52,20.36,21137
22-Nov-13,20.30,20.39,20.18,20.30,8886
21-Nov-13,20.30,20.40,20.16,20.26,3988
20-Nov-13,20.07,20.49,20.07,20.26,12155
19-Nov-13,20.34,20.86,20.06,20.32,21015
18-Nov-13,21.19,21.19,20.38,20.53,20133
15-Nov-13,22.16,22.16,20.63,21.24,16849
14-Nov-13,21.25,22.50,21.25,21.30,12984
13-Nov-13,21.19,21.50,21.10,21.22,18058
12-Nov-13,22.46,22.55,22.00,22.00,13825
11-Nov-13,22.50,22.90,22.43,22.43,3330
8-Nov-13,22.48,22.98,22.25,22.59,6930
7-Nov-13,22.61,22.70,22.30,22.30,9486
6-Nov-13,23.75,23.75,22.16,22.60,9553
5-Nov-13,23.97,23.97,23.73,23.88,1700
4-Nov-13,23.66,23.66,22.50,23.40,15580
1-Nov-13,24.00,24.00,23.75,23.75,2560
31-Oct-13,24.10,24.10,24.00,24.06,3648
30-Oct-13,24.02,24.10,24.02,24.03,3925
29-Oct-13,24.40,24.40,24.33,24.33,700
28-Oct-13,24.25,24.49,24.00,24.46,1555
25-Oct-13,24.25,24.25,24.10,24.17,3250
24-Oct-13,24.29,24.49,24.13,24.13,5388
23-Oct-13,23.75,24.49,23.75,24.47,3362
22-Oct-13,24.05,24.23,23.81,23.81,9198
21-Oct-13,24.40,24.50,24.01,24.25,4580
18-Oct-13,24.08,24.40,23.81,24.39,6992
17-Oct-13,23.30,24.02,23.12,24.01,10000
16-Oct-13,22.41,23.44,22.41,23.35,11497
15-Oct-13,21.85,22.57,21.50,22.56,9990
14-Oct-13,22.29,22.45,20.37,21.70,19428
11-Oct-13,23.17,23.35,22.00,22.45,19670
10-Oct-13,23.49,23.62,23.15,23.27,3625
9-Oct-13,23.30,23.40,23.28,23.40,4175
8-Oct-13,23.87,23.87,23.02,23.30,13079
7-Oct-13,24.00,24.25,23.71,23.71,13743
4-Oct-13,24.43,24.45,23.53,24.44,6540
3-Oct-13,24.52,24.69,24.44,24.69,3100
2-Oct-13,24.54,24.66,24.45,24.52,8372
1-Oct-13,24.74,24.86,24.55,24.69,7983
30-Sep-13,24.89,25.00,24.86,24.86,9100
27-Sep-13,24.91,24.95,24.91,24.94,4450
26-Sep-13,25.05,25.15,24.91,24.91,10709
25-Sep-13,25.06,25.21,25.01,25.02,4684
24-Sep-13,25.23,25.23,25.07,25.11,2727
23-Sep-13,25.16,25.19,25.14,25.14,675
20-Sep-13,25.01,25.32,25.01,25.14,3500
19-Sep-13,25.16,25.33,25.02,25.31,6644
18-Sep-13,25.42,25.42,25.00,25.20,10270
17-Sep-13,25.67,25.67,25.40,25.63,4799
16-Sep-13,25.40,25.57,25.40,25.42,2114
13-Sep-13,25.38,25.46,25.30,25.40,1725
12-Sep-13,25.64,25.64,25.60,25.60,2694
11-Sep-13,25.40,25.50,25.40,25.50,1740
10-Sep-13,25.26,25.39,25.26,25.39,1450
9-Sep-13,25.20,25.40,25.19,25.23,4414
6-Sep-13,25.26,25.26,25.16,25.24,3694
5-Sep-13,25.23,25.23,25.12,25.23,3673
4-Sep-13,25.24,25.24,25.15,25.15,2397
3-Sep-13,25.14,25.23,25.12,25.23,1018
30-Aug-13,25.39,25.39,25.10,25.13,6022
29-Aug-13,25.15,25.40,25.15,25.39,6382
28-Aug-13,25.18,25.22,25.15,25.15,2677
27-Aug-13,25.06,25.12,25.06,25.12,3600
26-Aug-13,25.20,25.20,25.05,25.12,3638
23-Aug-13,25.12,25.12,25.00,25.11,1140
22-Aug-13,25.00,25.10,25.00,25.10,1867
21-Aug-13,25.04,25.12,25.04,25.06,1300
20-Aug-13,25.04,25.05,25.00,25.05,3010
19-Aug-13,25.00,25.09,25.00,25.00,2985
16-Aug-13,25.10,25.15,25.00,25.00,3375
15-Aug-13,25.20,25.20,25.00,25.00,4676
14-Aug-13,25.19,25.19,25.06,25.06,6566
13-Aug-13,25.06,25.10,25.05,25.10,2050
12-Aug-13,25.15,25.18,25.06,25.17,1582
9-Aug-13,25.15,25.15,25.14,25.15,3000
8-Aug-13,25.08,25.18,25.08,25.16,2900
7-Aug-13,25.07,25.07,25.03,25.03,3073
6-Aug-13,25.18,25.18,24.96,25.03,11124
5-Aug-13,25.15,25.15,25.06,25.06,525
2-Aug-13,25.09,25.09,25.01,25.02,3377
1-Aug-13,25.36,25.36,25.15,25.15,2569
31-Jul-13,25.16,25.20,25.15,25.16,2970
30-Jul-13,25.15,25.50,25.08,25.50,8094
29-Jul-13,25.31,25.31,25.15,25.15,2909
26-Jul-13,25.32,25.32,25.17,25.17,4001
25-Jul-13,25.39,25.39,25.18,25.19,2148
24-Jul-13,25.37,25.52,25.16,25.40,2374
23-Jul-13,25.20,25.56,25.15,25.37,2492
22-Jul-13,25.26,25.57,25.13,25.37,3720
19-Jul-13,25.26,25.60,25.11,25.40,11621
18-Jul-13,25.15,25.27,25.12,25.26,1931
17-Jul-13,25.08,25.26,25.08,25.13,3625
16-Jul-13,25.25,25.28,25.07,25.21,6807
15-Jul-13,25.24,25.24,25.22,25.22,1215
12-Jul-13,25.12,25.12,25.12,25.12,400
11-Jul-13,25.25,25.27,25.12,25.25,1259
10-Jul-13,25.25,25.25,25.13,25.14,1152
9-Jul-13,25.13,25.24,25.12,25.13,2813
8-Jul-13,25.20,25.28,25.13,25.13,3970
5-Jul-13,25.15,25.15,25.07,25.11,1233
3-Jul-13,25.26,25.26,25.26,25.26,185
2-Jul-13,25.14,25.28,25.13,25.13,1392
1-Jul-13,25.13,25.79,25.13,25.15,3061
28-Jun-13,25.34,25.34,25.11,25.12,2894
27-Jun-13,25.20,25.29,25.20,25.25,1350
26-Jun-13,25.30,25.35,25.30,25.35,300
25-Jun-13,25.72,25.72,25.07,25.28,4738
24-Jun-13,25.49,25.49,25.40,25.40,400
21-Jun-13,25.40,25.40,25.26,25.31,1240
20-Jun-13,25.26,25.36,25.10,25.36,4954
