Date,Open,High,Low,Close,Volume
31-Dec-13,12.86,13.85,12.79,13.74,45217
30-Dec-13,13.17,13.17,12.62,12.79,44379
27-Dec-13,13.71,13.94,13.01,13.07,36093
26-Dec-13,13.91,13.91,13.24,13.30,33516
24-Dec-13,14.00,14.00,13.69,13.83,31344
23-Dec-13,12.97,13.99,12.52,13.92,63376
20-Dec-13,12.82,13.93,12.52,12.92,391478
19-Dec-13,14.01,14.58,12.76,12.77,67241
18-Dec-13,13.48,14.24,12.73,13.98,38785
17-Dec-13,13.76,14.22,13.10,13.51,81769
16-Dec-13,13.01,14.45,12.92,13.61,128292
13-Dec-13,12.97,13.00,12.50,12.91,33217
12-Dec-13,12.22,13.38,12.22,13.02,44646
11-Dec-13,13.10,13.28,12.18,12.68,58651
10-Dec-13,13.67,13.92,13.05,13.09,48368
9-Dec-13,13.57,14.00,13.41,13.64,70509
6-Dec-13,12.75,13.47,12.60,13.32,39125
5-Dec-13,12.33,12.74,12.06,12.60,48015
4-Dec-13,12.10,12.44,11.89,12.26,21158
3-Dec-13,12.07,12.22,11.77,12.11,66276
2-Dec-13,11.94,12.60,11.43,11.93,59204
29-Nov-13,11.59,12.03,11.28,11.93,34402
27-Nov-13,11.10,11.37,10.90,11.29,233162
26-Nov-13,11.51,11.95,11.00,11.10,134385
25-Nov-13,11.90,12.18,11.33,11.51,70806
22-Nov-13,12.23,12.23,11.20,11.74,151820
21-Nov-13,12.85,12.94,12.09,12.19,54737
20-Nov-13,12.85,13.49,12.60,12.81,103641
19-Nov-13,13.43,13.56,12.71,12.76,49810
18-Nov-13,14.00,14.74,13.48,13.49,74843
15-Nov-13,13.90,13.90,13.64,13.75,42702
14-Nov-13,13.68,14.01,13.68,13.89,16036
13-Nov-13,14.31,14.31,13.50,13.63,155746
12-Nov-13,14.70,14.72,14.20,14.44,42433
11-Nov-13,14.89,15.00,14.67,14.73,22729
8-Nov-13,14.50,15.07,14.50,14.85,18543
7-Nov-13,14.95,15.12,14.49,14.51,29275
6-Nov-13,15.42,15.80,14.75,14.77,61687
5-Nov-13,15.01,15.49,14.94,15.01,23869
4-Nov-13,14.99,15.68,14.97,15.03,19387
1-Nov-13,15.66,15.66,14.75,14.90,46137
31-Oct-13,15.78,15.80,15.55,15.67,37864
30-Oct-13,16.09,16.10,15.70,15.75,54914
29-Oct-13,15.62,16.01,15.60,15.79,34406
28-Oct-13,15.17,15.81,15.12,15.67,39678
25-Oct-13,15.70,15.76,14.51,15.14,104991
24-Oct-13,15.79,15.86,15.35,15.61,79616
23-Oct-13,16.59,16.59,15.50,15.66,113597
22-Oct-13,16.52,16.99,16.29,16.57,33740
21-Oct-13,17.25,17.34,16.31,16.52,64090
18-Oct-13,17.51,17.96,17.07,17.20,45198
17-Oct-13,18.11,18.11,17.00,17.35,22683
16-Oct-13,16.91,17.65,16.60,17.36,39374
15-Oct-13,16.71,16.83,16.57,16.63,11002
14-Oct-13,16.64,16.91,16.50,16.68,40076
11-Oct-13,16.46,16.83,16.45,16.69,203140
10-Oct-13,16.60,16.75,16.36,16.50,49783
9-Oct-13,17.51,17.51,16.06,16.46,69905
8-Oct-13,18.40,18.42,16.84,17.49,46718
7-Oct-13,18.39,18.49,17.90,18.17,20985
4-Oct-13,18.71,18.90,17.71,18.61,55954
3-Oct-13,18.97,19.08,18.57,18.76,30822
2-Oct-13,18.81,18.99,18.60,18.89,55161
1-Oct-13,19.00,19.30,18.58,18.87,66318
30-Sep-13,18.69,19.16,18.21,18.86,556675
