Date,Open,High,Low,Close,Volume
31-Dec-13,7.50,7.55,7.17,7.45,37450
30-Dec-13,7.65,7.66,7.25,7.53,31667
27-Dec-13,7.68,8.09,7.60,7.78,21368
26-Dec-13,7.10,7.75,6.91,7.68,56161
24-Dec-13,6.76,7.30,6.76,7.16,54052
23-Dec-13,7.26,7.26,6.75,6.90,68948
20-Dec-13,7.07,7.16,6.97,7.15,48813
19-Dec-13,7.01,7.28,6.86,7.09,54510
18-Dec-13,7.64,7.65,7.26,7.30,43190
17-Dec-13,7.88,8.29,7.13,7.59,73458
16-Dec-13,8.27,8.48,7.83,8.14,26810
13-Dec-13,8.46,8.46,7.92,8.20,20374
12-Dec-13,8.31,8.31,7.92,8.11,18781
11-Dec-13,8.42,8.79,8.05,8.05,58844
10-Dec-13,8.42,8.49,8.05,8.49,50717
9-Dec-13,8.10,8.96,8.10,8.45,16665
6-Dec-13,8.26,8.35,8.00,8.14,29355
5-Dec-13,8.34,8.34,8.00,8.10,20990
4-Dec-13,8.61,8.99,8.10,8.17,101475
3-Dec-13,8.64,8.79,8.26,8.64,34388
2-Dec-13,9.28,9.30,8.29,8.67,103042
29-Nov-13,9.45,9.45,9.13,9.14,11171
27-Nov-13,9.24,9.48,9.16,9.34,52348
26-Nov-13,9.00,9.22,8.85,9.10,83280
25-Nov-13,9.45,9.45,8.00,8.86,218430
22-Nov-13,9.90,10.14,9.06,9.15,78832
21-Nov-13,9.50,9.99,9.50,9.80,58756
20-Nov-13,11.05,11.59,9.00,9.30,246972
19-Nov-13,12.06,12.39,10.53,11.74,1286275
18-Nov-13,9.25,9.25,8.10,8.15,81698
15-Nov-13,9.07,9.07,8.19,9.00,44827
14-Nov-13,8.00,8.80,8.00,8.39,65093
13-Nov-13,8.83,9.25,7.73,7.88,101980
12-Nov-13,9.58,10.35,9.16,9.29,10233
11-Nov-13,9.98,9.98,9.10,9.74,8394
8-Nov-13,8.96,10.47,8.89,9.73,20370
7-Nov-13,10.91,11.05,8.90,9.18,77197
6-Nov-13,11.42,11.61,10.70,10.72,24162
5-Nov-13,11.35,11.37,11.35,11.37,640
4-Nov-13,11.49,11.96,11.25,11.50,10630
1-Nov-13,11.60,11.99,11.25,11.51,8530
31-Oct-13,11.74,11.74,11.25,11.27,10131
30-Oct-13,11.38,12.03,11.25,11.75,8550
29-Oct-13,11.36,11.80,11.30,11.51,23540
28-Oct-13,12.00,12.60,11.44,11.82,69014
25-Oct-13,11.49,11.79,11.26,11.79,25765
24-Oct-13,11.15,11.80,11.15,11.50,32505
23-Oct-13,11.25,11.87,11.00,11.29,23385
22-Oct-13,11.62,11.83,10.65,11.36,46553
21-Oct-13,12.38,12.44,11.22,11.62,45333
18-Oct-13,12.72,12.89,12.25,12.50,56537
17-Oct-13,12.00,12.74,12.00,12.72,47258
16-Oct-13,12.69,12.69,11.05,12.10,28755
15-Oct-13,11.97,12.24,11.40,11.99,17065
14-Oct-13,12.30,12.30,11.91,11.97,19332
11-Oct-13,12.47,12.54,12.25,12.25,29007
10-Oct-13,12.95,12.95,12.00,12.59,124514
9-Oct-13,12.93,12.93,11.70,12.10,68766
8-Oct-13,13.72,13.99,12.52,12.52,157433
7-Oct-13,14.25,14.25,13.50,13.80,108282
4-Oct-13,12.87,14.09,12.85,13.99,325577
3-Oct-13,12.34,13.25,12.04,12.63,434558
2-Oct-13,12.10,12.24,11.90,12.15,100958
1-Oct-13,12.24,12.24,11.40,12.10,135519
30-Sep-13,12.07,12.18,11.73,12.18,44515
27-Sep-13,11.52,12.29,11.51,12.03,179251
26-Sep-13,11.70,11.75,11.02,11.70,115786
25-Sep-13,11.15,11.77,10.55,11.74,747190
