Date,Open,High,Low,Close,Volume
31-Dec-13,14.02,14.02,14.02,14.02,238
30-Dec-13,14.17,14.38,14.14,14.38,1114
27-Dec-13,14.10,14.10,14.10,14.10,105
26-Dec-13,14.01,14.12,14.01,14.12,429
24-Dec-13,14.26,14.26,14.00,14.00,635
23-Dec-13,14.50,14.98,14.14,14.98,7672
20-Dec-13,14.26,14.26,14.26,14.26,107
19-Dec-13,14.26,14.26,14.26,14.26,500
18-Dec-13,14.54,14.54,14.54,14.54,300
13-Dec-13,15.04,15.04,14.29,14.48,1049
12-Dec-13,14.50,14.50,14.50,14.50,703
11-Dec-13,14.75,14.95,14.75,14.85,622
10-Dec-13,14.35,14.85,14.35,14.85,1200
9-Dec-13,15.05,15.05,14.26,14.26,1385
6-Dec-13,15.05,15.05,15.05,15.05,500
5-Dec-13,14.98,15.02,14.98,15.01,3268
4-Dec-13,14.87,15.00,14.87,15.00,300
3-Dec-13,14.80,14.80,14.80,14.80,100
2-Dec-13,15.17,15.19,15.15,15.15,599
27-Nov-13,14.50,14.50,14.50,14.50,600
26-Nov-13,14.26,15.20,14.26,15.20,2021
25-Nov-13,15.20,15.20,15.20,15.20,120
22-Nov-13,14.31,15.24,14.31,15.24,400
21-Nov-13,15.08,15.25,15.08,15.24,766
18-Nov-13,14.99,15.00,14.31,14.85,6044
15-Nov-13,15.10,15.10,14.94,14.99,3500
13-Nov-13,15.00,15.00,15.00,15.00,21400
12-Nov-13,14.80,15.24,14.80,15.00,670
8-Nov-13,15.49,15.49,14.98,14.98,300
7-Nov-13,14.52,14.52,14.52,14.52,117
6-Nov-13,14.35,14.35,14.35,14.35,300
5-Nov-13,15.50,15.50,15.48,15.48,1100
4-Nov-13,14.98,15.47,14.98,15.47,585
1-Nov-13,14.45,15.00,14.45,15.00,8471
31-Oct-13,14.85,14.85,14.68,14.70,832
30-Oct-13,14.85,14.88,14.85,14.85,1834
29-Oct-13,15.20,15.20,15.00,15.00,2010
28-Oct-13,15.00,15.20,14.75,15.20,3400
25-Oct-13,15.01,15.17,15.00,15.00,600
24-Oct-13,14.38,16.60,14.38,16.60,300
22-Oct-13,14.72,14.72,14.23,14.23,300
21-Oct-13,14.00,15.40,14.00,14.95,979
17-Oct-13,14.01,14.01,14.00,14.00,1563
16-Oct-13,14.00,14.06,13.85,14.00,7000
15-Oct-13,14.25,14.25,13.85,14.01,3200
14-Oct-13,13.87,15.26,13.72,13.91,4228
11-Oct-13,14.02,14.02,13.75,13.78,8597
10-Oct-13,14.16,14.18,13.99,13.99,900
9-Oct-13,14.24,14.81,14.00,14.02,1000
8-Oct-13,13.94,13.94,13.75,13.89,6975
7-Oct-13,13.82,13.97,13.82,13.86,1600
4-Oct-13,14.00,14.00,13.75,13.91,3646
3-Oct-13,13.85,14.16,13.02,14.16,33077
2-Oct-13,14.03,14.05,13.93,13.98,800
1-Oct-13,14.02,14.11,13.75,13.75,45768
30-Sep-13,13.82,14.00,13.82,14.00,400
27-Sep-13,14.03,14.03,13.75,13.76,2220
26-Sep-13,14.10,14.10,14.10,14.10,600
25-Sep-13,14.00,14.05,14.00,14.00,5240
24-Sep-13,13.84,14.23,13.84,14.20,1838
23-Sep-13,13.60,14.05,13.60,13.75,2260
20-Sep-13,14.01,14.01,13.50,13.50,7426
19-Sep-13,14.43,14.43,14.00,14.00,4020
16-Sep-13,14.96,14.96,14.96,14.96,100
13-Sep-13,13.75,14.47,13.75,14.46,987
12-Sep-13,14.01,14.40,14.01,14.39,700
11-Sep-13,14.26,14.26,14.20,14.25,2172
10-Sep-13,14.47,14.47,14.36,14.47,1380
9-Sep-13,14.19,14.20,13.75,14.20,1930
6-Sep-13,14.47,14.47,13.75,14.47,1698
5-Sep-13,13.88,14.41,13.80,14.41,1300
4-Sep-13,14.42,14.42,14.42,14.42,174
3-Sep-13,14.13,14.38,14.13,14.38,320
29-Aug-13,14.13,14.13,14.13,14.13,101
28-Aug-13,14.00,14.06,13.94,14.06,2800
27-Aug-13,13.82,13.82,13.81,13.81,200
26-Aug-13,14.26,14.26,13.80,14.09,1371
23-Aug-13,13.50,14.44,13.50,14.34,3764
21-Aug-13,13.77,13.77,13.19,13.60,1686
20-Aug-13,13.34,13.91,13.03,13.91,3500
19-Aug-13,13.02,13.58,12.86,13.25,3313
16-Aug-13,13.48,13.48,13.00,13.01,3610
15-Aug-13,13.33,13.93,13.04,13.04,6229
14-Aug-13,13.49,13.82,13.21,13.21,5879
13-Aug-13,13.50,13.50,13.50,13.50,360
12-Aug-13,14.40,14.40,13.00,13.26,2393
9-Aug-13,13.47,13.47,13.44,13.47,1899
