Date,Open,High,Low,Close,Volume
31-Dec-13,21.60,21.60,21.00,21.26,1231
30-Dec-13,21.60,21.60,21.59,21.60,5069
27-Dec-13,21.47,21.60,21.47,21.60,1104
26-Dec-13,21.46,21.47,21.46,21.47,529
20-Dec-13,21.12,21.32,21.12,21.32,879
19-Dec-13,21.00,21.00,21.00,21.00,156
17-Dec-13,21.00,21.15,21.00,21.15,2091
16-Dec-13,21.59,21.59,21.50,21.50,1312
13-Dec-13,20.77,20.77,20.77,20.77,100
12-Dec-13,21.00,21.00,20.77,20.77,1438
6-Dec-13,21.00,21.00,21.00,21.00,150
4-Dec-13,21.36,21.36,21.36,21.36,364
29-Nov-13,20.75,20.75,20.75,20.75,100
27-Nov-13,21.37,21.37,21.37,21.37,100
26-Nov-13,21.40,21.40,20.94,20.94,200
25-Nov-13,21.44,21.44,21.44,21.44,200
22-Nov-13,20.30,20.30,20.25,20.25,300
20-Nov-13,20.25,20.25,20.25,20.25,200
19-Nov-13,20.30,20.30,20.30,20.30,200
18-Nov-13,20.32,20.34,20.30,20.30,930
14-Nov-13,20.25,20.25,20.25,20.25,2142
13-Nov-13,20.31,20.54,20.30,20.54,400
12-Nov-13,20.35,20.40,20.26,20.26,2440
8-Nov-13,20.17,20.31,20.16,20.24,1443
7-Nov-13,20.44,20.44,20.44,20.44,100
6-Nov-13,21.60,21.60,21.60,21.60,300
4-Nov-13,21.60,21.60,21.55,21.60,700
31-Oct-13,20.05,21.60,20.05,21.60,1144
29-Oct-13,20.00,20.00,20.00,20.00,200
28-Oct-13,20.08,20.10,20.00,20.07,1100
25-Oct-13,19.56,19.56,19.56,19.56,100
24-Oct-13,19.77,20.12,19.40,20.07,4278
23-Oct-13,20.12,20.12,20.12,20.12,498
21-Oct-13,20.12,20.12,20.07,20.11,1000
18-Oct-13,20.12,20.12,20.07,20.10,500
16-Oct-13,20.90,20.90,19.75,19.75,3301
14-Oct-13,20.90,20.90,20.90,20.90,399
11-Oct-13,20.99,20.99,20.99,20.99,116
10-Oct-13,21.00,21.00,21.00,21.00,405
9-Oct-13,20.76,20.76,20.75,20.75,410
8-Oct-13,20.75,20.75,20.75,20.75,500
7-Oct-13,20.75,20.75,20.75,20.75,300
4-Oct-13,20.75,20.75,20.75,20.75,100
3-Oct-13,21.50,21.50,21.50,21.50,300
1-Oct-13,21.30,21.96,21.30,21.96,328
30-Sep-13,21.39,21.39,21.34,21.34,3982
27-Sep-13,20.84,20.90,20.84,20.90,835
26-Sep-13,20.76,20.76,20.76,20.76,480
24-Sep-13,20.76,20.76,20.76,20.76,300
23-Sep-13,20.88,20.89,20.75,20.75,520
20-Sep-13,20.68,20.84,20.68,20.84,400
19-Sep-13,20.66,20.66,20.66,20.66,210
18-Sep-13,20.65,21.86,20.65,21.62,300
11-Sep-13,21.00,21.36,21.00,21.11,3318
10-Sep-13,20.75,20.99,20.75,20.91,2000
9-Sep-13,20.69,20.75,20.69,20.75,1300
6-Sep-13,20.73,20.79,20.73,20.79,600
5-Sep-13,20.52,20.80,20.52,20.80,250
3-Sep-13,20.50,20.50,20.50,20.50,700
30-Aug-13,20.29,20.29,20.29,20.29,100
27-Aug-13,20.28,20.28,20.27,20.27,656
21-Aug-13,20.77,20.77,20.77,20.77,100
16-Aug-13,20.32,20.32,20.32,20.32,100
14-Aug-13,20.35,20.59,20.35,20.59,800
13-Aug-13,20.70,20.80,20.53,20.53,1444
12-Aug-13,20.75,20.75,20.67,20.67,332
9-Aug-13,20.67,20.67,20.67,20.67,100
7-Aug-13,20.70,20.86,20.47,20.75,2509
6-Aug-13,20.70,20.70,20.70,20.70,399
5-Aug-13,20.60,20.70,20.60,20.70,1184
2-Aug-13,20.60,20.60,20.60,20.60,1490
1-Aug-13,20.47,20.47,20.47,20.47,300
31-Jul-13,20.60,20.60,20.59,20.60,5703
30-Jul-13,20.68,20.68,20.68,20.68,300
29-Jul-13,20.22,20.70,20.22,20.70,1600
26-Jul-13,20.60,20.60,20.60,20.60,700
23-Jul-13,20.20,20.60,20.20,20.60,824
19-Jul-13,20.20,20.23,19.75,20.10,2440
18-Jul-13,20.21,20.21,20.20,20.20,990
17-Jul-13,20.09,20.20,20.09,20.20,837
16-Jul-13,20.10,20.20,20.10,20.10,4200
10-Jul-13,20.00,20.00,20.00,20.00,200
9-Jul-13,20.05,20.05,20.05,20.05,300
8-Jul-13,20.06,20.06,20.06,20.06,547
1-Jul-13,20.57,20.57,20.05,20.26,1040
28-Jun-13,20.57,20.57,20.57,20.57,4359
27-Jun-13,20.29,20.30,20.29,20.30,600
25-Jun-13,20.60,20.60,20.07,20.12,500
20-Jun-13,20.60,20.60,20.60,20.60,300
19-Jun-13,20.49,20.50,20.45,20.50,1200
14-Jun-13,20.04,20.15,20.00,20.15,1936
10-Jun-13,20.00,20.47,20.00,20.47,314
30-May-13,20.02,20.02,20.02,20.02,100
24-May-13,19.62,19.62,19.62,19.62,100
23-May-13,20.04,20.04,20.04,20.04,200
20-May-13,19.78,19.80,19.77,19.80,880
17-May-13,19.54,19.57,19.54,19.57,216
16-May-13,19.80,19.80,19.77,19.80,300
14-May-13,19.56,19.56,19.50,19.50,400
13-May-13,19.55,19.56,19.40,19.40,3520
10-May-13,19.99,19.99,19.52,19.52,400
9-May-13,20.10,20.10,20.10,20.10,400
8-May-13,19.46,19.46,19.45,19.45,1284
3-May-13,19.40,19.40,19.40,19.40,307
2-May-13,19.63,19.63,19.40,19.40,330
30-Apr-13,19.60,19.60,19.60,19.60,300
24-Apr-13,19.54,19.93,19.54,19.93,400
23-Apr-13,19.66,19.66,19.55,19.55,769
18-Apr-13,19.66,19.90,19.66,19.90,232
17-Apr-13,20.24,20.27,20.08,20.08,300
15-Apr-13,19.62,19.62,19.56,19.56,481
11-Apr-13,19.81,19.81,19.81,19.81,100
10-Apr-13,20.00,20.00,19.75,19.92,550
8-Apr-13,20.26,20.26,19.76,20.11,1997
5-Apr-13,19.79,20.27,19.79,20.27,450
4-Apr-13,19.87,19.87,19.80,19.85,581
3-Apr-13,19.87,19.87,19.82,19.82,300
2-Apr-13,20.43,20.43,19.99,20.00,1044
1-Apr-13,20.07,20.50,20.07,20.49,4079
28-Mar-13,20.37,20.37,20.37,20.37,441
27-Mar-13,19.90,20.32,19.90,19.90,1350
25-Mar-13,19.80,19.81,19.80,19.81,200
21-Mar-13,19.77,19.77,19.77,19.77,300
11-Mar-13,19.84,19.84,19.84,19.84,281
8-Mar-13,19.89,19.89,19.89,19.89,109
6-Mar-13,19.76,19.76,19.50,19.50,2790
4-Mar-13,19.57,19.57,19.57,19.57,300
1-Mar-13,19.57,19.57,19.54,19.54,785
28-Feb-13,19.57,19.57,19.57,19.57,100
27-Feb-13,19.75,19.75,19.75,19.75,800
20-Feb-13,19.90,20.00,19.90,19.90,300
13-Feb-13,19.55,19.88,19.55,19.88,200
12-Feb-13,19.54,19.54,19.54,19.54,300
11-Feb-13,19.60,19.70,19.54,19.54,800
8-Feb-13,19.60,19.70,19.60,19.61,400
7-Feb-13,19.60,20.00,19.52,19.52,500
6-Feb-13,19.50,20.00,19.50,19.83,6399
5-Feb-13,19.99,19.99,19.99,19.99,198
31-Jan-13,19.51,19.58,19.49,19.51,1700
30-Jan-13,19.96,19.96,19.96,19.96,1386
29-Jan-13,19.52,19.52,19.50,19.50,281
28-Jan-13,19.53,19.53,19.53,19.53,100
22-Jan-13,19.35,19.98,19.35,19.98,600
18-Jan-13,19.40,19.40,19.40,19.40,300
14-Jan-13,19.54,19.54,19.53,19.54,700
11-Jan-13,19.58,19.58,19.58,19.58,300
10-Jan-13,20.50,20.50,19.71,19.71,700
9-Jan-13,20.50,20.50,20.50,20.50,100
8-Jan-13,20.50,20.50,20.50,20.50,326
7-Jan-13,20.47,20.47,20.47,20.47,152
