Date,Open,High,Low,Close,Volume
31-Dec-13,16.66,16.70,16.61,16.70,42226
30-Dec-13,16.83,16.88,16.65,16.68,24983
27-Dec-13,17.18,17.19,16.80,16.85,28876
26-Dec-13,17.22,17.25,16.74,17.11,30814
24-Dec-13,17.15,17.35,17.14,17.17,13201
23-Dec-13,16.87,17.36,16.79,17.18,57677
20-Dec-13,16.73,17.22,16.68,16.89,254719
19-Dec-13,16.55,16.78,16.41,16.65,41812
18-Dec-13,16.48,16.64,16.33,16.62,71264
17-Dec-13,16.53,16.55,16.29,16.41,80961
16-Dec-13,16.63,16.63,16.35,16.53,107290
13-Dec-13,16.60,16.82,16.50,16.52,34166
12-Dec-13,16.40,16.65,16.40,16.53,20522
11-Dec-13,16.60,16.61,16.34,16.42,40522
10-Dec-13,16.81,16.81,16.56,16.56,35414
9-Dec-13,16.96,16.99,16.78,16.87,40851
6-Dec-13,16.89,17.36,16.84,16.98,61432
5-Dec-13,16.62,16.71,16.50,16.71,171427
4-Dec-13,16.90,17.18,16.57,16.79,71210
3-Dec-13,17.00,17.28,16.82,16.92,34922
2-Dec-13,17.48,17.48,17.05,17.07,50757
29-Nov-13,17.28,17.50,17.20,17.43,17543
27-Nov-13,17.28,17.50,17.05,17.14,104812
26-Nov-13,17.14,17.27,16.98,17.26,42302
25-Nov-13,17.25,17.36,17.00,17.07,116026
22-Nov-13,17.10,17.49,16.94,17.19,43282
21-Nov-13,16.98,17.21,16.89,17.08,64860
20-Nov-13,16.61,16.94,16.61,16.85,32907
19-Nov-13,16.85,17.00,16.71,16.81,27620
18-Nov-13,17.00,17.05,16.70,16.79,148894
15-Nov-13,16.98,17.11,16.84,16.93,23167
14-Nov-13,17.05,17.14,16.89,17.01,16960
13-Nov-13,16.77,17.16,16.70,17.12,13461
12-Nov-13,16.70,16.96,16.66,16.91,20235
11-Nov-13,17.01,17.18,16.77,16.88,17088
8-Nov-13,16.51,17.35,16.51,17.09,57645
