Date,Open,High,Low,Close,Volume
31-Dec-13,9.81,9.81,9.80,9.80,5412
30-Dec-13,9.80,10.00,9.80,9.80,404
27-Dec-13,9.79,9.79,9.79,9.79,591
24-Dec-13,9.79,9.79,9.79,9.79,300
23-Dec-13,9.75,9.95,9.75,9.95,2064
20-Dec-13,9.01,9.50,8.97,9.50,4098
19-Dec-13,9.00,9.16,9.00,9.14,612
18-Dec-13,9.10,9.22,8.99,8.99,2891
17-Dec-13,9.03,9.09,9.03,9.04,1982
16-Dec-13,9.10,9.12,8.94,8.98,5244
12-Dec-13,9.48,9.50,9.48,9.48,350
10-Dec-13,9.31,9.35,9.13,9.13,1731
9-Dec-13,9.61,9.75,9.21,9.24,3344
6-Dec-13,9.50,9.50,9.39,9.50,4100
5-Dec-13,9.50,9.50,9.50,9.50,300
4-Dec-13,9.50,9.50,9.47,9.50,1740
3-Dec-13,9.14,9.50,8.96,9.22,6404
2-Dec-13,9.25,9.39,9.10,9.28,5097
29-Nov-13,9.50,9.50,9.50,9.50,473
27-Nov-13,9.34,9.34,9.34,9.34,300
26-Nov-13,9.15,9.42,9.13,9.38,10750
25-Nov-13,9.02,9.15,8.99,9.15,2235
21-Nov-13,9.00,9.15,9.00,9.06,3559
20-Nov-13,9.15,9.20,8.96,9.00,15538
19-Nov-13,9.13,9.13,9.12,9.13,5255
18-Nov-13,8.99,9.25,8.99,9.13,28777
14-Nov-13,9.10,9.10,8.92,9.05,3857
12-Nov-13,9.10,9.10,9.00,9.00,277
11-Nov-13,9.10,9.10,9.00,9.00,6758
8-Nov-13,9.04,9.10,9.04,9.10,360
7-Nov-13,9.10,9.10,8.90,8.90,400
6-Nov-13,9.10,9.10,9.10,9.10,500
5-Nov-13,8.90,8.90,8.90,8.90,241
1-Nov-13,8.76,8.95,8.76,8.95,1396
31-Oct-13,8.83,8.95,8.83,8.95,374
30-Oct-13,8.75,8.85,8.75,8.78,500
28-Oct-13,8.74,8.95,8.74,8.75,15421
25-Oct-13,8.67,8.67,8.67,8.67,300
24-Oct-13,8.95,8.95,8.58,8.58,388
23-Oct-13,8.66,8.90,8.66,8.90,550
22-Oct-13,8.75,8.76,8.58,8.58,4438
21-Oct-13,8.81,8.85,8.81,8.85,800
18-Oct-13,8.82,8.90,8.77,8.78,1635
17-Oct-13,8.90,8.90,8.82,8.82,1050
16-Oct-13,8.90,8.90,8.90,8.90,1300
15-Oct-13,8.79,8.79,8.55,8.75,600
14-Oct-13,8.82,8.89,8.74,8.89,1400
11-Oct-13,8.85,8.86,8.85,8.85,890
10-Oct-13,8.70,8.90,8.70,8.85,1600
9-Oct-13,8.67,8.81,8.67,8.80,3311
8-Oct-13,8.90,8.90,8.90,8.90,1250
7-Oct-13,8.90,8.90,8.70,8.90,1000
4-Oct-13,8.78,8.95,8.78,8.90,5711
3-Oct-13,8.95,8.95,8.60,8.63,1424
2-Oct-13,8.85,8.95,8.85,8.90,9068
1-Oct-13,8.84,8.85,8.84,8.85,700
30-Sep-13,8.72,8.75,8.59,8.63,900
27-Sep-13,8.77,8.85,8.60,8.67,2275
26-Sep-13,8.75,8.85,8.31,8.84,3800
25-Sep-13,8.82,8.82,8.65,8.65,676
24-Sep-13,8.65,8.84,8.54,8.84,1403
23-Sep-13,8.84,8.84,8.65,8.66,1947
20-Sep-13,8.65,8.83,8.53,8.83,1419
18-Sep-13,8.81,8.81,8.55,8.58,1067
17-Sep-13,8.58,8.58,8.55,8.55,446
16-Sep-13,8.62,8.62,8.62,8.62,100
13-Sep-13,8.51,8.83,8.50,8.53,2995
12-Sep-13,8.50,8.95,8.50,8.95,200
11-Sep-13,8.48,8.84,8.48,8.84,1100
10-Sep-13,8.22,8.60,8.22,8.54,3033
9-Sep-13,8.38,8.38,8.38,8.38,496
6-Sep-13,8.49,8.49,8.24,8.25,1334
5-Sep-13,8.33,8.33,8.33,8.33,100
3-Sep-13,8.58,8.58,8.22,8.22,556
30-Aug-13,8.54,8.54,8.50,8.50,958
29-Aug-13,8.50,8.50,8.49,8.49,232482
28-Aug-13,8.52,8.65,8.52,8.55,700
27-Aug-13,8.64,8.64,8.50,8.50,1524
26-Aug-13,8.50,8.50,8.50,8.50,100
23-Aug-13,8.74,8.74,8.50,8.50,1300
22-Aug-13,8.73,8.74,8.73,8.74,300
