Date,Open,High,Low,Close,Volume
31-Dec-13,4.43,4.64,4.32,4.64,1621
30-Dec-13,4.46,4.46,4.45,4.45,1583
27-Dec-13,4.36,4.77,4.36,4.45,906
26-Dec-13,4.62,4.62,4.30,4.30,12639
24-Dec-13,4.40,4.50,4.33,4.50,9022
23-Dec-13,4.31,4.38,4.21,4.21,7453
20-Dec-13,4.35,4.60,4.24,4.24,78419
19-Dec-13,4.30,4.34,4.30,4.34,134684
18-Dec-13,4.26,4.34,4.20,4.34,40558
17-Dec-13,4.23,4.32,4.10,4.32,1940
16-Dec-13,4.10,4.31,4.10,4.31,7056
13-Dec-13,4.11,4.25,4.11,4.25,6601
12-Dec-13,4.10,4.14,4.10,4.14,450
11-Dec-13,4.11,4.15,4.10,4.15,2850
10-Dec-13,4.17,4.17,4.17,4.17,243
9-Dec-13,4.15,4.15,4.10,4.10,4250
6-Dec-13,4.07,4.14,4.05,4.13,28084
5-Dec-13,4.03,4.05,4.01,4.03,20013
4-Dec-13,3.80,4.03,3.80,4.00,35311
3-Dec-13,3.84,3.84,3.77,3.80,4625
2-Dec-13,3.85,3.90,3.74,3.90,65800
29-Nov-13,3.85,3.85,3.85,3.85,100
27-Nov-13,3.90,3.90,3.88,3.88,17401
26-Nov-13,3.88,3.89,3.88,3.89,1685
25-Nov-13,3.80,3.85,3.80,3.85,600
22-Nov-13,3.85,3.85,3.85,3.85,9324
20-Nov-13,3.85,3.85,3.84,3.85,5600
19-Nov-13,3.82,3.82,3.82,3.82,1960
18-Nov-13,3.95,3.95,3.82,3.85,5146
15-Nov-13,3.84,3.84,3.80,3.82,9049
14-Nov-13,3.99,3.99,3.98,3.98,300
13-Nov-13,3.93,3.93,3.93,3.93,300
12-Nov-13,3.97,4.00,3.83,3.83,1163
11-Nov-13,3.84,3.87,3.82,3.85,1700
8-Nov-13,3.88,3.88,3.85,3.85,8319
4-Nov-13,3.88,3.91,3.87,3.87,2500
1-Nov-13,3.89,3.89,3.87,3.87,600
31-Oct-13,3.88,3.96,3.88,3.96,1104
30-Oct-13,3.88,3.95,3.88,3.93,3436
29-Oct-13,4.03,4.03,4.03,4.03,400
28-Oct-13,4.02,4.04,3.91,3.91,2600
25-Oct-13,3.88,3.88,3.88,3.88,200
24-Oct-13,3.90,3.90,3.89,3.89,400
23-Oct-13,3.90,3.95,3.90,3.90,2300
22-Oct-13,4.00,4.02,3.90,3.91,4091
21-Oct-13,4.00,4.04,3.90,3.92,6000
18-Oct-13,3.91,3.95,3.91,3.95,500
16-Oct-13,4.08,4.08,3.96,3.96,200
9-Oct-13,4.09,4.09,4.09,4.09,100
8-Oct-13,4.00,4.10,4.00,4.05,4999
7-Oct-13,3.91,3.91,3.91,3.91,2300
4-Oct-13,3.96,3.96,3.96,3.96,200
3-Oct-13,4.11,4.11,3.91,3.91,3410
2-Oct-13,4.02,4.18,4.02,4.17,5180
1-Oct-13,4.01,4.25,3.98,3.98,20826
30-Sep-13,3.85,4.00,3.81,3.99,11608
26-Sep-13,3.84,3.85,3.80,3.85,4400
25-Sep-13,3.77,3.85,3.77,3.85,2600
24-Sep-13,3.71,3.99,3.70,3.99,2516
23-Sep-13,4.24,4.24,3.96,3.97,9930
20-Sep-13,3.92,4.28,3.92,4.28,11401
19-Sep-13,3.80,3.94,3.80,3.94,11578
18-Sep-13,3.84,3.90,3.84,3.87,2000
17-Sep-13,3.95,3.95,3.86,3.86,4200
16-Sep-13,4.00,4.00,3.95,3.95,5876
13-Sep-13,4.00,4.01,3.98,4.00,8737
12-Sep-13,4.05,4.05,4.03,4.03,4502
11-Sep-13,4.03,4.09,3.98,3.98,4000
10-Sep-13,4.00,4.00,3.98,3.98,186013
9-Sep-13,4.05,4.06,4.00,4.00,3696
