Date,Open,High,Low,Close,Volume
31-Dec-13,10.70,10.70,10.36,10.37,32124
30-Dec-13,11.00,11.00,10.63,10.71,12824
27-Dec-13,11.00,11.00,10.83,10.95,10333
26-Dec-13,10.98,10.98,10.82,10.96,15067
24-Dec-13,10.90,10.99,10.64,10.99,10988
23-Dec-13,10.62,10.98,10.51,10.90,41652
20-Dec-13,10.58,10.68,10.50,10.64,124689
19-Dec-13,10.58,10.65,10.40,10.56,32612
18-Dec-13,10.50,10.66,10.41,10.62,23009
17-Dec-13,10.38,10.50,10.38,10.48,20195
16-Dec-13,10.43,10.50,10.38,10.49,18941
13-Dec-13,10.48,10.48,10.33,10.36,82076
12-Dec-13,10.38,10.50,10.37,10.43,17689
11-Dec-13,10.41,10.45,10.30,10.42,31435
10-Dec-13,10.50,10.63,10.40,10.41,26620
9-Dec-13,10.57,10.62,10.45,10.47,16227
6-Dec-13,10.58,10.72,10.52,10.57,25432
5-Dec-13,10.39,10.59,10.35,10.50,39240
4-Dec-13,10.40,10.62,10.34,10.42,64285
3-Dec-13,10.61,10.61,10.43,10.48,34784
2-Dec-13,10.75,10.76,10.56,10.59,26755
29-Nov-13,10.79,10.85,10.72,10.72,15020
27-Nov-13,10.71,10.80,10.70,10.73,19264
26-Nov-13,10.65,10.72,10.59,10.70,25351
25-Nov-13,10.67,10.74,10.61,10.69,17350
22-Nov-13,10.61,10.66,10.52,10.61,32090
21-Nov-13,10.55,10.65,10.48,10.58,25492
20-Nov-13,10.46,10.75,10.46,10.48,9416
19-Nov-13,10.37,10.43,10.34,10.40,19584
18-Nov-13,10.54,10.55,10.37,10.40,26460
15-Nov-13,10.60,10.61,10.44,10.50,38173
14-Nov-13,10.67,10.68,10.60,10.60,13657
13-Nov-13,10.68,10.73,10.62,10.70,26900
12-Nov-13,10.80,10.85,10.64,10.72,36625
11-Nov-13,10.97,11.00,10.82,10.85,84315
8-Nov-13,10.86,11.04,10.86,10.96,53044
7-Nov-13,10.86,10.91,10.86,10.86,357591
6-Nov-13,10.85,10.94,10.84,10.91,66535
5-Nov-13,10.83,11.00,10.83,10.88,80434
4-Nov-13,10.82,10.88,10.82,10.83,46323
1-Nov-13,10.82,10.94,10.81,10.82,118082
31-Oct-13,10.76,10.86,10.76,10.84,306958
30-Oct-13,10.95,10.95,10.77,10.78,93551
29-Oct-13,10.94,11.07,10.85,10.97,49810
28-Oct-13,10.85,11.00,10.85,10.96,30607
25-Oct-13,10.79,10.98,10.77,10.86,50561
24-Oct-13,10.56,10.90,10.46,10.74,184352
23-Oct-13,10.45,10.65,10.45,10.54,19412
22-Oct-13,10.45,10.58,10.44,10.47,24917
21-Oct-13,10.55,10.58,10.45,10.45,46706
18-Oct-13,10.65,10.65,10.45,10.56,34859
17-Oct-13,10.98,10.99,10.45,10.64,140341
16-Oct-13,10.51,10.61,10.48,10.51,16489
15-Oct-13,10.53,10.58,10.41,10.51,17238
14-Oct-13,10.47,10.64,10.28,10.64,13788
11-Oct-13,10.39,10.65,10.30,10.52,42272
10-Oct-13,10.43,10.58,10.35,10.45,29310
9-Oct-13,10.20,10.37,10.20,10.32,55845
8-Oct-13,10.28,10.28,10.11,10.17,49110
7-Oct-13,10.14,10.28,10.10,10.22,56114
4-Oct-13,10.06,10.25,10.06,10.20,28809
3-Oct-13,10.31,10.33,10.05,10.06,52273
2-Oct-13,10.53,10.63,10.29,10.35,26548
1-Oct-13,10.46,10.64,10.46,10.61,30699
30-Sep-13,10.60,10.69,10.27,10.43,338545
27-Sep-13,10.72,10.96,10.71,10.77,19490
26-Sep-13,10.80,10.80,10.61,10.78,10676
25-Sep-13,10.72,10.89,10.72,10.80,18560
24-Sep-13,10.80,10.94,10.73,10.74,23064
23-Sep-13,10.65,10.82,10.61,10.79,35513
20-Sep-13,10.60,10.81,10.58,10.67,58629
19-Sep-13,10.70,10.70,10.58,10.61,29678
18-Sep-13,10.72,10.76,10.64,10.69,26413
17-Sep-13,10.68,10.80,10.64,10.70,45282
16-Sep-13,10.73,10.73,10.59,10.65,30762
13-Sep-13,10.66,10.67,10.55,10.65,43723
12-Sep-13,10.86,10.86,10.65,10.66,36797
11-Sep-13,10.95,11.05,10.76,10.90,34758
10-Sep-13,11.01,11.16,10.85,10.98,80826
9-Sep-13,10.70,11.01,10.65,11.01,206048
6-Sep-13,10.68,10.68,10.55,10.65,198244
5-Sep-13,10.60,10.69,10.57,10.62,45803
4-Sep-13,10.63,10.66,10.57,10.59,107533
3-Sep-13,10.77,10.77,10.65,10.66,105657
30-Aug-13,10.65,10.76,10.60,10.65,229199
29-Aug-13,10.61,10.69,10.61,10.69,29707
28-Aug-13,10.70,10.70,10.56,10.63,44079
27-Aug-13,10.74,10.93,10.62,10.66,76189
26-Aug-13,10.74,10.98,10.71,10.78,28470
23-Aug-13,10.74,10.95,10.57,10.74,43522
22-Aug-13,10.55,10.87,10.55,10.74,73086
21-Aug-13,10.46,10.69,10.14,10.51,89712
20-Aug-13,10.30,10.49,10.24,10.47,36127
19-Aug-13,10.49,10.51,10.25,10.26,55354
16-Aug-13,10.56,10.60,10.43,10.45,62154
15-Aug-13,10.61,10.68,10.56,10.61,117666
14-Aug-13,10.70,10.75,10.63,10.68,24020
13-Aug-13,10.64,10.72,10.61,10.67,24074
12-Aug-13,10.66,10.69,10.63,10.66,72320
9-Aug-13,10.70,10.74,10.65,10.68,25927
8-Aug-13,10.74,10.75,10.65,10.70,22289
7-Aug-13,10.68,10.74,10.66,10.66,33102
6-Aug-13,10.70,10.75,10.68,10.69,24174
5-Aug-13,10.73,10.74,10.65,10.70,217168
2-Aug-13,10.76,10.76,10.61,10.68,47529
1-Aug-13,10.77,10.81,10.69,10.74,83350
31-Jul-13,10.72,10.95,10.62,10.66,249697
30-Jul-13,10.31,11.11,10.00,10.69,171375
29-Jul-13,10.77,10.78,10.11,10.29,57840
26-Jul-13,10.92,10.95,10.80,10.83,12653
25-Jul-13,10.97,11.05,10.94,11.02,26393
24-Jul-13,10.99,11.05,10.91,11.02,23470
23-Jul-13,11.05,11.25,10.84,10.99,39170
22-Jul-13,10.89,11.05,10.89,11.02,21684
19-Jul-13,10.78,11.03,10.69,10.89,20527
18-Jul-13,10.94,10.94,10.74,10.78,26091
17-Jul-13,10.99,10.99,10.55,10.88,22010
16-Jul-13,10.85,11.05,10.79,10.88,24468
15-Jul-13,10.92,11.08,10.79,10.90,23796
12-Jul-13,10.91,10.97,10.83,10.88,6322
11-Jul-13,11.12,11.12,10.90,10.95,26136
10-Jul-13,11.13,11.13,10.61,10.99,29212
9-Jul-13,10.99,11.19,10.96,11.10,37554
8-Jul-13,10.65,10.94,10.62,10.84,36750
5-Jul-13,10.35,10.68,10.30,10.63,67310
3-Jul-13,10.31,10.33,10.30,10.32,22508
2-Jul-13,10.25,10.34,10.17,10.33,34380
1-Jul-13,10.26,10.36,10.23,10.29,51916
28-Jun-13,10.25,10.36,10.17,10.31,282938
27-Jun-13,10.30,10.34,10.01,10.24,36955
26-Jun-13,10.36,10.36,10.16,10.22,15888
25-Jun-13,10.15,10.34,10.15,10.30,40736
24-Jun-13,10.14,10.14,9.86,10.03,51343
21-Jun-13,10.17,10.29,10.01,10.21,68406
20-Jun-13,10.11,10.19,10.04,10.13,22666
19-Jun-13,10.27,10.32,10.20,10.25,10033
18-Jun-13,10.17,10.36,10.13,10.30,35448
17-Jun-13,10.05,10.23,10.05,10.11,26773
14-Jun-13,10.10,10.21,9.95,9.95,16268
13-Jun-13,9.95,10.19,9.95,10.14,47040
12-Jun-13,10.15,10.20,9.93,9.96,214003
11-Jun-13,10.22,10.27,10.13,10.13,8535
10-Jun-13,10.32,10.49,10.22,10.27,14369
7-Jun-13,10.31,10.35,10.23,10.28,18780
6-Jun-13,9.98,10.28,9.98,10.27,31828
5-Jun-13,10.04,10.13,9.91,10.01,55801
4-Jun-13,10.17,10.28,10.02,10.08,61023
3-Jun-13,10.03,10.21,9.94,10.19,514195
31-May-13,10.00,10.05,9.87,9.94,310510
30-May-13,9.98,10.07,9.95,10.05,75334
29-May-13,10.00,10.12,9.82,9.97,190240
28-May-13,9.99,10.14,9.86,9.94,527784
24-May-13,9.89,9.90,9.80,9.89,53850
23-May-13,9.90,9.96,9.86,9.89,95169
22-May-13,9.90,9.96,9.86,9.89,811110
21-May-13,10.00,10.10,9.87,9.90,202843
20-May-13,9.53,10.00,9.53,9.96,452809
17-May-13,9.51,9.65,9.51,9.52,42701
16-May-13,9.56,9.56,9.43,9.45,33665
15-May-13,9.46,9.52,9.40,9.50,36417
14-May-13,9.33,9.47,9.33,9.47,45003
13-May-13,9.31,9.57,9.30,9.35,33571
10-May-13,9.40,9.74,9.36,9.38,76438
9-May-13,9.06,9.46,8.95,9.40,190636
8-May-13,9.06,9.24,9.04,9.04,43832
7-May-13,8.97,9.11,8.90,9.05,79966
6-May-13,8.95,8.98,8.80,8.89,79740
3-May-13,7.98,8.89,7.98,8.72,128438
2-May-13,7.87,7.93,7.85,7.90,17637
1-May-13,8.05,8.12,7.86,7.86,55703
30-Apr-13,8.04,8.14,7.99,8.10,169917
29-Apr-13,7.81,8.07,7.62,8.05,26153
26-Apr-13,7.73,7.84,7.70,7.76,37028
25-Apr-13,7.77,7.94,7.71,7.73,10808
24-Apr-13,7.62,7.77,7.62,7.73,19488
23-Apr-13,7.57,7.65,7.46,7.60,36244
22-Apr-13,7.79,7.79,7.45,7.50,25621
19-Apr-13,7.62,7.83,7.51,7.72,26625
18-Apr-13,7.79,7.84,7.58,7.61,8660
17-Apr-13,7.95,7.96,7.48,7.76,38684
16-Apr-13,7.77,8.03,7.75,8.03,21130
15-Apr-13,8.06,8.09,7.58,7.70,45072
12-Apr-13,8.08,8.11,7.99,8.03,19707
11-Apr-13,8.04,8.08,8.00,8.06,5422
10-Apr-13,7.89,8.10,7.85,8.05,19455
9-Apr-13,7.97,7.97,7.83,7.88,12015
8-Apr-13,7.96,7.96,7.70,7.91,17695
5-Apr-13,7.48,7.93,7.48,7.92,25724
4-Apr-13,7.60,7.64,7.44,7.61,14414
3-Apr-13,7.79,7.80,7.53,7.59,21850
2-Apr-13,7.90,7.97,7.69,7.73,19695
1-Apr-13,7.83,8.02,7.75,7.85,34939
28-Mar-13,8.12,8.12,7.77,7.81,81954
27-Mar-13,8.06,8.12,7.98,8.09,11231
26-Mar-13,8.14,8.15,7.98,8.13,14890
25-Mar-13,8.16,8.16,7.95,8.08,43022
22-Mar-13,8.04,8.13,8.03,8.11,4817
21-Mar-13,8.02,8.08,8.02,8.04,8205
20-Mar-13,8.01,8.09,8.01,8.09,5607
19-Mar-13,8.01,8.04,8.00,8.00,5228
18-Mar-13,8.00,8.11,7.97,8.01,15914
15-Mar-13,8.05,8.12,8.00,8.04,112749
14-Mar-13,8.11,8.11,7.97,8.03,13253
13-Mar-13,7.99,8.14,7.90,8.07,7427
12-Mar-13,8.07,8.12,8.00,8.01,11724
11-Mar-13,8.15,8.20,7.98,8.13,30707
8-Mar-13,8.19,8.20,8.13,8.17,25488
7-Mar-13,7.98,8.15,7.98,8.10,9604
6-Mar-13,7.93,8.00,7.91,8.00,14328
5-Mar-13,7.94,7.98,7.80,7.94,14903
4-Mar-13,7.96,8.00,7.83,7.90,7755
1-Mar-13,7.84,7.97,7.78,7.96,7543
28-Feb-13,7.90,7.97,7.77,7.93,20532
27-Feb-13,7.98,7.99,7.82,7.89,10601
26-Feb-13,7.92,8.04,7.74,7.97,5300
25-Feb-13,8.07,8.09,7.86,7.88,12732
22-Feb-13,7.95,8.03,7.95,8.03,7208
21-Feb-13,7.94,7.96,7.88,7.92,5927
20-Feb-13,8.06,8.10,7.88,7.91,26286
19-Feb-13,8.11,8.11,7.96,8.08,10933
15-Feb-13,8.14,8.14,8.03,8.05,19054
14-Feb-13,8.06,8.10,7.98,8.07,5484
13-Feb-13,8.02,8.10,7.92,8.03,12877
12-Feb-13,8.08,8.29,7.98,8.05,9394
11-Feb-13,8.06,8.10,7.96,8.10,24240
8-Feb-13,8.09,8.10,8.04,8.08,31737
7-Feb-13,8.10,8.10,8.05,8.07,8795
6-Feb-13,8.05,8.10,8.05,8.10,2918
5-Feb-13,8.10,8.12,8.04,8.10,196596
4-Feb-13,8.12,8.20,8.10,8.10,29336
1-Feb-13,8.15,8.16,8.03,8.10,60746
31-Jan-13,8.02,8.18,7.96,8.11,35953
30-Jan-13,8.14,8.14,7.97,8.00,16043
29-Jan-13,8.07,8.19,7.94,8.14,11726
28-Jan-13,7.95,8.00,7.85,7.94,15067
25-Jan-13,8.03,8.03,7.84,7.99,5025
24-Jan-13,8.10,8.20,7.90,7.99,15375
23-Jan-13,7.97,8.08,7.87,8.05,13147
22-Jan-13,8.03,8.07,7.67,8.00,21513
18-Jan-13,8.11,8.17,7.73,8.02,18241
17-Jan-13,8.12,8.19,8.02,8.14,6799
16-Jan-13,8.14,8.18,8.05,8.15,19783
15-Jan-13,8.14,8.17,8.10,8.13,8481
14-Jan-13,8.00,8.15,8.00,8.14,5857
11-Jan-13,8.20,8.22,8.12,8.12,63274
10-Jan-13,8.14,8.21,7.91,8.21,8528
9-Jan-13,8.17,8.20,8.14,8.15,14297
8-Jan-13,8.10,8.20,8.10,8.18,7993
7-Jan-13,8.06,8.15,8.02,8.12,9067
4-Jan-13,8.00,8.18,7.92,8.11,25694
3-Jan-13,7.98,8.00,7.78,7.98,19237
2-Jan-13,7.67,8.00,7.57,7.96,59088
31-Dec-12,7.44,7.62,7.35,7.55,63743
28-Dec-12,7.36,7.48,7.36,7.39,66417
27-Dec-12,7.54,7.58,7.36,7.40,38533
26-Dec-12,7.36,7.56,7.36,7.54,10900
24-Dec-12,7.25,7.45,7.25,7.37,9484
21-Dec-12,7.41,7.41,7.22,7.27,75095
20-Dec-12,7.17,7.59,6.96,7.30,126942
