Date,Open,High,Low,Close,Volume
31-Dec-13,24.90,25.28,24.64,24.71,18618
30-Dec-13,25.89,25.89,24.31,24.90,13741
27-Dec-13,25.23,25.45,24.72,25.23,10995
26-Dec-13,24.99,26.59,24.72,25.10,14570
24-Dec-13,24.30,25.39,24.30,24.81,5382
23-Dec-13,23.04,24.51,22.84,24.27,36533
20-Dec-13,22.95,23.16,22.72,23.07,135704
19-Dec-13,22.80,22.94,22.55,22.91,30198
18-Dec-13,22.70,23.00,22.55,22.86,28188
17-Dec-13,22.80,22.94,22.44,22.66,19610
16-Dec-13,22.67,22.86,22.53,22.79,21332
13-Dec-13,22.89,22.89,22.21,22.50,33264
12-Dec-13,23.40,23.40,22.67,22.93,20667
11-Dec-13,23.80,24.00,23.12,23.45,25127
10-Dec-13,24.77,25.02,23.52,23.69,29950
9-Dec-13,25.26,25.26,24.55,24.93,23252
6-Dec-13,24.94,25.47,24.94,25.16,5889
5-Dec-13,24.44,25.82,24.43,24.70,21925
4-Dec-13,24.57,25.28,23.79,24.61,26362
3-Dec-13,24.64,25.25,24.23,24.74,21952
2-Dec-13,25.58,25.86,24.66,24.74,24545
29-Nov-13,26.37,26.38,25.44,25.70,15783
27-Nov-13,25.71,26.37,25.31,26.20,19539
26-Nov-13,25.29,25.77,25.15,25.62,22991
25-Nov-13,25.00,25.41,24.88,25.29,23011
22-Nov-13,23.83,24.96,23.57,24.88,17020
21-Nov-13,23.00,24.03,22.92,23.83,16834
20-Nov-13,23.18,23.24,22.80,22.98,10933
19-Nov-13,23.28,23.86,23.07,23.19,17042
18-Nov-13,23.36,23.46,23.09,23.31,18894
15-Nov-13,23.14,23.50,22.85,23.49,16944
14-Nov-13,23.41,23.50,22.89,23.18,9635
13-Nov-13,23.18,23.49,22.70,23.41,9329
12-Nov-13,23.43,23.60,22.84,23.43,11785
11-Nov-13,23.85,24.10,23.45,23.58,13318
8-Nov-13,23.37,24.30,23.37,23.82,37184
7-Nov-13,23.41,24.14,23.27,23.34,50787
6-Nov-13,23.30,23.85,23.10,23.36,28265
5-Nov-13,23.78,24.02,23.08,23.09,15836
4-Nov-13,23.51,24.26,23.36,23.82,43385
1-Nov-13,23.56,23.71,22.75,23.36,69343
31-Oct-13,23.59,24.25,23.08,23.67,46558
30-Oct-13,24.36,24.36,22.55,23.65,29117
29-Oct-13,24.28,25.72,23.55,24.28,33182
28-Oct-13,23.80,24.27,23.64,24.14,36366
25-Oct-13,23.44,24.04,23.01,23.91,23420
24-Oct-13,22.13,23.51,21.55,23.35,33312
23-Oct-13,22.44,23.27,22.33,22.41,16672
22-Oct-13,22.34,22.64,22.29,22.50,19787
21-Oct-13,22.33,22.50,22.17,22.41,26201
18-Oct-13,22.18,22.50,21.04,22.40,37419
17-Oct-13,22.00,22.00,21.48,21.96,29475
16-Oct-13,22.02,22.39,21.28,22.07,25851
15-Oct-13,22.87,22.87,21.75,21.88,14774
14-Oct-13,21.98,22.63,21.95,22.33,16584
11-Oct-13,21.15,21.98,21.14,21.98,29411
10-Oct-13,20.95,21.41,20.83,21.27,26747
9-Oct-13,20.47,20.84,20.35,20.70,20955
8-Oct-13,20.39,20.67,20.14,20.30,35800
7-Oct-13,20.41,20.83,20.24,20.36,14478
4-Oct-13,20.27,20.73,20.27,20.65,15892
3-Oct-13,20.65,20.67,20.23,20.32,29881
2-Oct-13,20.35,20.92,20.23,20.63,26935
1-Oct-13,20.52,20.93,20.45,20.56,20985
30-Sep-13,20.65,20.87,20.12,20.46,56492
27-Sep-13,20.53,20.94,20.37,20.78,34458
26-Sep-13,20.27,20.74,20.27,20.70,27436
25-Sep-13,19.55,20.14,19.55,19.91,62206
24-Sep-13,19.61,19.67,19.09,19.20,33731
23-Sep-13,19.85,20.21,19.61,19.73,25867
20-Sep-13,19.46,19.90,19.21,19.79,83558
19-Sep-13,19.33,19.46,18.89,19.45,31742
18-Sep-13,19.47,19.47,19.05,19.33,30748
17-Sep-13,19.55,19.55,19.32,19.42,15252
16-Sep-13,19.99,20.10,19.17,19.59,45587
13-Sep-13,19.66,20.03,19.53,19.66,23967
12-Sep-13,19.73,19.89,19.47,19.55,34734
11-Sep-13,19.34,19.75,18.91,19.63,16716
10-Sep-13,19.12,19.36,19.11,19.36,12584
9-Sep-13,19.05,19.27,18.60,19.12,38320
6-Sep-13,19.30,19.30,19.10,19.11,13943
5-Sep-13,18.62,19.29,18.62,19.27,20680
4-Sep-13,18.89,19.42,18.58,18.69,19513
3-Sep-13,18.84,19.00,18.39,18.93,37018
30-Aug-13,19.39,19.39,18.41,18.54,46371
29-Aug-13,19.60,19.72,19.11,19.47,22355
28-Aug-13,19.65,19.79,19.43,19.68,8943
27-Aug-13,19.70,20.53,19.43,19.48,23909
26-Aug-13,19.69,20.30,19.69,19.93,19415
23-Aug-13,19.78,19.90,19.60,19.77,25989
22-Aug-13,19.76,20.24,19.65,19.80,13342
21-Aug-13,20.32,20.52,19.69,19.74,14847
20-Aug-13,21.20,21.20,20.35,20.45,15965
19-Aug-13,21.22,21.53,21.13,21.13,25045
16-Aug-13,21.38,21.99,21.15,21.17,67482
15-Aug-13,21.26,21.87,21.13,21.53,41907
14-Aug-13,21.18,21.66,21.18,21.56,13955
13-Aug-13,21.46,21.56,21.11,21.51,8117
12-Aug-13,20.80,21.72,20.80,21.23,10044
9-Aug-13,21.71,21.71,20.77,20.93,11753
8-Aug-13,21.47,21.80,21.29,21.73,10020
7-Aug-13,21.24,21.80,21.05,21.26,25799
6-Aug-13,21.07,21.47,20.65,21.28,27578
5-Aug-13,20.82,21.40,20.52,21.07,11144
2-Aug-13,20.66,20.97,20.62,20.91,10234
1-Aug-13,20.69,20.87,20.26,20.70,37490
31-Jul-13,20.25,20.89,20.08,20.13,18679
30-Jul-13,20.98,21.00,20.58,20.59,3741
29-Jul-13,21.37,21.58,20.82,20.83,8250
26-Jul-13,21.11,21.27,20.81,20.94,11080
25-Jul-13,21.64,21.64,21.17,21.32,24107
24-Jul-13,21.23,21.76,20.76,21.37,9429
23-Jul-13,21.03,21.60,20.68,21.26,43492
22-Jul-13,21.45,21.80,21.02,21.07,26679
19-Jul-13,21.59,21.70,21.17,21.63,13915
18-Jul-13,21.15,21.64,21.15,21.58,11082
17-Jul-13,21.50,21.50,20.95,21.16,18823
16-Jul-13,20.75,21.41,20.75,21.30,14667
15-Jul-13,21.40,21.40,20.64,20.79,25526
12-Jul-13,20.96,21.80,20.96,21.45,22296
11-Jul-13,21.09,21.13,20.76,21.05,13990
10-Jul-13,20.82,21.08,20.51,20.81,26500
9-Jul-13,20.72,20.93,20.68,20.77,7915
8-Jul-13,20.94,20.94,20.52,20.66,19061
5-Jul-13,20.29,20.93,19.59,20.83,24406
3-Jul-13,19.69,20.04,19.69,20.03,9702
2-Jul-13,19.53,20.04,19.36,19.84,22790
1-Jul-13,18.50,19.59,18.41,19.52,21401
28-Jun-13,18.39,18.63,18.25,18.41,93026
27-Jun-13,18.34,18.76,18.25,18.49,55979
26-Jun-13,18.45,18.45,18.11,18.19,16318
25-Jun-13,18.50,18.70,18.10,18.40,76341
24-Jun-13,18.22,18.64,18.12,18.28,41033
21-Jun-13,18.40,18.52,18.17,18.38,110859
20-Jun-13,18.32,18.50,17.92,18.41,20495
19-Jun-13,18.72,18.84,18.49,18.54,17014
18-Jun-13,18.83,19.34,18.83,18.99,17474
17-Jun-13,18.85,19.02,18.68,18.84,8871
14-Jun-13,18.73,18.84,18.37,18.71,132024
13-Jun-13,18.85,18.90,18.48,18.70,126905
12-Jun-13,19.03,19.10,18.70,18.79,8022
11-Jun-13,19.34,19.34,18.90,18.98,28839
10-Jun-13,19.75,19.84,19.52,19.65,12547
7-Jun-13,19.75,19.80,19.55,19.73,6351
6-Jun-13,19.47,19.69,19.16,19.57,30339
5-Jun-13,19.93,19.93,19.45,19.51,8478
4-Jun-13,20.20,20.20,19.85,19.89,24761
3-Jun-13,19.56,20.66,19.50,20.29,50066
31-May-13,19.57,20.04,18.80,19.51,26512
30-May-13,19.69,19.79,19.63,19.73,20050
29-May-13,19.89,20.12,19.68,19.73,4369
28-May-13,20.18,20.18,19.74,20.13,16412
24-May-13,19.62,20.01,19.40,19.87,4940
23-May-13,19.64,19.88,19.35,19.79,21813
22-May-13,19.97,20.01,19.60,19.73,40934
21-May-13,20.10,20.24,19.78,20.00,5910
20-May-13,19.89,20.24,19.89,20.16,6660
17-May-13,20.00,20.05,19.82,19.96,13503
16-May-13,19.85,20.00,19.78,19.87,5179
15-May-13,19.77,19.95,19.64,19.85,6895
14-May-13,19.50,19.95,19.49,19.93,14324
13-May-13,19.88,19.88,19.74,19.74,3381
10-May-13,19.85,19.85,19.31,19.79,13456
9-May-13,19.73,19.89,19.50,19.75,15189
8-May-13,19.79,19.89,19.69,19.81,20613
7-May-13,19.60,19.70,19.44,19.66,28487
6-May-13,19.48,19.59,19.39,19.59,11410
3-May-13,19.16,19.50,19.16,19.42,12277
2-May-13,18.91,19.12,18.71,19.03,17865
1-May-13,19.12,19.43,18.61,18.76,82317
30-Apr-13,19.48,19.64,18.68,19.13,25834
29-Apr-13,19.24,19.52,19.24,19.40,11404
26-Apr-13,19.37,19.67,19.31,19.52,35618
25-Apr-13,19.92,19.92,19.20,19.39,54469
24-Apr-13,19.78,19.96,19.58,19.92,11657
23-Apr-13,19.52,19.90,19.13,19.84,11230
22-Apr-13,19.16,19.40,19.10,19.32,4039
19-Apr-13,18.71,19.14,18.66,19.11,13422
18-Apr-13,19.04,19.24,18.66,18.72,15990
17-Apr-13,19.14,19.14,18.65,18.82,17141
16-Apr-13,19.18,19.58,19.18,19.44,9224
15-Apr-13,19.78,19.78,18.53,19.05,50160
12-Apr-13,19.63,19.91,19.62,19.86,7774
11-Apr-13,19.89,20.00,19.73,19.94,12835
10-Apr-13,19.02,19.96,19.01,19.93,12744
9-Apr-13,19.92,19.92,19.14,19.19,11608
8-Apr-13,19.74,19.74,19.46,19.57,6155
5-Apr-13,19.45,19.71,19.37,19.62,12988
4-Apr-13,19.41,19.79,19.41,19.77,6778
3-Apr-13,19.71,19.89,19.41,19.50,18056
2-Apr-13,19.82,19.92,19.60,19.62,9384
1-Apr-13,20.00,20.09,19.50,19.73,33490
28-Mar-13,20.13,20.13,19.96,19.96,28065
27-Mar-13,19.93,20.13,19.90,20.05,9366
26-Mar-13,20.14,20.15,19.98,19.99,43714
25-Mar-13,20.12,20.12,19.96,19.99,9069
22-Mar-13,20.08,20.09,19.80,19.89,5876
21-Mar-13,19.99,20.00,19.93,20.00,4225
20-Mar-13,20.29,20.29,19.90,20.10,13213
19-Mar-13,20.00,20.26,19.85,19.96,10681
18-Mar-13,19.86,20.05,19.84,20.02,4766
15-Mar-13,20.00,20.00,19.75,20.00,57193
14-Mar-13,20.00,20.03,19.96,20.01,15591
13-Mar-13,19.97,20.00,19.89,20.00,4283
12-Mar-13,19.79,20.00,19.79,19.92,8076
11-Mar-13,20.00,20.04,19.92,19.95,9731
8-Mar-13,20.22,20.22,19.91,20.00,18278
7-Mar-13,19.99,20.05,19.94,20.04,11488
6-Mar-13,19.90,20.00,19.86,20.00,5303
5-Mar-13,20.15,20.15,19.75,19.91,19002
4-Mar-13,20.01,20.05,19.73,20.00,10180
1-Mar-13,19.69,20.27,19.68,20.09,6080
28-Feb-13,19.91,20.02,19.67,19.93,11682
27-Feb-13,19.73,20.25,19.73,19.89,25439
26-Feb-13,19.60,19.89,19.36,19.81,21616
25-Feb-13,20.05,20.06,19.52,19.54,18480
22-Feb-13,20.14,20.15,19.85,20.00,21334
21-Feb-13,20.01,20.42,19.86,20.07,23450
20-Feb-13,20.30,20.39,19.88,19.98,21245
19-Feb-13,20.24,20.43,20.20,20.35,14378
15-Feb-13,20.22,20.25,20.03,20.22,33695
14-Feb-13,19.80,20.28,19.80,20.00,11967
13-Feb-13,20.39,20.39,19.85,20.07,25672
