Date,Open,High,Low,Close,Volume
27-Dec-13,22.00,22.00,22.00,22.00,120
26-Dec-13,21.65,21.65,21.65,21.65,243
20-Dec-13,21.65,21.65,21.65,21.65,125
12-Dec-13,22.50,22.50,21.55,21.55,2114
11-Dec-13,22.50,22.50,21.55,21.55,2255
6-Dec-13,23.25,23.25,23.25,23.25,100
25-Nov-13,22.50,22.50,22.50,22.50,145
5-Nov-13,22.50,22.50,22.50,22.50,1525
1-Nov-13,22.50,22.50,22.50,22.50,200
30-Oct-13,22.20,22.50,22.20,22.50,957
29-Oct-13,22.20,22.20,22.20,22.20,100
28-Oct-13,21.96,22.00,21.96,22.00,1350
16-Oct-13,21.81,21.81,21.81,21.81,150
9-Oct-13,21.79,21.79,21.79,21.79,200
8-Oct-13,22.32,22.32,21.75,21.75,1000
12-Sep-13,22.33,22.33,22.33,22.33,100
9-Sep-13,23.00,23.05,23.00,23.00,3179
5-Sep-13,22.21,22.21,22.21,22.21,500
4-Sep-13,22.25,22.25,22.10,22.10,500
29-Aug-13,22.05,22.05,22.05,22.05,500
28-Aug-13,22.15,22.15,22.05,22.05,500
27-Aug-13,22.03,22.03,22.03,22.03,300
21-Aug-13,22.25,22.25,22.25,22.25,100
16-Aug-13,22.01,22.01,22.01,22.01,421
6-Aug-13,22.01,22.01,22.01,22.01,100
5-Aug-13,23.00,23.30,23.00,23.30,9428
2-Aug-13,22.50,23.00,22.50,23.00,275
29-Jul-13,22.50,22.50,22.50,22.50,100
24-Jul-13,21.05,22.50,21.00,22.50,19178
23-Jul-13,21.05,21.05,21.05,21.05,100
18-Jul-13,22.00,22.00,21.00,21.00,1000
16-Jul-13,21.99,22.00,21.99,22.00,400
10-Jul-13,21.80,21.99,21.00,21.99,1480
9-Jul-13,22.50,22.75,22.50,22.75,653
5-Jul-13,22.28,22.28,22.00,22.00,454
28-Jun-13,22.50,22.50,22.29,22.29,1300
26-Jun-13,23.00,23.60,23.00,23.60,1873
21-Jun-13,22.29,23.00,22.29,23.00,700
14-Jun-13,23.69,23.69,23.69,23.69,100
7-Jun-13,23.69,23.69,23.69,23.69,100
4-Jun-13,23.69,23.69,23.69,23.69,100
23-May-13,22.56,22.56,22.56,22.56,150
21-May-13,22.20,23.01,22.20,23.01,250
16-May-13,22.90,22.90,22.90,22.90,400
10-May-13,22.25,22.25,22.25,22.25,400
7-May-13,23.00,23.00,23.00,23.00,1113
3-May-13,22.50,22.50,22.50,22.50,100
