Date,Open,High,Low,Close,Volume
31-Dec-13,23.67,24.19,23.67,23.92,1077590
30-Dec-13,23.51,23.89,23.33,23.69,1128474
27-Dec-13,23.49,23.74,23.36,23.54,838846
26-Dec-13,23.93,24.08,23.34,23.39,972938
24-Dec-13,23.29,24.14,23.10,23.86,1253983
23-Dec-13,23.17,23.34,22.57,23.34,2209744
20-Dec-13,22.82,23.13,22.72,23.00,2243258
19-Dec-13,22.67,23.16,22.60,22.82,1786795
18-Dec-13,22.61,22.78,22.11,22.65,2935181
17-Dec-13,21.90,22.74,21.79,22.54,2570422
16-Dec-13,21.82,22.02,21.67,21.95,1501589
13-Dec-13,21.69,21.92,21.50,21.81,1739567
12-Dec-13,21.67,22.08,21.40,21.52,2586869
11-Dec-13,21.55,21.84,21.21,21.56,3803823
10-Dec-13,22.24,22.40,21.55,21.56,5297528
9-Dec-13,21.90,22.98,21.78,22.60,3930529
6-Dec-13,23.18,23.38,21.80,21.82,11461947
5-Dec-13,20.67,22.12,20.31,21.76,9022474
4-Dec-13,19.63,20.69,19.63,20.54,2548775
3-Dec-13,19.74,19.99,19.48,19.62,1938579
2-Dec-13,20.65,20.65,19.43,19.80,3631528
29-Nov-13,20.87,20.97,20.48,20.69,622372
27-Nov-13,20.46,20.79,20.35,20.69,1225625
26-Nov-13,20.92,20.94,20.40,20.50,1510440
25-Nov-13,20.45,20.74,20.16,20.63,1740964
22-Nov-13,21.15,21.29,20.23,20.41,2754294
21-Nov-13,21.22,21.35,21.06,21.17,1488720
20-Nov-13,21.32,21.54,21.01,21.14,1216484
19-Nov-13,21.09,21.72,21.09,21.25,1568351
18-Nov-13,21.74,22.02,21.51,21.59,2437327
15-Nov-13,21.69,22.16,21.67,21.69,2358634
14-Nov-13,22.58,22.61,20.98,21.69,5496359
13-Nov-13,23.45,23.66,23.17,23.41,952489
12-Nov-13,23.34,23.85,23.19,23.62,1008819
11-Nov-13,23.03,23.63,22.82,23.46,1705592
8-Nov-13,22.70,23.18,22.22,23.00,2104138
7-Nov-13,23.35,23.43,22.57,22.74,1603274
6-Nov-13,23.69,23.75,22.92,23.33,1871042
5-Nov-13,23.11,23.95,22.85,23.47,2621405
4-Nov-13,22.92,23.13,22.51,22.90,1739356
1-Nov-13,22.97,23.15,22.30,22.87,2868671
31-Oct-13,22.67,23.46,22.47,23.00,3493370
30-Oct-13,23.79,23.79,21.66,22.43,6185311
29-Oct-13,23.70,24.40,23.68,23.84,1502202
28-Oct-13,23.22,23.64,22.90,23.57,1761556
25-Oct-13,24.30,24.30,23.27,23.35,2443403
24-Oct-13,25.91,25.91,22.83,23.66,8367759
23-Oct-13,26.21,26.33,25.53,25.84,1950296
22-Oct-13,26.26,26.62,25.83,26.36,1935638
21-Oct-13,26.21,26.66,25.94,26.10,2137017
18-Oct-13,24.73,26.08,24.63,25.73,4809789
17-Oct-13,24.38,24.38,24.01,24.28,1257692
16-Oct-13,24.28,24.54,24.02,24.50,921023
15-Oct-13,24.54,24.54,24.01,24.07,1032080
14-Oct-13,23.94,24.58,23.80,24.50,1335114
11-Oct-13,23.84,24.72,23.77,24.32,1904991
10-Oct-13,23.57,24.06,23.34,23.93,1480195
9-Oct-13,23.75,23.78,22.49,23.24,3044837
8-Oct-13,24.20,24.77,23.55,23.77,3852356
7-Oct-13,23.42,23.93,23.35,23.54,1878130
4-Oct-13,22.81,23.86,22.76,23.80,2049055
3-Oct-13,23.10,23.28,22.55,22.86,1509113
2-Oct-13,22.73,23.20,22.61,23.10,1333956
1-Oct-13,22.59,23.03,22.59,22.86,1037976
30-Sep-13,22.89,23.02,22.50,22.63,2192807
27-Sep-13,22.56,23.53,22.40,23.40,2205125
26-Sep-13,23.12,23.40,22.63,22.68,2331503
25-Sep-13,23.20,23.64,22.97,23.01,1805018
24-Sep-13,23.14,23.44,22.70,23.23,1664177
23-Sep-13,23.68,23.78,23.06,23.18,1291602
20-Sep-13,23.78,23.94,23.54,23.71,1645186
19-Sep-13,24.10,24.22,23.46,23.72,1341158
18-Sep-13,23.89,24.19,23.58,24.00,2439229
17-Sep-13,23.25,23.86,23.25,23.66,1883165
16-Sep-13,23.42,23.49,23.05,23.25,2127874
13-Sep-13,23.52,23.73,23.17,23.30,1361826
12-Sep-13,23.16,23.75,23.03,23.44,2043683
11-Sep-13,23.73,23.80,23.18,23.21,1631974
10-Sep-13,23.53,23.88,23.20,23.68,2801955
9-Sep-13,23.62,23.89,23.22,23.40,3035379
6-Sep-13,24.79,25.00,23.24,23.45,10043290
5-Sep-13,22.80,22.97,22.22,22.84,4251473
4-Sep-13,21.84,22.92,21.55,22.50,3798576
3-Sep-13,20.82,21.30,20.69,21.15,2110678
30-Aug-13,20.90,20.98,20.33,20.47,1018347
29-Aug-13,20.81,21.37,20.81,20.93,913270
28-Aug-13,20.31,21.05,20.31,20.86,1053639
27-Aug-13,20.96,21.00,20.30,20.35,964811
26-Aug-13,21.28,21.56,21.14,21.20,1040020
23-Aug-13,20.80,21.28,20.70,21.26,1159248
22-Aug-13,20.62,20.99,20.56,20.77,448037
21-Aug-13,20.60,20.82,20.49,20.51,784556
20-Aug-13,20.57,20.98,20.53,20.71,991704
19-Aug-13,20.94,21.11,20.44,20.53,1060588
16-Aug-13,20.41,21.25,20.35,21.01,2298369
15-Aug-13,20.99,21.08,20.33,20.50,1984715
14-Aug-13,21.49,21.71,21.26,21.38,1710404
13-Aug-13,21.85,21.94,21.32,21.40,1727848
12-Aug-13,21.72,22.13,21.72,21.77,1679344
9-Aug-13,22.03,22.28,21.78,21.83,1595992
8-Aug-13,22.10,22.35,21.66,22.10,2136328
