Date,Open,High,Low,Close,Volume
31-Dec-13,7.68,7.87,7.65,7.80,5643
30-Dec-13,7.76,7.90,7.65,7.67,2136
27-Dec-13,7.58,7.97,7.58,7.69,14252
26-Dec-13,7.67,7.69,7.53,7.53,1427
24-Dec-13,7.50,7.69,7.48,7.69,2260
23-Dec-13,7.62,7.63,7.40,7.52,1688
20-Dec-13,7.65,7.69,7.45,7.67,64540
19-Dec-13,7.51,7.67,7.40,7.51,10499
18-Dec-13,7.45,7.52,7.42,7.52,17447
17-Dec-13,7.50,7.51,7.40,7.49,26807
16-Dec-13,7.37,7.52,7.27,7.41,27779
13-Dec-13,7.40,7.43,7.40,7.40,3999
12-Dec-13,7.49,7.49,7.40,7.40,7133
11-Dec-13,7.50,7.50,7.48,7.50,5859
10-Dec-13,7.50,7.52,7.40,7.50,56956
9-Dec-13,7.39,7.52,7.38,7.41,7257
6-Dec-13,7.37,7.40,7.35,7.40,11438
5-Dec-13,7.52,7.52,7.26,7.46,59115
4-Dec-13,7.20,7.55,7.17,7.40,26872
3-Dec-13,7.22,7.22,7.20,7.22,1512
2-Dec-13,7.07,7.22,7.07,7.22,1001
29-Nov-13,7.12,7.12,7.12,7.12,300
27-Nov-13,7.07,7.22,7.05,7.22,1100
26-Nov-13,7.13,7.18,7.13,7.16,3640
25-Nov-13,7.14,7.19,7.06,7.18,5375
22-Nov-13,7.00,7.16,7.00,7.14,2501
21-Nov-13,7.06,7.10,7.02,7.02,5300
19-Nov-13,7.02,7.09,7.02,7.07,3949
18-Nov-13,7.22,7.22,7.00,7.05,8411
15-Nov-13,7.10,7.22,7.10,7.22,1145
14-Nov-13,7.12,7.12,7.12,7.12,264
13-Nov-13,7.12,7.21,7.05,7.12,2336
12-Nov-13,7.22,7.22,7.04,7.04,6842
11-Nov-13,7.02,7.42,7.02,7.20,30272
8-Nov-13,7.00,7.10,6.90,7.00,22493
7-Nov-13,7.15,7.18,6.60,6.77,15050
6-Nov-13,6.98,7.20,6.97,7.10,32287
5-Nov-13,6.70,6.98,6.70,6.95,19290
4-Nov-13,6.79,6.84,6.65,6.80,4323
1-Nov-13,6.85,6.85,6.75,6.80,6700
31-Oct-13,6.75,6.76,6.65,6.76,7901
30-Oct-13,6.84,6.84,6.70,6.76,3800
29-Oct-13,6.36,6.80,6.30,6.80,36557
28-Oct-13,6.36,6.36,6.30,6.30,7318
25-Oct-13,6.50,6.50,6.35,6.36,3913
24-Oct-13,6.45,6.50,6.45,6.49,3800
23-Oct-13,6.39,6.48,6.26,6.42,38050
22-Oct-13,6.37,6.40,6.35,6.35,12366
21-Oct-13,6.32,6.32,6.32,6.32,300
18-Oct-13,6.22,6.50,6.22,6.30,26782
17-Oct-13,6.10,6.26,6.10,6.21,41600
16-Oct-13,6.16,6.18,6.15,6.15,13500
15-Oct-13,6.11,6.18,6.11,6.15,1600
14-Oct-13,6.08,6.21,6.08,6.12,1308
11-Oct-13,6.10,6.13,6.10,6.13,3494
10-Oct-13,6.15,6.15,6.13,6.15,11960
9-Oct-13,6.18,6.18,6.06,6.10,11252
8-Oct-13,6.10,6.11,6.06,6.10,5460
7-Oct-13,6.04,6.15,6.04,6.10,7250
4-Oct-13,6.11,6.15,6.11,6.13,24608
3-Oct-13,6.28,6.28,6.13,6.13,11300
2-Oct-13,6.37,6.37,6.26,6.26,4433
1-Oct-13,6.28,6.36,6.28,6.36,2727
30-Sep-13,6.34,6.34,6.28,6.28,4600
27-Sep-13,6.33,6.33,6.33,6.33,150
25-Sep-13,6.33,6.34,6.33,6.33,3500
24-Sep-13,6.34,6.34,6.33,6.33,1800
23-Sep-13,6.33,6.33,6.33,6.33,100
20-Sep-13,6.48,6.48,6.32,6.32,4992
19-Sep-13,6.31,6.31,6.31,6.31,167
18-Sep-13,6.31,6.31,6.31,6.31,2256
17-Sep-13,6.29,6.35,6.29,6.31,2150
16-Sep-13,6.35,6.35,6.30,6.35,1114
12-Sep-13,6.35,6.35,6.28,6.28,1100
11-Sep-13,6.48,6.48,6.35,6.36,1566
10-Sep-13,6.36,6.50,6.29,6.48,1500
9-Sep-13,6.32,6.34,6.28,6.30,7706
6-Sep-13,6.49,6.49,6.28,6.31,730
5-Sep-13,6.41,6.41,6.35,6.35,600
4-Sep-13,6.25,6.50,6.25,6.47,5928
30-Aug-13,6.29,6.43,6.28,6.38,4305
29-Aug-13,6.21,6.29,6.21,6.25,3512
28-Aug-13,6.20,6.21,6.20,6.21,1302
27-Aug-13,6.19,6.20,6.19,6.20,2700
26-Aug-13,6.25,6.25,6.19,6.20,5493
23-Aug-13,6.25,6.29,6.22,6.29,4418
22-Aug-13,6.31,6.40,6.18,6.29,9148
21-Aug-13,6.41,6.41,6.36,6.36,834
19-Aug-13,6.38,6.39,6.38,6.38,1153
15-Aug-13,6.42,6.43,6.42,6.42,1349
14-Aug-13,6.45,6.46,6.45,6.46,2014
13-Aug-13,6.45,6.45,6.45,6.45,1573
9-Aug-13,6.51,6.51,6.43,6.48,3579
8-Aug-13,6.55,6.55,6.53,6.53,1600
7-Aug-13,6.72,6.72,6.40,6.49,1446
5-Aug-13,6.45,6.57,6.45,6.57,7225
2-Aug-13,6.60,6.60,6.45,6.45,2779
1-Aug-13,6.53,6.73,6.51,6.61,5711
31-Jul-13,6.58,6.65,6.52,6.55,3547
30-Jul-13,6.62,6.65,6.53,6.56,3414
29-Jul-13,6.67,6.67,6.63,6.63,336
26-Jul-13,6.67,6.75,6.62,6.64,4888
25-Jul-13,6.70,6.75,6.60,6.62,4664
24-Jul-13,6.73,6.73,6.73,6.73,100
23-Jul-13,6.79,6.79,6.56,6.56,18196
22-Jul-13,6.79,6.79,6.79,6.79,200
19-Jul-13,6.64,6.85,6.10,6.56,176972
18-Jul-13,6.52,6.75,6.51,6.75,21820
17-Jul-13,6.50,6.68,6.45,6.45,11140
16-Jul-13,6.43,6.69,6.42,6.50,4278
15-Jul-13,6.52,6.54,6.37,6.45,1900
12-Jul-13,6.51,6.55,6.50,6.55,4200
11-Jul-13,6.55,6.69,6.50,6.50,7122
10-Jul-13,6.60,6.62,6.41,6.41,18326
9-Jul-13,6.58,6.60,6.51,6.60,800
8-Jul-13,6.52,6.60,6.45,6.55,14121
3-Jul-13,6.46,6.46,6.46,6.46,200
2-Jul-13,6.52,6.55,6.45,6.45,2307
1-Jul-13,6.45,6.50,6.43,6.50,4478
28-Jun-13,6.48,6.48,6.48,6.48,100
27-Jun-13,6.41,6.49,6.35,6.46,1076
26-Jun-13,6.39,6.55,6.35,6.42,1200
25-Jun-13,6.52,6.52,6.35,6.41,3980
24-Jun-13,6.41,6.54,6.30,6.30,6275
21-Jun-13,6.49,6.49,6.39,6.49,2991
20-Jun-13,6.48,6.48,6.38,6.38,1381
19-Jun-13,6.52,6.54,6.39,6.52,2319
18-Jun-13,6.39,6.55,6.33,6.41,1726
17-Jun-13,6.40,6.54,6.40,6.40,2767
14-Jun-13,6.44,6.53,6.35,6.35,1784
13-Jun-13,6.51,6.58,6.46,6.50,2100
12-Jun-13,6.57,6.57,6.56,6.56,200
11-Jun-13,6.31,6.65,6.31,6.54,2300
10-Jun-13,6.65,6.65,6.37,6.40,3100
7-Jun-13,6.74,6.74,6.54,6.54,6541
6-Jun-13,6.74,6.74,6.60,6.68,3365
5-Jun-13,6.78,6.78,6.66,6.66,2222
4-Jun-13,6.70,6.70,6.55,6.65,2183
3-Jun-13,6.59,6.65,6.59,6.65,16450
31-May-13,6.56,6.58,6.45,6.58,5430
30-May-13,6.49,6.59,6.48,6.58,4100
29-May-13,6.54,6.54,6.51,6.51,1200
28-May-13,6.48,6.56,6.46,6.46,898
24-May-13,6.59,6.59,6.44,6.44,2400
23-May-13,6.61,6.61,6.38,6.52,3862
22-May-13,6.39,6.59,6.39,6.59,1788
21-May-13,6.59,6.61,6.37,6.42,5370
20-May-13,6.56,6.56,6.40,6.50,4870
17-May-13,6.52,6.52,6.37,6.41,4150
16-May-13,6.35,6.41,6.35,6.38,5610
15-May-13,6.49,6.49,6.39,6.39,4519
14-May-13,6.46,6.50,6.39,6.41,2151
13-May-13,6.39,6.45,6.39,6.45,613
10-May-13,6.54,6.60,6.39,6.42,6708
9-May-13,6.59,6.59,6.36,6.54,3718
8-May-13,6.49,6.58,6.49,6.58,618
