Date,Open,High,Low,Close,Volume
31-Dec-13,32.55,32.71,32.20,32.58,145999
30-Dec-13,32.78,33.00,32.44,32.61,132824
27-Dec-13,32.83,33.10,32.63,32.78,66151
26-Dec-13,32.81,32.99,32.69,32.83,69857
24-Dec-13,32.57,32.96,32.46,32.80,67337
23-Dec-13,32.65,32.88,32.24,32.58,198544
20-Dec-13,32.72,32.98,32.59,32.64,1314807
19-Dec-13,31.90,32.78,31.80,32.57,239311
18-Dec-13,31.72,32.20,31.72,32.02,269734
17-Dec-13,32.20,32.20,31.84,31.99,224052
16-Dec-13,32.07,32.37,32.04,32.15,228858
13-Dec-13,32.37,32.44,32.22,32.40,85788
12-Dec-13,32.49,32.54,32.36,32.40,83617
11-Dec-13,32.71,32.80,32.42,32.44,191967
10-Dec-13,32.42,32.79,32.42,32.60,120401
9-Dec-13,32.69,32.79,32.41,32.56,237304
6-Dec-13,32.46,32.88,32.43,32.83,77370
5-Dec-13,32.40,32.66,32.30,32.37,172984
4-Dec-13,32.02,32.75,32.02,32.48,126527
3-Dec-13,32.57,32.84,32.01,32.02,173258
2-Dec-13,32.86,32.90,32.54,32.72,192912
29-Nov-13,33.00,33.02,32.85,32.98,66487
27-Nov-13,32.91,33.04,32.81,32.97,74492
26-Nov-13,32.61,33.00,32.61,32.96,148426
25-Nov-13,32.91,32.99,32.78,32.91,81557
22-Nov-13,32.82,33.08,32.52,32.96,157626
21-Nov-13,33.25,33.29,32.80,32.96,271605
20-Nov-13,33.00,33.49,32.80,33.00,143367
19-Nov-13,33.00,33.53,32.80,32.97,174928
18-Nov-13,33.02,33.45,32.89,33.09,162851
15-Nov-13,32.59,33.03,32.47,32.99,183324
14-Nov-13,31.79,32.90,31.75,32.69,244837
13-Nov-13,30.96,32.79,30.76,32.03,260172
12-Nov-13,30.98,31.32,30.65,31.30,352926
11-Nov-13,30.58,31.96,30.58,31.19,403802
8-Nov-13,30.68,31.80,30.02,31.04,994720
7-Nov-13,31.61,31.69,30.34,31.15,968728
6-Nov-13,32.32,32.55,31.44,31.59,1052509
5-Nov-13,32.22,32.56,31.50,32.21,452628
4-Nov-13,31.55,32.75,30.39,32.56,1065076
1-Nov-13,34.60,35.50,31.65,32.20,785438
31-Oct-13,34.41,36.39,33.58,35.10,2051481
30-Oct-13,33.52,34.66,33.52,34.52,74306
29-Oct-13,33.13,34.73,32.94,33.60,122949
28-Oct-13,33.93,33.93,32.11,33.05,34448
25-Oct-13,34.50,36.99,32.57,33.53,66857
24-Oct-13,33.00,33.50,33.00,33.22,8826
23-Oct-13,33.70,33.70,33.00,33.45,8630
22-Oct-13,33.15,33.94,32.70,33.50,5016
21-Oct-13,33.00,33.22,32.00,33.15,10081
18-Oct-13,32.25,33.90,32.25,33.90,1285
17-Oct-13,31.80,32.15,31.80,31.85,18912
16-Oct-13,31.35,31.87,31.35,31.72,15130
15-Oct-13,31.50,31.75,31.31,31.56,49580
14-Oct-13,30.75,31.50,30.55,31.36,71787
11-Oct-13,30.45,31.50,29.42,31.24,30600
10-Oct-13,35.00,36.00,31.00,31.11,4321
