Date,Open,High,Low,Close,Volume
31-Dec-13,70.50,70.50,69.30,69.75,451273
30-Dec-13,70.20,70.65,70.20,70.50,361791
27-Dec-13,70.50,70.50,70.05,70.50,237947
26-Dec-13,70.50,70.65,70.05,70.50,294590
24-Dec-13,70.95,71.10,70.05,70.50,263280
23-Dec-13,70.35,70.72,70.20,70.35,444132
20-Dec-13,71.10,71.25,69.90,70.35,566230
19-Dec-13,70.95,71.40,69.60,70.95,837471
18-Dec-13,71.55,71.85,70.20,70.50,857283
17-Dec-13,73.95,74.10,69.15,71.70,3537353
16-Dec-13,66.75,67.05,65.85,66.00,479461
13-Dec-13,66.75,67.35,66.45,66.60,413553
12-Dec-13,67.50,67.65,66.60,66.75,444658
11-Dec-13,69.00,69.60,67.95,67.95,575085
10-Dec-13,68.10,69.30,67.80,69.15,414449
9-Dec-13,67.80,69.30,67.20,68.48,978594
6-Dec-13,68.10,68.40,66.75,68.40,524413
5-Dec-13,68.10,68.25,66.00,66.45,795940
4-Dec-13,69.30,70.28,69.00,69.60,1477069
3-Dec-13,69.60,70.05,69.15,69.75,759756
2-Dec-13,70.20,70.35,69.15,69.30,720887
29-Nov-13,70.50,70.80,69.90,70.20,237681
27-Nov-13,70.20,70.65,70.05,70.35,328922
26-Nov-13,70.35,70.95,69.60,69.60,850002
25-Nov-13,70.50,70.80,69.30,70.05,712102
22-Nov-13,71.55,72.00,70.50,70.50,579535
21-Nov-13,73.35,73.35,71.40,72.00,491289
20-Nov-13,75.00,75.30,72.00,72.60,837638
19-Nov-13,73.35,74.85,73.35,74.70,496475
18-Nov-13,73.65,74.25,72.90,73.50,1053207
15-Nov-13,72.60,73.80,72.45,73.50,1066436
14-Nov-13,70.50,72.60,70.50,72.32,440389
13-Nov-13,69.90,72.15,69.90,71.70,859539
12-Nov-13,70.80,70.95,69.98,70.50,469900
11-Nov-13,70.35,71.25,70.35,70.72,680606
8-Nov-13,70.35,70.50,68.55,70.35,658800
7-Nov-13,70.95,71.10,68.70,69.52,1024569
6-Nov-13,67.50,71.10,67.50,70.88,1610136
5-Nov-13,66.45,67.65,66.15,67.20,625874
4-Nov-13,66.30,67.20,66.22,66.90,329591
1-Nov-13,65.40,66.90,65.40,66.75,414690
31-Oct-13,66.45,66.90,65.85,66.08,510172
30-Oct-13,67.35,67.35,66.00,66.38,271008
29-Oct-13,67.50,67.50,66.90,67.28,318061
28-Oct-13,67.20,67.50,66.90,67.35,265007
25-Oct-13,66.15,67.20,65.85,67.20,239768
24-Oct-13,65.85,66.52,65.70,66.30,197709
23-Oct-13,67.20,67.20,66.15,66.30,303367
22-Oct-13,66.75,67.35,66.75,67.18,240819
21-Oct-13,67.05,67.50,66.75,66.90,303092
18-Oct-13,66.90,67.35,66.60,67.05,223759
17-Oct-13,66.00,66.75,65.85,66.62,290858
16-Oct-13,66.00,66.60,65.55,66.14,420764
15-Oct-13,65.55,66.75,65.25,65.55,346961
14-Oct-13,65.40,66.30,65.25,65.70,303248
11-Oct-13,64.20,66.22,64.20,66.15,545855
10-Oct-13,64.20,64.80,63.60,64.66,399777
9-Oct-13,63.30,64.20,63.15,63.32,468534
8-Oct-13,63.90,64.35,63.15,63.30,703907
7-Oct-13,63.45,64.50,63.30,64.20,323435
4-Oct-13,63.45,64.35,63.45,64.20,322240
3-Oct-13,64.05,64.95,63.45,63.45,562360
2-Oct-13,63.30,64.80,63.00,64.35,551610
1-Oct-13,63.60,64.42,62.40,63.82,606191
30-Sep-13,63.90,64.80,61.35,62.70,1471022
27-Sep-13,64.20,64.95,63.60,64.35,403238
26-Sep-13,64.20,65.10,64.20,64.50,598262
25-Sep-13,65.10,65.25,64.20,64.34,473633
24-Sep-13,64.20,65.25,63.90,64.80,470169
23-Sep-13,63.00,64.35,62.85,64.20,522656
20-Sep-13,65.10,65.25,62.70,62.72,854308
19-Sep-13,65.85,65.85,64.50,64.65,417308
18-Sep-13,65.25,65.70,64.95,65.48,512149
17-Sep-13,65.10,65.70,64.66,65.18,968447
16-Sep-13,65.70,66.00,64.20,64.80,959164
13-Sep-13,66.15,66.30,64.65,65.25,489530
12-Sep-13,66.15,66.15,65.70,65.92,369232
11-Sep-13,65.25,65.70,64.72,65.25,499232
10-Sep-13,65.25,65.40,64.20,64.88,409715
9-Sep-13,64.20,65.55,64.05,65.02,535995
6-Sep-13,65.55,65.70,63.90,64.20,543064
5-Sep-13,65.40,66.45,65.25,65.40,418263
4-Sep-13,66.00,68.40,65.55,66.75,1410380
3-Sep-13,66.15,66.90,65.40,65.62,429656
30-Aug-13,67.20,67.65,64.95,64.95,563622
29-Aug-13,66.75,68.25,66.60,66.90,310626
28-Aug-13,67.05,67.65,66.15,66.52,371834
