Date,Open,High,Low,Close,Volume
31-Dec-13,49.54,49.66,49.52,49.61,25261
30-Dec-13,49.59,49.60,49.51,49.60,31723
27-Dec-13,49.56,49.57,49.52,49.57,31812
26-Dec-13,49.44,49.55,49.44,49.54,6325
24-Dec-13,49.43,49.59,49.43,49.47,17993
23-Dec-13,49.40,49.55,49.40,49.53,23129
20-Dec-13,49.33,49.53,49.33,49.53,24288
19-Dec-13,49.53,49.53,49.49,49.49,8927
18-Dec-13,49.54,49.54,49.45,49.51,48353
17-Dec-13,49.63,49.65,49.57,49.63,141656
16-Dec-13,49.57,49.64,49.54,49.61,30232
13-Dec-13,49.52,49.64,49.52,49.61,9326
12-Dec-13,49.59,49.59,49.55,49.59,19722
11-Dec-13,49.58,49.60,49.53,49.57,14228
10-Dec-13,49.53,49.58,49.52,49.57,60967
9-Dec-13,49.57,49.57,49.50,49.57,25167
6-Dec-13,49.55,49.56,49.50,49.55,17005
5-Dec-13,49.57,49.58,49.53,49.56,24843
4-Dec-13,49.57,49.58,49.52,49.56,34539
3-Dec-13,49.58,49.58,49.52,49.56,26268
2-Dec-13,49.58,49.59,49.52,49.52,14314
29-Nov-13,49.59,49.59,49.55,49.57,6790
27-Nov-13,49.52,49.56,49.52,49.55,17038
26-Nov-13,49.56,49.58,49.52,49.53,41000
25-Nov-13,49.54,49.54,49.50,49.53,16018
22-Nov-13,49.54,49.54,49.48,49.52,31687
21-Nov-13,49.65,49.65,49.50,49.50,22727
20-Nov-13,49.70,49.70,49.65,49.67,122636
19-Nov-13,49.68,49.69,49.60,49.66,36959
18-Nov-13,49.69,49.69,49.64,49.65,69580
15-Nov-13,49.65,49.65,49.61,49.63,16205
14-Nov-13,49.63,49.63,49.58,49.60,29466
13-Nov-13,49.64,49.65,49.60,49.63,28142
12-Nov-13,49.64,49.65,49.60,49.64,30952
11-Nov-13,49.64,49.65,49.61,49.61,70324
8-Nov-13,49.56,49.66,49.56,49.65,24062
7-Nov-13,49.62,49.64,49.56,49.63,22317
6-Nov-13,49.65,49.65,49.55,49.63,73330
5-Nov-13,49.61,49.68,49.55,49.62,12196
4-Nov-13,49.65,49.65,49.53,49.61,18934
1-Nov-13,49.65,49.65,49.53,49.60,24781
31-Oct-13,49.64,49.64,49.54,49.61,41298
30-Oct-13,49.60,49.60,49.49,49.54,48244
29-Oct-13,49.53,49.54,49.46,49.54,83325
28-Oct-13,49.58,49.58,49.46,49.51,124018
25-Oct-13,49.40,49.49,49.40,49.48,51247
24-Oct-13,49.47,49.47,49.43,49.46,38289
23-Oct-13,49.42,49.47,49.37,49.45,44470
22-Oct-13,49.47,49.53,49.41,49.45,58369
21-Oct-13,49.57,49.57,49.49,49.54,58793
18-Oct-13,49.46,49.50,49.42,49.50,24878
17-Oct-13,49.45,49.47,49.35,49.47,61566
16-Oct-13,49.44,49.47,49.37,49.43,30733
15-Oct-13,49.36,49.47,49.36,49.46,84867
14-Oct-13,49.36,49.36,49.30,49.36,20410
11-Oct-13,49.41,49.41,49.35,49.37,46883
10-Oct-13,49.43,49.43,49.32,49.38,32609
9-Oct-13,49.59,49.59,49.29,49.35,39475
8-Oct-13,49.38,49.38,49.30,49.34,13928
7-Oct-13,49.24,49.40,49.20,49.39,18230
4-Oct-13,49.31,49.34,49.28,49.29,8430
3-Oct-13,49.35,49.35,49.29,49.30,27553
2-Oct-13,49.30,49.33,49.26,49.30,34540
1-Oct-13,49.29,49.29,49.26,49.28,40253
30-Sep-13,49.37,49.40,49.27,49.30,24380
27-Sep-13,49.39,49.39,49.33,49.35,12365
26-Sep-13,49.49,49.49,49.37,49.37,17382
25-Sep-13,49.54,49.54,49.42,49.44,21143
24-Sep-13,49.47,49.57,49.47,49.57,14201
23-Sep-13,49.50,49.60,49.50,49.58,71140
20-Sep-13,49.65,49.66,49.49,49.50,51636
19-Sep-13,49.64,49.64,49.55,49.59,27424
18-Sep-13,49.51,49.58,49.46,49.58,13846
17-Sep-13,49.55,49.55,49.42,49.52,47854
16-Sep-13,49.50,49.50,49.40,49.47,41162
13-Sep-13,49.43,49.44,49.41,49.44,16187
12-Sep-13,49.41,49.42,49.35,49.41,3558
11-Sep-13,49.39,49.41,49.33,49.41,54931
10-Sep-13,49.41,49.41,49.31,49.39,11761
9-Sep-13,49.16,49.37,49.16,49.31,40161
6-Sep-13,49.35,49.35,49.15,49.30,52486
5-Sep-13,49.21,49.30,49.21,49.30,156867
4-Sep-13,49.35,49.36,49.30,49.33,10439
3-Sep-13,49.26,49.34,49.26,49.33,8579
30-Aug-13,49.34,49.34,49.25,49.32,6473
29-Aug-13,49.32,49.32,49.29,49.32,36779
28-Aug-13,49.22,49.33,49.22,49.30,20948
27-Aug-13,49.02,49.28,49.02,49.28,43080
26-Aug-13,49.20,49.30,49.18,49.23,12785
23-Aug-13,49.36,49.36,49.34,49.35,19517
22-Aug-13,49.32,49.65,49.32,49.38,69458
21-Aug-13,49.50,49.51,49.36,49.38,42438
20-Aug-13,49.58,49.58,49.56,49.58,170278
19-Aug-13,49.63,49.63,49.55,49.55,29913
16-Aug-13,49.61,49.61,49.60,49.61,21443
15-Aug-13,49.63,49.63,49.56,49.58,28051
14-Aug-13,49.62,49.62,49.60,49.60,23656
13-Aug-13,49.64,49.64,49.57,49.60,37557
12-Aug-13,49.61,49.61,49.57,49.59,6603
9-Aug-13,49.63,49.63,49.55,49.56,9194
8-Aug-13,49.58,49.58,49.54,49.57,33421
7-Aug-13,49.55,49.58,49.52,49.58,10962
6-Aug-13,49.65,49.65,49.50,49.51,80405
5-Aug-13,49.60,49.62,49.60,49.62,26651
2-Aug-13,49.66,49.66,49.61,49.62,10169
1-Aug-13,49.66,49.66,49.52,49.64,68701
31-Jul-13,49.65,49.65,49.54,49.65,79394
30-Jul-13,49.70,49.70,49.61,49.62,9737
29-Jul-13,49.55,49.69,49.55,49.69,42542
26-Jul-13,49.74,49.74,49.66,49.69,53660
25-Jul-13,49.70,49.70,49.65,49.68,48899
24-Jul-13,49.66,49.66,49.61,49.65,51880
23-Jul-13,49.81,49.86,49.80,49.86,77278
22-Jul-13,49.81,49.81,49.76,49.78,24689
19-Jul-13,49.83,49.83,49.74,49.74,42137
18-Jul-13,50.74,50.74,49.68,49.71,107980
17-Jul-13,49.65,49.65,49.59,49.63,21168
16-Jul-13,49.76,49.84,49.71,49.71,23161
15-Jul-13,49.73,49.77,49.73,49.75,4806
12-Jul-13,49.63,49.65,49.60,49.65,1342
11-Jul-13,49.47,49.49,49.45,49.48,7872
10-Jul-13,49.48,49.48,49.46,49.46,1233
9-Jul-13,49.44,49.52,49.44,49.50,3437
8-Jul-13,49.74,49.74,49.41,49.44,7300
5-Jul-13,50.28,50.28,49.41,49.48,3340
3-Jul-13,49.40,49.44,49.40,49.44,980
2-Jul-13,49.48,49.48,49.34,49.34,5317
1-Jul-13,49.40,49.40,49.17,49.17,3547
28-Jun-13,49.32,49.33,49.31,49.33,4167
27-Jun-13,49.32,49.32,49.11,49.32,10368
26-Jun-13,49.20,49.32,49.20,49.30,10240
25-Jun-13,49.50,49.50,49.25,49.30,4466
24-Jun-13,49.36,49.36,49.12,49.36,11194
21-Jun-13,49.34,49.54,49.28,49.39,40993
20-Jun-13,50.58,50.58,49.53,49.74,41976
19-Jun-13,49.92,49.94,49.85,49.87,13950
18-Jun-13,49.88,49.90,49.63,49.86,19366
17-Jun-13,49.87,49.87,49.70,49.83,9791
