Date,Open,High,Low,Close,Volume
31-Dec-13,32.69,33.08,32.53,33.00,748916
30-Dec-13,32.84,32.88,32.61,32.65,366193
27-Dec-13,32.65,32.99,32.47,32.77,426776
26-Dec-13,32.31,33.08,32.17,32.73,1713298
24-Dec-13,32.07,32.32,31.97,32.12,734249
23-Dec-13,32.00,32.08,31.85,32.02,762760
20-Dec-13,31.90,32.00,31.80,31.93,920329
19-Dec-13,31.74,32.15,31.54,31.88,640756
18-Dec-13,31.99,32.05,31.37,32.00,1019116
17-Dec-13,31.72,32.25,31.47,31.84,1197112
16-Dec-13,31.35,31.83,31.27,31.57,767440
13-Dec-13,30.74,31.35,29.22,31.32,790886
12-Dec-13,30.69,30.82,30.49,30.76,647993
11-Dec-13,31.25,31.25,30.54,30.80,750095
10-Dec-13,31.27,31.46,30.70,31.18,995685
9-Dec-13,32.10,32.10,31.00,31.07,1447479
6-Dec-13,30.96,32.27,30.66,31.88,1792197
5-Dec-13,30.83,31.32,30.61,30.77,799658
4-Dec-13,31.29,31.50,30.87,31.05,1003887
3-Dec-13,31.53,32.03,31.31,31.53,1262570
2-Dec-13,30.45,31.91,30.33,31.89,3124702
29-Nov-13,30.50,30.70,30.10,30.33,995102
27-Nov-13,29.87,31.06,29.82,30.49,6079693
26-Nov-13,29.07,29.20,28.69,28.73,627524
25-Nov-13,29.18,29.42,28.92,29.07,633664
22-Nov-13,29.14,29.32,28.93,29.20,578653
21-Nov-13,29.24,29.24,28.88,29.08,319906
20-Nov-13,29.08,29.45,28.77,28.97,647725
19-Nov-13,29.35,29.53,28.66,28.90,923065
18-Nov-13,29.60,29.88,29.36,29.46,813692
15-Nov-13,29.74,29.98,29.38,29.47,641478
14-Nov-13,29.49,29.77,29.34,29.65,662160
13-Nov-13,29.73,29.89,29.39,29.58,687345
12-Nov-13,30.00,30.09,29.55,29.83,750515
11-Nov-13,30.50,30.50,29.45,30.15,2340880
8-Nov-13,29.23,30.68,28.93,30.65,2574920
7-Nov-13,28.35,29.98,27.95,28.86,4469791
6-Nov-13,27.48,27.59,26.75,27.06,1710239
5-Nov-13,27.21,27.48,26.96,27.45,696844
4-Nov-13,26.62,27.50,26.48,27.50,778061
1-Nov-13,26.76,27.14,26.34,26.60,754651
31-Oct-13,27.43,27.43,26.72,26.99,682907
30-Oct-13,27.24,27.78,27.17,27.50,615502
29-Oct-13,27.75,28.00,27.24,27.36,734581
28-Oct-13,27.58,27.87,27.15,27.66,945672
25-Oct-13,27.75,27.75,27.11,27.58,865042
24-Oct-13,27.34,27.87,27.26,27.77,470287
23-Oct-13,27.40,27.46,26.85,27.36,949798
22-Oct-13,28.14,28.44,27.55,27.71,923921
21-Oct-13,27.83,28.07,27.79,27.99,586366
18-Oct-13,27.96,27.98,27.65,27.83,865066
17-Oct-13,27.13,27.98,26.97,27.95,810275
16-Oct-13,27.04,27.15,26.69,27.15,735273
15-Oct-13,27.37,27.48,26.76,27.00,1559272
14-Oct-13,26.63,27.44,26.50,27.43,801948
11-Oct-13,26.58,27.03,26.47,26.83,876330
10-Oct-13,26.18,26.61,26.02,26.61,858753
9-Oct-13,25.72,26.16,25.59,25.90,734935
8-Oct-13,26.68,26.93,25.91,25.95,862762
7-Oct-13,26.29,26.70,26.17,26.62,637207
4-Oct-13,26.45,26.82,26.45,26.65,782762
3-Oct-13,27.00,27.07,26.44,26.53,753609
2-Oct-13,26.76,26.99,26.60,26.98,776839
1-Oct-13,26.28,27.08,26.12,26.80,971160
30-Sep-13,26.02,26.46,25.86,26.34,1252698
27-Sep-13,26.41,26.79,26.31,26.52,1356969
26-Sep-13,26.32,26.60,26.17,26.49,624965
25-Sep-13,25.88,26.38,25.65,26.19,771945
24-Sep-13,25.86,26.05,25.40,25.78,610226
23-Sep-13,25.95,26.19,25.59,25.87,820195
