Date,Open,High,Low,Close,Volume
31-Dec-13,8.01,8.12,8.00,8.08,118170
30-Dec-13,8.10,8.13,8.00,8.02,59935
27-Dec-13,8.06,8.13,7.96,8.08,76171
26-Dec-13,7.75,8.10,7.75,8.10,129548
24-Dec-13,7.93,7.97,7.70,7.71,51372
23-Dec-13,8.00,8.20,7.87,8.02,134525
20-Dec-13,8.01,8.20,7.83,8.06,167081
19-Dec-13,7.94,8.26,7.88,8.02,135378
18-Dec-13,8.14,8.14,7.64,7.74,92836
17-Dec-13,8.27,8.27,7.59,7.98,130275
16-Dec-13,8.26,8.45,8.10,8.44,55276
13-Dec-13,8.64,8.64,8.20,8.27,61447
12-Dec-13,8.55,8.62,8.07,8.45,85213
11-Dec-13,8.74,9.23,8.33,8.59,108884
10-Dec-13,8.92,9.23,8.32,8.59,220298
9-Dec-13,9.34,9.34,8.86,9.12,101347
6-Dec-13,9.58,9.60,9.00,9.28,134733
5-Dec-13,8.84,9.25,8.84,9.24,180168
4-Dec-13,8.90,9.15,8.56,8.59,152040
3-Dec-13,8.69,9.42,8.34,8.99,587888
2-Dec-13,8.20,8.50,7.56,7.94,247715
29-Nov-13,8.53,8.70,8.20,8.20,78924
27-Nov-13,8.80,8.95,8.42,8.63,121526
26-Nov-13,7.99,8.97,7.86,8.88,257618
25-Nov-13,8.05,8.30,7.70,7.88,111393
22-Nov-13,7.64,8.10,7.55,8.02,172812
21-Nov-13,7.50,7.94,7.36,7.64,238617
20-Nov-13,6.46,7.75,6.40,7.46,355823
19-Nov-13,5.53,6.75,5.35,6.70,363569
18-Nov-13,6.86,6.90,5.70,5.90,521452
15-Nov-13,7.97,7.98,6.55,6.92,302939
14-Nov-13,7.69,8.23,7.62,7.80,130052
13-Nov-13,7.65,8.00,7.65,7.70,180934
12-Nov-13,8.66,8.85,7.63,7.92,253351
11-Nov-13,8.61,9.08,8.53,8.85,118670
8-Nov-13,8.95,8.95,7.90,8.75,567587
7-Nov-13,9.29,9.44,8.95,9.00,224664
6-Nov-13,9.85,10.00,8.50,8.52,341938
5-Nov-13,9.70,10.08,9.51,9.80,147224
4-Nov-13,9.02,9.75,8.80,9.46,183572
1-Nov-13,10.62,10.62,8.71,9.14,533410
31-Oct-13,10.72,10.83,10.20,10.45,167306
30-Oct-13,10.79,10.87,10.64,10.69,126996
29-Oct-13,10.77,10.90,10.52,10.79,157349
28-Oct-13,10.40,10.90,10.29,10.76,113168
25-Oct-13,10.90,10.99,10.55,10.85,93316
24-Oct-13,11.22,11.25,10.68,10.82,225199
23-Oct-13,11.70,11.70,10.94,11.21,191555
22-Oct-13,12.00,12.38,11.40,11.71,156199
21-Oct-13,12.45,12.75,11.71,11.93,237612
18-Oct-13,11.30,12.51,11.20,12.45,440151
17-Oct-13,11.14,11.32,10.91,11.24,166223
16-Oct-13,10.83,11.24,10.53,10.96,190618
15-Oct-13,10.95,11.35,10.60,10.80,240320
14-Oct-13,11.01,11.15,10.68,11.00,104667
11-Oct-13,11.39,11.70,10.95,11.15,268892
10-Oct-13,11.12,11.70,10.54,11.19,401708
9-Oct-13,11.15,11.15,9.85,10.22,395956
8-Oct-13,12.40,12.65,10.37,11.11,537584
7-Oct-13,11.13,12.44,11.00,12.06,683726
4-Oct-13,10.25,11.79,10.10,11.00,739541
3-Oct-13,10.04,10.40,9.87,10.09,157490
2-Oct-13,10.05,10.14,9.93,10.05,120901
1-Oct-13,10.00,10.42,9.96,10.02,212993
30-Sep-13,9.85,10.15,9.80,9.97,221607
