Date,Open,High,Low,Close,Volume
31-Dec-13,14.19,14.19,13.86,13.88,56004
30-Dec-13,14.05,14.29,13.84,14.13,59412
27-Dec-13,13.85,14.05,13.81,14.03,56403
26-Dec-13,13.92,13.92,13.68,13.78,28744
24-Dec-13,13.72,13.98,13.70,13.89,38547
23-Dec-13,13.97,14.02,13.73,13.76,95672
20-Dec-13,13.91,14.06,13.82,13.86,65746
19-Dec-13,14.06,14.21,13.86,13.86,26994
18-Dec-13,14.21,14.21,13.90,14.01,56676
17-Dec-13,13.92,14.20,13.78,14.14,50537
16-Dec-13,14.15,14.17,13.78,13.85,69710
13-Dec-13,13.93,14.21,13.93,14.08,30176
12-Dec-13,14.14,14.25,13.72,13.99,43097
11-Dec-13,14.79,14.79,14.06,14.09,45235
10-Dec-13,14.58,14.75,14.46,14.55,54043
9-Dec-13,14.40,14.78,14.40,14.55,35187
6-Dec-13,14.60,14.79,14.30,14.55,32757
5-Dec-13,14.52,14.80,14.31,14.55,33677
4-Dec-13,14.63,14.77,14.44,14.56,24617
3-Dec-13,14.53,14.85,14.53,14.70,33142
2-Dec-13,14.60,14.62,14.50,14.58,40346
29-Nov-13,14.30,14.71,14.18,14.60,26278
27-Nov-13,14.30,14.30,14.10,14.28,27239
26-Nov-13,13.98,14.29,13.98,14.25,43951
25-Nov-13,14.01,14.28,13.92,13.97,35375
22-Nov-13,14.44,14.44,14.00,14.02,116369
21-Nov-13,14.28,14.55,14.27,14.44,36825
20-Nov-13,14.20,14.30,14.15,14.25,16495
19-Nov-13,14.30,14.30,14.10,14.20,16893
18-Nov-13,14.28,14.30,14.10,14.12,53765
15-Nov-13,14.21,14.30,14.20,14.27,24917
14-Nov-13,14.21,14.30,14.20,14.23,33039
13-Nov-13,14.40,14.50,14.20,14.29,34196
12-Nov-13,14.63,14.63,14.38,14.48,12474
11-Nov-13,14.52,14.64,14.43,14.50,26136
8-Nov-13,14.42,14.94,14.33,14.75,24067
7-Nov-13,14.51,14.58,14.35,14.38,19694
6-Nov-13,14.54,14.66,14.47,14.47,7772
5-Nov-13,14.39,14.60,14.30,14.40,16535
4-Nov-13,14.41,14.86,14.34,14.42,30104
1-Nov-13,14.68,14.68,14.39,14.53,29490
31-Oct-13,14.79,14.97,14.67,14.73,22630
30-Oct-13,14.99,15.00,14.67,14.73,28518
29-Oct-13,14.83,15.05,14.61,15.05,29488
28-Oct-13,14.80,14.98,14.80,14.93,16771
25-Oct-13,14.80,14.90,14.60,14.80,7848
24-Oct-13,14.70,14.89,14.58,14.75,16202
23-Oct-13,14.57,14.81,14.49,14.63,31573
22-Oct-13,14.52,14.70,14.52,14.60,15081
21-Oct-13,14.54,14.63,14.50,14.51,12275
18-Oct-13,14.46,14.62,14.35,14.57,40885
17-Oct-13,14.63,14.64,14.33,14.41,32107
16-Oct-13,14.49,14.63,14.32,14.51,13135
15-Oct-13,14.55,14.75,14.31,14.40,26233
14-Oct-13,14.49,14.55,14.30,14.53,15324
11-Oct-13,14.45,14.54,14.31,14.49,12165
10-Oct-13,14.49,14.54,14.30,14.50,16776
9-Oct-13,14.35,14.65,14.30,14.42,9608
8-Oct-13,14.41,14.41,14.22,14.28,13705
7-Oct-13,14.42,14.65,14.31,14.35,14205
4-Oct-13,14.52,14.52,14.29,14.48,33390
3-Oct-13,14.54,14.64,14.45,14.53,18203
2-Oct-13,14.68,14.71,14.58,14.60,5751
1-Oct-13,14.73,14.77,14.56,14.69,34039
30-Sep-13,14.65,14.80,14.53,14.78,12807
27-Sep-13,14.68,14.79,14.51,14.73,21041
26-Sep-13,15.15,15.15,14.64,14.78,16250
25-Sep-13,14.92,15.00,14.75,14.82,20298
24-Sep-13,14.89,15.08,14.57,14.96,59184
23-Sep-13,14.90,14.90,14.51,14.77,27163
20-Sep-13,14.66,15.00,14.32,15.00,100506
19-Sep-13,14.50,14.78,14.24,14.68,36284
18-Sep-13,14.16,14.55,14.16,14.39,16966
17-Sep-13,14.40,14.54,13.97,14.15,68458
16-Sep-13,14.42,14.50,14.38,14.44,11972
13-Sep-13,14.63,14.79,13.92,14.43,27919
12-Sep-13,14.70,14.85,14.07,14.60,27565
11-Sep-13,14.80,14.96,14.57,14.70,21046
10-Sep-13,14.85,14.95,14.51,14.82,43718
9-Sep-13,15.00,15.20,14.93,15.20,71710
6-Sep-13,15.01,15.17,14.83,15.10,40051
5-Sep-13,15.16,15.16,15.05,15.07,8230
4-Sep-13,15.05,15.15,15.00,15.11,20163
3-Sep-13,15.05,15.05,14.90,15.05,24901
30-Aug-13,15.05,15.15,14.85,15.02,27238
29-Aug-13,15.14,15.14,14.96,15.10,11086
