Date,Open,High,Low,Close,Volume
31-Dec-13,10.18,10.39,10.15,10.19,123731
30-Dec-13,10.35,10.38,10.10,10.19,151304
27-Dec-13,10.26,10.43,10.23,10.32,50236
26-Dec-13,10.35,10.50,10.28,10.29,117849
24-Dec-13,10.40,10.50,10.31,10.32,98974
23-Dec-13,10.00,10.41,10.00,10.35,137904
20-Dec-13,10.09,10.19,10.00,10.03,144232
19-Dec-13,10.13,10.19,10.00,10.10,121397
18-Dec-13,10.34,10.35,10.09,10.19,67121
17-Dec-13,10.30,10.46,10.08,10.35,169804
16-Dec-13,10.66,10.66,10.26,10.30,168237
13-Dec-13,9.85,10.66,9.80,10.57,302173
12-Dec-13,10.45,10.60,9.80,9.88,496841
11-Dec-13,10.51,11.30,10.27,10.47,984866
10-Dec-13,10.50,10.82,10.08,10.56,1043621
9-Dec-13,11.78,11.94,11.65,11.68,68552
6-Dec-13,12.07,12.10,11.81,11.81,68456
5-Dec-13,11.92,12.17,11.77,12.03,91598
4-Dec-13,12.02,12.02,11.75,11.95,92579
3-Dec-13,11.72,12.04,11.70,12.02,105849
2-Dec-13,12.29,12.30,11.74,11.80,109123
29-Nov-13,12.20,12.52,12.02,12.28,50295
27-Nov-13,12.19,12.24,12.10,12.14,54242
26-Nov-13,12.11,12.25,12.11,12.21,135367
25-Nov-13,11.70,12.27,11.70,12.11,285372
22-Nov-13,12.00,12.11,11.52,11.83,410583
21-Nov-13,12.46,12.46,12.01,12.27,173216
20-Nov-13,12.51,12.66,12.40,12.46,101216
19-Nov-13,12.86,12.88,12.50,12.53,126800
18-Nov-13,12.71,13.00,12.60,12.88,141574
15-Nov-13,12.47,12.74,12.37,12.69,70224
14-Nov-13,12.43,12.51,12.17,12.48,59316
13-Nov-13,12.26,12.56,12.22,12.42,86963
12-Nov-13,12.50,12.57,12.16,12.31,140667
11-Nov-13,12.38,12.79,12.18,12.56,184106
8-Nov-13,12.03,12.43,11.91,12.32,174117
7-Nov-13,12.25,12.58,11.99,11.99,174649
6-Nov-13,12.52,12.97,12.17,12.22,439718
5-Nov-13,12.57,12.78,12.42,12.43,392386
4-Nov-13,11.54,12.35,11.46,12.30,717381
1-Nov-13,11.49,11.65,11.39,11.56,113777
31-Oct-13,11.70,11.84,11.28,11.50,153896
30-Oct-13,11.99,12.25,11.68,11.76,175996
29-Oct-13,11.90,12.29,11.45,12.03,403153
28-Oct-13,11.87,12.04,11.63,12.00,165560
25-Oct-13,12.76,12.82,11.71,11.85,258883
24-Oct-13,12.41,12.86,12.13,12.73,447779
23-Oct-13,12.12,12.44,11.68,12.35,466860
22-Oct-13,11.84,12.41,11.78,12.16,508598
21-Oct-13,11.51,11.87,11.43,11.83,604670
18-Oct-13,10.99,11.72,10.90,11.51,338050
17-Oct-13,10.70,10.95,10.69,10.93,83219
16-Oct-13,10.66,10.80,10.21,10.71,60339
15-Oct-13,10.45,10.84,10.37,10.60,99238
14-Oct-13,10.64,10.67,10.41,10.51,87398
11-Oct-13,10.59,10.80,10.55,10.68,130406
10-Oct-13,10.51,10.74,10.21,10.61,233999
9-Oct-13,10.52,10.76,10.26,10.54,263998
8-Oct-13,10.78,10.86,10.32,10.54,181658
7-Oct-13,10.91,11.09,10.55,10.79,223708
4-Oct-13,10.59,10.94,10.57,10.94,226011
3-Oct-13,10.60,10.64,10.35,10.56,219613
2-Oct-13,9.94,10.72,9.79,10.66,886888
1-Oct-13,9.30,9.86,9.03,9.81,367271
30-Sep-13,9.19,9.21,9.00,9.14,122121
27-Sep-13,9.42,9.42,9.20,9.26,65612
26-Sep-13,9.27,9.47,9.23,9.43,77454
25-Sep-13,9.25,9.43,9.20,9.27,103826
24-Sep-13,9.12,9.29,9.05,9.25,105271
23-Sep-13,9.26,9.30,9.06,9.15,108700
20-Sep-13,9.30,9.32,9.10,9.32,182640
19-Sep-13,8.93,9.38,8.93,9.25,144808
18-Sep-13,8.92,8.96,8.83,8.93,87007
17-Sep-13,8.95,8.98,8.77,8.91,252905
16-Sep-13,9.00,9.02,8.85,8.97,72978
13-Sep-13,9.05,9.12,8.82,8.88,106749
12-Sep-13,9.16,9.25,9.05,9.07,97624
11-Sep-13,9.14,9.27,9.05,9.19,121429
10-Sep-13,9.06,9.22,9.05,9.15,101626
9-Sep-13,9.00,9.27,8.97,9.03,131239
