Date,Open,High,Low,Close,Volume
31-Dec-13,18.49,18.88,18.09,18.09,9364
30-Dec-13,18.73,18.74,18.40,18.53,11357
27-Dec-13,18.60,18.60,18.40,18.53,2935
26-Dec-13,18.48,18.72,18.48,18.68,5073
24-Dec-13,18.48,18.74,18.21,18.58,1656
23-Dec-13,18.21,18.72,18.19,18.52,5845
20-Dec-13,18.54,18.54,18.09,18.49,18429
19-Dec-13,18.20,18.74,18.14,18.32,1674
18-Dec-13,18.33,18.73,18.11,18.27,2036
17-Dec-13,18.76,18.78,18.13,18.53,5774
16-Dec-13,18.21,18.33,18.07,18.20,4966
13-Dec-13,18.31,18.85,18.07,18.21,5930
12-Dec-13,18.58,18.68,18.13,18.37,10012
11-Dec-13,18.71,18.89,18.48,18.55,12253
10-Dec-13,18.60,18.98,18.51,18.83,10504
9-Dec-13,18.54,18.75,18.45,18.74,11787
6-Dec-13,18.69,18.87,18.49,18.58,3299
5-Dec-13,18.74,18.74,18.58,18.65,1900
4-Dec-13,18.37,18.94,18.37,18.66,4687
3-Dec-13,18.60,18.73,18.32,18.54,9699
2-Dec-13,18.78,18.78,18.55,18.63,2921
29-Nov-13,18.58,18.98,18.50,18.84,10243
27-Nov-13,19.22,19.24,18.75,18.82,1442
26-Nov-13,19.48,19.48,18.82,19.04,7419
25-Nov-13,19.03,19.50,18.76,19.16,6370
22-Nov-13,19.46,19.78,18.97,19.18,21559
21-Nov-13,19.32,19.72,18.62,19.29,27217
20-Nov-13,18.48,19.73,18.48,19.28,45032
19-Nov-13,18.01,18.45,18.00,18.45,8128
18-Nov-13,19.02,19.06,17.97,18.25,38641
15-Nov-13,19.86,19.99,18.06,19.14,47108
14-Nov-13,19.65,19.96,19.59,19.84,7652
13-Nov-13,19.57,20.00,18.86,19.82,25389
12-Nov-13,19.17,19.73,18.90,19.73,15463
11-Nov-13,18.52,18.97,18.08,18.64,13792
8-Nov-13,17.81,19.19,17.81,18.61,12069
7-Nov-13,17.98,17.98,17.49,17.69,8210
6-Nov-13,18.24,18.30,17.62,17.99,31933
5-Nov-13,18.37,18.57,18.02,18.24,17815
4-Nov-13,18.69,18.78,18.34,18.40,7196
1-Nov-13,19.03,19.03,18.11,18.80,3712
31-Oct-13,19.13,19.58,18.82,19.18,29249
30-Oct-13,19.54,19.83,19.20,19.25,26896
29-Oct-13,19.42,19.97,19.42,19.70,10479
28-Oct-13,19.25,19.64,19.24,19.31,4470
25-Oct-13,19.17,19.34,19.00,19.15,7000
24-Oct-13,19.13,19.58,18.97,19.17,23894
23-Oct-13,19.30,19.49,18.77,19.37,46089
22-Oct-13,19.49,19.60,19.21,19.41,21802
21-Oct-13,19.67,19.67,18.81,19.65,46266
18-Oct-13,19.50,19.67,19.20,19.46,23353
17-Oct-13,18.79,19.47,18.50,19.47,32274
16-Oct-13,19.00,19.10,18.50,18.98,24742
15-Oct-13,18.98,19.28,18.51,18.97,38861
14-Oct-13,17.63,19.02,17.09,18.79,76026
11-Oct-13,17.91,17.99,17.49,17.90,31149
10-Oct-13,17.12,18.00,16.80,17.73,44468
9-Oct-13,16.80,17.30,16.73,16.86,23096
8-Oct-13,16.90,17.40,16.73,16.90,26693
7-Oct-13,16.86,17.20,16.74,16.99,26534
4-Oct-13,17.03,17.38,16.96,16.96,19911
3-Oct-13,17.28,17.30,16.91,16.96,18330
2-Oct-13,17.15,17.49,16.76,17.31,28387
1-Oct-13,16.71,17.60,16.71,17.10,62315
30-Sep-13,15.93,17.05,15.86,16.84,38368
27-Sep-13,16.12,16.25,15.92,16.06,22415
26-Sep-13,15.81,16.25,15.81,16.23,31727
25-Sep-13,15.88,16.24,15.70,15.92,29053
24-Sep-13,15.63,15.90,15.00,15.62,66446
23-Sep-13,15.88,15.99,15.57,15.61,23840
20-Sep-13,15.96,16.00,15.57,16.00,17044
19-Sep-13,16.00,16.00,15.66,15.94,15516
18-Sep-13,16.12,16.19,15.76,16.00,48972
17-Sep-13,16.05,16.11,15.90,16.11,14416
16-Sep-13,16.40,16.40,15.87,16.16,18509
13-Sep-13,16.50,16.50,16.09,16.30,28530
12-Sep-13,16.59,16.72,15.91,16.48,38269
11-Sep-13,16.66,17.00,16.18,16.54,37018
10-Sep-13,16.97,17.19,16.64,16.76,13443
9-Sep-13,17.09,17.10,16.76,16.92,22456
6-Sep-13,16.71,17.25,16.52,17.05,30808
5-Sep-13,17.09,17.09,16.24,16.70,16374
4-Sep-13,17.08,17.30,16.75,17.02,25888
