Date,Open,High,Low,Close,Volume
31-Dec-13,13.86,13.97,13.70,13.82,28252
30-Dec-13,13.89,13.89,13.75,13.75,13984
27-Dec-13,14.00,14.00,13.93,13.93,36152
26-Dec-13,13.95,13.99,13.90,13.90,14396
24-Dec-13,13.80,13.85,13.80,13.85,8145
23-Dec-13,13.81,13.85,13.76,13.79,16811
20-Dec-13,13.52,13.88,13.52,13.83,9641
19-Dec-13,13.84,13.84,13.67,13.67,13537
18-Dec-13,14.08,14.16,13.96,13.97,34564
17-Dec-13,14.23,14.23,14.19,14.19,6041
16-Dec-13,14.31,14.36,14.25,14.30,41676
13-Dec-13,14.14,14.26,14.14,14.23,13848
12-Dec-13,14.10,14.17,14.10,14.13,10663
11-Dec-13,14.57,14.57,14.40,14.40,61116
10-Dec-13,14.50,14.57,14.49,14.55,20877
9-Dec-13,14.21,14.30,14.21,14.30,6731
6-Dec-13,14.16,14.23,14.12,14.15,5193
5-Dec-13,14.37,14.37,14.07,14.13,63190
4-Dec-13,14.10,14.38,14.10,14.36,37207
3-Dec-13,14.04,14.10,14.04,14.07,15704
2-Dec-13,14.20,14.21,14.03,14.04,16197
29-Nov-13,14.42,14.42,14.38,14.38,2600
27-Nov-13,14.40,14.40,14.24,14.24,13434
26-Nov-13,14.30,14.35,14.28,14.31,7974
25-Nov-13,14.24,14.41,14.23,14.40,7234
22-Nov-13,14.37,14.37,14.32,14.32,12758
21-Nov-13,14.30,14.34,14.25,14.31,26062
20-Nov-13,14.50,14.55,14.31,14.31,23667
19-Nov-13,14.65,14.66,14.62,14.65,10076
18-Nov-13,14.74,14.74,14.62,14.64,9700
15-Nov-13,14.90,14.93,14.87,14.92,9195
14-Nov-13,14.84,14.94,14.84,14.91,6180
13-Nov-13,14.76,14.79,14.73,14.75,5047
12-Nov-13,14.85,14.85,14.66,14.68,6005
11-Nov-13,14.74,14.85,14.74,14.84,15050
8-Nov-13,15.04,15.04,14.84,14.88,13204
7-Nov-13,15.15,15.15,15.05,15.06,24069
6-Nov-13,15.20,15.20,15.16,15.20,4865
5-Nov-13,15.10,15.12,15.10,15.12,1400
4-Nov-13,15.19,15.21,15.14,15.16,4650
1-Nov-13,15.15,15.16,15.05,15.16,18408
31-Oct-13,15.26,15.29,15.22,15.23,4750
30-Oct-13,15.47,15.47,15.36,15.39,4647
29-Oct-13,15.43,15.43,15.37,15.39,9700
28-Oct-13,15.40,15.46,15.40,15.45,3960
25-Oct-13,15.36,15.44,15.36,15.41,36760
24-Oct-13,15.31,15.42,15.31,15.38,10500
23-Oct-13,15.27,15.30,15.25,15.25,1900
22-Oct-13,15.19,15.34,15.19,15.33,5675
