Date,Open,High,Low,Close,Volume
31-Dec-13,61.59,63.43,61.56,62.81,519019
30-Dec-13,63.14,63.20,61.59,61.62,528317
27-Dec-13,63.20,63.33,62.43,62.96,476160
26-Dec-13,63.48,63.95,62.38,62.56,516533
24-Dec-13,62.01,62.75,62.01,62.75,491856
23-Dec-13,61.17,61.92,61.03,61.77,723182
20-Dec-13,61.72,61.98,60.90,61.20,1542037
19-Dec-13,62.15,63.04,61.97,62.87,923024
18-Dec-13,64.25,65.36,63.13,63.35,878767
17-Dec-13,64.03,64.33,63.40,63.88,587839
16-Dec-13,64.30,65.03,64.19,64.35,586395
13-Dec-13,64.02,64.92,63.71,64.08,697807
12-Dec-13,64.05,64.17,62.86,63.81,791717
11-Dec-13,67.12,67.13,65.20,65.30,1093667
10-Dec-13,67.46,68.55,67.46,67.96,1057725
9-Dec-13,65.14,65.75,65.03,65.66,792708
6-Dec-13,66.67,66.97,65.32,65.44,530535
5-Dec-13,66.17,66.45,65.47,65.65,845049
4-Dec-13,66.16,68.20,65.72,67.37,951599
3-Dec-13,66.08,66.36,65.31,65.59,1106672
2-Dec-13,69.09,69.25,67.23,67.29,861078
29-Nov-13,70.02,71.55,69.96,70.75,544291
27-Nov-13,68.80,69.16,68.32,68.98,496802
26-Nov-13,67.88,68.51,67.54,68.05,821261
25-Nov-13,68.36,69.75,67.52,69.21,984747
22-Nov-13,70.26,71.26,69.65,70.02,480384
21-Nov-13,71.35,71.35,69.65,70.66,836111
20-Nov-13,73.55,73.60,70.82,71.46,1108347
19-Nov-13,74.11,74.71,73.65,74.23,697275
18-Nov-13,73.20,73.44,72.75,72.87,656110
15-Nov-13,74.41,74.69,72.50,73.28,2971596
14-Nov-13,72.56,74.08,72.50,73.50,964877
13-Nov-13,72.50,72.70,71.72,71.89,1053430
12-Nov-13,73.43,74.20,72.70,73.08,1054739
11-Nov-13,75.16,75.98,74.33,75.80,529221
8-Nov-13,75.66,76.84,74.58,76.68,954602
7-Nov-13,78.15,79.33,76.88,77.24,1278529
6-Nov-13,73.56,74.66,73.51,74.26,578076
5-Nov-13,74.46,74.58,73.03,73.52,793623
4-Nov-13,73.07,73.96,72.58,73.65,650353
1-Nov-13,73.15,73.17,70.92,71.48,892459
31-Oct-13,74.94,74.94,73.90,73.90,830431
30-Oct-13,77.20,77.96,74.81,77.09,607399
29-Oct-13,76.38,76.60,75.67,76.01,871066
28-Oct-13,77.00,79.77,76.58,78.18,1137557
25-Oct-13,75.28,76.94,74.68,76.73,440452
24-Oct-13,74.69,75.83,74.54,75.64,1083832
23-Oct-13,75.27,75.92,72.59,73.01,754674
22-Oct-13,73.50,76.45,73.50,75.56,764339
21-Oct-13,71.97,72.86,71.76,72.70,329027
18-Oct-13,71.93,72.79,71.58,71.73,608018
17-Oct-13,71.78,73.02,71.42,72.07,897334
16-Oct-13,71.76,71.76,69.28,69.47,916745
15-Oct-13,69.18,72.50,68.98,72.06,1170027
14-Oct-13,69.44,70.65,68.66,69.97,908814
11-Oct-13,68.50,69.15,67.68,68.21,1163998
10-Oct-13,68.57,70.46,68.22,68.88,565043
9-Oct-13,68.84,69.90,67.90,69.10,561139
8-Oct-13,71.07,71.19,69.01,69.45,546679
7-Oct-13,69.95,71.45,69.88,71.22,498269
4-Oct-13,69.61,70.03,69.32,69.72,393937
3-Oct-13,69.93,70.52,68.92,69.11,672500
2-Oct-13,70.16,71.58,69.89,70.07,914342
1-Oct-13,69.60,70.75,69.17,70.48,559396
30-Sep-13,71.12,72.12,70.90,71.53,622762
27-Sep-13,72.52,73.18,70.61,71.73,859980
26-Sep-13,73.02,73.39,71.40,72.11,546662
25-Sep-13,72.02,74.00,71.83,72.64,857774
24-Sep-13,72.04,72.56,71.07,71.54,833496
23-Sep-13,73.37,74.54,72.31,72.46,826538
20-Sep-13,75.63,76.05,73.32,73.38,2340065
19-Sep-13,78.62,79.23,75.84,76.86,1800969
18-Sep-13,72.15,79.94,71.21,79.19,1840448
17-Sep-13,72.66,73.69,72.00,73.60,773959
16-Sep-13,71.47,72.42,71.17,71.77,931839
13-Sep-13,70.67,71.80,69.91,71.54,1048998
12-Sep-13,70.98,71.68,69.79,69.92,1012347
11-Sep-13,72.96,73.65,71.80,73.53,962311
10-Sep-13,75.60,75.62,72.64,73.43,1380407
9-Sep-13,77.99,78.10,76.10,76.40,680008
6-Sep-13,78.34,78.70,77.56,77.90,687639
5-Sep-13,79.45,79.68,77.40,77.87,648348
4-Sep-13,78.76,80.06,78.60,80.03,692023
3-Sep-13,79.68,80.43,78.71,79.06,708105
30-Aug-13,78.88,79.19,77.60,78.02,607147
29-Aug-13,78.47,80.60,77.76,79.33,1087117
28-Aug-13,80.19,81.57,77.43,78.08,1089541
27-Aug-13,81.80,84.61,78.60,78.78,1758611
26-Aug-13,81.12,81.75,80.10,81.10,447357
23-Aug-13,79.13,81.36,78.62,80.95,1332176
22-Aug-13,78.44,79.51,78.28,78.63,411217
21-Aug-13,78.68,79.46,77.26,77.46,756292
20-Aug-13,78.48,80.80,78.37,80.38,684997
19-Aug-13,79.48,79.96,77.84,78.19,894193
16-Aug-13,81.46,81.92,79.46,80.25,1409003
15-Aug-13,75.62,79.74,75.36,79.29,1104361
14-Aug-13,74.96,77.33,74.96,76.92,1017403
13-Aug-13,75.38,75.97,74.29,74.57,1034870
12-Aug-13,74.59,75.68,74.19,74.66,1070196
9-Aug-13,71.28,74.55,70.86,73.15,1480528
8-Aug-13,67.44,70.64,67.44,70.41,1204221
7-Aug-13,67.56,68.03,66.05,66.21,836330
6-Aug-13,69.22,69.34,66.74,66.74,1047622
5-Aug-13,71.94,72.34,71.03,71.27,790275
2-Aug-13,72.48,72.64,70.47,70.58,849183
1-Aug-13,75.10,75.27,72.58,72.65,1185951
31-Jul-13,72.36,75.41,72.15,74.27,1174725
30-Jul-13,73.16,73.74,72.50,72.90,742340
29-Jul-13,73.71,74.53,73.00,73.37,764253
26-Jul-13,71.68,73.31,71.02,73.31,844613
25-Jul-13,71.46,72.90,71.37,71.72,959810
24-Jul-13,73.60,73.84,70.56,71.73,1068213
23-Jul-13,74.10,74.96,73.26,74.30,1290464
22-Jul-13,71.80,74.60,71.80,73.63,1562110
19-Jul-13,68.68,70.37,68.59,70.33,1232298
18-Jul-13,67.62,68.39,67.06,67.15,1117938
17-Jul-13,69.35,69.78,67.22,67.37,1358648
16-Jul-13,66.00,69.10,65.98,69.01,1266885
