Date,Open,High,Low,Close,Volume
31-Dec-13,21.98,21.98,20.22,20.53,653141
30-Dec-13,19.97,22.17,19.91,21.70,809191
27-Dec-13,19.53,20.79,19.25,19.90,650354
26-Dec-13,19.50,20.35,19.00,19.41,447378
24-Dec-13,18.24,19.81,18.24,19.57,528641
23-Dec-13,17.57,18.74,17.20,18.24,470637
20-Dec-13,17.14,17.79,16.72,17.03,488967
19-Dec-13,17.00,17.35,16.61,17.01,246615
18-Dec-13,17.27,17.86,16.52,16.99,640752
17-Dec-13,17.30,17.30,16.40,16.47,237533
16-Dec-13,17.97,18.74,16.20,17.07,1500083
13-Dec-13,15.50,17.25,15.18,17.11,764584
12-Dec-13,15.61,15.84,14.83,15.07,380859
11-Dec-13,16.00,16.59,15.30,15.81,771639
10-Dec-13,15.26,15.96,14.35,15.50,516216
9-Dec-13,14.17,16.50,14.17,15.39,1357875
6-Dec-13,15.00,15.09,14.16,14.22,487616
5-Dec-13,14.33,15.29,14.01,14.53,407879
4-Dec-13,14.68,15.06,13.60,14.52,987412
3-Dec-13,15.50,15.50,14.05,14.65,934813
2-Dec-13,15.01,15.64,14.50,15.35,346830
29-Nov-13,16.42,16.46,14.24,15.26,404862
27-Nov-13,16.30,16.96,16.00,16.07,667752
26-Nov-13,17.20,17.50,16.01,16.01,948929
25-Nov-13,14.80,17.25,14.40,17.19,1808704
22-Nov-13,14.11,16.14,12.40,13.35,9216763
