Date,Open,High,Low,Close,Volume
31-Dec-13,2.45,2.54,2.45,2.54,145672
30-Dec-13,2.60,2.61,2.47,2.56,139702
27-Dec-13,2.48,2.73,2.48,2.65,34011
26-Dec-13,2.51,2.52,2.44,2.50,61085
24-Dec-13,2.45,2.52,2.44,2.48,20072
23-Dec-13,2.50,2.54,2.46,2.46,60692
20-Dec-13,2.43,2.54,2.43,2.54,46386
19-Dec-13,2.51,2.54,2.44,2.49,74298
18-Dec-13,2.59,2.69,2.56,2.58,30181
17-Dec-13,2.51,2.70,2.47,2.65,74876
16-Dec-13,2.43,2.55,2.43,2.55,55236
13-Dec-13,2.43,2.50,2.43,2.45,53139
12-Dec-13,2.47,2.49,2.46,2.46,8077
11-Dec-13,2.55,2.55,2.48,2.50,15124
10-Dec-13,2.57,2.58,2.53,2.56,20041
9-Dec-13,2.56,2.56,2.47,2.53,65121
6-Dec-13,2.60,2.60,2.49,2.53,11223
5-Dec-13,2.39,2.55,2.39,2.55,65659
4-Dec-13,2.41,2.48,2.39,2.40,60344
3-Dec-13,2.41,2.44,2.37,2.42,14914
2-Dec-13,2.47,2.52,2.37,2.45,29688
29-Nov-13,2.48,2.57,2.46,2.51,13716
27-Nov-13,2.44,2.50,2.40,2.49,29762
26-Nov-13,2.42,2.46,2.41,2.44,34955
25-Nov-13,2.43,2.43,2.40,2.42,54202
22-Nov-13,2.42,2.46,2.40,2.42,55097
21-Nov-13,2.47,2.49,2.43,2.44,12652
20-Nov-13,2.51,2.52,2.46,2.47,11997
19-Nov-13,2.50,2.54,2.50,2.52,32333
18-Nov-13,2.50,2.56,2.48,2.48,39970
15-Nov-13,2.55,2.55,2.52,2.54,6539
14-Nov-13,2.56,2.57,2.50,2.55,27605
13-Nov-13,2.53,2.59,2.51,2.59,16894
12-Nov-13,2.62,2.65,2.50,2.50,50197
11-Nov-13,2.62,2.64,2.62,2.62,29679
8-Nov-13,2.64,2.64,2.62,2.64,14556
7-Nov-13,2.64,2.66,2.61,2.66,25875
6-Nov-13,2.64,2.65,2.64,2.64,30550
5-Nov-13,2.66,2.66,2.63,2.65,6428
4-Nov-13,2.70,2.70,2.66,2.67,15599
1-Nov-13,2.68,2.69,2.63,2.66,52630
31-Oct-13,2.72,2.72,2.68,2.68,67250
30-Oct-13,2.74,2.74,2.70,2.70,16330
29-Oct-13,2.80,2.80,2.66,2.74,27146
28-Oct-13,2.84,2.88,2.77,2.77,11116
25-Oct-13,2.87,2.90,2.77,2.80,23239
24-Oct-13,2.85,2.93,2.80,2.84,21151
23-Oct-13,2.85,2.90,2.82,2.84,8996
22-Oct-13,2.84,2.88,2.81,2.85,46712
21-Oct-13,2.74,2.82,2.73,2.78,17508
18-Oct-13,2.77,2.80,2.75,2.75,27150
17-Oct-13,2.73,2.90,2.71,2.79,39638
16-Oct-13,2.80,2.80,2.69,2.73,56879
15-Oct-13,2.73,2.78,2.73,2.78,20094
14-Oct-13,2.75,2.75,2.70,2.73,23978
11-Oct-13,2.74,2.77,2.71,2.76,6188
10-Oct-13,2.70,2.76,2.70,2.76,29571
9-Oct-13,2.70,2.72,2.70,2.72,12383
8-Oct-13,2.71,2.72,2.70,2.71,8620
7-Oct-13,2.72,2.76,2.71,2.75,8327
4-Oct-13,2.70,2.76,2.70,2.76,11561
3-Oct-13,2.75,2.75,2.70,2.72,10658
2-Oct-13,2.76,2.76,2.75,2.75,19340
1-Oct-13,2.85,2.85,2.76,2.77,67147
30-Sep-13,2.89,2.89,2.85,2.86,3492
27-Sep-13,2.90,2.94,2.86,2.86,15654
26-Sep-13,2.90,2.99,2.90,2.90,8060
25-Sep-13,2.92,3.10,2.87,3.00,8544
24-Sep-13,3.03,3.03,2.94,2.96,8605
23-Sep-13,3.09,3.18,2.96,3.04,7771
20-Sep-13,3.08,3.19,3.03,3.09,11826
19-Sep-13,3.12,3.24,2.99,3.09,6519
18-Sep-13,3.01,3.22,2.86,3.08,112598
17-Sep-13,2.88,3.01,2.85,3.01,31225
16-Sep-13,2.89,2.93,2.89,2.90,4100
13-Sep-13,2.88,3.01,2.77,2.85,5808
12-Sep-13,2.92,2.94,2.77,2.86,20951
11-Sep-13,2.98,2.98,2.92,2.94,29592
10-Sep-13,3.00,3.05,2.98,3.01,10337
9-Sep-13,3.05,3.05,2.99,3.03,1700
6-Sep-13,3.01,3.10,2.99,3.07,40655
5-Sep-13,3.05,3.05,3.01,3.02,17370
4-Sep-13,3.06,3.11,3.06,3.10,15941
3-Sep-13,3.15,3.15,3.05,3.06,9909
30-Aug-13,3.01,3.11,2.98,3.11,11385
29-Aug-13,3.00,3.21,2.98,3.03,12781
28-Aug-13,3.04,3.10,2.98,3.05,34633
27-Aug-13,3.12,3.14,3.04,3.07,16666
26-Aug-13,3.10,3.14,3.05,3.12,20868
23-Aug-13,3.08,3.13,3.06,3.12,27466
22-Aug-13,3.33,3.33,2.97,3.15,148942
21-Aug-13,3.32,3.33,3.18,3.29,26342
20-Aug-13,3.26,3.39,3.16,3.33,15338
19-Aug-13,3.18,3.40,3.16,3.26,10288
16-Aug-13,3.18,3.28,3.17,3.20,16463
15-Aug-13,3.18,3.33,3.18,3.22,19850
14-Aug-13,3.30,3.30,3.20,3.24,15250
13-Aug-13,3.22,3.36,3.17,3.26,25143
12-Aug-13,2.99,3.25,2.96,3.22,79941
9-Aug-13,2.84,3.12,2.84,2.95,47194
8-Aug-13,2.72,2.89,2.65,2.86,51955
7-Aug-13,2.62,2.72,2.62,2.67,9559
6-Aug-13,2.65,2.73,2.62,2.63,12798
5-Aug-13,2.69,2.76,2.67,2.68,19694
2-Aug-13,2.66,2.73,2.66,2.70,10392
1-Aug-13,2.70,2.72,2.62,2.67,13719
31-Jul-13,2.64,2.74,2.62,2.72,27353
30-Jul-13,2.68,2.74,2.62,2.65,38562
29-Jul-13,2.64,2.75,2.64,2.71,19162
26-Jul-13,2.63,2.75,2.62,2.66,41331
25-Jul-13,2.65,2.74,2.61,2.64,17502
24-Jul-13,2.75,2.75,2.60,2.70,31796
23-Jul-13,2.62,2.70,2.57,2.70,47763
22-Jul-13,2.37,2.65,2.37,2.61,63311
19-Jul-13,2.38,2.43,2.38,2.40,18681
18-Jul-13,2.38,2.46,2.31,2.35,66155
17-Jul-13,2.38,2.42,2.29,2.42,47336
16-Jul-13,2.21,2.44,2.21,2.34,22884
15-Jul-13,2.24,2.31,2.20,2.24,56101
12-Jul-13,2.26,2.31,2.25,2.26,23929
11-Jul-13,2.32,2.34,2.22,2.26,112976
10-Jul-13,2.33,2.36,2.27,2.28,19205
9-Jul-13,2.39,2.40,2.33,2.33,37329
8-Jul-13,2.40,2.45,2.35,2.42,177425
5-Jul-13,2.47,2.47,2.39,2.46,24663
3-Jul-13,2.42,2.46,2.35,2.46,100245
2-Jul-13,2.29,2.33,2.26,2.30,20508
1-Jul-13,2.16,2.31,2.10,2.25,26391
28-Jun-13,2.22,2.28,2.11,2.11,100226
27-Jun-13,2.21,2.26,2.18,2.25,12972
26-Jun-13,2.25,2.26,2.13,2.20,22121
25-Jun-13,2.22,2.28,2.22,2.26,102850
24-Jun-13,2.33,2.33,2.13,2.16,126401
21-Jun-13,2.40,2.40,2.22,2.33,47240
20-Jun-13,2.48,2.48,2.35,2.35,49324
19-Jun-13,2.50,2.55,2.48,2.49,33750
18-Jun-13,2.50,2.55,2.50,2.53,19103
17-Jun-13,2.54,2.57,2.50,2.50,84643
14-Jun-13,2.58,2.58,2.53,2.54,19202
13-Jun-13,2.60,2.60,2.53,2.56,16853
12-Jun-13,2.60,2.60,2.56,2.57,5938
11-Jun-13,2.55,2.60,2.53,2.58,13403
10-Jun-13,2.57,2.60,2.56,2.60,17413
7-Jun-13,2.60,2.64,2.57,2.59,7913
6-Jun-13,2.56,2.61,2.56,2.60,16074
5-Jun-13,2.60,2.78,2.53,2.55,32633
4-Jun-13,2.62,2.71,2.56,2.56,20924
3-Jun-13,2.71,2.72,2.60,2.62,57626
31-May-13,2.84,2.84,2.65,2.68,39239
30-May-13,2.87,2.92,2.80,2.84,107380
29-May-13,2.71,2.95,2.66,2.82,98997
28-May-13,2.82,2.82,2.70,2.75,36108
24-May-13,2.70,2.91,2.69,2.82,18212
23-May-13,2.65,2.76,2.65,2.74,27984
22-May-13,2.59,2.71,2.59,2.67,38314
21-May-13,2.68,2.70,2.57,2.57,31749
20-May-13,2.71,2.74,2.56,2.66,56007
17-May-13,2.61,2.63,2.53,2.62,49626
16-May-13,2.71,2.76,2.62,2.62,27466
15-May-13,2.80,2.89,2.71,2.71,16366
14-May-13,2.71,2.94,2.70,2.82,32016
13-May-13,2.67,2.77,2.67,2.74,20499
10-May-13,2.81,2.81,2.75,2.77,32904
9-May-13,2.80,2.95,2.80,2.84,25127
8-May-13,2.82,2.97,2.80,2.88,19774
7-May-13,2.87,2.94,2.83,2.85,12349
6-May-13,2.85,2.93,2.85,2.89,9552
3-May-13,2.73,2.94,2.73,2.88,24147
2-May-13,2.68,2.89,2.56,2.84,25552
1-May-13,2.68,2.85,2.68,2.83,31663
30-Apr-13,2.95,2.95,2.73,2.73,72900
29-Apr-13,2.93,2.98,2.93,2.95,15522
26-Apr-13,2.95,3.00,2.95,3.00,8319
25-Apr-13,2.99,3.03,2.96,2.96,13592
24-Apr-13,3.00,3.02,2.95,2.99,47686
23-Apr-13,2.97,2.99,2.96,2.98,42476
22-Apr-13,3.00,3.04,3.00,3.00,11553
19-Apr-13,3.01,3.06,2.97,3.01,41142
18-Apr-13,2.97,3.00,2.97,3.00,32212
17-Apr-13,2.96,3.00,2.96,2.97,29963
16-Apr-13,3.04,3.05,2.99,3.02,27062
15-Apr-13,3.10,3.10,3.00,3.04,59637
12-Apr-13,3.18,3.18,3.11,3.18,9355
11-Apr-13,3.21,3.26,3.18,3.21,57447
10-Apr-13,3.26,3.27,3.22,3.24,13594
9-Apr-13,3.25,3.28,3.21,3.25,25796
8-Apr-13,3.40,3.40,3.21,3.25,13360
5-Apr-13,3.21,3.39,3.21,3.38,33105
4-Apr-13,3.24,3.28,3.22,3.23,13882
3-Apr-13,3.31,3.35,3.20,3.28,38401
2-Apr-13,3.61,3.68,3.18,3.28,111491
1-Apr-13,3.67,3.70,3.60,3.61,26360
28-Mar-13,3.80,3.80,3.67,3.67,8579
27-Mar-13,3.75,3.76,3.67,3.73,3102
26-Mar-13,3.81,3.81,3.68,3.68,4205
25-Mar-13,3.78,3.81,3.68,3.74,10799
22-Mar-13,3.82,3.84,3.73,3.79,15658
21-Mar-13,3.69,3.88,3.65,3.83,33729
20-Mar-13,3.75,3.75,3.66,3.67,6167
19-Mar-13,3.80,3.86,3.71,3.71,15561
18-Mar-13,3.70,3.86,3.70,3.86,11029
15-Mar-13,3.80,3.80,3.64,3.65,58264
14-Mar-13,3.80,3.89,3.80,3.81,16182
13-Mar-13,4.02,4.02,3.80,3.84,13492
12-Mar-13,4.05,4.05,3.81,3.91,29961
11-Mar-13,4.05,4.06,4.00,4.02,26823
8-Mar-13,3.97,4.03,3.80,4.03,39854
7-Mar-13,3.87,3.97,3.86,3.96,18526
6-Mar-13,3.86,3.90,3.86,3.86,17839
5-Mar-13,3.74,3.86,3.66,3.86,13302
4-Mar-13,3.76,3.90,3.68,3.72,11189
1-Mar-13,3.76,3.85,3.70,3.76,24675
28-Feb-13,3.79,3.84,3.63,3.80,35509
27-Feb-13,3.78,4.00,3.78,3.85,37018
