Date,Open,High,Low,Close,Volume
31-Dec-13,11.05,11.35,11.01,11.24,102919
30-Dec-13,10.99,11.16,10.90,11.00,53663
27-Dec-13,11.06,11.14,10.97,11.03,122914
26-Dec-13,11.05,11.11,10.92,11.01,45345
24-Dec-13,11.03,11.14,10.96,11.03,23629
23-Dec-13,10.83,11.03,10.83,11.02,68950
20-Dec-13,10.88,10.98,10.56,10.78,529882
19-Dec-13,10.97,10.98,10.78,10.83,41250
18-Dec-13,10.62,10.96,10.62,10.95,64929
17-Dec-13,10.79,10.79,10.57,10.60,34826
16-Dec-13,10.58,10.78,10.58,10.76,55716
13-Dec-13,10.42,10.70,10.40,10.57,64154
12-Dec-13,10.33,10.56,10.30,10.37,71165
11-Dec-13,10.36,10.48,10.21,10.29,78825
10-Dec-13,10.37,10.40,10.27,10.31,154350
9-Dec-13,10.47,10.55,10.30,10.39,76014
6-Dec-13,10.57,10.64,10.38,10.45,71739
5-Dec-13,10.55,10.63,10.43,10.45,132979
4-Dec-13,10.63,10.69,10.54,10.57,81205
3-Dec-13,10.73,10.98,10.64,10.64,87732
2-Dec-13,10.92,10.97,10.74,10.77,182094
29-Nov-13,11.04,11.06,10.90,10.98,45270
27-Nov-13,10.96,11.03,10.70,10.97,81697
26-Nov-13,10.79,11.02,10.79,10.92,69320
25-Nov-13,10.87,10.87,10.59,10.81,90953
22-Nov-13,10.79,10.95,10.77,10.87,65855
21-Nov-13,10.55,10.90,10.55,10.75,101368
20-Nov-13,10.46,10.60,10.29,10.48,115821
19-Nov-13,10.65,10.76,10.37,10.39,95192
18-Nov-13,10.85,10.85,10.67,10.70,116584
15-Nov-13,10.87,10.91,10.77,10.81,65906
14-Nov-13,11.11,11.25,10.83,10.87,48304
13-Nov-13,10.99,11.19,10.96,11.15,104574
12-Nov-13,10.77,11.09,10.31,11.03,48566
11-Nov-13,10.86,10.95,10.77,10.77,60986
8-Nov-13,10.70,10.99,10.70,10.85,99097
7-Nov-13,10.93,11.10,10.64,10.71,49298
6-Nov-13,10.26,11.40,10.17,10.85,151191
5-Nov-13,9.88,10.06,9.86,10.04,213242
4-Nov-13,9.84,9.99,9.70,9.87,64159
1-Nov-13,9.94,10.09,9.69,9.83,101328
31-Oct-13,9.96,10.11,9.95,9.98,94390
30-Oct-13,10.04,10.05,9.92,9.92,27701
29-Oct-13,10.01,10.19,9.95,10.01,220606
28-Oct-13,9.95,10.00,9.90,9.97,221027
25-Oct-13,9.99,10.09,9.90,9.94,45440
24-Oct-13,9.94,10.09,9.92,9.93,33477
23-Oct-13,10.07,10.12,9.90,9.93,58576
22-Oct-13,9.87,10.20,9.71,10.10,85450
21-Oct-13,9.75,10.08,9.72,9.92,60695
18-Oct-13,9.97,9.98,9.61,9.77,99937
17-Oct-13,9.82,9.97,9.82,9.87,72092
16-Oct-13,9.97,10.07,9.81,9.84,67841
15-Oct-13,9.98,10.00,9.90,9.90,68425
14-Oct-13,9.91,10.00,9.91,10.00,35703
11-Oct-13,9.89,10.00,9.80,9.96,62017
10-Oct-13,9.79,9.97,9.69,9.88,98670
9-Oct-13,9.62,9.70,9.58,9.64,38222
8-Oct-13,9.59,9.77,9.59,9.61,93077
7-Oct-13,9.50,9.72,9.50,9.62,67847
4-Oct-13,9.54,9.74,9.51,9.56,45746
3-Oct-13,9.45,9.64,9.40,9.57,52185
2-Oct-13,9.53,9.68,9.35,9.47,52527
1-Oct-13,9.57,9.66,9.47,9.57,31224
