Date,Open,High,Low,Close,Volume
31-Dec-13,16.50,16.70,16.10,16.50,47019
30-Dec-13,16.40,17.00,16.30,16.70,36869
27-Dec-13,17.20,17.29,16.00,16.40,44609
26-Dec-13,17.00,17.50,16.90,16.90,33253
24-Dec-13,17.40,17.80,16.50,17.10,19736
23-Dec-13,18.50,18.50,16.90,17.50,110113
20-Dec-13,15.70,18.05,15.70,17.90,323339
19-Dec-13,15.20,16.00,15.10,15.60,72047
18-Dec-13,15.00,15.30,14.50,15.20,46328
17-Dec-13,15.00,15.40,14.30,14.50,51384
16-Dec-13,15.00,15.20,14.30,15.00,51492
13-Dec-13,14.70,15.60,14.60,15.00,71130
12-Dec-13,15.30,15.40,14.50,14.50,37455
11-Dec-13,15.40,15.60,14.20,14.50,58072
10-Dec-13,15.50,16.00,15.10,15.40,41580
9-Dec-13,15.60,15.90,15.00,15.40,29592
6-Dec-13,15.70,15.70,15.10,15.50,30165
5-Dec-13,15.60,16.00,15.40,15.50,21758
4-Dec-13,15.90,16.68,15.30,15.70,40623
3-Dec-13,16.60,16.76,15.80,16.00,26778
2-Dec-13,16.90,17.10,16.10,16.50,35183
29-Nov-13,16.90,17.21,16.90,16.90,15671
27-Nov-13,17.00,17.20,16.50,17.00,31672
26-Nov-13,16.60,17.30,16.20,16.90,47651
25-Nov-13,15.50,16.70,15.50,16.50,81858
22-Nov-13,15.90,16.00,15.20,15.40,35596
21-Nov-13,15.60,16.00,15.20,15.70,43854
20-Nov-13,15.70,16.00,15.30,15.30,32567
19-Nov-13,15.30,15.80,15.20,15.60,36143
18-Nov-13,15.50,15.90,15.20,15.30,60965
15-Nov-13,15.10,15.90,14.90,15.40,69956
14-Nov-13,14.90,15.30,14.50,15.10,45718
13-Nov-13,15.30,15.60,14.10,14.80,50323
12-Nov-13,16.50,16.90,14.80,15.40,85612
11-Nov-13,16.40,16.50,15.70,15.80,30602
8-Nov-13,16.00,16.30,16.00,16.30,14153
7-Nov-13,16.50,16.80,15.30,15.90,65219
6-Nov-13,17.20,17.40,16.50,16.60,36050
5-Nov-13,17.80,17.90,17.10,17.10,28697
4-Nov-13,17.40,18.00,17.10,17.80,51334
1-Nov-13,17.00,17.50,16.70,17.10,45442
31-Oct-13,17.60,17.60,17.10,17.15,74883
30-Oct-13,17.50,17.90,16.90,17.30,66047
29-Oct-13,17.70,18.00,17.20,17.30,76460
28-Oct-13,17.50,18.00,17.00,17.45,86565
25-Oct-13,18.00,18.40,17.10,17.40,54808
24-Oct-13,19.60,19.70,17.10,18.20,159022
23-Oct-13,17.00,17.70,16.80,17.40,69852
22-Oct-13,16.60,17.50,16.35,17.00,49272
21-Oct-13,17.70,17.70,16.30,16.80,59577
18-Oct-13,17.90,18.10,17.20,17.40,36921
17-Oct-13,16.90,17.75,16.30,17.70,50083
16-Oct-13,16.50,17.50,16.40,16.80,66029
15-Oct-13,16.70,16.70,15.90,16.30,43386
14-Oct-13,15.70,16.70,15.40,16.60,44822
11-Oct-13,15.80,16.00,15.40,15.90,35508
10-Oct-13,15.50,16.50,15.50,15.60,47848
9-Oct-13,16.60,16.60,15.20,15.40,52337
8-Oct-13,17.20,17.40,16.20,16.40,55911
7-Oct-13,16.70,17.50,16.60,17.10,54340
4-Oct-13,17.10,18.00,16.50,16.70,62950
3-Oct-13,16.40,18.00,16.00,17.20,102733
2-Oct-13,16.20,16.90,15.45,16.50,232218
1-Oct-13,20.20,20.90,17.70,18.80,178742
30-Sep-13,20.70,21.00,20.00,20.25,104734
27-Sep-13,21.60,21.90,20.80,21.00,80136
26-Sep-13,21.50,22.30,21.40,21.60,73328
25-Sep-13,23.00,23.40,21.20,21.30,140686
24-Sep-13,21.30,23.40,21.20,22.40,235892
23-Sep-13,21.40,21.80,20.00,21.10,114140
20-Sep-13,23.00,23.60,20.80,21.20,243393
19-Sep-13,19.10,22.70,19.10,22.30,380543
18-Sep-13,18.70,19.70,17.90,19.00,105982
17-Sep-13,19.00,19.00,18.50,18.80,62419
16-Sep-13,19.40,19.70,18.50,18.80,100406
13-Sep-13,18.20,19.70,17.00,18.80,144737
12-Sep-13,19.50,19.60,17.50,18.20,198454
11-Sep-13,16.20,19.60,16.19,19.30,543608
10-Sep-13,15.30,16.30,15.30,15.90,150498
9-Sep-13,15.20,15.30,15.00,15.10,91599
6-Sep-13,15.50,15.80,14.80,14.90,121644
5-Sep-13,15.20,15.60,15.00,15.40,125602
4-Sep-13,15.70,15.90,14.70,15.00,129389
3-Sep-13,16.30,16.70,14.60,15.00,350695
30-Aug-13,13.50,15.60,13.20,15.50,445237
29-Aug-13,13.30,13.60,13.10,13.60,87615
28-Aug-13,13.60,13.80,13.10,13.50,111759
27-Aug-13,14.10,14.30,13.60,13.70,105892
26-Aug-13,14.10,14.70,14.00,14.30,131862
23-Aug-13,14.10,14.80,13.60,14.50,176775
22-Aug-13,14.10,14.30,13.50,13.80,108411
21-Aug-13,14.90,15.10,13.60,14.40,251491
20-Aug-13,13.80,15.00,13.50,14.90,358442
19-Aug-13,14.00,16.90,13.10,14.30,1713574
16-Aug-13,42.40,42.96,41.20,41.50,93560
15-Aug-13,42.80,43.30,42.10,42.80,71858
14-Aug-13,43.10,44.50,41.70,43.40,66609
13-Aug-13,46.40,46.50,42.90,42.90,68641
12-Aug-13,44.70,45.50,42.40,44.80,115450
9-Aug-13,41.90,45.50,41.30,44.80,66527
8-Aug-13,41.00,42.20,40.10,42.00,68255
7-Aug-13,42.40,43.40,40.40,40.90,54024
6-Aug-13,44.40,44.84,42.10,42.50,35743
5-Aug-13,44.50,45.30,43.20,44.30,68785
2-Aug-13,46.60,46.90,44.60,44.70,71174
1-Aug-13,48.80,49.30,45.70,46.60,81718
31-Jul-13,48.00,49.00,47.20,47.90,61422
30-Jul-13,50.00,50.00,47.00,47.90,82091
29-Jul-13,50.20,51.00,47.30,50.00,114633
26-Jul-13,45.50,47.90,44.20,47.20,84158
25-Jul-13,45.50,48.00,43.10,46.50,89995
24-Jul-13,47.90,48.80,44.50,45.30,87854
23-Jul-13,50.70,51.70,47.00,47.20,130980
22-Jul-13,52.00,55.40,50.50,50.60,83581
19-Jul-13,56.30,56.30,50.50,51.90,115352
18-Jul-13,59.10,59.90,56.00,56.30,60744
17-Jul-13,58.20,59.40,57.20,58.70,54294
